<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<ATR>
20231204;000000;15.888;16.068;15.725;15.964;18796800;0.343
20231205;000000;15.966;16.24;15.821;15.992;24447500;0.419
20231206;000000;16.033;16.064;15.401;15.499;26270300;0.663
20231207;000000;15.51;15.904;15.423;15.635;29048800;0.481
20231208;000000;15.635;15.816;15.583;15.814;11460900;0.233
20231211;000000;15.862;15.862;15.401;15.452;16390400;0.461
20231212;000000;15.46;15.55;15.265;15.345;23648500;0.285
20231213;000000;15.307;15.55;15.298;15.526;12679100;0.252
20231214;000000;15.533;15.67;15.15;15.189;19424500;0.52
20231215;000000;15.181;15.779;15.126;15.737;27778100;0.653
20231218;000000;15.779;15.93;15.416;15.529;39882100;0.514
20231219;000000;15.53;15.644;15.478;15.553;19481900;0.166
20231220;000000;15.577;16.088;15.53;16.015;32779200;0.558
20231221;000000;16.016;16.185;15.811;15.836;40602500;0.374
20231222;000000;15.837;16.082;15.837;16.073;17662300;0.245
20231225;000000;16.09;16.173;16.007;16.071;18698500;0.166
20231226;000000;16.078;16.134;16.01;16.07;14523000;0.124
20231227;000000;16.06;16.128;16.02;16.054;14616400;0.108
20231228;000000;16.055;16.1;15.855;15.897;19107700;0.245
20231229;000000;15.901;16.388;15.855;16.339;18568500;0.533
20240103;000000;16.243;16.439;16.24;16.328;9612200;0.199
20240104;000000;16.33;16.425;16.2;16.414;13229200;0.225
20240105;000000;16.426;16.494;16.261;16.311;8618200;0.233
20240108;000000;16.3;16.594;16.3;16.58;15493000;0.294
20240109;000000;16.513;16.592;16.439;16.507;16323500;0.153
20240110;000000;16.484;16.57;16.412;16.42;11922700;0.158
20240111;000000;16.448;16.877;16.37;16.843;31360200;0.507
20240112;000000;16.846;17.049;16.6;16.783;33304100;0.449
20240115;000000;16.797;16.989;16.787;16.952;15379600;0.202
20240116;000000;16.999;17.01;16.7;16.857;16059800;0.31
20240117;000000;16.857;17.114;16.8;17.019;23740900;0.314
20240118;000000;17.069;17.094;16.933;16.987;24277300;0.161
20240119;000000;16.982;17.02;16.646;16.968;20504000;0.374
20240122;000000;16.904;17.184;16.904;17.03;18602000;0.28
20240123;000000;17.057;17.198;16.967;17.163;18650100;0.231
20240124;000000;17.221;17.234;16.914;16.95;25078500;0.32
20240125;000000;16.969;17.079;16.936;16.97;10517000;0.143
20240126;000000;16.995;17.163;16.801;17.071;14458400;0.362
20240129;000000;17.099;17.168;16.722;17.042;16339200;0.446
20240130;000000;16.98;17.19;16.978;17.137;23671000;0.212
20240131;000000;17.137;17.286;17.106;17.2;18643000;0.18
20240201;000000;17.2;17.406;17.192;17.391;18628600;0.214
20240202;000000;17.418;17.444;17.25;17.344;14320900;0.194
20240205;000000;17.359;17.532;17.35;17.424;26336200;0.182
20240206;000000;17.425;17.49;17.355;17.445;13035500;0.135
20240207;000000;17.444;17.5;17.388;17.5;13042900;0.112
20240208;000000;17.506;17.8;17.479;17.549;46814500;0.321
20240209;000000;17.589;18.23;17.428;18.211;55177000;0.802
20240212;000000;18.222;18.318;17.725;17.93;58316100;0.593
20240213;000000;17.946;18.128;17.9;18.12;30301300;0.228
20240214;000000;18.123;18.2;18.013;18.033;25360500;0.187
20240215;000000;18.033;18.19;17.917;18.189;20431900;0.273
20240216;000000;18.22;18.349;17.996;18.216;41586700;0.353
20240219;000000;18.15;18.43;17.78;17.847;51898300;0.65
20240220;000000;17.893;17.92;17.5;17.529;40613500;0.42
20240221;000000;17.5;17.853;17.383;17.601;37517700;0.47
20240222;000000;17.602;17.997;17.507;17.62;43890400;0.49
20240226;000000;17.992;18.16;17.8;18.147;35689100;0.36
20240227;000000;18.145;18.146;17.803;18.029;25100200;0.343
20240228;000000;18.027;18.109;17.942;18.032;16390900;0.167
20240229;000000;18.031;18.5;17.901;18.46;26196200;0.599
20240301;000000;18.499;18.569;18.278;18.39;31562800;0.291
20240304;000000;18.593;18.75;18.38;18.541;40744600;0.37
20240305;000000;18.543;18.744;18.37;18.531;23735500;0.374
20240306;000000;18.531;18.639;18.515;18.585;10700300;0.124
20240307;000000;18.62;18.625;18.453;18.607;11866600;0.172
20240311;000000;18.748;18.75;18.605;18.605;23602000;0.145
20240312;000000;18.596;19.195;18.55;19.13;77381800;0.645
20240313;000000;19.14;19.875;19.135;19.73;326910100;0.74
20240314;000000;20.148;20.172;19.326;19.458;212419800;0.846
20240315;000000;19.43;19.69;19.337;19.632;50108700;0.353
20240318;000000;19.67;19.74;19.348;19.599;38589700;0.392
20240319;000000;19.6;19.863;19.235;19.415;63505600;0.628
20240320;000000;19.395;19.669;19.25;19.546;32889400;0.419
20240321;000000;19.565;20.4;19.512;20.39;121472900;0.888
20240322;000000;20.352;20.359;19.678;19.831;83275900;0.681
20240325;000000;19.896;20.58;19.813;20.559;70076300;0.767
20240326;000000;20.56;21;20.56;20.774;78839800;0.44
20240327;000000;20.8;22.067;20.511;22.001;211404600;1.556
20240328;000000;21.996;22.5;21.707;21.92;209710900;0.793
20240329;000000;21.92;22.565;21.722;22.557;128441500;0.843
20240401;000000;22.628;24.876;22.561;24.503;407317400;2.315
20240402;000000;24.65;24.718;23.128;23.454;360702000;1.59
20240403;000000;23.454;24.4;23.186;24.138;210106500;1.214
20240404;000000;24.138;24.335;23.539;23.95;139857600;0.796
20240405;000000;23.85;24.1;23.574;23.986;78472000;0.526
20240408;000000;24.181;25.65;24;24.127;530828900;1.65
20240409;000000;23.85;24.65;23.32;23.709;339426000;1.33
20240410;000000;23.739;23.88;23.059;23.68;176092000;0.821
20240411;000000;23.675;23.989;23.28;23.46;74762300;0.709
20240412;000000;23.718;23.749;23.315;23.672;62493300;0.434
20240415;000000;23.7;24.45;23.38;23.5;138632300;1.07
20240416;000000;23.618;24.949;23.055;24.54;272381900;1.894
20240417;000000;24.588;25.627;24.43;25.556;379976000;1.197
20240418;000000;25.58;25.98;25.101;25.346;245485000;0.879
20240419;000000;25.388;26.119;24.95;26.088;173018300;1.169
20240422;000000;26.185;27.065;25.95;26.84;262832200;1.115
20240423;000000;26.935;27.137;26.087;26.289;155055400;1.05
20240424;000000;26.3;26.557;25.61;25.906;121572300;0.947
20240425;000000;25.813;26.5;25.635;25.878;105868900;0.865
20240426;000000;25.8;26.14;25.371;25.674;93138600;0.769
20240427;000000;25.615;25.849;25.3;25.785;53276200;0.549
20240429;000000;25.876;26.39;25.802;26.105;43197000;0.588
20240430;000000;26.13;26.295;25.613;25.745;23575700;0.682
