<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241224;095950;14.35;100;11802911909;S
20241224;095950;14.35;200;11802911910;S
20241224;095950;14.35;700;11802911911;S
20241224;095950;14.35;100;11802911912;S
20241224;095950;14.35;100;11802911913;S
20241224;095950;14.35;1000;11802911914;S
20241224;095950;14.35;8100;11802911915;S
20241224;095950;14.35;2000;11802911916;B
20241224;095950;14.35;200;11802911917;B
20241224;095950;14.35;29700;11802911918;S
20241224;095950;14.35;3000;11802911919;B
20241224;095950;14.35;200;11802911920;B
20241224;095950;14.35;1500;11802911921;B
20241224;100000;14.35;5600;11802913524;B
20241224;100000;14.365;400;11802913626;B
20241224;100000;14.366;4400;11802913627;B
20241224;100000;14.378;100;11802913628;B
20241224;100000;14.38;100;11802913629;B
20241224;100000;14.38;200;11802913630;B
20241224;100000;14.382;200;11802913631;B
20241224;100000;14.387;200;11802913632;B
20241224;100000;14.389;300;11802913633;B
20241224;100000;14.394;100;11802913634;B
20241224;100000;14.394;100;11802913635;B
20241224;100000;14.394;2000;11802913636;B
20241224;100000;14.395;1000;11802913637;B
20241224;100000;14.399;5000;11802913638;B
20241224;100000;14.399;200;11802913639;B
20241224;100000;14.4;100;11802913640;B
20241224;100000;14.4;100;11802913641;B
20241224;100000;14.4;1000;11802913642;B
20241224;100000;14.4;6700;11802913643;B
20241224;100000;14.4;4500;11802913644;B
20241224;100000;14.4;100;11802913645;B
20241224;100000;14.4;12500;11802913646;B
20241224;100000;14.4;700;11802913647;B
20241224;100000;14.4;8700;11802913648;B
20241224;100000;14.401;500;11802913649;B
20241224;100000;14.402;3000;11802913650;B
20241224;100000;14.408;100;11802913651;B
20241224;100000;14.409;100;11802913652;B
20241224;100000;14.411;70000;11802913653;B
20241224;100000;14.411;1000;11802913654;B
20241224;100000;14.412;100;11802913655;B
20241224;100000;14.412;100;11802913656;B
20241224;100000;14.42;300;11802913657;B
20241224;100000;14.42;100;11802913658;B
20241224;100000;14.42;20000;11802913659;B
20241224;100000;14.423;500;11802913660;B
20241224;100000;14.423;1000;11802913661;B
20241224;100000;14.424;4500;11802913662;B
20241224;100000;14.398;3600;11802913827;B
20241224;100000;14.398;1400;11802913837;B
20241224;100000;14.401;8600;11802913838;B
20241224;100000;14.401;6000;11802913856;B
20241224;100001;14.371;100;11802914006;S
20241224;100001;14.414;12600;11802914007;B
20241224;100001;14.415;10000;11802914008;B
20241224;100001;14.415;1500;11802914009;B
20241224;100001;14.421;5900;11802914010;B
20241224;100001;14.372;100;11802914011;S
20241224;100001;14.365;100;11802914023;B
20241224;100001;14.423;15000;11802914024;B
20241224;100001;14.424;2000;11802914025;B
20241224;100001;14.425;1100;11802914026;B
20241224;100001;14.426;8600;11802914027;B
20241224;100001;14.43;200;11802914028;B
20241224;100001;14.43;100;11802914029;B
20241224;100001;14.43;2000;11802914030;B
20241224;100001;14.442;900;11802914031;B
20241224;100001;14.381;6900;11802914047;S
20241224;100001;14.43;8600;11802914050;B
20241224;100001;14.431;1400;11802914051;B
20241224;100001;14.4;100;11802914192;B
20241224;100001;14.448;200;11802914314;B
20241224;100001;14.448;8400;11802914379;B
20241224;100001;14.449;10000;11802914380;B
20241224;100001;14.45;100;11802914381;B
