<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<ATR>
20231204;000000;36.57;36.6;35.8;35.8;7366470;0.8
20231205;000000;35.77;36.11;35.06;36.06;13984020;1.05
20231206;000000;35.96;36.11;35.18;35.24;6460930;0.93
20231207;000000;35.24;35.53;34.55;34.94;11068710;0.98
20231208;000000;34.93;35.78;34.93;35.66;5799860;0.85
20231211;000000;35.73;35.8;34.75;35.09;5534370;1.05
20231212;000000;35.1;35.7;34.86;35.29;6117210;0.84
20231213;000000;35.28;35.76;34.86;35.68;9174970;0.9
20231214;000000;35.81;36.79;35.22;35.34;24511400;1.57
20231215;000000;35.46;36.49;35.24;36.28;10358570;1.25
20231218;000000;36.42;37.36;36.21;37.3;12504420;1.15
20231219;000000;37.31;37.33;36.41;36.66;9384890;0.92
20231220;000000;36.67;37.18;36.46;36.94;10270550;0.72
20231221;000000;36.81;36.89;35.76;35.93;14779410;1.13
20231222;000000;36.1;36.57;35.92;35.97;10119540;0.65
20231225;000000;36.03;36.14;35.41;35.56;10520560;0.73
20231226;000000;35.49;35.9;35.11;35.47;13620010;0.79
20231227;000000;35.45;35.53;35;35.11;7581640;0.53
20231228;000000;35.1;35.22;34.71;34.87;7901260;0.51
20231229;000000;34.92;35.4;34.7;35.05;7750660;0.7
20240103;000000;35.21;35.78;35.12;35.75;5718080;0.66
20240104;000000;35.82;35.82;35.46;35.57;3524340;0.36
20240105;000000;35.59;36.97;35.54;36.85;19735020;1.43
20240108;000000;36.9;37.75;36.9;37.5;16766560;0.85
20240109;000000;37.6;37.94;37.18;37.69;13100880;0.76
20240110;000000;37.69;37.94;37.4;37.45;8089210;0.54
20240111;000000;37.5;37.83;36.97;37.8;11777010;0.86
20240112;000000;37.95;38.78;37.78;38.01;13270890;1
20240115;000000;38.05;38.63;38.05;38.2;9192540;0.58
20240116;000000;38.19;38.21;37.62;37.97;8319200;0.59
20240117;000000;37.97;38.44;37.83;38.32;6760220;0.61
20240118;000000;38.46;38.54;37.38;37.79;10225450;1.16
20240119;000000;37.8;38.29;37.51;38.02;8106880;0.78
20240122;000000;38.04;38.19;37.61;37.93;5519480;0.58
20240123;000000;37.97;38.12;37.87;37.94;5280090;0.25
20240124;000000;37.99;38.19;37.61;37.66;6659410;0.58
20240125;000000;37.66;37.75;37.2;37.36;7069320;0.55
20240126;000000;37.37;37.68;37.06;37.17;4894040;0.62
20240129;000000;37.18;38.5;37.18;38.3;11325060;1.32
20240130;000000;38.34;39.5;38.29;39.38;22795900;1.21
20240131;000000;39.42;39.47;38.52;38.83;13403610;0.95
20240201;000000;38.79;39.1;38.69;38.92;5052800;0.41
20240202;000000;38.92;40.1;38.84;39.81;15586450;1.26
20240205;000000;39.8;40.2;39.37;39.91;13105940;0.83
20240206;000000;39.92;40.4;39.53;40.28;9449960;0.87
20240207;000000;40.49;40.65;39.46;39.67;17807010;1.19
20240208;000000;39.67;39.85;39.07;39.22;9665000;0.78
20240209;000000;39.22;39.58;38.75;39.05;12836470;0.83
20240212;000000;39.06;40.25;39.06;39.89;21918390;1.19
20240213;000000;39.94;39.99;39.39;39.6;10189030;0.6
20240214;000000;39.74;39.74;39.2;39.49;7780940;0.54
20240215;000000;39.51;39.53;38.98;39.24;7453660;0.55
20240216;000000;39.28;39.3;38.2;38.84;11887440;1.1
20240219;000000;38.64;39.14;38.47;38.89;7741320;0.67
20240220;000000;38.89;39.26;37.38;37.74;18019410;1.88
20240221;000000;37.73;37.75;36.68;37.01;14939010;1.07
20240222;000000;36.76;37.51;36.76;37.31;5760180;0.75
20240226;000000;37.58;38.13;37.36;38.07;8085190;0.77
20240227;000000;38.3;38.31;37.61;37.72;4647080;0.7
20240228;000000;37.72;38.46;37.38;37.61;12216870;1.08
20240229;000000;37.6;39.14;37.55;38.54;19525380;1.59
20240301;000000;38.62;39.18;38.54;39.06;9501240;0.64
20240304;000000;39.1;40.23;39.07;39.78;21936930;1.16
20240305;000000;39.95;40.55;39.31;39.78;23277300;1.24
20240306;000000;39.88;40.16;39.47;39.66;9132090;0.69
20240307;000000;39.64;39.72;39.35;39.54;5908790;0.37
20240311;000000;39.67;40.2;39.41;40.13;13971440;0.79
20240312;000000;40.1;40.16;39.74;40.08;7418040;0.42
20240313;000000;40.16;41.59;40.13;41.08;56424800;1.46
20240314;000000;41.08;41.58;40.19;40.22;24828200;1.39
20240315;000000;40.12;40.73;39.9;40.52;14773630;0.83
20240318;000000;40.62;40.91;40.32;40.66;11250510;0.59
20240319;000000;40.74;40.95;39.52;39.73;17335190;1.43
20240320;000000;39.61;40.95;39.52;40.7;18511770;1.43
20240321;000000;40.76;41.2;40.51;40.98;15683580;0.69
