<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20240311;095946;39.67;140;9807324929;S
20240311;095946;39.67;10;9807324930;S
20240311;095946;39.67;60;9807324931;S
20240311;095946;39.67;10;9807324932;S
20240311;095946;39.67;10;9807324933;S
20240311;095946;39.67;10;9807324934;S
20240311;095946;39.67;70;9807324935;S
20240311;095946;39.67;10;9807324936;S
20240311;095946;39.67;30;9807324937;S
20240311;095946;39.67;20;9807324938;S
20240311;095946;39.67;10;9807324939;S
20240311;095946;39.67;10;9807324940;S
20240311;095946;39.67;20;9807324941;S
20240311;095946;39.67;10;9807324942;S
20240311;095946;39.67;60;9807324943;B
20240311;095946;39.67;30;9807324944;B
20240311;095946;39.67;40;9807324945;S
20240311;095946;39.67;10;9807324946;B
20240311;095946;39.67;490;9807324947;B
20240311;095946;39.67;40;9807324948;S
20240311;095946;39.67;50;9807324949;S
20240311;095946;39.67;30;9807324950;B
20240311;095946;39.67;10;9807324951;B
20240311;095946;39.67;30;9807324952;B
20240311;095946;39.67;10;9807324953;B
20240311;095946;39.67;40;9807324954;B
20240311;095946;39.67;10;9807324955;B
20240311;095946;39.67;10;9807324956;B
20240311;095946;39.67;30;9807324957;B
20240311;095946;39.67;10;9807324958;B
20240311;095946;39.67;30;9807324959;B
20240311;095946;39.67;60;9807324960;B
20240311;095946;39.67;10;9807324961;B
20240311;095946;39.67;10;9807324962;B
20240311;095946;39.67;10;9807324963;B
20240311;095946;39.67;10;9807324964;B
20240311;095946;39.67;20;9807324965;B
20240311;095946;39.67;10;9807324966;B
20240311;095946;39.67;10;9807324967;B
20240311;095946;39.67;130;9807324968;B
20240311;095946;39.67;280;9807324969;B
20240311;095946;39.67;10;9807324970;B
20240311;095946;39.67;20;9807324971;B
20240311;095946;39.67;10;9807324972;B
20240311;095946;39.67;20;9807324973;B
20240311;095946;39.67;10;9807324974;B
20240311;095946;39.67;10;9807324975;B
20240311;095946;39.67;10;9807324976;B
20240311;095946;39.67;570;9807324977;B
20240311;095946;39.67;150;9807324978;B
20240311;095946;39.67;300;9807324979;B
20240311;095946;39.67;20;9807324980;B
20240311;095946;39.67;450;9807324981;B
20240311;095946;39.67;10;9807324982;B
20240311;095946;39.67;20;9807324983;B
20240311;095946;39.67;630;9807324984;B
20240311;095946;39.67;30;9807324985;B
20240311;095946;39.67;10;9807324986;S
20240311;095946;39.67;70;9807324987;B
20240311;095946;39.67;10;9807324988;B
