<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241018;095953;1210.2;2;11313176549;B
20241018;095953;1210.2;10;11313176550;B
20241018;095953;1210.2;1;11313176551;S
20241018;095953;1210.2;1;11313176552;S
20241018;095953;1210.2;1;11313176553;S
20241018;095953;1210.2;14;11313176554;S
20241018;095953;1210.2;2;11313176555;S
20241018;095953;1210.2;1;11313176556;S
20241018;095953;1210.2;5;11313176557;S
20241018;095953;1210.2;11;11313176558;B
20241018;095953;1210.2;54;11313176559;S
20241018;095953;1210.2;11;11313176560;S
20241018;100000;1212.4;1;11313180018;B
20241018;100000;1214.4;7;11313180019;B
20241018;100007;1214.4;24;11313188476;S
20241018;100016;1214.4;2;11313193255;S
20241018;100016;1214.6;10;11313193310;B
20241018;100016;1214.6;1;11313193311;B
20241018;100016;1214.6;1;11313193312;B
20241018;100016;1215;10;11313193314;B
20241018;100016;1215.4;27;11313193362;B
20241018;100016;1216.8;5;11313193368;B
20241018;100016;1216.8;2;11313193369;B
20241018;100016;1217;7;11313193370;B
20241018;100016;1217.2;1;11313193371;B
20241018;100016;1216.8;169;11313193377;S
20241018;100016;1216.8;3;11313193378;S
20241018;100017;1214.6;2;11313193457;S
20241018;100017;1214.6;104;11313193458;S
20241018;100017;1214.6;66;11313193459;S
20241018;100017;1214.4;27;11313193460;S
20241018;100017;1211.4;7;11313193492;S
20241018;100017;1211.6;10;11313193506;B
20241018;100020;1217.6;1;11313194693;S
20241018;100025;1217.2;4;11313196117;B
20241018;100025;1217.6;1;11313196119;B
20241018;100025;1219.8;1;11313196121;B
20241018;100025;1220;11;11313196122;B
20241018;100025;1220;5;11313196123;B
20241018;100025;1221.4;54;11313196126;S
20241018;100025;1221.2;66;11313196127;S
20241018;100025;1221.4;30;11313196128;S
20241018;100025;1221.2;106;11313196129;S
20241018;100025;1219.6;13;11313196130;S
20241018;100025;1219.4;85;11313196131;S
20241018;100025;1218;13;11313196179;S
20241018;100025;1217.8;103;11313196180;S
20241018;100025;1217.8;10;11313196181;S
20241018;100025;1221.2;10;11313196219;B
20241018;100025;1218.8;50;11313196222;S
20241018;100026;1217.4;24;11313196585;S
20241018;100043;1215.2;4;11313201371;S
20241018;100045;1214.8;8;11313201788;S
20241018;100053;1213.6;13;11313205153;S
20241018;100053;1213.4;5;11313205154;S
20241018;100053;1213.4;1;11313205155;S
20241018;100053;1213.2;15;11313205156;S
20241018;100053;1213;11;11313205157;S
20241018;100106;1212.4;1;11313209454;S
20241018;100127;1214.4;1;11313214874;B
20241018;100127;1214.4;1;11313214875;B
20241018;100128;1215.6;34;11313215298;B
20241018;100130;1216.4;4;11313215793;B
20241018;100130;1217.8;3;11313215794;B
20241018;100133;1217;12;11313216933;S
20241018;100133;1217;15;11313216934;S
20241018;100134;1218.2;13;11313217179;B
20241018;100134;1217.6;18;11313217202;S
20241018;100134;1217.6;13;11313217246;B
20241018;100139;1217.8;18;11313218265;S
20241018;100140;1218;5;11313218741;B
