<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR;IATR;0.2815;0.2102;0.1782;0.1598;0.1704
20231127;000000;65.99;66.25;64.99;65.4;8554320;1.26;1.04594;;;;;
20231128;000000;65.65;66.95;64.2;66.5;13268770;2.75;1.126786;;;;;
20231129;000000;66.5;67.72;65.41;66.73;18318870;2.31;1.536795;;;;;
20231130;000000;66.76;66.96;65;65.18;11638000;1.96;1.779647;;;;;
20231201;000000;65.1;65.84;64.65;65.03;7642120;1.19;1.926364;;;;;
20231204;000000;64.97;66.14;64.41;65.24;10087500;1.73;1.812773;;;;;
20231205;000000;65.5;66.95;65.2;66.3;7458000;1.75;1.924143;;;;;
20231206;000000;66.51;66.54;64.7;65.89;22874660;1.84;1.775161;;;;;
20231207;000000;65.75;67.7;65.4;67.53;22157960;2.3;1.718242;;;;;
20231208;000000;67.75;70.96;67.75;70.92;42829740;3.21;1.825298;;;;;
20231211;000000;71;72.26;68.75;70.62;49805260;3.51;2.289405;;;;;
20231212;000000;70.89;72.62;69.69;72.19;29754010;2.93;2.664899;;;;;
20231213;000000;72.1;73.14;71.1;71.48;19108790;2.04;2.815695;;;;;
20231214;000000;71.49;71.81;69.1;69.49;17518140;2.71;2.720506;;;;;
20231215;000000;69.39;71.89;69.39;71.2;14278470;2.5;2.821681;;;;;
20231218;000000;71.05;73.35;70.94;72.51;29989370;2.41;2.703238;;;;;
20231219;000000;72.6;72.94;71.61;72.3;16239610;1.33;2.512101;;;;;
20231220;000000;72.25;73.15;71.96;72.19;14139990;1.19;2.107151;;;;;
20231221;000000;71.8;72.36;70.3;71.21;14493990;2.06;1.905297;;;;;
20231222;000000;71.22;72.14;70.58;70.97;16170340;1.56;1.878152;;;;;
20231225;000000;71.07;71.5;70.02;70.05;10057380;1.48;1.707408;;;;;
20231226;000000;70.04;70.79;69.26;70.38;13365850;1.53;1.528418;;;;;
20231227;000000;70.35;70.36;69.77;69.85;9838890;0.59;1.551747;;;;;
20231228;000000;69.85;70.21;69.1;69.5;9694910;1.11;1.351739;;;;;
20231229;000000;69.5;69.98;69.27;69.5;3840190;0.71;1.211457;;;;;
20240103;000000;69.51;71.3;69.28;71.2;8673690;2.02;1.035011;;;;;
20240104;000000;71;71.29;70.51;71.22;6153700;0.78;1.270668;;;;;
20240105;000000;71.38;71.71;70.82;71.47;5655840;0.89;1.04861;;;;;
20240108;000000;71.47;71.61;71.03;71.16;3772070;0.58;1.077057;;;;;
20240109;000000;71.14;72.09;70.43;71.98;11978330;1.66;0.933124;;;;;
20240110;000000;72.03;72.7;71.36;71.4;8356330;1.34;1.216656;;;;;
20240111;000000;71.58;71.95;71.25;71.79;6659760;0.7;1.104632;;;;;
20240112;000000;72.01;74.3;71.85;73.73;20482700;2.45;1.01887;;;;;
20240115;000000;74.02;76.2;74;75;33759710;2.2;1.439703;;;;;
20240116;000000;75.1;75.1;73.38;73.96;25620140;1.72;1.756026;;;;;
20240117;000000;73.9;74;72.9;73.38;10102930;1.1;1.723406;;;;;
20240118;000000;73.4;73.67;72.23;73.07;12793420;1.44;1.574024;;;;;
20240119;000000;73.09;73.5;72.57;72.79;8305250;0.93;1.712124;;;;;
20240122;000000;72.89;73.33;72.52;72.98;8188820;0.81;1.410239;;;;;
20240123;000000;73.11;73.45;71.59;71.76;12633830;1.86;1.148977;;;;;
20240124;000000;71.76;71.8;70.56;70.77;14731250;1.24;1.27713;;;;;
20240125;000000;70.71;72.15;70.41;71.2;16599260;1.74;1.278364;;;;;
20240126;000000;71.4;71.94;70.62;70.64;8024760;1.32;1.36982;;;;;
20240129;000000;70.63;71.2;70.01;70.64;10769880;1.19;1.393548;;;;;
20240130;000000;70.64;71.5;70.45;71.29;9934570;1.05;1.437613;;;;;
20240131;000000;71.45;71.75;71.01;71.47;8335690;0.74;1.270285;;;;;
20240201;000000;71.58;72.1;70.74;71.12;9626100;1.36;1.14851;;;;;
20240202;000000;71.21;71.24;70.56;70.72;7164060;0.68;1.140588;;;;;
20240205;000000;70.75;71.15;70.4;70.76;7813040;0.75;0.979726;;;;;
20240206;000000;70.82;71.29;70.8;71.12;7384620;0.49;0.893585;;;;;
20240207;000000;71.3;71.34;70.13;70.38;9937270;1.21;0.760185;;;;;
20240208;000000;70.48;70.59;69.2;69.26;14053240;1.39;0.917671;;;;;
20240209;000000;69.26;69.54;68.71;69.07;8130910;0.83;0.968667;;;;;
20240212;000000;69.1;69.5;67.75;67.96;11995490;1.75;0.947547;;;;;
20240213;000000;67.99;68.56;67.62;68.14;12979940;0.94;1.191643;;;;;
20240214;000000;68.29;69.04;67.9;68.27;10183750;1.14;1.208672;;;;;
20240215;000000;68.41;68.44;67.81;68.3;7130340;0.63;1.199838;;;;;
20240216;000000;68.4;68.99;68.04;68.75;9436520;0.95;1.005563;;;;;
20240219;000000;68.79;70.37;68.45;69.55;23341870;1.92;1.051411;;;;;
20240220;000000;69.62;71.04;69.44;69.81;30907710;1.6;1.194784;;;;;
20240221;000000;69.83;70.12;68.76;69.55;14684680;1.36;1.318204;;;;;
20240222;000000;69.81;70.9;69.01;70.59;16603270;1.89;1.320466;;;;;
20240226;000000;70.89;71.65;70.88;71.26;12342090;0.77;1.571723;;;;;
20240227;000000;71.32;72.93;71.17;72.81;21916290;1.76;1.439233;;;;;
20240228;000000;72.86;72.99;70.64;70.79;36752280;2.35;1.48406;;;;;
20240229;000000;70.76;71.54;70.5;71.32;11349410;1.04;1.702457;;;;;
20240301;000000;71.3;72.37;71.14;72.23;11926570;1.23;1.545464;;;;;
20240304;000000;72.67;73.73;71.93;73.56;19571880;1.8;1.396079;;;;;
20240305;000000;73.7;74.22;73;73.62;17552180;1.22;1.626008;;;;;
20240306;000000;73.62;74.71;73.48;74.44;14394160;1.23;1.507608;;;;;
20240307;000000;74.51;74.95;73.8;74.93;11504130;1.15;1.297219;;;;;
20240311;000000;75.05;75.32;74.27;75.31;17013520;1.05;1.296907;;;;;
20240312;000000;75.17;75.44;74.57;75.27;9080420;0.87;1.258167;;;;;
20240313;000000;75.28;75.62;74.64;74.7;12487800;0.98;1.074987;;;;;
