<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;;;<ATR>
20231211;000000;71;72.26;68.75;70.62;49805260;14189532.76;-1;-14189532.76
20231212;000000;70.89;72.62;69.69;72.19;29754010;10154952.22;1;10154952.22
20231213;000000;72.1;73.14;71.1;71.48;19108790;9367053.922;-1;-9367053.922
20231214;000000;71.49;71.81;69.1;69.49;17518140;6464258.303;-1;-6464258.303
20231215;000000;69.39;71.89;69.39;71.2;14278470;5711388;1;5711388
20231218;000000;71.05;73.35;70.94;72.51;29989370;12443721.99;1;12443721.99
20231219;000000;72.6;72.94;71.61;72.3;16239610;12210233.08;-1;-12210233.08
20231220;000000;72.25;73.15;71.96;72.19;14139990;11882344.54;-1;-11882344.54
20231221;000000;71.8;72.36;70.3;71.21;14493990;7035917.476;-1;-7035917.476
20231222;000000;71.22;72.14;70.58;70.97;16170340;10365602.56;-1;-10365602.56
20231225;000000;71.07;71.5;70.02;70.05;10057380;6795527.027;-1;-6795527.027
20231226;000000;70.04;70.79;69.26;70.38;13365850;8735849.673;1;8735849.673
20231227;000000;70.35;70.36;69.77;69.85;9838890;16676084.75;-1;-16676084.75
20231228;000000;69.85;70.21;69.1;69.5;9694910;8734153.153;-1;-8734153.153
20231229;000000;69.5;69.98;69.27;69.5;3840190;5408718.31;-1;-5408718.31
20240103;000000;69.51;71.3;69.28;71.2;8673690;4293905.941;1;4293905.941
20240104;000000;71;71.29;70.51;71.22;6153700;7889358.974;1;7889358.974
20240105;000000;71.38;71.71;70.82;71.47;5655840;6354876.404;1;6354876.404
20240108;000000;71.47;71.61;71.03;71.16;3772070;6503568.966;-1;-6503568.966
20240109;000000;71.14;72.09;70.43;71.98;11978330;7215861.446;1;7215861.446
20240110;000000;72.03;72.7;71.36;71.4;8356330;6236067.164;-1;-6236067.164
20240111;000000;71.58;71.95;71.25;71.79;6659760;9513942.857;1;9513942.857
20240112;000000;72.01;74.3;71.85;73.73;20482700;8360285.714;1;8360285.714
20240115;000000;74.02;76.2;74;75;33759710;15345322.73;1;15345322.73
20240116;000000;75.1;75.1;73.38;73.96;25620140;14895430.23;-1;-14895430.23
20240117;000000;73.9;74;72.9;73.38;10102930;9184481.818;-1;-9184481.818
20240118;000000;73.4;73.67;72.23;73.07;12793420;8884319.444;-1;-8884319.444
20240119;000000;73.09;73.5;72.57;72.79;8305250;8930376.344;-1;-8930376.344
20240122;000000;72.89;73.33;72.52;72.98;8188820;10109654.32;1;10109654.32
20240123;000000;73.11;73.45;71.59;71.76;12633830;6792381.72;-1;-6792381.72
20240124;000000;71.76;71.8;70.56;70.77;14731250;11880040.32;-1;-11880040.32
20240125;000000;70.71;72.15;70.41;71.2;16599260;9539804.598;1;9539804.598
20240126;000000;71.4;71.94;70.62;70.64;8024760;6079363.636;-1;-6079363.636
20240129;000000;70.63;71.2;70.01;70.64;10769880;9050319.328;1;9050319.328
20240130;000000;70.64;71.5;70.45;71.29;9934570;9461495.238;1;9461495.238
20240131;000000;71.45;71.75;71.01;71.47;8335690;11264445.95;1;11264445.95
20240201;000000;71.58;72.1;70.74;71.12;9626100;7078014.706;-1;-7078014.706
20240202;000000;71.21;71.24;70.56;70.72;7164060;10535382.35;-1;-10535382.35
20240205;000000;70.75;71.15;70.4;70.76;7813040;10417386.67;1;10417386.67
20240206;000000;70.82;71.29;70.8;71.12;7384620;15070653.06;1;15070653.06
20240207;000000;71.3;71.34;70.13;70.38;9937270;8212619.835;-1;-8212619.835
20240208;000000;70.48;70.59;69.2;69.26;14053240;10110244.6;-1;-10110244.6
20240209;000000;69.26;69.54;68.71;69.07;8130910;9796277.108;-1;-9796277.108
20240212;000000;69.1;69.5;67.75;67.96;11995490;6854565.714;-1;-6854565.714
20240213;000000;67.99;68.56;67.62;68.14;12979940;13808446.81;1;13808446.81
20240214;000000;68.29;69.04;67.9;68.27;10183750;8933114.035;-1;-8933114.035
20240215;000000;68.41;68.44;67.81;68.3;7130340;11318000;-1;-11318000
20240216;000000;68.4;68.99;68.04;68.75;9436520;9933178.947;1;9933178.947
20240219;000000;68.79;70.37;68.45;69.55;23341870;12157223.96;1;12157223.96
20240220;000000;69.62;71.04;69.44;69.81;30907710;19317318.75;1;19317318.75
20240221;000000;69.83;70.12;68.76;69.55;14684680;10797558.82;-1;-10797558.82
20240222;000000;69.81;70.9;69.01;70.59;16603270;8784798.942;1;8784798.942
20240226;000000;70.89;71.65;70.88;71.26;12342090;16028688.31;1;16028688.31
20240227;000000;71.32;72.93;71.17;72.81;21916290;12452437.5;1;12452437.5
20240228;000000;72.86;72.99;70.64;70.79;36752280;15639268.09;-1;-15639268.09
20240229;000000;70.76;71.54;70.5;71.32;11349410;10912894.23;1;10912894.23
20240301;000000;71.3;72.37;71.14;72.23;11926570;9696398.374;1;9696398.374
20240304;000000;72.67;73.73;71.93;73.56;19571880;10873266.67;1;10873266.67
20240305;000000;73.7;74.22;73;73.62;17552180;14387032.79;-1;-14387032.79
20240306;000000;73.62;74.71;73.48;74.44;14394160;11702569.11;1;11702569.11
20240307;000000;74.51;74.95;73.8;74.93;11504130;10003591.3;1;10003591.3
20240311;000000;75.05;75.32;74.27;75.31;17013520;16203352.38;1;16203352.38
20240312;000000;75.17;75.44;74.57;75.27;9080420;10437264.37;1;10437264.37
20240313;000000;75.28;75.62;74.64;74.7;12487800;12742653.06;-1;-12742653.06
20240314;000000;74.71;74.9;73.24;73.86;13660360;8229132.53;-1;-8229132.53
20240315;000000;73.86;74.45;73.55;74.35;8080180;8977977.778;1;8977977.778
20240318;000000;74.37;74.82;73.6;74.34;12148960;9958163.934;-1;-9958163.934
20240319;000000;74.35;75.03;73.7;74.99;19027370;14306293.23;1;14306293.23
20240320;000000;75.06;77.5;74.78;77.12;49450750;18180422.79;1;18180422.79
20240321;000000;77.14;77.38;75.56;76.65;32431520;17819516.48;-1;-17819516.48
20240322;000000;76.74;77.18;74.46;75.58;23994830;8821628.676;-1;-8821628.676
20240325;000000;75.59;76.5;74.72;76.41;14038370;7886724.719;1;7886724.719
20240326;000000;76.43;76.82;75.4;76.7;13597680;9575830.986;1;9575830.986
20240327;000000;76.71;78.74;76.15;78.39;24032010;9278768.34;1;9278768.34
20240328;000000;78.57;78.78;77.25;78.45;29053360;18989124.18;-1;-18989124.18
20240329;000000;78.65;79.33;77.8;78.72;16841440;11007477.12;1;11007477.12
20240401;000000;78.78;79.42;77.83;78.61;14639450;9207201.258;-1;-9207201.258
20240402;000000;78.81;79.89;78.03;79.65;18991690;10210586.02;1;10210586.02
20240403;000000;79.64;79.97;78.34;78.66;15039940;9226957.055;-1;-9226957.055
20240404;000000;78.66;78.99;78.12;78.26;9670360;11115356.32;-1;-11115356.32
20240405;000000;78.15;78.48;77.3;77.54;9891840;8382915.254;-1;-8382915.254
20240408;000000;77.71;78.46;77.5;77.99;16693260;17388812.5;1;17388812.5
20240409;000000;78.09;78.29;76.24;76.51;16873400;8230926.829;-1;-8230926.829
20240410;000000;76.4;77.36;75.93;76.96;10009940;6999958.042;1;6999958.042
20240411;000000;77.11;77.11;76.27;76.75;6669950;7940416.667;-1;-7940416.667
20240412;000000;76.85;77.44;76.52;76.9;13409770;14575836.96;1;14575836.96
20240415;000000;76.87;77.2;76.57;76.75;7681530;12192904.76;-1;-12192904.76
20240416;000000;76.7;77.1;75.68;76.39;25068680;17654000;-1;-17654000
20240417;000000;76.4;76.74;75.83;75.87;7681630;8441351.648;-1;-8441351.648
20240418;000000;75.93;76.21;75.2;75.5;8323490;8241079.208;-1;-8241079.208
