<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241015;095950;54.85;560;11297662309;B
20241015;095950;54.85;600;11297662310;B
20241015;095950;54.85;20;11297662311;B
20241015;095950;54.85;10;11297662312;B
20241015;095950;54.85;10;11297662313;B
20241015;095950;54.85;10;11297662314;B
20241015;095950;54.85;40;11297662315;B
20241015;095950;54.85;40;11297662316;B
20241015;095950;54.85;10;11297662317;S
20241015;095950;54.85;2720;11297662318;B
20241015;095950;54.85;10;11297662319;S
20241015;095950;54.85;10;11297662320;S
20241015;095950;54.85;30;11297662321;S
20241015;095950;54.85;10;11297662322;S
20241015;095950;54.85;20;11297662323;S
20241015;095950;54.85;200;11297662324;S
20241015;095950;54.85;10;11297662325;S
20241015;095950;54.85;10;11297662326;S
20241015;095950;54.85;20;11297662327;S
20241015;095950;54.85;20;11297662328;S
20241015;095950;54.85;180;11297662329;S
20241015;095950;54.85;20;11297662330;S
20241015;095950;54.85;20;11297662331;S
20241015;095950;54.85;10;11297662332;S
20241015;095950;54.85;50;11297662333;S
20241015;095950;54.85;20;11297662334;S
20241015;095950;54.85;10;11297662335;S
20241015;095950;54.85;10;11297662336;S
20241015;095950;54.85;10;11297662337;S
20241015;095950;54.85;10;11297662338;S
20241015;095950;54.85;10;11297662339;S
20241015;095950;54.85;10;11297662340;S
20241015;095950;54.85;120;11297662341;S
20241015;095950;54.85;10;11297662342;S
20241015;095950;54.85;20;11297662343;B
20241015;095950;54.85;10;11297662344;B
20241015;095950;54.85;50;11297662345;B
20241015;095950;54.85;90;11297662346;B
20241015;095950;54.85;10;11297662347;B
20241015;095950;54.85;20;11297662348;B
20241015;095950;54.85;10;11297662349;B
20241015;095950;54.85;10;11297662350;S
20241015;095950;54.85;100;11297662351;S
20241015;095950;54.85;3600;11297662352;B
20241015;095950;54.85;10;11297662353;S
20241015;095950;54.85;10;11297662354;B
20241015;095950;54.85;3000;11297662355;B
20241015;095950;54.85;3000;11297662356;B
20241015;095950;54.85;210;11297662357;B
20241015;095950;54.85;10;11297662358;B
20241015;095950;54.85;50;11297662359;B
20241015;095950;54.85;100;11297662360;B
20241015;095950;54.85;130;11297662361;S
20241015;095950;54.85;30;11297662362;S
20241015;095950;54.85;13200;11297662363;S
20241015;095950;54.85;10;11297662364;S
20241015;095950;54.85;50;11297662365;S
20241015;095950;54.85;500;11297662366;S
20241015;095950;54.85;10;11297662367;S
20241015;095950;54.85;500;11297662368;S
20241015;095950;54.85;50;11297662369;S
20241015;095950;54.85;10;11297662370;S
20241015;095950;54.85;10;11297662371;S
20241015;095950;54.85;2450;11297662372;S
20241015;095950;54.85;100;11297662373;B
20241015;095950;54.85;80;11297662374;B
20241015;095950;54.85;250;11297662375;S
20241015;095950;54.85;10000;11297662376;S
20241015;095950;54.85;10000;11297662377;S
20241015;095950;54.85;3000;11297662378;S
20241015;095950;54.85;15000;11297662379;S
20241015;095950;54.85;10;11297662380;S
20241015;095950;54.85;10;11297662381;S
20241015;095950;54.85;200;11297662382;S
