<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR
20231120;000000;245.56;247.77;244;244.9;593090;3.77
20231121;000000;244.9;244.99;241.2;243.96;816640;3.79
20231122;000000;243.61;249.8;242.95;246.64;1511680;6.85
20231123;000000;247;248.1;241.83;242.92;822410;6.27
20231124;000000;244.98;249;241.5;242;2151760;7.5
20231127;000000;241.43;242.92;227.5;231.23;3833560;15.42
20231128;000000;231.76;238.25;227.27;233.16;1994620;10.98
20231129;000000;233.05;234.22;229;230;718300;5.22
20231130;000000;230.2;230.48;221.02;223.11;1789120;9.46
20231201;000000;222.25;223;211.11;211.59;2321130;11.89
20231204;000000;210.94;211;195.36;200.3;4844420;15.64
20231205;000000;201.49;222.72;200.5;222.2;7172180;22.22
20231206;000000;222.42;227.67;209;212.33;7562670;18.67
20231207;000000;212.03;218.6;202.16;210.99;4622500;16.44
20231208;000000;211.29;218.1;211.01;212.29;1739400;7.09
20231211;000000;212.31;213.51;201.5;202.9;2007460;12.01
20231212;000000;203.34;209.78;200.01;202.38;2587690;9.77
20231213;000000;202.4;206.99;200.31;203.35;1333520;6.68
20231214;000000;204.09;205.77;196.1;196.63;2116220;9.67
20231215;000000;196.66;213;194.28;207.5;4912880;18.72
20231218;000000;208.71;222.01;208.29;221.3;4253060;13.72
20231219;000000;221.34;221.34;212.73;216.91;2338180;8.61
20231220;000000;218.1;221.3;215.6;219.37;1515400;5.7
20231221;000000;218.88;221.4;214.4;219.9;1660900;7
20231222;000000;219.9;227.8;219.69;225.25;2832020;8.11
20231225;000000;227.32;228.88;223.34;225.56;1517930;5.54
20231226;000000;226.25;226.76;219.65;220.17;1410610;7.11
20231227;000000;220.19;222.7;215.2;216.3;1802980;7.5
20231228;000000;216.77;216.95;211.78;214.49;1549690;5.17
20231229;000000;214.88;217.93;214.02;214.24;1177280;3.91
20240103;000000;215.38;223;213;223;1160380;10
20240104;000000;223.36;224;219.5;220.72;1129800;4.5
20240105;000000;221.4;224.4;220;222.96;962320;4.4
20240108;000000;223.73;258.88;223.05;258.76;21567080;35.83
20240109;000000;260.01;264;250.1;251.87;9414430;13.9
20240110;000000;251.09;251.85;245.44;246.87;3138640;6.41
20240111;000000;246;263.77;245.97;258.4;13579280;17.8
20240112;000000;259.67;268.53;259.3;264.71;6298400;9.23
20240115;000000;266.25;277.8;266.2;274.86;9110360;11.6
20240116;000000;275.53;279;270.73;272.1;4553420;8.27
20240117;000000;271.4;276.49;268.51;274.59;2632620;7.98
20240118;000000;274.61;278.5;269.4;272.3;2342450;9.1
20240119;000000;272.42;276.55;271.17;273.96;1690990;5.38
20240122;000000;274.47;282.78;274.02;281.22;5894980;8.76
20240123;000000;282.24;282.92;276.21;278.96;2534710;6.71
20240124;000000;279.01;281.4;275.49;277.63;1838300;5.91
20240125;000000;277.7;280.4;273;278.66;2598340;7.4
20240126;000000;278.7;279.44;276.1;276.7;794720;3.34
20240129;000000;276.99;281.77;275;280;2057550;6.77
20240130;000000;279.62;281.61;278.6;281.48;1105220;3.01
20240131;000000;282.69;290;282.69;286.55;4413200;7.31
20240201;000000;287.25;288;283;284.99;1578790;5
20240202;000000;285.28;287.8;284.63;285.69;915890;3.17
20240205;000000;287.1;298.78;285.82;298;4707070;12.96
20240206;000000;297.91;300.5;294.19;296.35;3144740;6.31
20240207;000000;296.35;298;291.01;293.76;2281440;6.99
20240208;000000;293.97;293.97;283.2;285.15;2656090;10.77
20240209;000000;285.99;291;282.51;284.77;1848930;8.49
20240212;000000;284.88;288.54;279.6;287.14;1820190;8.94
20240213;000000;288;291.74;286.79;291.19;1399050;4.95
20240214;000000;292;293;288;289.44;972480;5
20240215;000000;289.44;291.58;288.15;290.81;760240;3.43
20240216;000000;291.85;291.97;286.52;287.92;1263910;5.45
20240219;000000;287.8;292.88;286.63;290.7;1667760;6.25
20240220;000000;291.34;291.64;276.27;283.14;2213060;15.37
20240221;000000;282.85;286.95;277.24;280.8;1465800;9.71
20240222;000000;281.66;281.7;277.81;280.95;621450;3.89
20240226;000000;284;291.24;281.19;289.65;1687250;10.05
20240227;000000;290.82;290.83;286.12;287.8;631230;4.71
20240228;000000;287.8;299.5;284.23;296.98;4712550;15.27
20240229;000000;296.28;304.64;294;298.81;7680260;10.64
20240301;000000;299.97;303.29;297.3;298.66;2178540;5.99
20240304;000000;300.42;301.81;294.21;297.38;2439960;7.6
20240305;000000;298.9;298.99;295.31;295.77;831070;3.68
20240306;000000;295.51;297.67;291.3;292.19;2260670;6.37
20240307;000000;291.81;295.17;288.01;291.15;1480830;7.16
20240311;000000;292.62;296.01;292.08;295.34;1611840;3.93
20240312;000000;295.37;297;293.3;296.06;1127770;3.7
20240313;000000;296.91;296.97;293.02;293.02;573890;3.95
20240314;000000;293.3;294.38;285.5;289.16;1449540;8.88
20240315;000000;289.16;293.99;288.02;292.29;826200;5.97
20240318;000000;293;296.54;290.9;295.61;879180;5.64
20240319;000000;295.11;296.8;293.03;294.59;833910;3.77
20240320;000000;297.43;302.54;296.4;299.58;3352930;6.14
20240321;000000;318.01;319.78;305.11;308.92;7394950;14.67
20240322;000000;309.25;310.5;300.5;304;2335320;10
20240325;000000;305.99;309.98;304.02;307.6;1183290;5.96
20240326;000000;308.01;308.74;304.8;307.02;735410;3.94
20240327;000000;307.79;309.95;306;309.59;1114050;3.95
20240328;000000;309.92;310.9;307.01;308.62;803400;3.89
