<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20240409;095951;1843;2;10077837583;S
20240409;095951;1843;4;10077837584;S
20240409;095951;1843;1;10077837585;S
20240409;095951;1843;4;10077837586;S
20240409;095951;1843;1;10077837587;S
20240409;095951;1843;120;10077837588;S
20240409;095951;1843;1;10077837589;B
20240409;095951;1843;1;10077837590;B
20240409;095951;1843;40;10077837591;B
20240409;095951;1843;1;10077837592;B
20240409;095951;1843;10;10077837593;S
20240409;095951;1843;21;10077837594;S
20240409;095951;1843;2;10077837595;S
20240409;095951;1843;1;10077837596;S
20240409;095951;1843;4;10077837597;S
20240409;095951;1843;1;10077837598;S
20240409;095951;1843;1;10077837599;S
20240409;095951;1843;16;10077837600;S
20240409;095951;1843;3;10077837601;S
20240409;095951;1843;10;10077837602;S
20240409;095951;1843;20;10077837603;S
20240409;095951;1843;2;10077837604;B
20240409;095951;1843;3;10077837605;S
20240409;095951;1843;3;10077837606;S
20240409;095951;1843;35;10077837607;B
20240409;095951;1843;1;10077837608;B
20240409;095951;1843;29;10077837609;B
20240409;095951;1843;10;10077837610;B
20240409;095951;1843;50;10077837611;B
20240409;095951;1843;2;10077837612;B
20240409;095951;1843;1;10077837613;B
20240409;095951;1843;8;10077837614;B
20240409;095951;1843;1;10077837615;B
20240409;095951;1843;12;10077837616;B
20240409;095951;1843;29;10077837617;B
20240409;095951;1843;1;10077837618;B
20240409;095951;1843;10;10077837619;B
20240409;095951;1843;3;10077837620;B
20240409;095951;1843;7;10077837621;B
20240409;095951;1843;1;10077837622;B
20240409;095951;1843;2;10077837623;B
20240409;095951;1843;1;10077837624;B
20240409;095951;1843;3;10077837625;B
20240409;095951;1843;2;10077837626;B
20240409;095951;1843;60;10077837627;B
20240409;095951;1843;3;10077837628;B
20240409;095951;1843;5;10077837629;B
20240409;095951;1843;4;10077837630;B
20240409;095951;1843;16;10077837631;B
20240409;095951;1843;4;10077837632;B
20240409;095951;1843;2;10077837633;B
20240409;095951;1843;1;10077837634;B
20240409;095951;1843;1;10077837635;B
20240409;095951;1843;1;10077837636;B
20240409;095951;1843;1;10077837637;B
20240409;095951;1843;2;10077837638;B
20240409;095951;1843;5;10077837639;B
20240409;095951;1843;2;10077837640;B
20240409;095951;1843;43;10077837641;B
