<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR;IATR;0.2815;0.2102;0.1782;0.1598;0.1704
20231127;000000;0.11846;0.1188;0.11344;0.11464;4706430000;0.00536;0.002417564;;;;;
20231128;000000;0.11462;0.11844;0.1141;0.11802;3841400000;0.00434;0.003239104;;;;;
20231129;000000;0.11802;0.1196;0.11556;0.11754;2305100000;0.00404;0.003589814;;;;;
20231130;000000;0.11796;0.12138;0.1145;0.11906;3602990000;0.00688;0.003968832;;;;;
20231201;000000;0.11906;0.1218;0.11822;0.11912;3043140000;0.00358;0.004804356;;;;;
20231204;000000;0.119;0.1214;0.1149;0.11502;3258490000;0.0065;0.00478075;;;;;
20231205;000000;0.11514;0.11664;0.11166;0.11384;4433260000;0.00498;0.00519341;;;;;
20231206;000000;0.11422;0.11476;0.111;0.111;2465930000;0.00376;0.005193966;;;;;
20231207;000000;0.11104;0.1131;0.10836;0.11122;3272730000;0.00474;0.005007972;;;;;
20231208;000000;0.11134;0.1133;0.1106;0.11136;1772960000;0.0027;0.00466083;;;;;
20231211;000000;0.11138;0.11236;0.10872;0.109;2362790000;0.00364;0.004329834;;;;;
20231212;000000;0.109;0.1096;0.106;0.10638;3461980000;0.0036;0.003886308;;;;;
20231213;000000;0.1064;0.10748;0.10486;0.10668;3318910000;0.00262;0.003657824;;;;;
20231214;000000;0.10684;0.1078;0.1042;0.10444;3104580000;0.0036;0.003382054;;;;;
20231215;000000;0.1045;0.10768;0.10368;0.10728;3126990000;0.004;0.003247396;;;;;
20231218;000000;0.10742;0.11;0.1073;0.10976;2984890000;0.0027;0.00354514;;;;;
20231219;000000;0.10992;0.11164;0.10882;0.11088;2108400000;0.00282;0.003274486;;;;;
20231220;000000;0.1108;0.11128;0.1092;0.10964;2005260000;0.00208;0.003095898;;;;;
20231221;000000;0.10958;0.11242;0.10856;0.11064;4451550000;0.00386;0.002912064;;;;;
20231222;000000;0.11064;0.11286;0.10962;0.1102;2570020000;0.00324;0.00313939;;;;;
20231225;000000;0.1106;0.11122;0.10822;0.10826;2666040000;0.003;0.003004804;;;;;
20231226;000000;0.10832;0.10852;0.10638;0.10694;2776080000;0.00214;0.003026312;;;;;
20231227;000000;0.10684;0.11036;0.10674;0.1098;5056710000;0.00362;0.002781638;;;;;
20231228;000000;0.10998;0.10998;0.10836;0.10888;2292240000;0.00162;0.003178954;;;;;
20231229;000000;0.10884;0.11022;0.1084;0.10868;2086300000;0.00182;0.002629798;;;;;
20240103;000000;0.10964;0.11198;0.10918;0.1117;2056380000;0.0028;0.00235111;;;;;
20240104;000000;0.11154;0.11426;0.11056;0.11364;2486980000;0.0037;0.00240258;;;;;
20240105;000000;0.1137;0.11398;0.11174;0.11332;1256290000;0.00224;0.002830158;;;;;
20240108;000000;0.11424;0.11584;0.1136;0.11536;2281210000;0.00224;0.002474144;;;;;
20240109;000000;0.11536;0.11722;0.115;0.11702;1617470000;0.00222;0.002518316;;;;;
20240110;000000;0.11672;0.11828;0.11656;0.11722;2011320000;0.00172;0.002563326;;;;;
