<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241113;095949;0.07806;10000;11415562743;B
20241113;095949;0.07806;10000;11415562744;B
20241113;095949;0.07806;10000;11415562745;S
20241113;095949;0.07806;10000;11415562746;S
20241113;095949;0.07806;10000;11415562747;S
20241113;095949;0.07806;30000;11415562748;S
20241113;095949;0.07806;350000;11415562749;S
20241113;095949;0.07806;10000;11415562750;B
20241113;095949;0.07806;250000;11415562751;B
20241113;095949;0.07806;310000;11415562752;B
20241113;095949;0.07806;690000;11415562753;B
20241113;100000;0.07806;160000;11415567240;B
20241113;100000;0.07808;30000;11415567258;B
20241113;100000;0.0781;40000;11415567271;B
20241113;100000;0.0781;150000;11415567272;B
20241113;100000;0.07812;50000;11415567281;B
20241113;100000;0.07814;130000;11415567301;B
20241113;100000;0.07814;270000;11415567302;B
20241113;100000;0.07814;10000;11415567311;B
20241113;100000;0.07814;60000;11415567312;B
20241113;100000;0.07816;70000;11415567318;B
20241113;100000;0.07818;130000;11415567346;B
20241113;100000;0.07818;80000;11415567347;B
20241113;100001;0.07808;150000;11415567967;S
20241113;100002;0.07812;150000;11415568526;S
20241113;100006;0.07812;140000;11415573335;S
20241113;100013;0.07816;60000;11415578569;B
20241113;100013;0.07816;90000;11415578617;B
20241113;100013;0.07816;410000;11415578665;B
20241113;100013;0.07818;90000;11415578666;B
20241113;100013;0.07818;40000;11415578685;B
20241113;100015;0.07818;30000;11415579319;B
20241113;100018;0.07818;10000;11415580104;B
20241113;100018;0.07818;190000;11415580133;B
20241113;100019;0.07818;10000;11415580313;B
20241113;100021;0.07818;20000;11415581072;B
20241113;100022;0.07816;10000;11415581115;B
20241113;100022;0.0782;10000;11415581306;B
20241113;100023;0.0782;30000;11415581645;B
20241113;100024;0.07816;10000;11415581887;B
20241113;100024;0.0782;10000;11415581952;B
20241113;100024;0.07818;600000;11415581977;B
20241113;100024;0.07818;20000;11415582015;B
20241113;100028;0.07818;30000;11415582899;B
20241113;100031;0.07816;390000;11415583799;B
20241113;100039;0.07818;50000;11415585429;S
20241113;100039;0.07818;50000;11415585464;S
20241113;100040;0.07818;340000;11415585657;S
20241113;100040;0.07818;600000;11415585715;B
20241113;100045;0.07812;10000;11415586832;S
20241113;100045;0.0782;70000;11415586838;B
20241113;100045;0.0782;70000;11415586839;B
20241113;100045;0.0782;90000;11415586886;B
20241113;100045;0.07812;10000;11415586902;S
20241113;100045;0.0781;10000;11415586908;S
20241113;100045;0.0781;10000;11415586909;S
20241113;100046;0.0781;10000;11415586930;S
20241113;100046;0.0781;10000;11415586932;S
20241113;100046;0.0781;10000;11415586933;S
20241113;100046;0.0781;30000;11415586950;S
20241113;100046;0.0781;30000;11415587121;S
20241113;100046;0.0781;10000;11415587123;S
20241113;100046;0.0781;10000;11415587152;S
20241113;100046;0.0781;10000;11415587159;S
20241113;100046;0.0781;10000;11415587180;S
20241113;100046;0.0781;10000;11415587181;S
20241113;100047;0.0781;50000;11415587227;S
20241113;100047;0.0781;10000;11415587230;S
20241113;100047;0.0781;10000;11415587239;S
20241113;100047;0.0782;310000;11415587428;B
20241113;100047;0.07812;20000;11415587463;S
20241113;100047;0.0782;10000;11415587487;B
20241113;100047;0.0782;50000;11415587572;B
20241113;100047;0.0782;210000;11415587612;B
20241113;100047;0.07812;10000;11415587663;S
20241113;100047;0.07812;10000;11415587665;S
20241113;100047;0.07812;30000;11415587671;S
20241113;100048;0.07812;10000;11415587736;S
20241113;100048;0.07812;10000;11415587742;S
