<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR
20231120;000000;165.24;166.64;164.64;165.51;12629890;2
20231121;000000;165.39;165.68;164.5;165.15;11402940;1.18
20231122;000000;165.34;166.2;164.82;165.37;11524190;1.38
20231123;000000;165.37;165.69;164.02;164.11;10765740;1.67
20231124;000000;164.26;165.19;164.1;164.71;13563230;1.09
20231127;000000;165.1;165.37;162.01;162.79;23665130;3.36
20231128;000000;162.82;164.83;161.55;164.21;16806780;3.28
20231129;000000;164;165.63;162.71;163.17;17297850;2.92
20231130;000000;163.17;164.62;162.12;163.23;12305730;2.5
20231201;000000;163.22;164.22;162.56;162.61;10923950;1.66
20231204;000000;162.47;162.48;159.81;160.01;21906450;2.67
20231205;000000;160.3;161.44;159.1;160.46;15001770;2.34
20231206;000000;160.73;161.41;158.5;158.74;15501300;2.91
20231207;000000;158.87;164.77;157.26;163.38;48519210;7.51
20231208;000000;163.89;164.17;160.5;161.5;20172760;3.67
20231211;000000;161.45;167.14;160.19;164.87;53013420;6.95
20231212;000000;164.87;165.54;161.82;162.46;25358320;3.72
20231213;000000;161.97;164.5;161.82;163.92;13358800;2.68
20231214;000000;164.12;164.76;160.81;160.89;16968840;3.95
20231215;000000;161.13;164.42;161.02;164.2;23888840;3.4
20231218;000000;165;167.32;164.99;167;33032970;2.33
20231219;000000;167.1;168.89;165.12;165.48;38389440;3.77
20231220;000000;165.33;165.33;163.12;163.56;27570870;2.21
20231221;000000;163.3;163.71;161.19;161.57;26442660;2.52
20231222;000000;161.92;163.2;161.62;162.09;15391770;1.58
20231225;000000;162.49;162.77;160.4;161.09;22372720;2.37
20231226;000000;161.33;161.8;160.77;161;18570500;1.03
20231227;000000;161.2;161.4;159.81;159.86;23711980;1.59
20231228;000000;159.95;160.38;158.22;159.14;24851430;2.16
20231229;000000;159.49;160.79;159.14;159.52;19239480;1.65
20240103;000000;159.73;161.58;159.73;161.44;8080170;1.85
20240104;000000;161.51;161.64;161;161.25;4859980;0.64
20240105;000000;161.22;162.3;161.07;161.94;8773230;1.23
20240108;000000;162.43;163.2;162;163.05;11120640;1.2
20240109;000000;163.01;163.06;161.77;162.41;9592690;1.29
20240110;000000;162.41;163.7;162;162.87;10743240;1.7
20240111;000000;162.92;162.93;161.93;162.5;13085980;1
20240112;000000;162.55;163.98;162.2;163.37;14743890;1.78
20240115;000000;163.8;164.4;163.26;163.34;11051540;1.14
20240116;000000;163.28;164.18;162.37;163.22;12180560;1.81
20240117;000000;163.38;164.2;163;164.04;8623410;1.2
20240118;000000;164.13;167.55;164.12;166.52;39378520;3.43
20240119;000000;166.55;167.62;165.2;165.9;23518580;2.42
20240122;000000;165.98;167;165.26;166.06;12995310;1.74
20240123;000000;166.38;168.96;165.6;168.31;29332620;3.36
20240124;000000;168.36;168.63;166.2;166.36;18314770;2.43
20240125;000000;166.37;166.94;165.36;165.42;16162970;1.58
20240126;000000;165.66;165.95;163.65;163.99;20980140;2.3
20240129;000000;164.06;164.49;162.85;163.5;17070970;1.64
20240130;000000;163.39;163.79;162.71;163.22;17815100;1.08
20240131;000000;163.41;166.48;162.9;166.33;39738490;3.58
20240201;000000;166.71;166.75;164.8;165.25;20836140;1.95
20240202;000000;165.16;167.85;164.4;164.4;32725330;3.45
20240205;000000;164.45;165.22;163.55;164.87;17938190;1.67
20240206;000000;164.87;165.12;164.04;164.56;13168200;1.08
20240207;000000;164.57;165.59;164.34;164.62;16372630;1.25
20240208;000000;164.62;164.96;163.1;163.21;17718920;1.86
20240209;000000;163.47;163.97;163.2;163.23;12313700;0.77
20240212;000000;163.33;163.5;162.21;162.49;17879140;1.29
20240213;000000;162.62;163.9;162;162.29;15061640;1.9
20240214;000000;162.38;162.88;161.07;161.92;22008050;1.81
20240215;000000;162.09;162.61;161.31;161.59;16625530;1.3
20240216;000000;161.98;162;161.1;161.19;17123190;0.9
20240219;000000;161.41;162.2;160.84;161.24;13001080;1.36
20240220;000000;161.23;161.64;159.16;159.5;21831180;2.48
20240221;000000;159.65;160.23;158.3;158.64;22478950;1.93
20240222;000000;158.99;159.1;158;158.12;17651550;1.1
20240226;000000;158.94;160.56;158.85;160.09;16569370;1.71
20240227;000000;160.14;160.14;158.81;159.04;12055350;1.33
20240228;000000;159.19;162.27;159.05;160.65;33707380;3.22
20240229;000000;160.68;162.3;160;161.82;18111950;2.3
20240301;000000;161.81;163.1;161.18;161.34;18285650;1.92
20240304;000000;161.49;162;160.86;161.24;16530800;1.14
20240305;000000;161.23;161.8;160.23;160.98;14116140;1.57
20240306;000000;160.99;162;160.5;161.65;13596360;1.5
20240307;000000;161.65;162.3;160.75;160.91;14196940;1.55
20240311;000000;161.04;161.28;160.51;160.56;15883610;0.77
20240312;000000;160.62;163.31;160.56;162.99;26510020;2.75
20240313;000000;163.13;163.22;161.1;161.77;19180710;2.12
