<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;;;;;;;;0.277259093;0.207544245;0.181642636;0.166905423;0.166648602
20231211;000000;161.45;167.14;160.19;164.87;53013420;1;6.95;7627830.216;;;;;;;;;
20231212;000000;164.87;165.54;161.82;162.46;25358320;-1;3.72;6816752.688;;;;;;;;;
20231213;000000;161.97;164.5;161.82;163.92;13358800;1;2.68;4984626.866;;;;;;;;;
20231214;000000;164.12;164.76;160.81;160.89;16968840;-1;3.95;4295908.861;;;;;;;;;
20231215;000000;161.13;164.42;161.02;164.2;23888840;1;3.4;7026129.412;;;;0;;;;;
20231218;000000;165;167.32;164.99;167;33032970;1;2.33;14177240.34;2095302.122;1;2;2;;;;;
20231219;000000;167.1;168.89;165.12;165.48;38389440;-1;3.77;10182875.33;4304640.271;-1;-1.62;0.38;;;;;
20231220;000000;165.33;165.33;163.12;163.56;27570870;-1;2.21;12475506.79;1509025.146;-1;-1.77;-1.39;;;;;
20231221;000000;163.3;163.71;161.19;161.57;26442660;-1;2.52;10493119.05;-2540361.664;1;1.73;0.34;;;;;
20231222;000000;161.92;163.2;161.62;162.09;15391770;1;1.58;9741626.582;-3811023.695;-1;-0.17;0.17;;;;;
20231225;000000;162.49;162.77;160.4;161.09;22372720;-1;2.37;9439966.245;-1079875.7;1;1.4;1.57;;;;;
20231226;000000;161.33;161.8;160.77;161;18570500;-1;1.03;18029611.65;-6280687.43;1;0.33;1.9;;;;;
20231227;000000;161.2;161.4;159.81;159.86;23711980;-1;1.59;14913194.97;-9018973.95;1;1.34;3.24;;;;;
20231228;000000;159.95;160.38;158.22;159.14;24851430;-1;2.16;11505291.67;-9714194.725;1;0.81;4.05;;;;;
20231229;000000;159.49;160.79;159.14;159.52;19239480;1;1.65;11660290.91;-9512193.838;-1;-0.03;4.02;;;;;
20240103;000000;159.73;161.58;159.73;161.44;8080170;1;1.85;4367659.459;-6446204.579;-1;-1.71;2.31;;;;;
20240104;000000;161.51;161.64;161;161.25;4859980;-1;0.64;7593718.75;-3952554.622;1;0.26;2.57;;;;;
20240105;000000;161.22;162.3;161.07;161.94;8773230;1;1.23;7132707.317;-3486497.67;-1;-0.72;1.85;;;;;
20240108;000000;162.43;163.2;162;163.05;11120640;1;1.2;9267200;1223753.537;1;0.62;2.47;;;;;
20240109;000000;163.01;163.06;161.77;162.41;9592690;-1;1.29;7436193.798;5342581.958;-1;-0.6;1.87;;;;;
