<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241211;095959;114.6;20;11660463268;S
20241211;095959;114.6;10;11660463269;S
20241211;095959;114.6;40;11660463270;B
20241211;095959;114.6;10;11660463271;B
20241211;095959;114.6;10;11660463272;B
20241211;095959;114.6;10;11660463273;B
20241211;095959;114.6;220;11660463274;B
20241211;095959;114.6;10;11660463275;B
20241211;095959;114.6;20;11660463276;B
20241211;095959;114.6;10;11660463277;B
20241211;095959;114.6;10;11660463278;S
20241211;095959;114.6;20;11660463279;B
20241211;095959;114.6;40;11660463280;B
20241211;095959;114.6;180;11660463281;B
20241211;095959;114.6;500;11660463282;S
20241211;095959;114.6;420;11660463283;S
20241211;095959;114.6;40;11660463284;S
20241211;095959;114.6;10;11660463285;S
20241211;095959;114.6;10;11660463286;S
20241211;095959;114.6;50;11660463287;S
20241211;095959;114.6;200;11660463288;B
20241211;095959;114.6;550;11660463289;B
20241211;095959;114.6;10;11660463290;B
20241211;095959;114.6;310;11660463291;S
20241211;095959;114.6;250;11660463292;S
20241211;095959;114.6;40;11660463293;S
20241211;095959;114.6;1900;11660463294;S
20241211;095959;114.6;10;11660463295;S
20241211;095959;114.6;30;11660463296;S
20241211;095959;114.6;10;11660463297;S
20241211;095959;114.6;100;11660463298;S
20241211;095959;114.6;70;11660463299;S
20241211;095959;114.6;400;11660463300;S
20241211;095959;114.6;80;11660463301;S
20241211;095959;114.6;90;11660463302;S
20241211;095959;114.6;20;11660463303;S
20241211;095959;114.6;20;11660463304;S
20241211;095959;114.6;210;11660463305;B
20241211;095959;114.6;100;11660463306;S
20241211;095959;114.6;300;11660463307;S
20241211;095959;114.6;160;11660463308;S
20241211;095959;114.6;40;11660463309;S
20241211;095959;114.6;90;11660463310;S
20241211;095959;114.6;10;11660463311;S
20241211;095959;114.6;250;11660463312;S
20241211;095959;114.6;10;11660463313;S
20241211;095959;114.6;20;11660463314;S
20241211;095959;114.6;20;11660463315;S
20241211;095959;114.6;30;11660463316;S
20241211;095959;114.6;60;11660463317;B
20241211;095959;114.6;940;11660463318;B
20241211;095959;114.6;1350;11660463319;S
20241211;095959;114.6;710;11660463320;S
20241211;095959;114.6;10;11660463321;S
20241211;095959;114.6;10;11660463322;S
20241211;095959;114.6;10;11660463323;S
20241211;095959;114.6;10;11660463324;S
20241211;095959;114.6;10;11660463325;S
20241211;095959;114.6;10;11660463326;S
20241211;095959;114.6;500;11660463327;S
20241211;095959;114.6;10;11660463328;S
20241211;095959;114.6;200;11660463329;S
20241211;095959;114.6;10;11660463330;S
20241211;095959;114.6;10;11660463331;S
20241211;095959;114.6;20;11660463332;S
20241211;095959;114.6;10;11660463333;S
20241211;095959;114.6;10;11660463334;S
20241211;095959;114.6;20;11660463335;S
20241211;095959;114.6;30;11660463336;S
20241211;095959;114.6;50;11660463337;S
20241211;095959;114.6;1150;11660463338;S
20241211;095959;114.6;10;11660463339;S
20241211;095959;114.6;20;11660463340;S
20241211;095959;114.6;10;11660463341;S
20241211;095959;114.6;10;11660463342;S
20241211;095959;114.6;10;11660463343;S
20241211;095959;114.6;10;11660463344;S
20241211;095959;114.6;300;11660463345;S
20241211;095959;114.6;20;11660463346;S
20241211;095959;114.6;10;11660463347;S
20241211;095959;114.6;20;11660463348;S
20241211;095959;114.6;170;11660463349;S
20241211;095959;114.6;440;11660463350;S
20241211;095959;114.6;10;11660463351;S
20241211;095959;114.6;30;11660463352;S
20241211;095959;114.6;330;11660463353;S
20241211;095959;114.6;10;11660463354;S
20241211;095959;114.6;300;11660463355;S
20241211;095959;114.6;50;11660463356;S
20241211;095959;114.6;10;11660463357;S
20241211;095959;114.6;20;11660463358;S
20241211;095959;114.6;20;11660463359;S
20241211;095959;114.6;30;11660463360;S
20241211;095959;114.6;1000;11660463361;S
20241211;095959;114.6;110;11660463362;S
20241211;095959;114.6;10;11660463363;S
20241211;095959;114.6;10;11660463364;S
20241211;095959;114.6;60;11660463365;S
20241211;095959;114.6;70;11660463366;S
20241211;095959;114.6;10;11660463367;S
20241211;095959;114.6;10;11660463368;S
20241211;095959;114.6;1000;11660463369;S
20241211;095959;114.6;40;11660463370;S
20241211;095959;114.6;10;11660463371;S
20241211;095959;114.6;10;11660463372;S
20241211;095959;114.6;10;11660463373;S
20241211;095959;114.6;60;11660463374;S
20241211;095959;114.6;90;11660463375;S
20241211;095959;114.6;50;11660463376;S
20241211;095959;114.6;10;11660463377;S
20241211;095959;114.6;10;11660463378;B
20241211;095959;114.6;10;11660463379;B
20241211;095959;114.6;420;11660463380;B
20241211;095959;114.6;16000;11660463381;B
20241211;095959;114.6;3100;11660463382;S
20241211;095959;114.6;120;11660463383;S
20241211;095959;114.6;80;11660463384;S
20241211;095959;114.6;10;11660463385;S
20241211;095959;114.6;20;11660463386;S
20241211;095959;114.6;20;11660463387;S
20241211;095959;114.6;90;11660463388;S
20241211;095959;114.6;210;11660463389;S
20241211;095959;114.6;60;11660463390;S
20241211;095959;114.6;50;11660463391;S
20241211;095959;114.6;20;11660463392;S
20241211;095959;114.6;10;11660463393;S
20241211;095959;114.6;10;11660463394;S
20241211;095959;114.6;10;11660463395;B
20241211;095959;114.6;1000;11660463396;S
20241211;095959;114.6;140;11660463397;S
20241211;095959;114.6;10;11660463398;S
20241211;095959;114.6;10;11660463399;S
20241211;095959;114.6;90;11660463400;S
20241211;095959;114.6;10;11660463401;S
20241211;095959;114.6;2000;11660463402;S
20241211;095959;114.6;10;11660463403;S
20241211;095959;114.6;40;11660463404;S
20241211;095959;114.6;10;11660463405;S
20241211;095959;114.6;80;11660463406;B
20241211;095959;114.6;10;11660463407;B
20241211;100000;114.6;13070;11660463425;B
20241211;100000;114.6;700;11660463432;B
20241211;100000;114.6;500;11660463450;B
20241211;100000;114.6;200;11660463455;B
20241211;100000;114.6;400;11660463471;B
20241211;100000;114.6;200;11660463481;B
20241211;100000;114.6;1000;11660463487;B
20241211;100000;114.6;200;11660463581;B
20241211;100000;114.6;300;11660463585;B
20241211;100000;114.6;10;11660463679;B
20241211;100000;114.6;400;11660463694;B
20241211;100000;114.59;770;11660463766;S
20241211;100000;114.6;700;11660463893;B
20241211;100001;114.59;230;11660464407;S
20241211;100001;114.59;250;11660464408;S
20241211;100001;114.59;700;11660464409;S
20241211;100001;114.58;10;11660464410;S
20241211;100001;114.58;700;11660464411;S
20241211;100001;114.58;1770;11660464412;S
20241211;100001;114.57;450;11660464413;S
20241211;100001;114.58;700;11660464505;S
20241211;100001;114.57;150;11660464506;S
20241211;100001;114.57;160;11660464507;S
20241211;100001;114.57;700;11660464508;S
20241211;100001;114.56;10;11660464606;S
20241211;100001;114.56;700;11660464607;S
20241211;100001;114.56;400;11660464613;B
20241211;100001;114.56;300;11660464614;B
20241211;100001;114.56;500;11660465020;B
20241211;100001;114.56;720;11660465067;B
20241211;100001;114.55;2000;11660465291;S
20241211;100001;114.55;10;11660465292;S
20241211;100001;114.55;10;11660465293;S
20241211;100001;114.55;80;11660465294;S
20241211;100001;114.55;150;11660465295;S
20241211;100001;114.55;20;11660465296;S
20241211;100001;114.55;50;11660465297;S
20241211;100001;114.55;10;11660465298;S
20241211;100001;114.55;250;11660465299;S
20241211;100001;114.55;10;11660465300;S
20241211;100001;114.55;700;11660465301;S
20241211;100001;114.55;840;11660465302;S
20241211;100001;114.54;350;11660465303;S
20241211;100001;114.54;20;11660465304;S
20241211;100001;114.54;10;11660465305;S
20241211;100001;114.54;30;11660465306;S
20241211;100001;114.54;10;11660465307;S
20241211;100001;114.54;700;11660465308;S
20241211;100001;114.54;10;11660465309;S
20241211;100001;114.55;400;11660465314;B
20241211;100001;114.55;300;11660465315;B
20241211;100001;114.56;400;11660465366;B
20241211;100001;114.56;300;11660465376;B
20241211;100001;114.56;1220;11660465398;B
20241211;100001;114.57;400;11660465399;B
20241211;100001;114.57;380;11660465400;B
20241211;100001;114.56;700;11660465405;B
20241211;100001;114.56;820;11660465443;B
20241211;100001;114.56;700;11660465446;B
20241211;100001;114.56;400;11660465483;B
20241211;100001;114.56;300;11660465489;B
20241211;100001;114.54;700;11660465499;S
20241211;100001;114.53;20;11660465500;S
20241211;100001;114.53;100;11660465501;S
20241211;100001;114.53;10;11660465502;S
20241211;100001;114.53;700;11660465503;S
20241211;100001;114.53;470;11660465504;S
20241211;100001;114.55;400;11660465520;B
20241211;100001;114.55;20;11660465539;B
20241211;100001;114.57;1520;11660465637;B
20241211;100001;114.57;330;11660465638;B
20241211;100001;114.56;700;11660465640;S
20241211;100001;114.55;700;11660465681;S
20241211;100001;114.55;300;11660465682;S
20241211;100001;114.55;2000;11660465947;S
20241211;100001;114.55;680;11660465948;S
20241211;100001;114.55;20;11660465952;S
20241211;100001;114.56;700;11660465954;B
20241211;100001;114.55;700;11660465955;S
20241211;100001;114.54;700;11660465956;S
20241211;100001;114.54;70;11660465957;S
20241211;100001;114.57;1520;11660465959;B
20241211;100001;114.57;400;11660465960;B
20241211;100001;114.56;700;11660465965;S
20241211;100001;114.56;1300;11660466302;B
20241211;100001;114.55;1850;11660466449;S
20241211;100001;114.56;1080;11660466463;B
20241211;100002;114.55;40;11660466477;S
20241211;100002;114.56;500;11660466760;B
20241211;100002;114.55;110;11660466795;S
20241211;100002;114.55;700;11660466796;S
20241211;100002;114.54;690;11660466797;S
20241211;100002;114.55;300;11660466804;B
20241211;100002;114.55;100;11660466811;B
20241211;100002;114.55;1520;11660466812;B
20241211;100002;114.55;500;11660466813;B
20241211;100002;114.55;400;11660466828;B
20241211;100002;114.55;1520;11660466829;B
20241211;100002;114.54;10;11660466832;S
20241211;100002;114.55;1520;11660466835;B
20241211;100002;114.55;500;11660466840;B
20241211;100002;114.55;500;11660466848;B
20241211;100002;114.55;500;11660466853;B
20241211;100002;114.55;500;11660466860;B
20241211;100002;114.55;500;11660466866;B
20241211;100002;114.55;500;11660466898;B
20241211;100002;114.55;60;11660466996;B
20241211;100002;114.54;700;11660467046;S
20241211;100002;114.54;300;11660467047;S
20241211;100002;114.53;500;11660467048;S
20241211;100002;114.55;400;11660467144;B
20241211;100002;114.55;400;11660467148;B
20241211;100002;114.55;400;11660467151;B
20241211;100002;114.55;400;11660467152;B
20241211;100002;114.55;200;11660467157;B
20241211;100002;114.55;400;11660467158;B
20241211;100002;114.55;400;11660467159;B
20241211;100002;114.55;400;11660467162;B
20241211;100002;114.55;400;11660467163;B
20241211;100002;114.55;140;11660467164;B
20241211;100002;114.55;260;11660467165;B
20241211;100002;114.55;400;11660467167;B
20241211;100002;114.55;400;11660467170;B
20241211;100002;114.55;200;11660467171;B
20241211;100002;114.55;400;11660467172;B
20241211;100002;114.55;400;11660467174;B
20241211;100002;114.55;400;11660467178;B
20241211;100002;114.55;400;11660467183;B
20241211;100002;114.55;400;11660467190;B
20241211;100002;114.55;400;11660467197;B
20241211;100002;114.55;400;11660467241;B
20241211;100002;114.55;200;11660467248;B
20241211;100002;114.55;400;11660467259;B
20241211;100002;114.54;200;11660467260;S
20241211;100002;114.55;400;11660467261;B
20241211;100002;114.55;400;11660467262;B
20241211;100002;114.55;400;11660467269;B
20241211;100002;114.55;400;11660467278;B
20241211;100002;114.55;400;11660467281;S
20241211;100002;114.55;110;11660467283;B
20241211;100002;114.56;10;11660467288;B
20241211;100002;114.56;50;11660467289;B
20241211;100002;114.56;1940;11660467290;B
20241211;100002;114.56;400;11660467291;B
20241211;100002;114.56;350;11660467292;B
20241211;100002;114.57;380;11660467293;B
20241211;100002;114.58;1270;11660467294;B
20241211;100002;114.58;740;11660467296;B
20241211;100002;114.59;400;11660467297;B
20241211;100002;114.6;860;11660467298;B
20241211;100002;114.6;400;11660467300;B
20241211;100002;114.6;2000;11660467302;B
20241211;100002;114.6;100;11660467303;B
20241211;100002;114.59;100;11660467356;S
20241211;100002;114.54;400;11660467357;S
20241211;100002;114.54;100;11660467398;S
20241211;100002;114.53;200;11660467399;S
20241211;100002;114.53;10;11660467400;S
20241211;100002;114.53;620;11660467401;S
20241211;100002;114.53;500;11660467653;S
20241211;100002;114.52;10;11660467751;S
20241211;100002;114.52;10;11660467752;S
20241211;100002;114.52;200;11660467753;S
20241211;100002;114.52;700;11660467754;S
20241211;100002;114.52;700;11660467755;S
20241211;100002;114.52;340;11660467764;B
20241211;100003;114.53;10;11660468004;S
20241211;100003;114.53;10;11660468026;S
20241211;100003;114.54;10;11660468168;B
20241211;100004;114.53;80;11660468417;S
20241211;100004;114.52;360;11660468477;S
20241211;100004;114.52;840;11660468478;S
20241211;100004;114.52;100;11660468522;S
20241211;100004;114.52;400;11660468533;S
20241211;100004;114.52;200;11660468628;B
20241211;100004;114.52;800;11660468660;B
20241211;100004;114.54;40;11660468773;B
20241211;100004;114.54;1060;11660468774;B
20241211;100005;114.54;500;11660469013;B
20241211;100005;114.54;400;11660469117;B
20241211;100005;114.55;500;11660470265;S
20241211;100005;114.55;200;11660470266;S
20241211;100005;114.54;70;11660470267;S
20241211;100005;114.56;10;11660470479;B
20241211;100005;114.54;10;11660470486;S
20241211;100005;114.57;20;11660470492;B
20241211;100005;114.57;800;11660470493;B
20241211;100005;114.57;10;11660470497;B
20241211;100005;114.57;10;11660470513;B
20241211;100005;114.59;10;11660470521;B
20241211;100005;114.58;10;11660470524;B
20241211;100005;114.55;10;11660471031;S
20241211;100005;114.55;60;11660471034;S
20241211;100005;114.54;10;11660471041;S
20241211;100005;114.58;10;11660471045;B
20241211;100005;114.58;10;11660471051;B
20241211;100005;114.58;10;11660471052;B
20241211;100005;114.59;20;11660471056;B
20241211;100005;114.59;1740;11660471062;B
20241211;100005;114.59;10;11660471067;B
20241211;100005;114.59;10;11660471069;B
20241211;100005;114.6;10;11660471070;B
20241211;100005;114.6;10;11660471072;B
20241211;100005;114.53;10;11660471167;S
20241211;100005;114.6;10;11660471173;B
20241211;100005;114.6;10;11660471177;B
20241211;100005;114.6;10;11660471188;B
20241211;100005;114.6;10;11660471190;B
20241211;100005;114.53;30;11660471194;S
20241211;100005;114.53;20;11660471199;S
20241211;100005;114.59;10;11660471271;B
20241211;100005;114.59;30;11660471282;B
20241211;100005;114.59;10;11660471285;B
20241211;100005;114.53;10;11660471286;S
20241211;100005;114.59;10;11660471293;B
20241211;100005;114.59;10;11660471294;B
20241211;100005;114.59;10;11660471299;B
20241211;100005;114.59;10;11660471300;B
20241211;100005;114.59;10;11660471303;B
20241211;100005;114.59;10;11660471308;B
20241211;100005;114.59;10;11660471309;B
20241211;100005;114.59;10;11660471312;B
20241211;100005;114.59;10;11660471313;B
