<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<ATR>
20231204;000000;166.44;168.24;166.1;166.68;7232700;2.14
20231205;000000;167.2;168.6;166.76;168.04;6960300;1.84
20231206;000000;168.2;168.9;164.04;164.12;9111700;4.86
20231207;000000;164.74;169.68;163.84;169.12;12788300;5.84
20231208;000000;169.4;172.4;167.5;167.76;8892200;4.9
20231211;000000;168.22;168.3;166;166.6;5963100;2.3
20231212;000000;166.6;167.98;164.2;164.78;8582100;3.78
20231213;000000;164.18;167.2;163.44;166;7517900;3.76
20231214;000000;166.5;167.56;165.82;166.46;5628500;1.74
20231215;000000;166.66;169.98;166.6;169.88;12445200;3.38
20231218;000000;170.06;172.46;169.54;171.5;11793400;2.92
20231219;000000;171.9;172.34;170.3;172.02;7550700;2.04
20231220;000000;171.96;173.46;170.6;171.14;12000000;2.86
20231221;000000;171.16;171.28;169;170.82;11595300;2.28
20231222;000000;170.84;171.5;170.08;171.22;11065500;1.42
20231225;000000;171;171.86;169.2;171.3;22186200;2.66
20231226;000000;163.6;164.34;162.9;163.6;23173400;1.44
20231227;000000;163.9;164.16;162.82;163.1;10141100;1.34
20231228;000000;163.12;163.2;161.52;161.56;7629300;1.68
20231229;000000;161.56;162.4;161.5;161.72;4360900;0.9
20240103;000000;161.64;163.7;161.4;163.56;3420100;2.3
20240104;000000;163.62;163.94;162.74;162.96;2821300;1.2
20240105;000000;163.06;163.3;162.18;162.8;2110100;1.12
20240108;000000;163.22;165.5;162.6;164.26;4477000;2.9
20240109;000000;164.34;165.02;163.22;163.84;4985900;1.8
20240110;000000;164;164.56;163.52;163.76;5728300;1.04
20240111;000000;163.96;164.24;160.72;162.76;16022700;3.52
20240112;000000;162.8;163.12;161.7;162.34;6066100;1.42
20240115;000000;162.36;163.5;161.74;162.26;7612800;1.76
20240116;000000;162.24;162.7;161.36;161.92;5514900;1.34
20240117;000000;161.9;163;161.4;162.02;8541500;1.6
20240118;000000;162.14;162.4;161.42;161.56;3997800;0.98
20240119;000000;161.58;161.74;160.5;160.52;5353200;1.24
20240122;000000;160.84;161.3;160.16;160.76;5267700;1.14
20240123;000000;160.74;161.98;160.44;160.78;5768900;1.54
20240124;000000;160.98;161.74;158.38;160.02;10555400;3.36
20240125;000000;160.02;160.48;159.02;159.86;7577000;1.46
20240126;000000;159.94;160.8;159.64;160.56;5848400;1.16
20240129;000000;160.92;161.4;159.96;160.26;7804700;1.44
20240130;000000;160.26;161.1;159.2;160.36;10116800;1.9
20240131;000000;160.58;160.7;159.4;159.46;7768200;1.3
20240201;000000;159.48;160.2;159.1;159.92;7412800;1.1
20240202;000000;159.92;159.92;159.2;159.5;5586200;0.72
20240205;000000;159.56;159.7;159.16;159.5;5495500;0.54
20240206;000000;159.58;160.48;159.12;159.44;6495300;1.36
20240207;000000;159.42;160.42;159.38;159.6;8596900;1.04
20240208;000000;159.7;159.74;157.3;157.42;10942400;2.44
20240209;000000;157.44;158.1;155.7;157.28;17016900;2.4
