<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241024;095947;3.746;1400;11333321123;S
20241024;095947;3.746;100;11333321124;S
20241024;095947;3.746;1200;11333321125;B
20241024;095947;3.746;4300;11333321126;B
20241024;095947;3.746;100;11333321127;B
20241024;095947;3.746;100;11333321128;B
20241024;095947;3.746;100;11333321129;B
20241024;095947;3.746;600;11333321130;B
20241024;095947;3.746;200;11333321131;B
20241024;095947;3.746;100;11333321132;S
20241024;095947;3.746;2000;11333321133;B
20241024;095947;3.746;500;11333321134;B
20241024;095947;3.746;6600;11333321135;S
20241024;095947;3.746;600;11333321136;S
20241024;095947;3.746;2500;11333321137;S
20241024;100001;3.746;100;11333323678;S
20241024;100001;3.7485;40000;11333323808;B
20241024;100001;3.7465;3100;11333324010;S
20241024;100001;3.746;200;11333324011;S
20241024;100001;3.746;100;11333324012;S
20241024;100001;3.746;10000;11333324013;S
20241024;100001;3.746;300;11333324014;S
20241024;100001;3.746;100;11333324015;S
20241024;100001;3.746;100;11333324016;S
20241024;100001;3.746;100;11333324017;S
20241024;100001;3.746;100;11333324018;S
20241024;100001;3.746;100;11333324019;S
20241024;100001;3.746;2000;11333324020;S
20241024;100001;3.746;200;11333324021;S
20241024;100001;3.746;100;11333324022;S
20241024;100001;3.746;100;11333324023;S
20241024;100001;3.746;6000;11333324024;S
20241024;100001;3.746;4800;11333324025;S
20241024;100001;3.7455;100;11333324026;S
20241024;100001;3.7455;4100;11333324027;S
20241024;100001;3.745;9000;11333324028;S
20241024;100001;3.745;1500;11333324029;S
20241024;100001;3.745;2200;11333324030;S
20241024;100003;3.7475;300;11333324966;B
20241024;100003;3.7455;100;11333325484;S
20241024;100003;3.7475;100;11333325485;B
20241024;100003;3.7475;2600;11333325867;B
20241024;100004;3.7475;100;11333326044;B
20241024;100004;3.7455;100;11333326048;S
20241024;100004;3.7475;100;11333326931;B
20241024;100004;3.7455;100;11333328060;S
20241024;100004;3.7475;100;11333328449;B
20241024;100004;3.7475;100;11333328468;B
20241024;100004;3.7475;100;11333328483;B
20241024;100004;3.745;100;11333328597;S
20241024;100004;3.745;100;11333328602;S
20241024;100005;3.745;300;11333329091;S
20241024;100005;3.7475;300;11333329095;B
20241024;100006;3.7455;5200;11333330570;S
20241024;100007;3.7455;100;11333331755;S
