<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<ATR>
20231204;000000;7169;7199.5;7110.5;7132.5;665356;89
20231205;000000;7137;7250;7137;7248.5;555796;113
20231206;000000;7265.5;7275;7051.5;7138;647722;223.5
20231207;000000;7145;7173;7071;7092;476699;102
20231208;000000;7115;7173;7092;7140;424769;81
20231211;000000;7182.5;7189;6929;6977;1023902;260
20231212;000000;7006;7100;6813;7014.5;1400532;287
20231213;000000;7000.5;7062.5;6914;7043.5;570415;148.5
20231214;000000;7040;7084.5;6850.5;6860;1218743;234
20231215;000000;6397.5;6632;6381;6560;2378739;251
20231218;000000;6580.5;6761.5;6526;6723.5;1261552;235.5
20231219;000000;6731;6771;6690;6709;677609;81
20231220;000000;6710;6849;6696;6735;978630;153
20231221;000000;6729;6774;6633.5;6702;1034330;140.5
20231222;000000;6711.5;6795;6708.5;6732.5;542153;86.5
20231225;000000;6748;6784;6730;6744;358965;54
20231226;000000;6749;6771;6720;6771;430163;51
20231227;000000;6773.5;6840;6761;6768;496504;79
20231228;000000;6767.5;6802.5;6725.5;6767;440041;77
20231229;000000;6773;6778.5;6729;6739;279198;49.5
20240103;000000;6770;6805;6745.5;6803.5;200107;59.5
20240104;000000;6805;6811.5;6763.5;6771;183174;48
20240105;000000;6771.5;6794.5;6770.5;6780;107486;24
20240108;000000;6783.5;6804.5;6756;6766.5;214867;48.5
20240109;000000;6780;6942;6750.5;6931;846151;191.5
20240110;000000;6933.5;7023;6923;6957;711637;100
20240111;000000;6965;6995;6930.5;6972.5;422712;64.5
20240112;000000;7005.5;7011;6962;6965;404722;49
20240115;000000;6950;6968.5;6874;6889.5;567394;94.5
20240116;000000;6884;6885.5;6826;6857;467771;59.5
20240117;000000;6859;6919.5;6830;6910;305046;89.5
20240118;000000;6921.5;6930;6846;6857.5;279053;84
20240119;000000;6860;6883;6800.5;6834.5;336169;82.5
20240122;000000;6830;6859;6815.5;6840;200101;43.5
