<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20240508;095953;7754.5;1;10314760480;S
20240508;095953;7754.5;1;10314760481;S
20240508;095953;7754.5;1;10314760482;S
20240508;095953;7754.5;1;10314760483;B
20240508;095953;7754.5;2;10314760484;B
20240508;095953;7754.5;8;10314760485;B
20240508;095953;7754.5;34;10314760486;S
20240508;095953;7754.5;7;10314760487;S
20240508;095953;7754.5;1;10314760488;S
20240508;095953;7754.5;3;10314760489;S
20240508;095953;7754.5;4;10314760490;S
20240508;095953;7754.5;7;10314760491;S
20240508;095953;7754.5;3;10314760492;S
20240508;095953;7754.5;1;10314760493;S
20240508;095953;7754.5;6;10314760494;S
20240508;095953;7754.5;1;10314760495;S
20240508;095953;7754.5;2;10314760496;S
20240508;095953;7754.5;2;10314760497;S
20240508;095953;7754.5;3;10314760498;S
20240508;095953;7754.5;1;10314760499;S
20240508;095953;7754.5;80;10314760500;S
20240508;095953;7754.5;1;10314760501;B
20240508;095953;7754.5;1;10314760502;S
20240508;095953;7754.5;3;10314760503;S
20240508;095953;7754.5;2;10314760504;S
20240508;095953;7754.5;2;10314760505;S
20240508;095953;7754.5;3;10314760506;S
20240508;095953;7754.5;4;10314760507;S
20240508;095953;7754.5;3;10314760508;S
20240508;095953;7754.5;1;10314760509;B
20240508;095953;7754.5;5;10314760510;B
20240508;095953;7754.5;4;10314760511;B
20240508;095953;7754.5;9;10314760512;S
20240508;095953;7754.5;1;10314760513;S
20240508;095953;7754.5;1;10314760514;S
20240508;095953;7754.5;1;10314760515;S
20240508;095953;7754.5;1;10314760516;S
20240508;095953;7754.5;2;10314760517;S
20240508;095953;7754.5;4;10314760518;B
20240508;095953;7754.5;3;10314760519;B
20240508;095953;7754.5;1;10314760520;B
20240508;095953;7754.5;1;10314760521;B
20240508;095953;7754.5;3;10314760522;B
20240508;095953;7754.5;3;10314760523;B
20240508;095953;7754.5;5;10314760524;B
20240508;095953;7754.5;1;10314760525;B
20240508;095953;7754.5;1;10314760526;B
20240508;095953;7754.5;100;10314760527;B
20240508;095953;7754.5;10;10314760528;B
20240508;095953;7754.5;5;10314760529;B
20240508;095953;7754.5;2;10314760530;B
20240508;095953;7754.5;1;10314760531;B
20240508;095953;7754.5;1;10314760532;B
20240508;095953;7754.5;1;10314760533;B
20240508;095953;7754.5;25;10314760534;B
20240508;095953;7754.5;1;10314760535;B
20240508;095953;7754.5;34;10314760536;B
20240508;095953;7754.5;2;10314760537;B
20240508;095953;7754.5;3;10314760538;B
20240508;095953;7754.5;1;10314760539;B
20240508;095953;7754.5;1;10314760540;B
20240508;095953;7754.5;1;10314760541;B
20240508;095953;7754.5;41;10314760542;B
20240508;095953;7754.5;1;10314760543;B
20240508;095953;7754.5;5;10314760544;B
20240508;095953;7754.5;1;10314760545;B
20240508;095953;7754.5;2;10314760546;B
20240508;095953;7754.5;6;10314760547;B
20240508;095953;7754.5;6;10314760548;B
20240508;095953;7754.5;2;10314760549;B
20240508;095953;7754.5;1;10314760550;B
20240508;095953;7754.5;1;10314760551;B
20240508;095953;7754.5;3;10314760552;B
20240508;095953;7754.5;4;10314760553;B
20240508;095953;7754.5;2;10314760554;B
20240508;095953;7754.5;1;10314760555;B
20240508;095953;7754.5;40;10314760556;B
20240508;095953;7754.5;7;10314760557;B
20240508;095953;7754.5;5;10314760558;B
20240508;095953;7754.5;3;10314760559;B
20240508;095953;7754.5;12;10314760560;B
20240508;095953;7754.5;5;10314760561;B
20240508;095953;7754.5;35;10314760562;B
20240508;095953;7754.5;2;10314760563;B
20240508;095953;7754.5;20;10314760564;B
20240508;095953;7754.5;1;10314760565;B
20240508;095953;7754.5;1;10314760566;B
20240508;095953;7754.5;28;10314760567;B
20240508;095953;7754.5;3;10314760568;B
20240508;095953;7754.5;1;10314760569;B
20240508;095953;7754.5;13;10314760570;B
20240508;095953;7754.5;4;10314760571;B
20240508;095953;7754.5;1;10314760572;B
20240508;095953;7754.5;7;10314760573;B
20240508;095953;7754.5;1;10314760574;B
20240508;095953;7754.5;11;10314760575;B
20240508;095953;7754.5;10;10314760576;B
20240508;095953;7754.5;1;10314760577;B
20240508;095953;7754.5;4;10314760578;B
20240508;095953;7754.5;16;10314760579;B
20240508;095953;7754.5;2;10314760580;B
20240508;095953;7754.5;30;10314760581;B
20240508;095953;7754.5;11;10314760582;B
20240508;095953;7754.5;11;10314760583;S
20240508;095953;7754.5;3;10314760584;S
20240508;095953;7754.5;2;10314760585;S
20240508;095953;7754.5;63;10314760586;S
20240508;095953;7754.5;10;10314760587;B
20240508;095953;7754.5;10;10314760588;B
20240508;095953;7754.5;3;10314760589;B
20240508;095953;7754.5;3;10314760590;B
20240508;095953;7754.5;10;10314760591;B
20240508;095953;7754.5;3;10314760592;B
20240508;095953;7754.5;3;10314760593;B
20240508;095953;7754.5;10;10314760594;B
20240508;095953;7754.5;1;10314760595;B
20240508;095953;7754.5;2;10314760596;B
20240508;095953;7754.5;10;10314760597;B
20240508;095953;7754.5;20;10314760598;B
20240508;095953;7754.5;3;10314760599;B
20240508;095953;7754.5;2;10314760600;B
20240508;095953;7754.5;15;10314760601;B
20240508;095953;7754.5;2;10314760602;B
20240508;095953;7754.5;1;10314760603;B
20240508;095953;7754.5;10;10314760604;B
20240508;095953;7754.5;44;10314760605;B
20240508;095953;7754.5;1;10314760606;B
20240508;095953;7754.5;1;10314760607;B
20240508;095953;7754.5;10;10314760608;B
20240508;095953;7754.5;1;10314760609;B
20240508;095953;7754.5;5;10314760610;B
20240508;095953;7754.5;20;10314760611;B
20240508;095953;7754.5;10;10314760612;B
20240508;095953;7754.5;10;10314760613;B
20240508;095953;7754.5;2;10314760614;B
20240508;095953;7754.5;1;10314760615;B
20240508;095953;7754.5;1;10314760616;S
20240508;095953;7754.5;1;10314760617;B
20240508;095953;7754.5;10;10314760618;B
20240508;095953;7754.5;2;10314760619;B
20240508;095953;7754.5;42;10314760620;S
20240508;095953;7754.5;3;10314760621;B
20240508;095953;7754.5;5;10314760622;B
20240508;095953;7754.5;5;10314760623;S
20240508;095953;7754.5;168;10314760624;S
20240508;095953;7754.5;47;10314760625;S
20240508;095953;7754.5;83;10314760626;S
20240508;095953;7754.5;1;10314760627;B
