<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241007;095954;715;2;11267089843;S
20241007;095954;715;5;11267089844;S
20241007;095954;715;38;11267089845;S
20241007;095954;715;1;11267089846;B
20241007;095954;715;1;11267089847;B
20241007;095954;715;1;11267089848;B
20241007;095954;715;1;11267089849;B
20241007;095954;715;1;11267089850;B
20241007;095954;715;1;11267089851;B
20241007;095954;715;1;11267089852;B
20241007;095954;715;12;11267089853;B
20241007;095954;715;7;11267089854;B
20241007;095954;715;13;11267089855;B
20241007;095954;715;26;11267089856;B
20241007;095954;715;1;11267089857;B
20241007;095954;715;1;11267089858;B
20241007;095954;715;73;11267089859;B
20241007;095954;715;1;11267089860;B
20241007;095954;715;2;11267089861;B
20241007;095954;715;50;11267089862;S
20241007;095954;715;5;11267089863;B
20241007;095954;715;1;11267089864;B
20241007;095954;715;200;11267089865;B
20241007;095954;715;2;11267089866;B
20241007;095954;715;1;11267089867;B
20241007;095954;715;3;11267089868;B
20241007;095954;715;1;11267089869;B
20241007;095954;715;4;11267089870;B
20241007;095954;715;2;11267089871;B
20241007;095954;715;5;11267089872;B
20241007;095954;715;1;11267089873;B
20241007;095954;715;20;11267089874;B
20241007;095954;715;70;11267089875;B
20241007;095954;715;1;11267089876;B
20241007;095954;715;25;11267089877;B
20241007;095954;715;1;11267089878;B
20241007;095954;715;1;11267089879;B
20241007;095954;715;31;11267089880;B
20241007;095954;715;81;11267089881;B
20241007;095954;715;10;11267089882;B
20241007;095954;715;1;11267089883;B
20241007;095954;715;1;11267089884;B
20241007;095954;715;3;11267089885;B
20241007;095954;715;5;11267089886;B
20241007;095954;715;21;11267089887;B
20241007;095954;715;20;11267089888;B
20241007;095954;715;25;11267089889;B
20241007;095954;715;112;11267089890;B
20241007;095954;715;5;11267089891;B
20241007;095954;715;1;11267089892;B
20241007;100001;715.2;40;11267091859;B
20241007;100001;715.2;72;11267091909;B
20241007;100001;715.2;1;11267091910;B
20241007;100001;715.4;112;11267091911;B
20241007;100001;715.6;1;11267091912;B
20241007;100001;715.6;1;11267091913;B
20241007;100001;715.6;112;11267091914;B
20241007;100001;715.8;1;11267091915;B
20241007;100001;715.8;39;11267091948;B
20241007;100001;715.8;73;11267091957;B
20241007;100001;716;1;11267091958;B
20241007;100001;716;3;11267091959;B
20241007;100001;716;112;11267091960;B
20241007;100001;716;4;11267091972;S
20241007;100001;716.2;20;11267091973;B
20241007;100001;716;50;11267092023;S
20241007;100001;716;1;11267092024;S
20241007;100001;716.2;92;11267092031;B
20241007;100001;716.4;77;11267092032;B
20241007;100001;716.4;4;11267092075;B
20241007;100001;716.4;4;11267092076;B
20241007;100001;716.4;27;11267092080;B
20241007;100001;716.6;53;11267092081;B
20241007;100001;716.6;14;11267092082;B
20241007;100001;716.6;45;11267092086;B
20241007;100001;717;1;11267092087;B
20241007;100001;717;2;11267092088;B
20241007;100001;717;1;11267092089;B
20241007;100001;717;3;11267092090;B
20241007;100001;717;5;11267092091;B
20241007;100001;717;1;11267092092;B
20241007;100001;717;1;11267092093;B
20241007;100001;717;1;11267092094;B
20241007;100001;717.2;5;11267092095;B
20241007;100001;717.4;5;11267092096;B
20241007;100002;717.4;45;11267092117;B
20241007;100002;717.4;1;11267092118;B
20241007;100002;717.8;15;11267092119;B
20241007;100002;717.8;1;11267092120;B
20241007;100002;717.8;11;11267092121;B
20241007;100002;718;1;11267092122;B
20241007;100002;718;1;11267092123;B
20241007;100002;718;3;11267092124;B
20241007;100002;718;1;11267092125;B
20241007;100002;718;5;11267092126;B
20241007;100002;718;56;11267092127;B
20241007;100002;717;4;11267092296;B
20241007;100002;717;1;11267092333;B
20241007;100002;716.2;3;11267092363;S
20241007;100002;717;28;11267092368;B
20241007;100002;717.4;1;11267092369;B
20241007;100002;716.4;1;11267092370;S
20241007;100002;716.4;10;11267092379;S
20241007;100002;716.6;200;11267092389;S
20241007;100002;716.2;12;11267092391;S
20241007;100002;716.6;21;11267092430;B
20241007;100002;716.2;15;11267092431;S
20241007;100002;716.6;60;11267092435;B
20241007;100002;716.2;10;11267092458;S
20241007;100002;716.6;2;11267092468;B
20241007;100002;716.6;17;11267092471;B
