<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<ATR>
20231204;000000;6425;6438.5;6265;6265;403677;173.5
20231205;000000;6270;6334;6225;6333.5;217683;109
20231206;000000;6335;6479.5;6287.5;6352;415141;192
20231207;000000;6362;6390;6231;6264;305923;159
20231208;000000;6276;6295;6162;6170;238105;133
20231211;000000;6167.5;6193;6005;6058.5;318872;188
20231212;000000;6066;6137.5;6022;6071.5;251328;115.5
20231213;000000;6042.5;6128;6026.5;6096.5;131289;101.5
20231214;000000;6100;6165.5;6030;6072.5;200493;135.5
20231215;000000;6072.5;6398;6057;6362;430203;341
20231218;000000;6375;6472.5;6318;6464.5;321613;154.5
20231219;000000;6470.5;6495.5;6377.5;6477.5;212547;118
20231220;000000;6483.5;6768;6478;6692.5;610400;290
20231221;000000;6693.5;6748.5;6590;6704.5;379646;158.5
20231222;000000;6705.5;6741;6645;6680;230996;96
20231225;000000;6689;6939.5;6689;6939.5;592469;250.5
20231226;000000;6943.5;6975;6859.5;6920.5;373914;115.5
20231227;000000;6931;7018.5;6907.5;6982.5;332898;111
20231228;000000;7000;7014.5;6875;6970;242561;139.5
20231229;000000;6968;7018;6930.5;7006;228914;87.5
20240103;000000;7014.5;7187.5;7014.5;7187;186452;173
20240104;000000;7189.5;7316.5;7189.5;7305.5;276273;127
20240105;000000;7320;7342;7211;7255.5;195333;131
20240108;000000;7273.5;7298.5;7150;7210;269954;148.5
20240109;000000;7197.5;7239;7141;7214.5;322859;98
20240110;000000;7215;7380;7182;7380;708270;198
20240111;000000;7048;7173.5;7021.5;7114.5;1024062;152
20240112;000000;7120.5;7147;7057;7082;287570;90
20240115;000000;7092.5;7115;7041;7070;315706;74
20240116;000000;7077;7088.5;6909;6923;518798;179.5
20240117;000000;6903;6970;6882.5;6943.5;206241;87.5
20240118;000000;6949;6968;6811.5;6816.5;369729;156.5
20240119;000000;6819.5;7032.5;6786;6944.5;700435;246.5
20240122;000000;6960;6971.5;6881;6890.5;171047;90.5
20240123;000000;6890.5;6917;6845.5;6883.5;113162;71.5
20240124;000000;6880;6950;6871.5;6895;160997;78.5
20240125;000000;6900;6911.5;6831;6864.5;147480;80.5
20240126;000000;6864.5;6868.5;6805;6820.5;179405;63.5
20240129;000000;6833.5;6909;6812;6905.5;124404;97
20240130;000000;6920;7113;6899.5;7049.5;497132;213.5
20240131;000000;7050;7099;6995.5;7039.5;193049;103.5
20240201;000000;7062.5;7138;7043;7119;331108;95
20240202;000000;7121;7194.5;7101;7116;247632;93.5
20240205;000000;7114.5;7168.5;7052.5;7062.5;157476;116
20240206;000000;7065;7199;7062.5;7199;221631;136.5
20240207;000000;7199.5;7301.5;7146;7283.5;333613;155.5
20240208;000000;7285;7425;7261;7318;564090;164
20240209;000000;7320;7328;7220;7283;251746;108
20240212;000000;7290;7345.5;7195;7249;256550;150.5
20240213;000000;7250;7313;7200.5;7250;207655;112.5
20240214;000000;7269.5;7428.5;7253.5;7420;361913;175
20240215;000000;7420;7508;7403;7471.5;423826;105
20240216;000000;7484;7494.5;7332;7424.5;258230;162.5
20240219;000000;7432;7516.5;7385;7399.5;202094;131.5
20240220;000000;7400;7491;7255;7256.5;278627;236
20240221;000000;7256;7399;7152;7199;364795;247
20240222;000000;7216.5;7278.5;7200;7272;260691;78.5
20240226;000000;7343;7450;7336.5;7401;240693;113.5
20240227;000000;7425;7499.5;7340.5;7499.5;332880;159
20240228;000000;7525.5;7686;7504;7631.5;551726;182
20240229;000000;7635;7679;7581.5;7651.5;214598;97.5
20240301;000000;7652.5;7725;7612.5;7634;215404;112.5
20240304;000000;7642;7710;7592;7698;251919;118
20240305;000000;7704;7739.5;7600;7610;198004;139.5
20240306;000000;7605;7678.5;7550.5;7613;159543;128
20240307;000000;7605;7651;7562;7646;176765;89
20240311;000000;7660;7767.5;7630.5;7760;314267;137
20240312;000000;7750;7794;7701.5;7744;207141;92.5
20240313;000000;7748.5;7764;7630;7648.5;160664;134
20240314;000000;7648;7648;7551;7607.5;256929;97
20240315;000000;7604.5;7695;7591.5;7611.5;180574;103.5
20240318;000000;7628.5;7676;7609;7636;105591;67
20240319;000000;7632.5;7686.5;7573;7586;218406;113.5
20240320;000000;7575.5;7663;7522;7599;208718;141
