<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241225;095946;4950;1;11821327655;B
20241225;095946;4950;1;11821327656;B
20241225;095946;4950;3;11821327657;B
20241225;095946;4950;5;11821327658;B
20241225;095946;4950;1;11821327659;B
20241225;095946;4950;6;11821327660;B
20241225;095946;4950;11;11821327661;B
20241225;095946;4950;7;11821327662;B
20241225;095946;4950;10;11821327663;B
20241225;095946;4950;1;11821327664;B
20241225;095946;4950;2;11821327665;B
20241225;095946;4950;4;11821327666;B
20241225;095946;4950;6;11821327667;B
20241225;095946;4950;1;11821327668;B
20241225;095946;4950;4;11821327669;B
20241225;095946;4950;12;11821327670;B
20241225;095946;4950;1;11821327671;B
20241225;095946;4950;7;11821327672;B
20241225;095946;4950;7;11821327673;B
20241225;095946;4950;5;11821327674;S
20241225;095946;4950;10;11821327675;B
20241225;095946;4950;29;11821327676;B
20241225;095946;4950;50;11821327677;B
20241225;095946;4950;3;11821327678;B
20241225;100000;4951.5;1;11821330499;B
20241225;100000;4952;5;11821330635;B
20241225;100000;4952;1;11821330636;B
20241225;100001;4952.5;1;11821330996;B
20241225;100001;4952.5;1;11821331024;B
20241225;100001;4952.5;4;11821331048;B
20241225;100001;4952.5;5;11821331245;B
20241225;100001;4952.5;1;11821331611;B
20241225;100001;4952;1;11821331959;S
20241225;100001;4952;1;11821331998;S
20241225;100002;4952.5;9;11821332261;B
20241225;100002;4952.5;1;11821332289;B
20241225;100002;4952.5;1;11821332468;B
20241225;100002;4952;1;11821332755;S
20241225;100002;4952;5;11821332800;S
20241225;100002;4952;2;11821332894;S
20241225;100002;4952.5;10;11821333030;B
20241225;100002;4952;1;11821333226;S
20241225;100002;4952;1;11821333278;S
20241225;100002;4952;66;11821333467;S
20241225;100002;4951.5;5;11821333468;S
20241225;100002;4950.5;70;11821333469;S
20241225;100002;4950;28;11821333470;S
20241225;100003;4946;2;11821333997;S
20241225;100003;4946;100;11821333998;S
20241225;100003;4946;6;11821333999;S
20241225;100003;4945.5;1;11821334001;S
20241225;100003;4945.5;1;11821334002;S
20241225;100003;4945.5;1;11821334003;S
20241225;100003;4945.5;2;11821334004;S
20241225;100003;4945.5;8;11821334005;S
20241225;100003;4945.5;1;11821334006;S
20241225;100003;4945.5;17;11821334007;S
20241225;100003;4945.5;8;11821334253;S
20241225;100003;4945.5;1;11821334273;S
20241225;100003;4945.5;18;11821334291;S
20241225;100003;4945.5;3;11821334366;S
20241225;100004;4945.5;6;11821334648;S
20241225;100004;4945.5;1;11821334813;S
20241225;100004;4945.5;2;11821334869;S
20241225;100004;4945.5;2;11821334935;S
20241225;100004;4945.5;5;11821334946;S
20241225;100004;4945.5;8;11821335313;S
20241225;100006;4946;1;11821336476;S
20241225;100006;4947;2;11821336608;B
20241225;100006;4946;8;11821337192;S
20241225;100006;4946;1;11821337419;S
20241225;100007;4946;1;11821337520;S
20241225;100007;4946;12;11821338344;S
20241225;100008;4946;2;11821339505;S
20241225;100008;4947;1;11821339545;B
20241225;100008;4947;1;11821340416;B
20241225;100008;4946;2;11821340601;S
20241225;100009;4946;1;11821341384;S
20241225;100012;4947;36;11821344485;B
20241225;100012;4947;17;11821344488;S
20241225;100012;4947;23;11821344489;B
20241225;100012;4947;23;11821344497;B
20241225;100013;4949;31;11821345426;B
20241225;100013;4952;19;11821345427;B
