<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR
20231120;000000;100;101;99.6;100.8;117190;1.4
20231121;000000;100.24;100.62;96.12;98.24;225310;4.5
20231122;000000;98.26;100;98.16;98.76;172120;1.84
20231123;000000;98.8;99.46;95.06;95.06;248030;4.4
20231124;000000;95.1;97.66;93.44;97;407930;4.22
20231127;000000;97.02;99.1;95;97.78;252440;4.1
20231128;000000;97.78;98.8;95.9;96.9;158810;2.9
20231129;000000;97.02;97.36;96;96.42;66320;1.36
20231130;000000;96.56;96.96;95.24;96.16;84080;1.72
20231201;000000;96.08;97;95.12;97;162820;1.88
20231204;000000;96.6;96.9;90;91;446840;6.9
20231205;000000;90;91.48;86.32;88.1;335030;5.16
20231206;000000;88.28;89.78;86.32;88.78;218020;3.46
20231207;000000;88.04;88.66;85.5;87.8;182410;3.16
20231208;000000;88.02;88.8;85;87.5;200950;3.8
20231211;000000;87.48;87.58;85.16;85.52;114730;2.42
20231212;000000;85.78;86.3;83.02;85.96;243640;3.28
20231213;000000;86.42;89.4;85;87.86;216210;4.4
20231214;000000;87.86;88.08;86.1;86.7;85940;1.98
20231215;000000;86.74;88.58;84.62;88;201000;3.96
20231218;000000;88.02;103.88;88.02;96.56;1465840;15.86
20231219;000000;96.58;103.7;93.74;99.78;901590;9.96
20231220;000000;99.3;103.6;98.3;102.2;464480;5.3
20231221;000000;102.86;102.86;98.22;100.62;449040;4.64
20231222;000000;100.42;106.48;100;102.8;1012450;6.48
20231225;000000;104.58;104.58;101.44;102.88;328180;3.14
20231226;000000;103.32;103.6;99.4;99.84;444690;4.2
20231227;000000;100;104.6;97.6;100.5;1013260;7
20231228;000000;101.06;104;100.22;102;451330;3.78
20231229;000000;102;103.6;101.68;102;205000;1.92
20240103;000000;103;104.48;101.62;103.26;196640;2.86
20240104;000000;103.5;110.98;103.5;109.44;1834940;7.48
20240105;000000;109.56;112.98;105.26;108.26;1606650;7.72
20240108;000000;108.4;111.5;108;108;470460;3.5
20240109;000000;108.26;110.74;107.8;110;537650;2.94
20240110;000000;110.52;114;110;111.38;1366980;4
20240111;000000;111.68;112.66;108.24;109.06;704690;4.42
20240112;000000;109.68;110.38;106.96;109.08;484750;3.42
20240115;000000;109.5;115.32;109.12;111.5;2056050;6.2
20240116;000000;112.26;112.44;109.28;110.66;665210;3.16
20240117;000000;111.5;115.3;110.64;113.18;707110;4.66
20240118;000000;114.3;117.44;112.54;116.5;2823780;4.9
20240119;000000;116.98;117.92;113.12;114.82;865190;4.8
20240122;000000;115.52;117.24;113.2;113.4;983260;4.04
20240123;000000;113.86;118.24;111.52;111.88;2629110;6.72
20240124;000000;112.48;112.5;110.24;111.82;444490;2.26
20240125;000000;111.8;113.8;106.3;107.24;1926630;7.5
20240126;000000;107.2;108.8;105.4;106.4;452970;3.4
20240129;000000;106.58;110.48;106.5;109.4;652800;3.98
20240130;000000;109.42;110.46;107.6;107.96;215410;2.86
20240131;000000;108.3;113.1;108.16;112;1202140;4.94
20240201;000000;112.34;115.66;109.58;110.44;1175500;6.08
20240202;000000;110.44;111.4;109.26;109.6;294220;2.14
20240205;000000;110;110.98;109.2;110.24;147870;1.78
20240206;000000;110.28;110.86;109.32;110.18;221250;1.54
20240207;000000;110.16;110.56;108.2;108.2;307320;2.36
20240208;000000;108.16;109.16;106.4;106.52;396260;2.76
20240209;000000;106.56;106.84;104;104.3;491540;2.84
20240212;000000;104.68;107;104.12;106.1;799680;2.88
20240213;000000;106.3;106.54;104.46;105.14;367250;2.08
20240214;000000;105.24;106.5;104.5;104.52;202730;2
20240215;000000;104.88;106;104.68;104.8;133410;1.32
20240216;000000;105.24;105.64;104;104.36;219830;1.64
20240219;000000;104.68;105.98;104.3;105.54;145450;1.68
20240220;000000;105.66;106.3;103;105.76;359940;3.3
20240221;000000;105.14;105.14;99.16;102.6;479320;5.98
20240222;000000;101.66;103.76;99.82;100.24;389600;3.94
20240226;000000;101.96;103.6;101.04;102.78;158930;2.56
20240227;000000;103.28;105.7;102.78;104.04;263550;2.92
20240228;000000;104.28;105.5;103.8;103.8;148180;1.7
20240229;000000;104;107.06;103.92;105.48;395570;3.14
20240301;000000;105.52;106.28;104.2;104.24;122670;2.08
20240304;000000;104.88;106.12;104.22;105.6;208710;1.9
20240305;000000;105.72;106.3;103.1;104.68;321600;3.2
20240306;000000;104.66;104.66;103.12;103.28;118630;1.54
20240307;000000;103.24;103.8;101.68;103.1;188420;2.12
20240311;000000;103.5;104.5;102.52;104.5;228810;1.98
20240312;000000;104.46;105;103.02;103.28;244460;1.98
20240313;000000;103.26;104.7;102.38;104.7;447700;2.32
20240314;000000;104.4;104.46;102.1;102.2;126760;2.36
20240315;000000;102.02;103.4;101.78;102.78;144190;1.62
20240318;000000;103.46;104.5;102.08;104.18;160910;2.42
20240319;000000;104.16;104.16;102.16;102.16;148460;2
20240320;000000;102.4;115;102.16;109.8;7860370;12.84
20240321;000000;109.86;110.5;105.72;107.36;1571880;4.78
20240322;000000;108.36;111.5;105.36;107.64;924890;6.14
20240325;000000;108;109.44;105.58;108;468810;3.86
20240326;000000;108.06;109.16;107;107.5;281770;2.16
20240327;000000;108;112.98;107.52;111.44;945040;5.46
20240328;000000;112.46;113.6;110.3;110.5;450660;3.3
20240329;000000;111.08;111.88;109.12;110.3;368550;2.76
20240401;000000;110.86;113.86;109.76;111.34;616260;4.1
20240402;000000;111.54;114.7;110.6;113.58;591280;4.1
20240403;000000;114.24;122.78;113.68;122.08;3284860;9.1
20240404;000000;124;131.64;116.4;116.9;11272980;15.24
20240405;000000;117.5;123.8;116.62;118.02;3094930;7.18
20240408;000000;119.84;120;116.36;118.3;879510;3.64
20240409;000000;118.48;118.78;113.9;116.66;903280;4.88
20240410;000000;116.8;116.8;112.3;113.08;890820;4.5
20240411;000000;113.28;113.98;112.04;113.04;399570;1.94
20240412;000000;113.68;115.12;112.5;112.62;430200;2.62
20240415;000000;112.34;118.48;112.08;117.62;1477540;6.4
20240416;000000;118.26;119;114;114.58;493430;5
20240417;000000;115.28;116.96;113.42;114.34;347850;3.54
20240418;000000;114.34;114.96;113.1;114.22;139110;1.86
20240419;000000;114.3;116.34;113.2;113.46;350780;3.14
20240422;000000;113.22;114.44;111.02;113.8;398230;3.42
20240423;000000;114.28;114.3;112.26;112.32;154270;2.04
20240424;000000;112.32;115.28;111.6;112.54;652020;3.68
20240425;000000;113;113.28;111.1;112.5;160530;2.18
20240426;000000;113.2;115.3;112.26;113.36;418230;3.04
20240427;000000;113.6;115;112;112.18;435100;3
20240429;000000;112.36;113.4;110.62;111.9;515670;2.78
20240430;000000;112.4;112.72;111.42;111.94;242350;1.3
20240502;000000;112.04;113.62;111;111.52;509450;2.62
20240503;000000;113.48;118;112.3;113;1460230;5.7
20240506;000000;113.12;113.28;110.52;111.2;561660;2.76
20240507;000000;111.5;112.94;111.1;111.5;268430;1.84
20240508;000000;111.58;112.14;110.1;110.58;244250;2.04
20240510;000000;110.5;111.68;109;110.22;202160;2.68
20240513;000000;110.3;110.84;109.64;110.16;156330;1.2
20240514;000000;110.34;110.36;105.82;108.1;451760;4.54
20240515;000000;108.1;108.76;107.72;108.02;171390;1.04
20240516;000000;108.04;108.22;106.48;107.76;216750;1.74
20240517;000000;107.74;109.82;107.48;108.52;227940;2.34
20240520;000000;108.5;109.04;104.26;105.34;438290;4.78
20240521;000000;105.26;105.26;100.06;103.48;495160;5.2
20240522;000000;103.76;108.1;103.22;103.66;658500;4.88
20240523;000000;103.5;103.76;102.02;103.1;160880;1.74
20240524;000000;103.4;103.54;100.02;100.18;294170;3.52
20240527;000000;99.94;100.62;93.06;94.28;696990;7.56
20240528;000000;94.52;96;92.2;93.48;749430;3.8
20240529;000000;94.94;95.22;90;93.34;455510;5.22
20240530;000000;93.34;93.82;90.2;90.56;384250;3.62
20240531;000000;90.56;90.82;87;88.4;593290;3.82
20240603;000000;88.44;93.68;87.02;93.6;537470;6.66
20240604;000000;93.38;99;91.9;98.98;414560;7.1
20240605;000000;99.02;101;96.56;96.92;398190;4.44
20240606;000000;96.82;96.92;95.12;96.26;104420;1.8
20240607;000000;96.26;100.86;95.32;99.98;264270;5.54
20240610;000000;100.04;102.76;98.78;99.5;414290;3.98
20240611;000000;99.22;99.44;95.48;97.6;462410;3.96
20240613;000000;92.72;97.22;90.14;96.86;376870;7.08
20240614;000000;97.4;99.6;96.2;97.5;336490;3.4
20240617;000000;98;98.5;94.6;95.32;284560;3.9
20240618;000000;95.02;95.6;91.72;92.02;227580;3.88
20240619;000000;92.84;96.5;90.1;95.52;679010;6.4
20240620;000000;94.9;97.62;91;94.56;582790;6.62
20240621;000000;95.02;95.24;92;92.8;194030;3.24
20240624;000000;93.04;93.78;92.5;92.7;100960;1.28
20240625;000000;92.88;93.24;91.84;93.1;124200;1.4
20240626;000000;93.1;96.1;92.42;92.68;248730;3.68
20240627;000000;92.96;93;92.4;92.58;86300;0.6
20240628;000000;92.9;93.52;92.4;93.12;97310;1.12
20240701;000000;92.62;94.5;92.44;93.6;180800;2.06
20240702;000000;94.48;94.98;92.84;93.18;102390;2.14
20240703;000000;93.28;93.76;92;92.56;88290;1.76
20240704;000000;92.38;92.56;90.28;90.54;111230;2.28
20240705;000000;90.3;90.96;88.3;89.76;159400;2.66
20240708;000000;89.72;94.5;89.04;90.56;405170;5.46
20240709;000000;90.84;91.04;80.04;82.36;1304870;11
20240710;000000;82.36;82.64;75.66;76.28;754310;6.98
20240711;000000;76.64;85.86;76.64;85.2;729210;9.22
20240712;000000;85.44;88.8;82.18;84.86;1170770;6.62
20240715;000000;84.04;84.08;80.62;81.02;290040;3.46
20240716;000000;80.86;82.78;79.38;82.16;173640;3.4
20240717;000000;82.64;83.78;80.62;81.6;186800;3.16
20240718;000000;81.26;83.72;81.26;83.42;376730;2.46
20240719;000000;83.5;92.32;82.9;87.88;1173610;9.42
20240722;000000;88.04;92.8;88.04;88.9;263550;4.76
20240723;000000;88.9;91.86;88.3;89.68;359140;3.56
20240724;000000;89.76;91.5;87.64;88.36;227160;3.86
20240725;000000;88.36;89.96;87.58;88.42;143030;2.38
20240726;000000;88.4;90.22;82.88;86.54;590900;7.34
20240729;000000;86.34;86.5;83.44;84.16;202040;3.06
20240730;000000;84.6;85.76;83.24;85.08;104830;2.52
20240731;000000;85.08;86.08;84.5;85.66;75810;1.58
20240801;000000;85.64;86.7;84.8;85.62;122650;1.9
20240802;000000;85.62;85.62;83.52;84.12;115850;2.1
20240805;000000;83.78;83.88;80.6;81.94;181330;3.28
20240806;000000;81.52;84.04;81.5;81.92;170610;2.54
20240807;000000;82.42;86.5;80.04;85.8;342230;6.46
20240808;000000;85.3;86.4;84.06;84.24;111640;2.34
20240809;000000;84.22;85.42;83.54;83.84;50500;1.88
20240812;000000;84.8;85.18;81.96;84.94;212120;3.22
20240813;000000;85.38;86.98;84.26;86.94;158590;2.72
20240814;000000;87.04;88.48;82.64;83.98;239130;5.84
20240815;000000;83.98;85.42;81.94;82.72;109480;3.48
20240816;000000;82.72;89;82.38;83.82;635120;6.62
20240819;000000;83.78;85.44;81.14;82.02;261100;4.3
20240820;000000;82.04;84.68;81;81.5;211380;3.68
20240821;000000;81.5;82.46;80.62;81.38;248150;1.84
20240822;000000;81.74;81.74;79.42;79.8;116690;2.32
20240823;000000;79.92;80.44;75.02;77.12;313360;5.42
20240826;000000;81.86;82.46;78.2;80.58;218990;4.26
20240827;000000;80.66;82;78.5;79.58;173900;3.5
20240828;000000;79.88;83.64;78.58;79.7;585150;5.06
20240829;000000;80.08;82.76;78.1;78.76;120240;4.66
20240830;000000;79.26;79.68;77.02;77.1;110370;2.66
20240902;000000;77.2;77.58;68.32;68.9;491880;9.26
20240903;000000;69.24;72.84;68.04;69.5;406330;4.8
20240904;000000;69.64;74.24;69.32;73.56;285240;4.92
20240905;000000;73.64;76.94;72;73.16;433470;4.94
20240906;000000;73.74;74.24;72.26;73.32;105840;1.98
20240909;000000;73.66;78.52;73.66;77.5;303080;4.86
20240910;000000;78.78;78.8;76.04;76.32;142770;2.76
20240911;000000;76.84;77.42;75.44;75.52;127980;1.98
20240912;000000;75.58;75.6;73.04;74.02;93980;2.56
20240913;000000;74.4;74.56;69.82;73.28;442020;4.74
20240916;000000;73.66;75.96;72.64;74.98;270660;3.32
20240917;000000;75;75.82;74.14;75.5;157100;1.68
