<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241108;095946;91;10;11397627665;B
20241108;095946;91;40;11397627666;S
20241108;095946;91;30;11397627667;S
20241108;095946;91;30;11397627668;B
20241108;095946;91;10;11397627669;B
20241108;095946;91;10;11397627670;B
20241108;095946;91;780;11397627671;S
20241108;095946;91;40;11397627672;B
20241108;095946;91;690;11397627673;B
20241108;095946;91;1000;11397627674;B
20241108;095946;91;50;11397627675;S
20241108;095946;91;960;11397627676;S
20241108;100008;90.9;20;11397641328;S
20241108;100026;90.9;10;11397650628;S
20241108;100033;90.94;20;11397654549;B
20241108;100034;90.94;20;11397654850;S
20241108;100050;90.94;60;11397661408;S
20241108;100057;90.9;300;11397664108;S
20241108;100057;90.9;30;11397664109;S
20241108;100057;90.9;100;11397664110;S
20241108;100115;90.9;100;11397670867;S
20241108;100117;90.9;250;11397671551;S
20241108;100126;90.9;50;11397674174;S
20241108;100135;90.9;10;11397677309;S
20241108;100145;90.94;30;11397680686;B
20241108;100204;90.92;30;11397686887;B
20241108;100224;90.9;30;11397693314;S
20241108;100225;90.9;20;11397693712;S
20241108;100225;90.88;80;11397693713;S
20241108;100225;90.88;50;11397693714;S
20241108;100226;90.88;360;11397693989;S
20241108;100226;90.84;300;11397693990;S
20241108;100226;90.82;30;11397693991;S
20241108;100226;90.8;410;11397693992;S
20241108;100236;90.8;390;11397697074;S
20241108;100236;90.78;30;11397697075;S
20241108;100250;90.66;300;11397701224;S
20241108;100250;90.64;300;11397701225;S
20241108;100250;90.62;180;11397701226;S
20241108;100328;90.78;70;11397711750;B
20241108;100342;90.72;300;11397716003;S
20241108;100342;90.72;250;11397716004;S
20241108;100349;90.78;10;11397719203;B
20241108;100351;90.78;10;11397720218;S
20241108;100353;90.8;10;11397720962;B
20241108;100400;90.78;90;11397723602;S
20241108;100400;90.78;300;11397723603;S
20241108;100400;90.76;300;11397723604;S
20241108;100400;90.74;780;11397723605;S
20241108;100400;90.74;410;11397723606;B
20241108;100416;90.72;270;11397729672;S
20241108;100416;90.7;250;11397729673;S
20241108;100416;90.68;300;11397729674;S
20241108;100416;90.68;300;11397729675;S
20241108;100416;90.66;250;11397729676;S
20241108;100416;90.64;250;11397729677;S
20241108;100416;90.62;1100;11397729678;S
20241108;100416;90.62;2000;11397729679;S
20241108;100416;90.62;280;11397729680;S
20241108;100424;90.6;10;11397732677;S
20241108;100424;90.6;50;11397732678;S
20241108;100430;90.6;10;11397734554;B
20241108;100432;90.62;100;11397735069;B
20241108;100432;90.66;140;11397735070;B
20241108;100432;90.74;1500;11397735071;B
20241108;100433;90.74;150;11397735784;S
20241108;100440;90.74;10;11397738065;S
20241108;100451;90.8;30;11397741202;B
20241108;100451;90.92;30;11397741203;B
20241108;100451;90.74;60;11397741240;S
20241108;100455;90.9;560;11397742277;B
20241108;100512;90.9;270;11397747953;B
20241108;100517;90.92;10;11397750292;B
20241108;100520;90.9;30;11397751403;S
20241108;100526;90.74;250;11397753486;S
20241108;100527;90.8;10;11397753668;B
20241108;100527;90.82;90;11397753669;B
20241108;100527;90.82;450;11397753691;B
20241108;100527;90.92;30;11397753692;B
20241108;100527;90.92;120;11397753693;B
20241108;100532;90.9;250;11397755077;S
20241108;100537;90.9;20;11397756395;S
20241108;100537;90.78;680;11397756396;S
20241108;100544;90.76;150;11397758380;S
20241108;100544;90.74;790;11397758381;S
20241108;100544;90.74;10;11397758382;S
20241108;100544;90.74;10;11397758383;S
20241108;100544;90.74;110;11397758384;S
20241108;100544;90.7;300;11397758385;S
20241108;100544;90.66;300;11397758386;S
20241108;100544;90.66;300;11397758387;S
20241108;100544;90.62;300;11397758388;S
20241108;100544;90.62;330;11397758389;S
20241108;100548;90.86;10;11397759473;B
20241108;100604;90.78;340;11397763498;S
20241108;100604;90.74;120;11397763499;S
20241108;100604;90.72;120;11397763500;S
20241108;100604;90.68;10;11397763501;S
20241108;100604;90.66;10;11397763502;S
20241108;100614;90.66;200;11397765999;S
20241108;100623;90.84;10;11397768233;B
20241108;100629;90.84;10;11397769758;B
20241108;100800;90.84;90;11397790735;B
20241108;100800;90.86;320;11397790736;B
20241108;100800;90.86;220;11397790737;B
20241108;100819;90.86;80;11397795162;B
20241108;100833;90.86;10;11397798832;B
20241108;100935;90.76;10;11397814416;S
20241108;100935;90.76;200;11397814417;S
20241108;100935;90.76;60;11397814418;S
20241108;100935;90.74;10;11397814419;S
20241108;100935;90.74;20;11397814420;S
20241108;100937;90.72;10;11397814691;S
20241108;100937;90.68;190;11397814692;S
20241108;100937;90.66;110;11397814693;S
20241108;100937;90.66;50;11397814694;S
20241108;100937;90.64;500;11397814695;S
20241108;100939;90.86;10;11397815261;B
20241108;100939;90.86;10;11397815262;B
20241108;101001;90.66;10;11397820162;S
20241108;101002;90.66;10;11397820565;S
20241108;101011;90.64;170;11397822104;S
20241108;101044;90.68;10;11397829016;S
20241108;101056;90.66;10;11397832261;S
20241108;101056;90.66;490;11397832262;S
20241108;101112;90.66;10;11397836894;S
20241108;101116;90.66;100;11397837847;S
20241108;101116;90.64;20;11397837848;S
20241108;101120;90.66;10;11397838750;B
20241108;101120;90.74;10;11397838751;B
20241108;101120;90.74;20;11397838752;B
20241108;101146;90.68;80;11397844693;B
20241108;101146;90.7;1200;11397844694;B
20241108;101149;90.62;250;11397845218;S
20241108;101200;90.62;30;11397848472;S
20241108;101206;90.6;200;11397849941;S
20241108;101219;90.6;150;11397852918;S
20241108;101241;90.6;140;11397857693;S
20241108;101241;90.6;250;11397857694;S
20241108;101241;90.56;250;11397857695;S
20241108;101241;90.54;10;11397857696;S
20241108;101241;90.54;10;11397857697;S
20241108;101241;90.54;30;11397857698;S
20241108;101241;90.52;70;11397857699;S
20241108;101324;90.5;490;11397867196;S
20241108;101324;90.5;10;11397867197;S
20241108;101324;90.5;50;11397867198;S
20241108;101324;90.5;50;11397867199;S
20241108;101340;90.46;20;11397869963;S
20241108;101340;90.44;630;11397869964;S
20241108;101340;90.44;70;11397869965;S
20241108;101340;90.42;180;11397869966;S
20241108;101340;90.42;10;11397869967;S
20241108;101340;90.42;80;11397869968;S
20241108;101340;90.42;1000;11397869969;S
20241108;101340;90.42;150;11397869970;S
20241108;101407;90.48;10;11397875506;B
20241108;101409;90.5;10;11397875797;B
20241108;101429;90.5;10;11397879604;B
20241108;101450;90.48;10;11397883720;S
20241108;101451;90.48;10;11397883900;B
20241108;101500;90.46;10;11397885929;S
20241108;101503;90.44;10;11397886559;S
20241108;101503;90.42;100;11397886560;S
20241108;101521;90.42;10;11397892651;S
20241108;101521;90.42;20;11397892652;S
20241108;101521;90.42;10;11397892653;S
20241108;101521;90.4;10;11397892654;S
20241108;101521;90.4;20;11397892655;S
20241108;101537;90.4;820;11397898134;B
20241108;101548;90.34;500;11397902086;S
20241108;101548;90.34;30;11397902087;S
20241108;101548;90.34;10;11397902088;S
20241108;101623;90.32;150;11397912770;S
20241108;101623;90.3;10;11397912771;S
20241108;101623;90.3;10;11397912772;S
20241108;101623;90.3;10;11397912773;S
20241108;101623;90.3;10;11397912774;S
20241108;101623;90.28;170;11397912775;S
20241108;101623;90.28;10;11397912776;S
20241108;101623;90.26;50;11397912777;S
20241108;101623;90.26;170;11397912778;S
20241108;101623;90.24;80;11397912779;S
20241108;101623;90.24;420;11397912780;S
20241108;101623;90.22;340;11397912781;S
20241108;101623;90.22;180;11397912782;S
20241108;101623;90.22;300;11397912783;S
20241108;101623;90.2;340;11397912784;S
20241108;101623;90.2;10;11397912785;S
20241108;101623;90.2;10;11397912786;S
20241108;101623;90.18;340;11397912787;S
20241108;101623;90.18;300;11397912788;S
20241108;101623;90.16;340;11397912789;S
20241108;101623;90.16;30;11397912790;S
20241108;101623;90.16;300;11397912791;S
20241108;101623;90.14;340;11397912792;S
20241108;101623;90.12;340;11397912793;S
20241108;101623;90.12;1110;11397912794;S
20241108;101623;90.12;50;11397912795;S
20241108;101623;90.12;300;11397912796;S
20241108;101623;90.1;10;11397912797;S
20241108;101623;90.1;340;11397912798;S
20241108;101623;90.1;10;11397912799;S
20241108;101623;90.1;500;11397912800;S
20241108;101623;90.1;200;11397912801;S
20241108;101623;90.1;900;11397912802;S
20241108;101623;90.08;340;11397912803;S
20241108;101623;90.08;200;11397912804;S
20241108;101623;90.08;10;11397912805;S
20241108;101623;90.06;80;11397912806;S
20241108;101623;90.06;340;11397912807;S
20241108;101623;90.06;200;11397912808;S
20241108;101623;90.06;300;11397912809;S
20241108;101623;90.06;300;11397912810;S
20241108;101623;90.04;340;11397912811;S
20241108;101623;90.04;60;11397912812;S
