<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241224;095959;473.6;1;11802913495;S
20241224;095959;473.6;2;11802913496;S
20241224;095959;473.6;7;11802913497;B
20241224;095959;473.6;15;11802913498;B
20241224;095959;473.6;1;11802913499;B
20241224;095959;473.6;5;11802913500;B
20241224;095959;473.6;4;11802913501;S
20241224;095959;473.6;3;11802913502;S
20241224;095959;473.6;1;11802913503;S
20241224;095959;473.6;105;11802913504;S
20241224;095959;473.6;3;11802913505;S
20241224;095959;473.6;1;11802913506;S
20241224;095959;473.6;6;11802913507;B
20241224;095959;473.6;5;11802913508;B
20241224;095959;473.6;2;11802913509;B
20241224;095959;473.6;2;11802913510;B
20241224;095959;473.6;25;11802913511;B
20241224;095959;473.6;2;11802913512;B
20241224;100004;473.6;1;11802915836;S
20241224;100004;473.6;3;11802916022;S
20241224;100004;473.6;8;11802916323;S
20241224;100005;473.6;1;11802916673;S
20241224;100005;473.6;1;11802916821;S
20241224;100005;473.95;1;11802916822;B
20241224;100005;474;7;11802917135;B
20241224;100006;474;1;11802918332;B
20241224;100007;473.6;30;11802919842;S
20241224;100017;473.95;3;11802924158;B
20241224;100023;473.95;2;11802926011;B
20241224;100023;474;10;11802926012;B
20241224;100023;474.25;1;11802926013;B
20241224;100023;474.35;60;11802926014;B
20241224;100023;474.6;60;11802926015;B
20241224;100023;474.65;10;11802926016;B
20241224;100023;474.85;60;11802926017;B
20241224;100023;474.9;2;11802926018;B
20241224;100023;475;15;11802926019;B
20241224;100025;473.6;8;11802926856;S
20241224;100035;474.25;10;11802929776;B
20241224;100035;474.3;5;11802929777;B
20241224;100035;474.35;85;11802929778;B
20241224;100048;473.6;1;11802933157;S
20241224;100049;473.6;2;11802933467;S
20241224;100049;473.6;1;11802933468;S
20241224;100101;474.2;1;11802936803;B
20241224;100102;473.65;2;11802937201;S
20241224;100113;474.15;7;11802940639;B
20241224;100113;474.2;2;11802940640;B
20241224;100113;474.2;1;11802940923;B
20241224;100114;473.7;1;11802941093;S
20241224;100114;473.65;3;11802941094;S
20241224;100114;473.65;20;11802941095;S
20241224;100114;473.65;40;11802941096;S
20241224;100114;473.6;36;11802941097;S
20241224;100114;474.2;1;11802941170;B
20241224;100115;473.6;1;11802941494;S
20241224;100116;473.6;1;11802942090;S
20241224;100116;473.6;1;11802942300;S
20241224;100118;474.2;5;11802943007;B
20241224;100118;474.35;1;11802943008;B
20241224;100118;474.5;9;11802943009;B
20241224;100118;474.55;40;11802943010;B
20241224;100118;474.55;119;11802943011;B
20241224;100118;473.6;1;11802943200;S
20241224;100119;473.6;383;11802943228;S
20241224;100119;473.6;1;11802943229;S
20241224;100119;473.6;7;11802943230;S
20241224;100119;473.5;2;11802943369;S
20241224;100120;473.4;1;11802943838;S
20241224;100120;473.2;5;11802943848;S
20241224;100120;473.05;36;11802943849;S
20241224;100120;473;20;11802943850;S
20241224;100120;472.7;1;11802943861;S
20241224;100121;472.65;1;11802944126;S
20241224;100122;472.65;4;11802944818;S
20241224;100122;472.6;8;11802944819;S
20241224;100123;472.6;1;11802944984;S
20241224;100125;473.3;10;11802945927;B
20241224;100125;473.6;8;11802945928;B
20241224;100125;473.65;50;11802945929;B
20241224;100125;473.95;60;11802945930;B
20241224;100125;474.05;46;11802945931;B
