<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241107;120950;4299;1;11393343394;S
20241107;120950;4299;3;11393343395;S
20241107;120950;4299;19;11393343396;S
20241107;120950;4299;1;11393343397;S
20241107;120950;4299;3;11393343398;S
20241107;120950;4299;2;11393343399;S
20241107;120950;4299;5;11393343400;B
20241107;120950;4299;1;11393343401;B
20241107;120950;4299;6;11393343402;B
20241107;120950;4299;2;11393343403;S
20241107;120950;4299;8;11393343404;B
20241107;120950;4299;1;11393343405;B
20241107;120950;4299;100;11393343406;B
20241107;120950;4299;114;11393343407;S
20241107;120950;4299;2;11393343408;S
20241107;120950;4299;3;11393343409;S
20241107;120950;4299;1;11393343410;S
20241107;120950;4299;4;11393343411;S
20241107;120950;4299;1;11393343412;S
20241107;120950;4299;1;11393343413;B
20241107;120950;4299;50;11393343414;B
20241107;120950;4299;2;11393343415;B
20241107;120950;4299;50;11393343416;B
20241107;120950;4299;1;11393343417;B
20241107;120950;4299;1;11393343418;S
20241107;120950;4299;2;11393343419;S
20241107;120950;4299;1;11393343420;S
20241107;120950;4299;10;11393343421;S
20241107;120950;4299;10;11393343422;B
20241107;120950;4299;1;11393343423;B
20241107;120950;4299;12;11393343424;B
20241107;120950;4299;1;11393343425;B
20241107;120950;4299;1;11393343426;B
20241107;120950;4299;1;11393343427;B
20241107;120950;4299;1;11393343428;S
20241107;120950;4299;7;11393343429;S
20241107;120950;4299;5;11393343430;B
20241107;120950;4299;7;11393343431;B
20241107;121001;4298;3;11393346873;S
20241107;121001;4298;1;11393346874;S
20241107;121001;4298;1;11393346875;S
20241107;121001;4298;3;11393346876;S
20241107;121003;4299;88;11393348609;B
20241107;121003;4300;25;11393348610;B
20241107;121003;4302;1;11393348611;B
20241107;121003;4307;1;11393348612;B
20241107;121003;4308;1;11393348613;B
20241107;121003;4309;1;11393348614;B
20241107;121003;4310;10;11393348615;B
20241107;121003;4310;3;11393348616;B
20241107;121003;4311;3;11393348617;B
20241107;121003;4311;2;11393348618;B
20241107;121003;4311;24;11393348619;B
20241107;121003;4312;1;11393348620;B
20241107;121003;4312;31;11393348621;B
20241107;121003;4313;39;11393348622;B
20241107;121003;4313;2;11393348739;B
20241107;121004;4307;1;11393350365;S
20241107;121005;4302;1;11393351936;B
20241107;121007;4300;3;11393355277;S
20241107;121008;4302;1;11393355802;B
20241107;121009;4299;1;11393357087;S
20241107;121010;4302;1;11393357630;B
20241107;121010;4311;2;11393357633;B
20241107;121010;4311;1;11393357650;B
20241107;121011;4301;9;11393357848;S
20241107;121011;4311;1;11393357876;B
20241107;121011;4311;1;11393357889;B
20241107;121011;4311;1;11393357895;B
20241107;121011;4311;1;11393357924;B
20241107;121011;4311;3;11393357986;B
20241107;121011;4311;3;11393357990;B
20241107;121011;4312;24;11393357991;B
20241107;121011;4312;50;11393357992;B
20241107;121011;4312;50;11393357993;B
20241107;121011;4312;4;11393357994;B
20241107;121011;4313;69;11393357995;B
20241107;121011;4310;2;11393358125;B
20241107;121011;4302;6;11393358126;S
20241107;121011;4310;1;11393358127;B
20241107;121011;4302;3;11393358128;S
20241107;121013;4310;3;11393359347;B
20241107;121013;4310;1;11393359353;B
20241107;121014;4303;4;11393360204;S
20241107;121014;4302;2;11393360205;S
20241107;121014;4310;3;11393360289;B
20241107;121014;4310;1;11393360291;B
20241107;121014;4311;20;11393360292;B
20241107;121014;4312;7;11393360293;B
20241107;121014;4312;1;11393360298;B
20241107;121014;4312;2;11393360305;B
20241107;121014;4302;1;11393360309;S
20241107;121014;4302;11;11393360310;S
20241107;121014;4301;12;11393360311;S
20241107;121014;4301;5;11393360312;S
20241107;121014;4301;7;11393360313;S
20241107;121014;4301;14;11393360314;S
20241107;121014;4300;1;11393360385;S
20241107;121014;4311;5;11393360386;B
20241107;121014;4301;2;11393360392;S
20241107;121015;4301;1;11393360815;S
20241107;121019;4302;5;11393362391;S
20241107;121021;4308;1;11393363500;B
20241107;121021;4309;1;11393363501;B
20241107;121025;4309;11;11393365277;B
20241107;121025;4310;4;11393365278;B
20241107;121025;4310;5;11393365279;B
20241107;121029;4309;6;11393367020;B
20241107;121029;4310;9;11393367021;B
20241107;121029;4311;10;11393367022;B
20241107;121029;4312;5;11393367023;B
20241107;121029;4312;7;11393367024;B
20241107;121029;4312;2;11393367025;B
20241107;121029;4312;4;11393367026;B
20241107;121029;4313;47;11393367027;B
20241107;121035;4312;10;11393369413;B
20241107;121036;4308;5;11393369812;S
20241107;121037;4310;2;11393370275;S
20241107;121039;4311;1;11393370803;B
20241107;121041;4311;4;11393371364;B
20241107;121041;4312;38;11393371365;B
20241107;121045;4310;40;11393372973;B
20241107;121045;4310;33;11393372974;B
20241107;121045;4310;27;11393372975;B
20241107;121045;4310;1;11393372979;B
20241107;121046;4310;1;11393373481;B
20241107;121046;4307;4;11393373523;S
20241107;121046;4307;4;11393373524;S
20241107;121046;4306;15;11393373525;S
20241107;121046;4305;12;11393373526;S
20241107;121046;4305;12;11393373527;S
20241107;121046;4305;20;11393373528;S
20241107;121046;4305;1;11393373529;S
20241107;121048;4308;3;11393374201;B
20241107;121054;4308;1;11393376280;B
20241107;121054;4305;1;11393376317;S
20241107;121054;4304;6;11393376318;S
20241107;121059;4306;1;11393377968;B
20241107;121059;4307;1;11393377969;B
20241107;121100;4307;1;11393378376;B
20241107;121103;4307;10;11393379605;B
20241107;121103;4308;1;11393379755;B
20241107;121104;4305;12;11393380136;S
20241107;121104;4305;5;11393380137;S
20241107;121104;4304;44;11393380138;S
20241107;121104;4304;16;11393380139;S
20241107;121105;4302;3;11393380485;S
20241107;121111;4303;6;11393382413;B
20241107;121111;4303;44;11393382596;B
20241107;121111;4303;1;11393382729;B
20241107;121113;4303;15;11393383321;B
20241107;121121;4303;1;11393385326;B
20241107;121122;4303;1;11393385584;B
20241107;121125;4303;2;11393386305;B
20241107;121125;4303;3;11393386306;B
20241107;121127;4303;1;11393386811;B
20241107;121129;4303;1;11393387215;B
20241107;121131;4302;4;11393387879;S
20241107;121132;4303;6;11393388152;B
20241107;121132;4303;10;11393388153;B
20241107;121132;4303;14;11393388154;B
20241107;121135;4303;10;11393388834;B
20241107;121138;4303;2;11393389647;B
20241107;121138;4304;9;11393389648;B
20241107;121140;4304;1;11393389920;B
20241107;121141;4304;1;11393390429;B
20241107;121143;4303;10;11393390734;S
20241107;121143;4304;3;11393390787;B
20241107;121144;4303;2;11393391253;S
20241107;121144;4302;3;11393391254;S
20241107;121146;4302;6;11393391596;S
20241107;121146;4303;2;11393391874;B
20241107;121150;4302;9;11393393276;S
20241107;121152;4302;5;11393393888;S
20241107;121152;4302;7;11393393889;S
20241107;121153;4303;10;11393394340;B
20241107;121153;4303;1;11393394341;B
20241107;121155;4304;12;11393394883;B
20241107;121157;4304;1;11393395901;B
20241107;121209;4304;2;11393399853;B
20241107;121210;4304;2;11393400162;B
20241107;121211;4304;10;11393400480;B
20241107;121212;4304;1;11393400527;B
20241107;121212;4304;10;11393400638;B
20241107;121212;4304;11;11393400674;B
20241107;121213;4303;11;11393401040;S
20241107;121213;4303;12;11393401041;S
20241107;121213;4303;3;11393401042;S
20241107;121213;4302;2;11393401043;S
20241107;121213;4302;22;11393401044;S
20241107;121215;4303;2;11393401366;B
20241107;121215;4304;12;11393401367;B
20241107;121216;4304;7;11393401972;B
20241107;121217;4303;4;11393402355;S
20241107;121217;4302;1;11393402356;S
20241107;121217;4301;10;11393402357;S
20241107;121217;4301;18;11393402358;S
20241107;121217;4301;484;11393402359;S
20241107;121217;4300;1000;11393402360;S
20241107;121217;4300;1;11393402361;S
20241107;121217;4298;20;11393402380;S
20241107;121219;4300;3;11393402990;B
20241107;121223;4298;3;11393404365;S
20241107;121223;4298;1;11393404366;S
20241107;121223;4298;1;11393404367;S
20241107;121223;4298;5;11393404368;S
20241107;121225;4299;1;11393404889;S
20241107;121225;4299;23;11393404890;S
20241107;121226;4300;116;11393405358;B
20241107;121229;4300;9;11393406365;B
20241107;121229;4300;12;11393406392;B
20241107;121231;4300;1;11393407028;B
20241107;121233;4298;83;11393407433;S
20241107;121233;4298;2;11393407590;B
20241107;121234;4298;1;11393407899;B
20241107;121235;4298;1;11393408051;B
20241107;121236;4297;1;11393408462;S
20241107;121236;4297;1;11393408463;S
20241107;121236;4297;3;11393408464;S
20241107;121236;4297;1;11393408465;S
20241107;121236;4297;1;11393408466;S
20241107;121236;4297;8;11393408467;S
20241107;121236;4297;1;11393408468;S
