<DATE>,<TIME>,<LAST>,<VOL>,<ID>,<OPER>
20241009,095949,869.9,2,11277256425,S
20241009,095949,869.9,11,11277256426,S
20241009,095949,869.9,1,11277256427,S
20241009,095949,869.9,2,11277256428,S
20241009,095949,869.9,1,11277256429,S
20241009,095949,869.9,5,11277256430,S
20241009,095949,869.9,5,11277256431,S
20241009,095949,869.9,1,11277256432,S
20241009,095949,869.9,1,11277256433,S
20241009,095949,869.9,3,11277256434,S
20241009,095949,869.9,18,11277256435,S
20241009,095949,869.9,1,11277256436,S
20241009,095949,869.9,11,11277256437,B
20241009,100003,869.9,2,11277259174,B
20241009,100003,868.4,1,11277259176,S
20241009,100003,869.9,1,11277259479,B
20241009,100004,868.4,1,11277260394,S
20241009,100004,867.9,10,11277260395,S
20241009,100005,868.3,1,11277261537,S
20241009,100005,868.2,1,11277261538,S
20241009,100005,868.1,58,11277261539,S
20241009,100005,868.1,10,11277261540,S
20241009,100005,868.1,5,11277261542,S
20241009,100005,869.9,1,11277261990,B
20241009,100005,869.9,1,11277261992,B
20241009,100005,870,1,11277261994,B
20241009,100005,869.9,3,11277262258,B
20241009,100006,868.5,20,11277262555,S
20241009,100006,870,16,11277263199,B
20241009,100006,870,1,11277263200,B
20241009,100006,870,5,11277263201,B
20241009,100013,870,10,11277264602,S
20241009,100018,870,4,11277265756,S
20241009,100021,870,4,11277266439,S
20241009,100021,870,1,11277266440,S
20241009,100024,869.7,1,11277267390,B
20241009,100024,869.9,1,11277267391,B
20241009,100024,870.1,1,11277267392,B
20241009,100024,871.1,1,11277267393,B
20241009,100024,871.2,1,11277267394,B
20241009,100024,871.2,44,11277267435,B
20241009,100024,871.3,1,11277267436,B
20241009,100024,871.3,15,11277267437,B
20241009,100024,871.2,1,11277267441,B
20241009,100024,871.3,45,11277267442,B
20241009,100024,871.3,17,11277267443,B
20241009,100024,871.3,37,11277267444,B
20241009,100024,871.7,1,11277267500,B
20241009,100024,871.7,4,11277267509,B
20241009,100024,871.7,5,11277267510,B
20241009,100024,871.7,41,11277267511,B
20241009,100032,871.8,90,11277269017,B
20241009,100032,871.9,1,11277269018,B
20241009,100038,871.5,101,11277270221,S
20241009,100038,871.2,16,11277270222,S
20241009,100038,871,5,11277270223,S
20241009,100038,870.5,70,11277270224,S
20241009,100038,870.4,60,11277270225,S
20241009,100038,869.4,10,11277270226,S
20241009,100038,869.3,5,11277270227,S
20241009,100038,869.3,5,11277270228,S
20241009,100038,869,1,11277270229,S
20241009,100038,868.6,58,11277270230,S
20241009,100038,868.5,60,11277270231,S
20241009,100038,868.5,300,11277270232,S
20241009,100038,868.4,100,11277270233,S
20241009,100038,867.8,60,11277270234,S
20241009,100038,867.4,10,11277270235,S
20241009,100038,867.3,200,11277270236,S
20241009,100038,867.3,78,11277270237,S
20241009,100038,867.2,20,11277270238,S
20241009,100038,867.1,500,11277270239,S
20241009,100038,867.1,5,11277270240,S
20241009,100038,867,1,11277270241,S
20241009,100038,867,1,11277270242,S
20241009,100038,866.9,11,11277270243,S
20241009,100038,866.5,1,11277270244,S
20241009,100038,866.5,1,11277270245,S
20241009,100038,866.5,4,11277270246,S
20241009,100038,866.5,10,11277270247,S
20241009,100038,866.5,1,11277270248,S
