<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241023;095937;846.3;2;11328169531;B
20241023;095937;846.3;1;11328169532;B
20241023;095937;846.3;2;11328169533;B
20241023;095937;846.3;1;11328169534;B
20241023;095937;846.3;3;11328169535;B
20241023;095937;846.3;2;11328169536;B
20241023;095937;846.3;1;11328169537;B
20241023;095937;846.3;4;11328169538;S
20241023;095937;846.3;3;11328169539;B
20241023;095937;846.3;1;11328169540;S
20241023;095937;846.3;5;11328169541;S
20241023;095937;846.3;1;11328169542;S
20241023;100004;847;1;11328181736;B
20241023;100006;846.3;4;11328183727;S
20241023;100006;846.3;106;11328183728;S
20241023;100006;846.3;6;11328183833;S
20241023;100006;846.5;1;11328183886;S
20241023;100006;846.4;9;11328183887;S
20241023;100006;846.4;1;11328184435;S
20241023;100006;847;1;11328184439;B
20241023;100006;847.9;1;11328184440;B
20241023;100006;848;1;11328184441;B
20241023;100006;848;1;11328184518;B
20241023;100006;848.9;5;11328184519;B
20241023;100006;848.9;6;11328184520;B
20241023;100006;846.5;1;11328184521;S
20241023;100006;846.5;1;11328184522;S
20241023;100006;846.5;1;11328184523;S
20241023;100008;848.4;3;11328185513;B
20241023;100008;848.4;16;11328185514;B
20241023;100020;848.7;4;11328187998;B
20241023;100021;848.7;1;11328188181;B
20241023;100029;848.6;2;11328190242;B
20241023;100029;848.6;1;11328190432;B
20241023;100037;848.6;1;11328192783;B
20241023;100041;848.4;1;11328193865;S
20241023;100041;848.4;23;11328193866;S
20241023;100041;848.5;3;11328193977;B
20241023;100041;848.4;52;11328193980;S
20241023;100048;848.2;1;11328195664;B
20241023;100049;848.2;2;11328195883;B
20241023;100049;848.2;1;11328196018;B
20241023;100049;848.2;2;11328196024;B
20241023;100055;847.3;1;11328197204;S
20241023;100058;847.3;4;11328197890;S
20241023;100058;847;5;11328197891;S
20241023;100058;846.9;1;11328197892;S
20241023;100105;848.2;5;11328199906;B
20241023;100111;848.2;14;11328200860;B
20241023;100111;848.2;4;11328200861;B
20241023;100111;848.3;2;11328200862;S
20241023;100115;848.3;2;11328201543;B
20241023;100137;848.1;2;11328205136;B
20241023;100138;848.1;3;11328205267;B
20241023;100149;848.1;15;11328207578;B
20241023;100149;848.1;3;11328207605;B
20241023;100153;848.1;6;11328208415;B
20241023;100153;848.1;1;11328208457;B
20241023;100159;848.1;5;11328209694;S
20241023;100159;847.9;1;11328209695;S
20241023;100159;847.9;6;11328209696;S
20241023;100159;847.8;3;11328209697;S
20241023;100159;847.8;6;11328209698;S
20241023;100159;847.6;12;11328209699;S
20241023;100205;847.5;5;11328210637;S
20241023;100205;847.3;1;11328210638;S
20241023;100205;847.3;6;11328210639;S
20241023;100205;847.2;5;11328210640;S
20241023;100205;847.2;6;11328210641;S
20241023;100205;846.7;5;11328210642;S
20241023;100205;846.5;4;11328210643;S
20241023;100205;846.5;16;11328210644;S
20241023;100205;846.5;11;11328210645;S
20241023;100205;846.4;3;11328210646;S
20241023;100218;846.8;2;11328213302;S
20241023;100218;846.6;6;11328213303;S
20241023;100218;846.5;14;11328213304;S
20241023;100218;846.5;6;11328213305;S
20241023;100220;846.4;2;11328213806;S
20241023;100220;846.4;5;11328213807;S
20241023;100220;846.3;3;11328213808;S
20241023;100221;846.4;1;11328214037;S
20241023;100221;846.3;16;11328214038;S
20241023;100227;847.1;1;11328215097;B
20241023;100227;847.2;1;11328215098;B
20241023;100235;847.3;2;11328216552;B
20241023;100304;847;10;11328221366;S
20241023;100310;847;5;11328222503;S
20241023;100328;847.2;1;11328226107;B
20241023;100329;847;8;11328226347;S
20241023;100329;846.8;5;11328226348;S
20241023;100329;846.5;1;11328226349;S
20241023;100329;846.5;5;11328226350;S
20241023;100329;846.5;10;11328226351;S
20241023;100329;846.5;1;11328226352;S
20241023;100329;846.4;1;11328226353;S
20241023;100329;846.4;1;11328226354;S
20241023;100329;846.4;1;11328226355;S
20241023;100329;846.3;100;11328226356;S
20241023;100329;846.3;60;11328226357;S
20241023;100329;846.3;188;11328226358;S
20241023;100329;846.2;2;11328226359;S
20241023;100329;846.2;2;11328226360;S
20241023;100329;846.2;1;11328226361;S
20241023;100329;846.2;4;11328226362;S
20241023;100329;846.2;174;11328226363;S
20241023;100330;847;60;11328226481;B
20241023;100330;847.1;40;11328226482;B
20241023;100333;847;10;11328227037;B
20241023;100341;847.1;2;11328228275;B
20241023;100344;847;1;11328228745;S
20241023;100354;847.3;1;11328230340;B
20241023;100354;847.3;3;11328230341;B
20241023;100354;847.3;6;11328230342;B
20241023;100410;847.2;9;11328232751;B
20241023;100410;847.2;5;11328232799;B
20241023;100417;847;4;11328233630;S
20241023;100417;847;1;11328233631;S
20241023;100417;846.5;18;11328233632;S
20241023;100417;846.4;5;11328233633;S
20241023;100425;846.4;11;11328234760;S
20241023;100434;847.1;20;11328235959;B
20241023;100447;847.1;10;11328238099;B
20241023;100447;847.1;7;11328238100;B
20241023;100447;847.2;3;11328238101;B
20241023;100447;846.5;5;11328238158;S
20241023;100447;846.5;4;11328238159;S
20241023;100454;846.5;10;11328239346;S
20241023;100454;846.5;1;11328239347;S
20241023;100454;846.3;1;11328239348;S
20241023;100454;846.3;10;11328239349;S
20241023;100454;846.3;1;11328239350;S
20241023;100454;846.3;41;11328239351;S
20241023;100456;847.3;3;11328239685;B
20241023;100504;847.2;1;11328241077;B
20241023;100505;846.6;23;11328241384;S
20241023;100515;847.2;9;11328243144;B
20241023;100515;847.3;21;11328243145;B
20241023;100515;847.3;1;11328243146;B
20241023;100527;848;1;11328245301;B
20241023;100527;848;4;11328245372;B
20241023;100529;848;1;11328245763;B
20241023;100538;847.7;5;11328247575;B
20241023;100538;847.8;5;11328247576;B
20241023;100554;847.2;4;11328251433;B
20241023;100554;847.3;4;11328251434;B
20241023;100558;847;4;11328252290;B
20241023;100558;847.1;6;11328252291;B
20241023;100559;846.6;1;11328252389;S
20241023;100609;846.6;26;11328254907;S
20241023;100609;846.5;1;11328254908;S
20241023;100609;846.4;1;11328254909;S
20241023;100610;846.3;10;11328255153;S
20241023;100610;846.2;418;11328255154;S
20241023;100610;846.2;7;11328255155;S
20241023;100610;846.2;1;11328255156;S
20241023;100610;846.2;10;11328255157;S
20241023;100610;846.2;1;11328255158;S
20241023;100610;846.2;20;11328255159;S
20241023;100610;846.2;3;11328255160;S
20241023;100610;846.2;1;11328255161;S
20241023;100610;846.1;10;11328255162;S
20241023;100610;846.1;1;11328255163;S
20241023;100610;846;2;11328255164;S
20241023;100610;846;2;11328255165;S
20241023;100610;846;1;11328255166;S
20241023;100610;846;1;11328255167;S
20241023;100610;846;3;11328255168;S
20241023;100610;845.9;9;11328255169;S
20241023;100610;846.1;2;11328255277;B
20241023;100611;846.1;1;11328255399;B
20241023;100612;845;1;11328255649;S
20241023;100612;845;1;11328255650;S
20241023;100612;845;1;11328255651;S
20241023;100612;845;2;11328255652;S
20241023;100612;845;2;11328255653;S
20241023;100612;845;4;11328255654;S
20241023;100612;845;3;11328255655;S
20241023;100612;845;2;11328255656;S
20241023;100612;845;1;11328255657;S
20241023;100612;845;1;11328255658;S
20241023;100612;845;12;11328255659;S
20241023;100613;845;8;11328255957;S
20241023;100613;845;1;11328255958;S
20241023;100613;845;1;11328255959;S
20241023;100613;845;20;11328255960;S
20241023;100615;845;10;11328256351;S
20241023;100615;845.5;1;11328256360;B
20241023;100615;845.6;1;11328256361;B
20241023;100615;844.9;1;11328256362;S
20241023;100615;844.3;4;11328256363;S
20241023;100615;844.2;5;11328256364;S
20241023;100617;845;2;11328256841;B
20241023;100618;844.9;1;11328257235;B
20241023;100619;844.4;5;11328257384;S
