<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<ATR>
20231204;000000;2729.5;2795;2685;2707;376964;110
20231205;000000;2717.5;2745;2671;2737.5;215353;74
20231206;000000;2750;2769;2675;2697.5;287988;94
20231207;000000;2698;2711.5;2617.5;2640;250355;94
20231208;000000;2657.5;2705;2641;2673;139791;64
20231211;000000;2673;2684.5;2491.5;2510;756824;193
20231212;000000;2509.5;2596;2494.5;2566.5;439292;101.5
20231213;000000;2559;2634;2542;2617;270497;92
20231214;000000;2628.5;2648.5;2522.5;2539;288074;126
20231215;000000;2536;2644.5;2523;2630.5;275873;121.5
20231218;000000;2628.5;2715;2628.5;2700.5;353268;86.5
20231219;000000;2706.5;2735;2651.5;2695;268513;83.5
20231220;000000;2697.5;2715;2669.5;2678;131458;45.5
20231221;000000;2670;2673.5;2604.5;2633;233071;69
20231222;000000;2620.5;2655;2615.5;2632;141298;39.5
20231225;000000;2631;2682;2630;2662;294104;52
20231226;000000;2662;2674.5;2629;2661.5;126013;45.5
20231227;000000;2662;2694.5;2632.5;2688.5;250714;62
20231228;000000;2690.5;2820.5;2690;2799;600598;130.5
20231229;000000;2802.5;2850;2762.5;2804.5;373131;87.5
20240103;000000;2810;2840.5;2806.5;2825.5;99728;34
20240104;000000;2833.5;2839.5;2808;2819.5;63901;31.5
20240105;000000;2822;2825.5;2777.5;2805;73297;48
20240108;000000;2805;2824;2801;2819.5;72342;23
20240109;000000;2821.5;2890;2821.5;2874;233127;68.5
20240110;000000;2876;2948;2875;2907;306586;73
20240111;000000;2907;2973.5;2883;2938.5;282093;90.5
20240112;000000;2945;2960;2910;2931;150654;50
20240115;000000;2978.5;3053;2969;3035;795130;84
20240116;000000;3034;3035;2898.5;2920.5;585800;136.5
20240117;000000;2922;2938;2865;2917;309458;73
20240118;000000;2922;2924;2822.5;2829;422156;101.5
20240119;000000;2828;2867.5;2802;2827.5;344608;65.5
20240122;000000;2830;2874;2823.5;2847;292773;50.5
20240123;000000;2855;2875;2779.5;2794.5;457096;95.5
20240124;000000;2797.5;2832;2751;2793.5;337250;81
20240125;000000;2797.5;2809;2736;2785;340453;73
20240126;000000;2807;2859;2791.5;2836;503495;67.5
20240129;000000;2849.5;2896.5;2849;2886;353227;47.5
20240130;000000;2879.5;2930;2831;2911.5;655479;99
20240131;000000;2916.5;2932.5;2881.5;2909.5;357176;51
20240201;000000;2913.5;2941;2892.5;2899;256234;48.5
20240202;000000;2899;2914;2863;2878.5;164488;51
20240205;000000;2870.5;2926.5;2800.5;2887;373051;126
20240206;000000;2891;2899;2861.5;2868;156073;37.5
20240207;000000;2864;2891;2852;2877.5;227875;39
20240208;000000;2879.5;2889;2803.5;2814.5;341996;85.5
20240209;000000;2814;2866.5;2780;2837;265295;86.5
20240212;000000;2865.5;2996.5;2847.5;2994.5;1062570;149
20240213;000000;2996.5;3157;2982;3154.5;1943088;175
20240214;000000;3154.5;3199;3060;3086;1569069;139
20240215;000000;3090;3179;3051;3140.5;942194;128
20240216;000000;3143.5;3178;3095;3128;601226;83
20240219;000000;3125.5;3160;3086;3114.5;330999;74
20240220;000000;3115;3218.5;3060.5;3088;883196;158
20240221;000000;3088;3117.5;2966.5;3035;741872;151
20240222;000000;3028;3107;3005;3059.5;412504;102
20240226;000000;3110;3134;3083;3133;299328;51
20240227;000000;3138.5;3175.5;3112;3169.5;327157;63.5
20240228;000000;3177;3190;3126.5;3133.5;292714;63.5
20240229;000000;3133;3249.5;3122.5;3216;494846;127
20240301;000000;3232.5;3290;3217;3270;499767;73
20240304;000000;3286;3400;3280;3397.5;722556;120
20240305;000000;3394.5;3395;3310;3334;542076;85
20240306;000000;3326;3341;3292.5;3309.5;204822;48.5
20240307;000000;3307.5;3337.5;3287;3335;187969;50.5
20240311;000000;3340;3378;3296;3315;323634;82
20240312;000000;3300.5;3314;3273.5;3291.5;215380;40.5
20240313;000000;3291;3337;3283.5;3291.5;207005;53.5
20240314;000000;3294.5;3322;3221.5;3237.5;300898;100.5
20240315;000000;3240;3326;3222;3302;281085;104
20240318;000000;3300;3374;3283;3365;366665;91
20240319;000000;3362;3421;3331;3390;803251;90
20240320;000000;3390;3512;3385.5;3509.5;943364;126.5
20240321;000000;3500;3562;3461;3540.5;757147;101
20240322;000000;3541.5;3547.5;3421;3449;456834;126.5
20240325;000000;3469.5;3543;3455.5;3542.5;296938;87.5
20240326;000000;3549.5;3643;3545;3630.5;669217;98
20240327;000000;3635;3705;3612.5;3702.5;432780;92.5
20240328;000000;3707;3834;3700;3794;775656;134
20240329;000000;3802;3807.5;3707.5;3789;502260;100
20240401;000000;3809;3904;3800;3874.5;628422;104
20240402;000000;3876;3907.5;3815;3845.5;532269;92.5
20240403;000000;3845;3850;3737.5;3788;443149;112.5
20240404;000000;3784.5;3891.5;3755;3858;410433;136.5
20240405;000000;3856;3919;3825.5;3866.5;422150;93.5
20240408;000000;3884;3928.5;3794;3838;572123;134.5
20240409;000000;3844;3855;3720.5;3751.5;769220;134.5
20240410;000000;3756;3820;3700.5;3797;545587;119.5
20240411;000000;3807;3814.5;3740;3753;219917;74.5
20240412;000000;3756;3763;3682.5;3713;585788;80.5
20240415;000000;3714;3838;3714;3831.5;531714;124
20240416;000000;3849.5;3869.5;3803.5;3848;322257;66
20240417;000000;3848;3921;3818.5;3882.5;445347;102.5
20240418;000000;3901;4004.5;3883.5;3990;919022;121
20240419;000000;4001;4111;3951;4086;810408;160
20240422;000000;4100.5;4198;4071;4169;524154;127
20240423;000000;4180;4204;4071.5;4090;423035;132.5
20240424;000000;4090;4104;3987;4007.5;638688;117
20240425;000000;4018;4175;4018;4164.5;653248;157
20240426;000000;4164;4270;4131.5;4227.5;675270;138.5
20240427;000000;4229;4267.5;4192.5;4256.5;274521;75
20240429;000000;4259;4369;4259;4358.5;388283;110
20240430;000000;4361.5;4404;4301;4364;399880;103
20240502;000000;4385;4385;4266.5;4316;356291;118.5
20240503;000000;4315.5;4365;4237;4352;437971;128
20240506;000000;4351.5;4480.5;4350;4443;682564;130.5
20240507;000000;4448;4589.5;4448;4577.5;778051;141.5
20240508;000000;4585;4658;4476;4530;1538309;182
20240510;000000;4518;4530;4428;4489;500652;102
20240513;000000;4492;4610;4491.5;4600;599368;118.5
20240514;000000;4583.5;4608.5;4540;4574;359055;68.5
20240515;000000;4574;4607;4504;4544;341531;103
20240516;000000;4551;4556.5;4457.5;4511.5;267861;99
20240517;000000;4509.5;4649.5;4485;4628;503833;164.5
20240520;000000;4650;4725.5;4576;4642;595245;149.5
20240521;000000;4642;4677.5;4581;4620.5;295245;96.5
20240522;000000;4610.5;4685.5;4585;4673;216039;100.5
20240523;000000;4680;4689;4610;4641;244195;79
20240524;000000;4640.5;4674;4482.5;4532;492093;191.5
20240527;000000;4516;4516;4322;4355;976954;194
20240528;000000;4346.5;4528.5;4241;4440.5;951777;287.5
20240529;000000;4445;4475;4341;4425;343108;134
