<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241225;095950;2910;1;11821328310;B
20241225;095950;2910;2;11821328311;B
20241225;095950;2910;1;11821328312;B
20241225;095950;2910;1;11821328313;B
20241225;095950;2910;56;11821328314;B
20241225;095950;2910;1;11821328315;B
20241225;095950;2910;2;11821328316;B
20241225;095950;2910;1;11821328317;B
20241225;095950;2910;140;11821328318;B
20241225;095950;2910;2;11821328319;S
20241225;095950;2910;5;11821328320;S
20241225;095950;2910;2;11821328321;S
20241225;095950;2910;2;11821328322;B
20241225;095950;2910;1;11821328323;B
20241225;095950;2910;1;11821328324;B
20241225;095950;2910;2;11821328325;S
20241225;095950;2910;1;11821328326;S
20241225;095950;2910;4;11821328327;S
20241225;095950;2910;9;11821328328;B
20241225;095950;2910;2;11821328329;S
20241225;095950;2910;4;11821328330;B
20241225;095950;2910;10;11821328331;S
20241225;095950;2910;65;11821328332;S
20241225;095950;2910;35;11821328333;S
20241225;095950;2910;30;11821328334;S
20241225;095950;2910;70;11821328335;S
20241225;095950;2910;100;11821328336;S
20241225;095950;2910;60;11821328337;S
20241225;095950;2910;30;11821328338;S
20241225;095950;2910;100;11821328339;S
20241225;095950;2910;6;11821328340;S
20241225;095950;2910;1;11821328341;S
20241225;095950;2910;1;11821328342;S
20241225;095950;2910;4;11821328343;S
20241225;095950;2910;2;11821328344;S
20241225;095950;2910;1;11821328345;S
20241225;095950;2910;24;11821328346;S
20241225;095950;2910;3;11821328347;S
20241225;095950;2910;5;11821328348;S
20241225;095950;2910;3;11821328349;B
20241225;095950;2910;2;11821328350;S
20241225;095950;2910;1;11821328351;S
20241225;095950;2910;5;11821328352;S
20241225;095950;2910;5;11821328353;S
20241225;095950;2910;2;11821328354;S
20241225;095950;2910;1;11821328355;S
20241225;095950;2910;2;11821328356;S
20241225;095950;2910;172;11821328357;B
20241225;095950;2910;23;11821328358;B
20241225;095950;2910;105;11821328359;B
20241225;095950;2910;1;11821328360;B
20241225;095950;2910;13;11821328361;S
20241225;095950;2910;1;11821328362;S
20241225;095950;2910;1;11821328363;S
20241225;095950;2910;8;11821328364;S
20241225;095950;2910;1;11821328365;S
20241225;095950;2910;5;11821328366;S
20241225;095950;2910;40;11821328367;S
20241225;095950;2910;20;11821328368;S
20241225;095950;2910;146;11821328369;S
20241225;095950;2910;84;11821328370;S
20241225;095950;2910;17;11821328371;S
20241225;095950;2910;68;11821328372;S
20241225;095950;2910;4;11821328373;S
20241225;095950;2910;1;11821328374;S
20241225;095950;2910;10;11821328375;B
20241225;095950;2910;5;11821328376;S
20241225;095950;2910;100;11821328377;S
20241225;095950;2910;2;11821328378;S
20241225;095950;2910;2;11821328379;S
20241225;095950;2910;20;11821328380;S
20241225;095950;2910;20;11821328381;S
20241225;095950;2910;250;11821328382;S
