<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR
20231120;000000;2064;2127;2062.4;2112.8;246449;64.6
20231121;000000;2108;2123;2081.8;2101.4;169740;41.2
20231122;000000;2110;2148;2102.8;2128.4;219513;45.2
20231123;000000;2135;2155.8;2115;2139.6;211752;40.8
20231124;000000;2142;2155;2129;2147.8;122116;26
20231127;000000;2149;2158.6;2082;2106.4;186644;76.6
20231128;000000;2109.8;2126.8;2077;2102;102249;49.8
20231129;000000;2101.2;2119;2095.6;2099;51603;23.4
20231130;000000;2096.2;2100.6;2077;2080.2;119154;23.6
20231201;000000;2079;2096.2;2056;2088.8;116131;40.2
20231204;000000;2072.4;2080;2010.8;2020;193359;69.2
20231205;000000;2017;2029.6;1953.2;2017;244358;76.4
20231206;000000;2025;2045;1983;2023;127697;62
20231207;000000;2024;2028;1990;2000.6;85858;38
20231208;000000;2000.6;2013;1990;2003;77790;23
20231211;000000;2003;2007;1854.8;1888.6;396810;152.2
20231212;000000;1887;1951.2;1885.4;1906.4;183880;65.8
20231213;000000;1906;1967.4;1900.2;1955;135551;67.2
20231214;000000;1961;1967;1903.8;1923;109696;63.2
20231215;000000;1922;1959.2;1906.8;1930.6;156287;52.4
20231218;000000;1930.6;1998;1926.6;1976.2;186105;71.4
20231219;000000;1976.8;2021.8;1976.8;2007.8;184035;45
20231220;000000;2021.8;2044.6;2011.4;2025;137774;33.2
20231221;000000;2025.2;2027.2;1972.8;2008.2;170677;54.4
20231222;000000;2011.2;2027.6;1995.2;2004.2;85173;32.4
20231225;000000;2017;2021;1992.8;2000;106983;28.2
20231226;000000;2000;2020;1985;2014.6;118731;35
20231227;000000;2015.2;2033;2008.2;2018.8;140408;24.8
20231228;000000;2019.2;2033;1981;1988;98498;52
20231229;000000;1991.4;2013.4;1990.4;1996.8;61697;23
20240103;000000;2007.6;2040;2004.8;2037;72867;35.2
20240104;000000;2039;2098.2;2038.2;2068.6;141309;60
20240105;000000;2072;2075;2046.4;2050;37821;28.6
20240108;000000;2056;2076.4;2050.2;2074.2;47658;26.2
20240109;000000;2079.2;2148.4;2079;2114.6;236872;69.4
20240110;000000;2125.8;2136;2115.6;2124.4;99179;20.4
20240111;000000;2130.2;2144;2100.8;2123.6;102906;43.2
20240112;000000;2124;2164;2124;2132;156129;40
20240115;000000;2149.8;2156.4;2124;2135.8;62465;32.4
20240116;000000;2136.4;2150;2109;2130;64653;41
20240117;000000;2134.8;2150;2127;2149.6;103964;23
20240118;000000;2156.6;2170;2131;2133.2;104837;39
20240119;000000;2144.8;2190;2121.8;2189.6;332101;68.2
20240122;000000;2198;2234.8;2180;2222.2;196982;54.8
20240123;000000;2224;2247;2210.4;2233.2;187279;36.6
20240124;000000;2235;2244.6;2212.2;2220.6;126532;32.4
20240125;000000;2232;2243.6;2218;2242.2;81503;25.6
20240126;000000;2243;2270;2200;2264;298360;70
20240129;000000;2275;2289;2213.6;2223.4;475101;75.4
20240130;000000;2225;2226.8;2185.2;2208.4;223105;41.6
20240131;000000;2212;2249;2200.4;2227.2;170213;48.6
20240201;000000;2230;2243.6;2223;2230.2;64423;20.6
20240202;000000;2239.8;2240;2207;2214;76663;33
20240205;000000;2214;2220;2190.4;2202;112028;29.6
20240206;000000;2198.4;2205.6;2172.4;2188.2;137502;33.2
20240207;000000;2191;2198;2172;2188.8;128327;26
20240208;000000;2190.2;2223.8;2188;2201.8;137077;35.8
20240209;000000;2202.6;2219.6;2188.8;2199;67184;30.8
20240212;000000;2198.6;2250;2180;2245;215763;70
20240213;000000;2246;2275;2245.2;2253;251529;29.8
20240214;000000;2253.6;2257.2;2208;2231.4;188330;49.2
20240215;000000;2232.4;2262.2;2216.4;2246.4;116664;45.8
20240216;000000;2246.4;2293;2243.4;2281;361599;49.6
20240219;000000;2285.8;2329.8;2285;2300;283269;44.8
20240220;000000;2300.8;2313.2;2193.2;2207.4;265574;120
20240221;000000;2207.8;2249.8;2180;2230.2;199175;69.8
20240222;000000;2234.6;2259;2219.4;2241.6;145759;39.6
20240226;000000;2262.8;2327.2;2256.4;2312.6;283599;70.8
20240227;000000;2327;2333;2273;2321.6;139843;60
20240228;000000;2320;2320.2;2215.6;2252.2;652230;104.6
20240229;000000;2256.8;2298;2235.2;2278;151645;62.8
20240301;000000;2290.2;2325.6;2282.4;2317;171388;43.2
20240304;000000;2324.6;2365;2323.4;2351.6;362189;41.6
20240305;000000;2355.6;2374;2311.8;2357.8;182735;62.2
20240306;000000;2359.4;2362.2;2293;2308.8;287641;69.2
20240307;000000;2310;2460;2256.4;2454;2217654;203.6
20240311;000000;2479.8;2518;2452.2;2461.4;768087;65.8
20240312;000000;2453.2;2529.4;2429.8;2510;772849;99.6
20240313;000000;2511;2535;2485;2513.8;532120;50
20240314;000000;2515.2;2543;2478.6;2495.8;328405;64.4
20240315;000000;2497.8;2535;2481.6;2520;317592;53.4
20240318;000000;2543.8;2649.2;2501.2;2631.8;860382;148
20240319;000000;2630;2717.6;2619.2;2674.2;1029048;98.4
20240320;000000;2688.6;2688.6;2652;2670;245137;36.6
20240321;000000;2673.8;2697.4;2641.8;2678.2;219770;55.6
20240322;000000;2678.2;2679.6;2621.2;2642;329709;58.4
20240325;000000;2644.8;2746.2;2640.2;2732.4;416822;106
20240326;000000;2742.6;2750.8;2663;2737.8;309767;87.8
20240327;000000;2742.2;2743.4;2695;2716.8;156127;48.4
20240328;000000;2710;2758.4;2709.4;2749.2;231593;49
20240329;000000;2754.8;2763.4;2723;2760.4;198388;40.4
20240401;000000;2768.4;2934;2766;2910;344222;168
20240402;000000;2912.2;2987;2865.2;2921.2;376098;121.8
20240403;000000;2933.8;2940;2866;2893.2;234989;74
20240404;000000;2893.8;2899;2773.2;2787.6;486104;125.8
20240405;000000;2799.4;2847.4;2781;2812.8;508242;66.4
20240408;000000;2836.6;2849.8;2795.6;2825.4;265992;54.2
20240409;000000;2826;2857;2721.6;2781;518210;135.4
20240410;000000;2791.2;2843.4;2731;2835.8;326648;112.4
20240411;000000;2841.2;2849;2820.2;2847;171703;28.8
20240412;000000;2850.4;2865;2837;2847;209598;28
20240415;000000;2854.6;2882;2848.6;2875.4;282777;33.4
20240416;000000;2885;2984.8;2880;2979.4;794222;104.8
20240417;000000;2985.2;3000;2920.8;2944;685100;79.2
20240418;000000;2932;2990.2;2900.2;2979.4;508695;90
20240419;000000;2938.4;2974.8;2918.2;2962;461537;56.6
20240422;000000;2961.6;3020;2924.6;2944;541166;95.4
20240423;000000;2966;2966;2843.2;2855;298219;122.8
20240424;000000;2873.6;2876;2800;2835;590301;76
20240425;000000;2843.2;2940.4;2835.8;2932;392920;104.6
20240426;000000;2938.2;2984;2915;2975.4;330907;69
20240427;000000;2980;2999.6;2930;2955;288650;69.6
20240429;000000;2955.2;2992;2950.4;2977;85209;41.6
20240430;000000;2982.4;3064;2971.2;3038.8;298401;92.8
20240502;000000;3039.8;3044.2;2964;2987.4;354460;80.2
20240503;000000;2993;3003.8;2935.4;2984.8;193819;68.4
20240506;000000;2985.2;3005;2951.2;2970.6;131096;53.8
20240507;000000;2970.6;3000;2955;2989.6;79038;45
20240508;000000;2999;3010;2986;2989;118948;24
20240510;000000;2988.8;3038;2983.6;3009.2;99197;54.4
20240513;000000;3009;3088.6;3005;3084.8;326763;83.6
20240514;000000;3088;3123.8;3061;3084;253761;62.8
20240515;000000;3090.2;3106;3050.4;3057.4;168853;55.6
20240516;000000;3059.6;3080;3030;3074.4;146733;50
20240517;000000;3074.4;3110;3052.2;3076.2;262514;57.8
20240520;000000;3080;3103;3031.2;3047.8;210097;71.8
20240521;000000;3048.2;3093;3031.2;3077;135111;61.8
20240522;000000;3083.4;3118.8;3071;3103.6;204484;47.8
20240523;000000;3102.2;3138;3085;3135;307373;53
20240524;000000;3095.2;3111.2;3036;3053.6;292639;75.2
20240527;000000;3044.2;3054.8;2921;2951.2;381786;133.8
20240528;000000;2955;3034.6;2921.2;2989.2;191057;113.4
20240529;000000;2993;3018.8;2935;2997.6;141431;83.8
20240530;000000;2998;3000;2881.4;2883;233234;118.6
20240531;000000;2868;2894.4;2801;2822.4;327154;93.4
20240603;000000;2822.6;2888;2760;2850.2;329389;128
20240604;000000;2851;3010;2835;3003.6;305038;175
20240605;000000;2999.4;3035;2961.4;2974.4;226757;73.6
20240606;000000;2970;3012.8;2925.6;2970.8;113840;87.2
20240607;000000;2972.6;3133;2961.8;3111.6;395992;171.2
20240610;000000;3108.6;3109;2960.6;3010;381983;148.4
20240611;000000;3010;3050;2965;3028.2;140373;85
20240613;000000;2910.2;3073.2;2910;3046.6;257387;163.2
20240614;000000;3046;3098.8;3021;3074;213920;77.8
20240617;000000;3080.2;3099;3014;3094.2;298326;85
20240618;000000;3107;3127;2960;2987;472575;167
20240619;000000;2988;3072;2925;2985;345880;147
20240620;000000;2990;3067;2951.2;3066.6;278691;115.8
20240621;000000;3075.2;3090;3024;3044.2;153580;66
20240624;000000;3058.8;3088.4;3007;3051;170456;81.4
20240625;000000;3052.2;3057;3012.2;3027.2;106517;44.8
20240626;000000;3030.2;3043;3004.2;3010;77233;38.8
20240627;000000;3011.4;3047.8;2990.8;3039.2;101405;57
20240628;000000;3039.2;3078.2;3032;3063;80674;46.2
20240701;000000;3050;3063;3016;3031.6;74161;47
20240702;000000;3040;3134.8;3022.2;3117.4;210649;112.6
20240703;000000;3128;3200;3077.2;3093.2;629496;122.8
20240704;000000;3085;3127;3030.2;3049.8;186150;96.8
20240705;000000;3049.8;3074;3000;3071;168787;74
20240708;000000;3066.4;3088.4;2981.6;2983;275451;106.8
20240709;000000;2982;2997;2845;2877;398090;152
20240710;000000;2902.6;2957.6;2808.6;2829.4;485261;149
20240711;000000;2842;2974.6;2829.4;2969.2;239790;145.2
20240712;000000;2971;3048.6;2900;3047.8;326751;148.6
20240715;000000;3041.4;3058;2885.6;2929.6;243343;172.4
20240716;000000;2934.8;2998;2885.2;2981.8;232932;112.8
20240717;000000;2998;3023.8;2921;2959.8;152712;102.8
20240718;000000;2952.2;3040;2949.2;3036.2;118691;90.8
20240719;000000;3036.4;3100;2999.2;3080.6;181116;100.8
20240722;000000;3090.4;3124;2970;2997.6;385097;154
20240723;000000;2983;3045;2960;3028.8;256036;85
20240724;000000;3028.8;3042;2980;2993;144332;62
20240725;000000;2983.8;3052.8;2965;3029.2;138154;87.8
20240726;000000;3026.6;3059;2950;2980.4;347380;109
20240729;000000;2966;2966;2835;2862.2;299015;131
20240730;000000;2861.8;2939.8;2832;2910;233370;107.8
20240731;000000;2901.4;2968;2901.4;2954;288039;66.6
20240801;000000;2956;2997;2907;2923.2;188324;90
20240802;000000;2923.2;2937.8;2876.2;2922;284616;61.6
20240805;000000;2874.8;2907;2840.8;2870.8;429520;66.2
20240806;000000;2886.6;2939.6;2861.2;2883;277268;78.4
20240807;000000;2886.4;2957;2846.8;2955;304005;110.2
20240808;000000;2956.4;2978;2890;2908.2;160945;88
20240809;000000;2904.8;2933;2890;2930.8;95622;43
20240812;000000;2913;2918.8;2875;2907;151070;43.8
20240813;000000;2912.6;2929;2898.4;2915.8;83837;30.6
20240814;000000;2915.8;2923;2870;2879.4;112863;53
20240815;000000;2870;2875;2815;2824.2;336240;60
20240816;000000;2814.4;2820;2770.2;2792.4;440536;49.8
20240819;000000;2796;2807.4;2707.8;2748.8;463121;99.6
20240820;000000;2749.2;2758.6;2651;2663.4;462077;107.6
20240821;000000;2659.4;2665;2581;2626.6;492481;84
20240822;000000;2630.8;2645;2555;2582;274205;90
20240823;000000;2579.6;2638.4;2556;2624;379843;82.4
20240826;000000;2675;2715.6;2640.2;2691;233637;75.4
20240827;000000;2701;2705.8;2648.6;2657;138398;57.2
20240828;000000;2656.4;2656.4;2591.4;2628.2;155622;65
20240829;000000;2629.2;2635.6;2600;2622.4;117575;35.6
20240830;000000;2623;2632;2522;2534.2;213382;110
20240902;000000;2486;2496.8;2395.4;2421;350450;101.4
20240903;000000;2420.4;2532;2420.4;2491.8;346968;111.6
20240904;000000;2493.2;2590;2470;2586.2;180290;120
20240905;000000;2590;2626.8;2560.2;2560.6;190735;66.6
20240906;000000;2558.4;2623;2528.4;2596.4;142317;94.6
20240909;000000;2611.4;2733.8;2611;2726.6;231478;122.8
20240910;000000;2744;2749;2643.2;2670.4;174829;105.8
20240911;000000;2655;2696;2607.4;2623.4;179294;88.6
20240912;000000;2623;2660;2573.2;2658.8;184636;86.8
20240913;000000;2658.2;2727.6;2580;2705.2;244535;147.6
20240916;000000;2732.8;2821.2;2694.8;2796.6;205027;126.4
20240917;000000;2800;2834;2752.2;2809.4;138750;81.8
20240918;000000;2810;2814.6;2687.8;2713.2;235527;126.8
20240919;000000;2723;2774.4;2682;2743;177263;92.4
20240920;000000;2753.6;2776.8;2725.2;2751.2;143911;51.6
20240923;000000;2751.2;2799;2750;2774.8;148326;49
20240924;000000;2785.2;2798.2;2730;2759;177731;68.2
20240925;000000;2761;2768.8;2681.2;2688.6;167567;87.6
20240926;000000;2687;2687;2612.2;2627;232274;74.8
20240927;000000;2617;2716;2616.8;2675.6;138141;99.2
20240930;000000;2689;2692.2;2629.2;2634.4;122080;63
20241001;000000;2635;2676;2590;2614.6;166993;86
20241002;000000;2614.4;2639;2532;2584.2;185507;107
20241003;000000;2584.4;2648;2567.4;2646.2;233631;80.6
20241004;000000;2653.4;2658.8;2601.4;2625;129973;57.4
20241007;000000;2617;2625;2562.2;2590.8;154238;62.8
20241008;000000;2589.4;2599.6;2540;2586.4;194566;59.6
20241009;000000;2594;2722.4;2552.2;2585.8;798528;170.2
20241010;000000;2585.8;2602.8;2564;2572.8;103338;38.8
20241011;000000;2578;2619.2;2556.2;2616.4;148506;63
20241014;000000;2609;2650;2587.2;2633;147052;62.8
20241015;000000;2630;2655;2595;2633.2;155209;60
20241016;000000;2631;2641;2577.8;2587.4;143982;63.2
20241017;000000;2592.6;2599;2520.2;2541.8;164225;78.8
20241018;000000;2542;2616.4;2533.4;2616.2;293931;83
20241021;000000;2602.2;2616;2577.4;2603.4;110883;38.6
20241022;000000;2602.4;2607.2;2565;2583.2;93802;42.2
20241023;000000;2579.6;2610.2;2556;2570.2;121359;54.2
20241024;000000;2572;2601;2563.6;2586;87953;37.4
20241025;000000;2586;2619.8;2454.2;2485.8;379630;165.6
20241028;000000;2450;2459.8;2358;2382;374508;101.8
20241029;000000;2382;2423.6;2345;2392.4;193529;78.6
20241030;000000;2414;2432.6;2346.2;2348.6;162959;86.4
20241031;000000;2327.2;2347.8;2264.6;2286.4;273274;83.2
20241101;000000;2280.4;2325;2267.2;2307;140004;57.8
20241102;000000;2308;2339.8;2282.4;2324.2;94160;57.4
20241105;000000;2337.8;2349.6;2320;2334;65581;29.6
20241106;000000;2371.8;2406.4;2203;2240;596759;203.4
20241107;000000;2201;2349.8;2103.6;2269.4;1923570;246.2
20241108;000000;2290;2300;2160.6;2204.8;715876;139.4
20241111;000000;2206.6;2224.2;2163;2176;346716;61.2
