<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241113;095932;2157.6;17;11415559755;B
20241113;095932;2157.6;7;11415559756;B
20241113;095932;2157.6;7;11415559757;B
20241113;095932;2157.6;1;11415559758;B
20241113;095932;2157.6;14;11415559759;B
20241113;095932;2157.6;2;11415559760;S
20241113;095932;2157.6;2;11415559761;B
20241113;095932;2157.6;1;11415559762;B
20241113;100001;2157.4;1;11415567757;B
20241113;100001;2157.6;2;11415567758;B
20241113;100001;2157.6;5;11415567759;B
20241113;100003;2156.6;4;11415568725;S
20241113;100003;2156.4;34;11415568726;S
20241113;100004;2157.2;2;11415570215;B
20241113;100005;2156.2;1;11415572184;S
20241113;100005;2156.2;2;11415572185;S
20241113;100005;2157.4;2;11415572208;B
20241113;100006;2157.4;1;11415573960;B
20241113;100006;2156.2;1;11415574154;S
20241113;100006;2156.2;1;11415574155;S
20241113;100006;2156.2;1;11415574156;S
20241113;100006;2156.2;1;11415574157;S
20241113;100006;2156.2;1;11415574158;S
20241113;100006;2156.2;1;11415574159;S
20241113;100006;2156.2;1;11415574160;S
20241113;100006;2156;2;11415574161;S
20241113;100006;2156;1;11415574162;S
20241113;100007;2157.2;1;11415575809;B
20241113;100010;2157;5;11415577790;B
20241113;100019;2157.4;1;11415580400;B
20241113;100024;2157.4;2;11415581770;B
20241113;100030;2157.4;1;11415583327;B
20241113;100032;2156.2;11;11415584021;S
20241113;100038;2157.4;1;11415585330;B
20241113;100048;2157.4;12;11415587735;B
20241113;100050;2156.2;3;11415588584;S
20241113;100055;2157.4;38;11415589619;B
20241113;100055;2157.6;10;11415589620;B
20241113;100055;2158;2;11415589621;B
20241113;100055;2158.4;4;11415589622;B
20241113;100055;2159.4;10;11415589624;B
20241113;100055;2160;3;11415589625;B
20241113;100055;2160;12;11415589626;B
20241113;100055;2160;4;11415589627;B
20241113;100055;2160;20;11415589628;B
20241113;100055;2160;17;11415589629;B
20241113;100102;2161.8;1;11415591696;B
20241113;100102;2161.8;2;11415591781;B
20241113;100103;2161;2;11415591830;B
20241113;100103;2161.4;7;11415591908;B
20241113;100105;2160.6;1;11415592317;B
20241113;100112;2161.6;12;11415593854;S
20241113;100112;2161.6;1;11415593855;S
20241113;100112;2161.6;7;11415593856;S
20241113;100112;2161.4;3;11415593857;S
20241113;100112;2161.6;1;11415593858;S
20241113;100112;2161.6;19;11415593859;S
20241113;100112;2161.6;20;11415593893;S
20241113;100113;2161.6;4;11415593986;S
20241113;100113;2161.6;1;11415593987;S
20241113;100114;2161.6;6;11415594280;S
20241113;100116;2161.6;9;11415594610;S
20241113;100116;2161.6;1;11415594611;S
20241113;100126;2161.6;20;11415596753;S
20241113;100128;2161.6;14;11415597095;S
20241113;100129;2161.6;6;11415597353;S
20241113;100129;2161.6;4;11415597354;B
20241113;100129;2161.6;16;11415597355;S
20241113;100129;2161.4;9;11415597356;S
20241113;100130;2161.6;20;11415597529;S
20241113;100132;2161.6;20;11415597850;S
20241113;100133;2161.4;13;11415598102;S
20241113;100139;2158.2;5;11415599179;S
20241113;100140;2158.2;10;11415599344;S
20241113;100143;2160.2;5;11415599764;B
20241113;100205;2158.6;5;11415605094;S
20241113;100205;2160;2;11415605133;B
20241113;100205;2160;5;11415605134;B
20241113;100205;2160.2;3;11415605135;B
20241113;100207;2158.6;1;11415605512;S
20241113;100214;2158.6;11;11415607204;S
20241113;100215;2158.6;1;11415607468;S
20241113;100219;2159.8;2;11415608622;B
20241113;100219;2160;1;11415608623;B
20241113;100219;2158.6;1;11415608728;S
20241113;100219;2158.6;1;11415608730;S
20241113;100219;2158.4;2;11415608731;S
20241113;100219;2158.8;4;11415608732;S
20241113;100219;2158.6;1;11415608733;S
20241113;100220;2158.6;6;11415608874;S
20241113;100222;2158.6;1;11415609278;S
20241113;100222;2159.8;3;11415609280;S
20241113;100222;2160;6;11415609618;B
20241113;100223;2159.8;2;11415609619;S
20241113;100223;2160.2;7;11415609620;B
20241113;100223;2160.2;28;11415609621;B
20241113;100223;2160.4;1;11415609622;B
20241113;100223;2161.2;16;11415609941;B
20241113;100223;2162.4;3;11415610017;B
20241113;100223;2162.6;15;11415610018;B
20241113;100223;2162.8;32;11415610019;B
20241113;100225;2161.6;3;11415610549;S
20241113;100228;2162.6;6;11415611096;S
20241113;100239;2162;6;11415613505;B
20241113;100254;2161.6;1;11415616185;B
20241113;100254;2161.8;1;11415616186;B
20241113;100258;2161.6;2;11415616867;B
20241113;100322;2160.2;1;11415623807;S
20241113;100322;2160.2;9;11415623867;S
20241113;100323;2160.2;1;11415624083;S
20241113;100323;2160.2;7;11415624247;S
20241113;100327;2161.2;2;11415625223;B
20241113;100327;2161.4;9;11415625244;B
20241113;100327;2161.4;17;11415625245;B
20241113;100327;2161.6;10;11415625354;B
20241113;100327;2161.6;1;11415625355;B
20241113;100327;2161.6;6;11415625356;B
20241113;100329;2161.6;3;11415625781;S
20241113;100329;2161.6;4;11415625782;S
20241113;100336;2161.8;1;11415627664;B
20241113;100342;2161.8;20;11415629044;B
20241113;100342;2161.8;4;11415629045;B
20241113;100342;2161.8;3;11415629046;B
20241113;100346;2161.6;1;11415629873;S
20241113;100346;2161.6;7;11415629874;S
20241113;100347;2160.4;10;11415630057;S
20241113;100352;2160.2;1;11415631120;S
20241113;100355;2160.2;1;11415631741;S
20241113;100357;2160.4;3;11415632258;B
20241113;100357;2161.2;1;11415632260;B
20241113;100357;2161.2;19;11415632261;B
20241113;100357;2161.2;15;11415632262;B
20241113;100359;2161.2;1;11415632824;S
20241113;100404;2161.2;10;11415633869;S
20241113;100408;2161.6;5;11415634674;B
20241113;100409;2161.6;7;11415634829;B
20241113;100409;2161.2;2;11415635008;S
20241113;100410;2161.2;6;11415635029;S
20241113;100412;2161.8;3;11415635604;B
20241113;100414;2161.4;2;11415636069;S
20241113;100417;2161.8;4;11415636668;B
20241113;100418;2161.8;8;11415637119;B
20241113;100418;2161.8;1;11415637150;B
20241113;100418;2161.8;4;11415637151;B
20241113;100418;2161.8;3;11415637152;B
20241113;100420;2161.8;1;11415637420;S
20241113;100421;2162;1;11415637602;B
20241113;100421;2161.8;5;11415637743;S
20241113;100425;2161.8;3;11415638422;S
20241113;100425;2161.6;20;11415638423;S
20241113;100425;2161.6;3;11415638424;S
20241113;100425;2161.6;6;11415638425;S
20241113;100425;2161.2;18;11415638426;S
20241113;100426;2162;2;11415638793;B
20241113;100440;2163;6;11415642108;B
20241113;100444;2163;30;11415643123;B
20241113;100445;2163;1;11415643409;B
20241113;100449;2163;30;11415644497;B
20241113;100450;2164.2;2;11415644904;B
20241113;100454;2164.6;10;11415645749;B
20241113;100454;2165;3;11415645750;B
20241113;100454;2165;1;11415645751;B
20241113;100454;2165;6;11415645752;B
20241113;100454;2165.2;20;11415645753;B
20241113;100454;2165.6;10;11415645754;B
20241113;100455;2165.6;33;11415645899;B
20241113;100455;2165.6;17;11415645900;B
20241113;100456;2165.4;1;11415646127;B
20241113;100503;2165;1;11415647615;B
20241113;100504;2165.2;2;11415648037;B
