<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;;<ATR>
20240725;140000;90.56;90.58;90.16;90.48;-0.94;0
20240726;140000;90.98;91.32;90.46;90.48;0.06;1
20240729;140000;86.86;86.94;86.2;86.62;-1.92;0
20240730;140000;84.98;85.7;84.82;85.58;-0.52;0
20240731;140000;88.24;88.66;87.9;88.42;1.5;1
20240801;140000;90.72;90.98;89.88;90.28;1.38;1
20240802;140000;87.9;87.92;87.5;87.7;-2.38;0
20240805;140000;85.3;85.68;84.86;85.66;-1.26;0
20240806;140000;88.52;88.88;88.18;88.68;1.52;1
20240807;140000;91.64;94.74;91.64;94.28;4.96;1
20240808;140000;92.8;93.02;92.04;92.04;-2.16;0
20240809;140000;93.1;93.22;92.96;93.1;1.22;1
20240812;140000;91.8;92.64;91.74;92.2;0.74;1
20240813;140000;93.44;93.6;93.22;93.36;0.86;1
20240814;140000;94.9;94.9;94.08;94.34;-0.16;0
20240815;140000;95.34;95.34;93.74;94.98;-0.02;0
20240816;140000;93.4;93.44;93.08;93.34;-1.14;0
20240819;140000;93.92;93.96;93.6;93.78;-0.72;0
20240820;140000;95.66;95.66;94.7;95.3;1.3;1
20240821;140000;96.06;96.28;95.82;96.04;-0.22;0
20240822;140000;93.7;94.14;93.62;94;-1.86;0
20240823;140000;93.1;93.86;93.1;93.58;-0.32;0
20240826;140000;97;97.3;96.72;96.82;2.36;1
20240827;140000;98.36;98.44;97.94;98.26;2.16;1
20240828;140000;93.7;94.26;93.58;94.22;-1.28;0
20240829;140000;96.54;97;96.44;96.7;1.38;1
20240830;140000;91.5;92.04;91.42;91.62;-3.76;0
20240902;140000;88.02;88.18;87.94;88.18;-1.4;0
20240903;140000;89.06;89.6;88.52;89.14;2.16;1
20240904;140000;90.5;91.6;90.5;91.52;4.34;1
20240905;140000;90.84;91.5;90.32;91.2;0.7;1
20240906;140000;89.38;90.98;89.2;90.78;1.7;1
20240909;140000;92.68;92.7;92.04;92.54;1.24;1
20240910;140000;92.4;92.42;92.18;92.24;-2.6;0
20240911;140000;90.24;90.5;90.04;90.5;-0.48;0
20240912;140000;89;90.1;88.96;90.06;-0.64;0
20240913;140000;89.14;89.16;87.74;88.52;-1.6;0
20240916;140000;91.82;92.72;91.4;92.4;2.42;1
20240917;140000;94.44;94.56;93.76;94.54;0.54;1
20240918;140000;95.1;95.48;95;95;-0.26;0
20240919;140000;95.08;95.46;94.94;95.46;0.52;1
20240920;140000;96.92;97.62;96.34;97.06;2.18;1
20240923;140000;97.74;97.9;97.7;97.86;0.74;1
20240924;140000;97.72;98.48;97.72;98.22;-0.1;0
20240925;140000;97.82;98;97.32;97.7;-0.1;0
20240926;140000;98.3;98.48;98.1;98.48;2.34;1
20240927;140000;98.5;98.7;98.32;98.48;-1;0
20240930;140000;98.74;98.8;98.14;98.38;0.56;1
20241001;140000;96.68;96.7;96.4;96.54;-1.58;0
20241002;140000;98.66;99.42;98.54;99.2;2.36;1
20241003;140000;96.18;96.58;96.18;96.4;-2.06;0
20241004;140000;98;98.22;97.52;97.82;-0.08;0
20241007;140000;97.06;97.08;96.74;96.76;-0.3;0
20241008;140000;97.84;97.88;97.54;97.86;0.3;1
20241009;140000;97.08;97.46;97;97.1;-1.06;0
20241010;140000;95.76;96.26;95.42;95.5;-1.74;0
20241011;140000;95.62;96.26;95.58;96.26;0.12;1
20241014;140000;95.86;96.26;95.82;96.14;-0.3;0
20241015;140000;97.84;98.16;97.84;98.12;1.56;1
20241016;140000;97.72;97.72;97;97;-1.02;0
20241017;140000;96.06;96.4;96.02;96.18;-2;0
20241018;140000;96.76;96.8;96.46;96.64;-0.16;0
20241021;140000;97.2;97.28;96.98;97.04;1.02;1
20241022;140000;96.04;96.08;95.64;95.98;-1.02;0
20241023;140000;94.6;94.6;93;93.44;-2.26;0
20241024;140000;93.14;93.44;93.04;93.2;0.06;1
20241025;140000;94.18;95.2;93.46;93.66;-0.12;0
20241028;140000;93.06;93.08;93;93;0.4;1
20241029;140000;92.88;93.56;92.88;93.46;2.22;1
20241030;140000;97;97.12;96.62;96.78;2.14;1
20241031;140000;96.04;96.78;96.02;96.72;0.08;1
20241101;140000;95.24;95.56;94.84;95;-2;0
20241102;140000;95.44;95.48;94.7;94.88;0.16;1
20241105;140000;94.96;95.18;94.86;94.94;0.14;1
20241106;140000;95.96;96.96;95.86;96.78;-0.22;0
20241107;140000;95.82;96.08;95.8;96.04;0.04;1
20241108;140000;98.22;98.22;97.84;98.1;0.28;1
20241111;140000;101.38;102.3;101.24;101.38;2.08;1
20241112;140000;100.8;101.6;100.36;101.44;-0.82;0
20241113;140000;103.82;103.86;103.22;103.76;1.2;1
20241114;140000;102.08;103.52;101.8;103.52;-0.78;0
20241115;140000;102.12;102.2;101.86;102.06;1.5;1
20241118;140000;100.68;100.88;100.56;100.68;-0.82;0
20241119;140000;101.3;101.64;101.24;101.64;1.14;1
20241120;140000;100.9;101.36;100.9;101.1;-0.3;0
20241121;140000;100.1;100.32;99.8;99.8;-1.16;0
20241122;140000;101.12;101.12;99.64;100.34;-0.82;0
