<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<ATR>
20231204;000000;3891;3947;3826;3894.5;127661;121
20231205;000000;3897.5;3961.5;3870;3899;79995;91.5
20231206;000000;3900;3915;3784.5;3854.5;129573;130.5
20231207;000000;3852.5;3890;3810;3850.5;95233;80
20231208;000000;3851.5;3869;3833;3855;55676;36
20231211;000000;3850.5;3863;3822;3848;132149;41
20231212;000000;3849;3921.5;3836.5;3843.5;159152;85
20231213;000000;3836;3864.5;3815;3851.5;82665;49.5
20231214;000000;3855;3892;3751;3800;118519;141
20231215;000000;3798.5;3973;3786.5;3912;135514;186.5
20231218;000000;3913;3929;3876.5;3916;76136;52.5
20231219;000000;3916;3920;3878;3893.5;36338;42
20231220;000000;3893.5;3926;3849;3869;73593;77
20231221;000000;3875.5;4031;3848;4010.5;135362;183
20231222;000000;4010;4040.5;3976;3993.5;127650;64.5
20231225;000000;3994;4010.5;3925;3954;75857;85.5
20231226;000000;3938;3954.5;3893.5;3923.5;100980;61
20231227;000000;3924.5;3939;3798;3808.5;107247;141
20231228;000000;3801.5;3892.5;3682;3885.5;283686;210.5
20231229;000000;3938;4034;3842;3849.5;301717;192
20240103;000000;3851;3920;3842;3912;45533;78
20240104;000000;3912;3917;3878;3903.5;16091;39
20240105;000000;3904.5;3909.5;3875.5;3886;17278;34
20240108;000000;3895;3917;3886;3904;30214;31
20240109;000000;3905;4038;3892.5;3944;93471;145.5
20240110;000000;3972;3978.5;3902.5;3926;76414;76
20240111;000000;3923;3940;3843;3876;87983;97
20240112;000000;3874;3900;3840;3844.5;87215;60
20240115;000000;3847.5;3859;3812.5;3842;89162;46.5
20240116;000000;3844.5;3859.5;3815;3854;45482;44.5
20240117;000000;3858;3887;3837.5;3846.5;116408;49.5
20240118;000000;3852.5;3860;3828.5;3834;38354;31.5
20240119;000000;3833;3843.5;3810.5;3823;40575;33
20240122;000000;3820;3847;3807;3832;40703;40
20240123;000000;3834;3886;3812;3832.5;72370;74
20240124;000000;3838.5;3843;3802;3819;42689;41
20240125;000000;3820;3842.5;3795.5;3830;127420;47
20240126;000000;3830;3856.5;3818;3829;55885;38.5
20240129;000000;3844;3849;3802;3820;131870;47
20240130;000000;3822.5;3822.5;3801;3814.5;63571;21.5
20240131;000000;3820;3907.5;3802.5;3902;210742;105
20240201;000000;3900.5;3901.5;3840.5;3874;266831;61
20240202;000000;3876.5;3890;3700;3796;374000;190
20240205;000000;3800;3809.5;3720;3753;257806;89.5
20240206;000000;3758;3771.5;3730;3753.5;105889;41.5
20240207;000000;3762.5;3835;3733.5;3786;205389;101.5
20240208;000000;3789;3827;3709.5;3716;128633;117.5
20240209;000000;3718;3774;3700;3738;204787;74
20240212;000000;3738.5;3765;3720.5;3736;104659;44.5
20240213;000000;3749.5;3755;3715.5;3741;66502;39.5
20240214;000000;3748.5;3818;3746;3780.5;211491;72
20240215;000000;3795.5;3795.5;3750;3779;127427;45.5
20240216;000000;3782;3792.5;3630;3680.5;349445;162.5
20240219;000000;3680;3704.5;3612;3620;175544;92.5
20240220;000000;3615.5;3632;3504;3572;211434;128
20240221;000000;3566.5;3599.5;3502;3569;169280;97.5
20240222;000000;3570;3623;3538;3552.5;93344;85
20240226;000000;3564;3698.5;3564;3698;124974;134.5
20240227;000000;3696;3710;3560;3609;264135;150
20240228;000000;3615;3664.5;3582;3599;157040;82.5
20240229;000000;3600;3740.5;3595;3718;554544;145.5
20240301;000000;3722;3726;3645.5;3683;225434;80.5
20240304;000000;3701;3748;3690;3737;216666;58
20240305;000000;3737.5;3748.5;3673.5;3701.5;144631;75
20240306;000000;3702.5;3731;3676.5;3686.5;146907;54.5
20240307;000000;3691;3693.5;3625.5;3651.5;149990;68
20240311;000000;3655.5;3707;3637.5;3661;101224;69.5
20240312;000000;3668;3668;3615.5;3651.5;72361;52.5
20240313;000000;3649.5;3662;3620.5;3637;145070;41.5
20240314;000000;3631.5;3663;3608.5;3612;112588;54.5
20240315;000000;3608;3669;3575.5;3633.5;100719;93.5
20240318;000000;3634;3648;3610;3623.5;59110;38
20240319;000000;3619;3632;3555;3584;83732;77
20240320;000000;3585.5;3596;3465.5;3510;158874;130.5
20240321;000000;3515;3540;3470;3503;81838;70
20240322;000000;3505.5;3510;3401.5;3453;136414;108.5
20240325;000000;3454;3521;3440;3520.5;102663;81
20240326;000000;3522;3548;3477;3497;84332;71
20240327;000000;3512.5;3634;3505;3629;231190;129
20240328;000000;3643;3649;3561.5;3594;107521;87.5
20240329;000000;3600;3600;3550.5;3576.5;74247;49.5
20240401;000000;3591.5;3640;3582.5;3624.5;113420;57.5
20240402;000000;3634.5;3730;3629.5;3724.5;390777;100.5
20240403;000000;3724;3738.5;3684;3691.5;200761;54.5
20240404;000000;3698.5;3769.5;3651;3677;244292;118.5
20240405;000000;3682.5;3718;3666;3686;108744;52
20240408;000000;3719.5;3737;3686;3698.5;214715;51
20240409;000000;3710;3715;3600;3639;255448;115
20240410;000000;3650;3654.5;3593;3630.5;188168;61.5
20240411;000000;3640;3651;3596;3620;149470;55
20240412;000000;3620.5;3635;3573;3596.5;160971;62
20240415;000000;3608;3677;3590;3670.5;519143;87
20240416;000000;3669.5;3708.5;3650;3687.5;307903;58.5
20240417;000000;3696;3819.5;3649;3780;689399;170.5
20240418;000000;3781;3828.5;3721;3751.5;423458;107.5
20240419;000000;3752;3788;3711;3785;205393;77
20240422;000000;3801;3889;3773.5;3865;489468;115.5
20240423;000000;3880;3880;3743;3748;290779;137
20240424;000000;3753;3798.5;3720.5;3783;170182;78
20240425;000000;3786;3807;3733.5;3756;112782;73.5
20240426;000000;3800;3838;3745;3763.5;455268;93
20240427;000000;3776;3780.5;3706;3713;169894;74.5
20240429;000000;3714;3770;3711.5;3766;85578;58.5
20240430;000000;3768;3778;3681;3709.5;141319;97
20240502;000000;3709.5;3743;3692.5;3712;119529;50.5
20240503;000000;3714.5;3723.5;3683.5;3691;91387;40
20240506;000000;3692;3712.5;3612;3615;193085;100.5
20240507;000000;3617;3690;3585;3678.5;416952;105
20240508;000000;3688;3689.5;3551;3621;450676;138.5
20240510;000000;3613;3637;3584;3628;86875;53
20240513;000000;3627.5;3641.5;3573;3581;198705;68.5
20240514;000000;3587;3614.5;3569;3604.5;90983;45.5
20240515;000000;3605.5;3620;3569;3589;92967;51
20240516;000000;3587;3589.5;3499;3502.5;283369;90.5
20240517;000000;3503;3557;3455.5;3529;381824;101.5
20240520;000000;3519;3532.5;3450;3518;270366;82.5
20240521;000000;3518.5;3602.5;3474.5;3602.5;215093;128
20240522;000000;3605;3645;3555;3612.5;344489;90
20240523;000000;3613.5;3640;3531.5;3566;334779;108.5
20240524;000000;3567;3579;3455;3493.5;310632;124
20240527;000000;3501.5;3509;3320;3349;509112;189
20240528;000000;3360;3437;3292;3307.5;200810;145
20240529;000000;3318.5;3342;3202;3335;200895;140
20240530;000000;3345;3381;3210;3230;141053;171
20240531;000000;3230;3248;3031.5;3116;379187;216.5
20240603;000000;3100;3170;2950;3145;468164;220
20240604;000000;3150.5;3250;3058;3229;298189;192
20240605;000000;3232.5;3299;3121;3170;332300;178
20240606;000000;3152.5;3196.5;3126.5;3186;94907;70
20240607;000000;3185.5;3498;3185;3331.5;418203;313
20240610;000000;3358;3375;3202.5;3244.5;192186;172.5
20240611;000000;3240;3256.5;3151.5;3189.5;147282;105
20240613;000000;3001.5;3230;2954.5;3209;179742;275.5
20240614;000000;3212;3238.5;3197;3220;135676;41.5
20240617;000000;3223;3234.5;3136.5;3147;117277;98
20240618;000000;3159;3162;3040;3055.5;154251;122
20240619;000000;3056.5;3093.5;2958.5;3000.5;156497;135
20240620;000000;3001;3082;2917.5;3080;217875;164.5
20240621;000000;3091;3100;3030;3040.5;73245;70
20240624;000000;3040.5;3074.5;2971;2988;89332;103.5
20240625;000000;2993;3045;2935;3045;163644;110
20240626;000000;3040.5;3071;3009;3018;99008;62
20240627;000000;3016.5;3029;2983;3011.5;58824;46
20240628;000000;3015.5;3090;3007;3045;144532;83
20240701;000000;3081.5;3089;3031;3064.5;78823;58
20240702;000000;3064.5;3135;3039.5;3096.5;167768;95.5
20240703;000000;3096.5;3112;3020;3029.5;95095;92
20240704;000000;3029.5;3056.5;2973.5;2976;90755;83
20240705;000000;2969;3023;2924;3006.5;179195;99
20240708;000000;3006.5;3019;2946.5;2976;121868;72.5
20240709;000000;2976;2993.5;2844;2857;370015;149.5
20240710;000000;2842.5;2865;2730;2747.5;412232;135
20240711;000000;2750;2940;2747.5;2898.5;227053;192.5
20240712;000000;2899;2913.5;2832.5;2867;87453;81
20240715;000000;2867;2871;2768;2853;147966;103
20240716;000000;2851;2872.5;2785.5;2858.5;119796;87
20240717;000000;2861.5;2938;2839;2879.5;106014;99
20240718;000000;2879.5;2929.5;2841;2899.5;78501;88.5
20240719;000000;2900;2941.5;2859;2906.5;68756;82.5
20240722;000000;2924.5;2966.5;2913;2941.5;79411;53.5
20240723;000000;2935;2949;2873.5;2902.5;78462;75.5
