<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<ATR>
20240725;140000;2904;2906.5;2894;2894;-39.5
20240726;140000;2877;2883.5;2808.5;2830.5;-92
20240729;140000;2740;2759.5;2725.5;2754;-44.5
20240730;140000;2760.5;2792;2760;2786.5;31.5
20240731;140000;2757.5;2775;2749;2773.5;-15.5
20240801;140000;2783;2783;2748.5;2755.5;-12
20240802;140000;2680.5;2681.5;2656;2670;-60
20240805;140000;2571;2574;2556;2566;-44
20240806;140000;2577;2578;2564;2566;1
20240807;140000;2579.5;2593.5;2572.5;2593.5;23
20240808;140000;2587;2604;2580;2595;-43
20240809;140000;2568.5;2583.5;2565.5;2579.5;4
20240812;140000;2559;2575;2558;2558.5;-45.5
20240813;140000;2569;2569;2558.5;2567.5;22
20240814;140000;2585;2593;2572.5;2589.5;-14.5
20240815;140000;2541;2543;2517;2530.5;-50
20240816;140000;2486.5;2487.5;2480;2481;-24
20240819;140000;2447;2450;2425.5;2426.5;-44
20240820;140000;2414;2414.5;2400.5;2410;-7
20240821;140000;2379.5;2405;2377.5;2403.5;39.5
20240822;140000;2384;2384;2352.5;2357;-58
20240823;140000;2275;2281.5;2260;2267;-52.5
20240826;140000;2253.5;2266.5;2249;2264;-6
20240827;140000;2195;2207;2190;2205;-55
20240828;140000;2111.5;2112;2030;2052;-129
20240829;140000;2063.5;2079.5;2050;2068.5;-14.5
20240830;140000;1946.5;1954;1923;1945;-90
20240902;140000;1811.5;1811.5;1792;1798;-98
20240903;140000;1823;1829;1770;1781;17
20240904;140000;1879.5;1925;1865.5;1894.5;75
20240905;140000;2035;2058;2013;2037;84
20240906;140000;1943;1955;1938.5;1943.5;3.5
20240909;140000;1975;1977;1962;1968;-4
20240910;140000;1972;1980;1963.5;1968.5;-68.5
20240911;140000;1883.5;1893;1868.5;1890;-49
20240912;140000;1800;1805;1791.5;1801.5;-2
20240913;140000;1753;1778;1736;1772;-35.5
20240916;140000;1868;1887.5;1866;1869;-21
20240917;140000;1836.5;1840.5;1813.5;1823;-93
20240918;140000;1802.5;1805;1790;1799.5;-45.5
20240919;140000;1819;1835;1810.5;1823.5;27
20240920;140000;1829;1837;1826.5;1830.5;17
20240923;140000;1849.5;1855.5;1843.5;1855;15
20240924;140000;1922;1937.5;1907;1921.5;11
20240925;140000;1977;1979.5;1948;1948;-20
20240926;140000;1905.5;1914.5;1894.5;1910.5;15.5
20240927;140000;1927.5;1932;1923.5;1927;-0.5
20240930;140000;1967;1970;1940;1946;-21.5
20241001;140000;1901.5;1901.5;1885.5;1895;-11
20241002;140000;1903.5;1910;1893;1895.5;-30.5
20241003;140000;1857;1864.5;1842;1856.5;10.5
20241004;140000;1883;1886;1877;1877;-19.5
20241007;140000;1847;1855;1846.5;1852;-24.5
20241008;140000;1841;1844;1831.5;1833;-14.5
20241009;140000;1816;1818;1808;1814;-12
20241010;140000;1833;1834;1820.5;1821;7.5
20241011;140000;1816;1825;1810.5;1823;3.5
20241014;140000;1829;1838;1829;1837;3.5
20241015;140000;1880.5;1888.5;1878.5;1888.5;33.5
20241016;140000;1883;1884.5;1873;1875;-7
20241017;140000;1865.5;1867.5;1850;1857;-27.5
20241018;140000;1819.5;1837.5;1817.5;1831;-8.5
20241021;140000;1835.5;1835.5;1822;1825;-32
20241022;140000;1829.5;1830;1815;1822.5;5
20241023;140000;1792.5;1797;1785;1786;6
20241024;140000;1706;1713;1698.5;1706.5;-26.5
20241025;140000;1662.5;1670.5;1616.5;1618.5;-42.5
20241028;140000;1523;1524.5;1507.5;1517.5;-42.5
20241029;140000;1438;1463;1435;1451.5;-61.5
20241030;140000;1464.5;1479;1455;1461;-33
20241031;140000;1364.5;1387;1355;1376.5;-31.5
20241101;140000;1337.5;1357;1333.5;1349;16
20241102;140000;1374.5;1387.5;1372;1383.5;-5
20241105;140000;1424;1425;1407.5;1412.5;-30
20241106;140000;1401;1412.5;1382;1387;-73.5
20241107;140000;1243;1260.5;1241;1252.5;-118
20241108;140000;1251;1257.5;1247;1253;-20
20241111;140000;1309.5;1310;1293;1302;-29.5
20241112;140000;1333.5;1343;1328;1338.5;29.5
20241113;140000;1404;1412;1373;1377;38
20241114;140000;1345.5;1349.5;1331;1333.5;15.5
20241115;140000;1349;1353;1349;1352;12
20241118;140000;1361;1375;1349.5;1374;29
20241119;140000;1347.5;1359;1337.5;1344;-13.5
20241120;140000;1340.5;1348;1337.5;1340.5;0.5
20241121;140000;1297.5;1309;1291;1291.5;-33
20241122;140000;1280.5;1288;1280;1282;-16.5
