<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241225;095933;926;1;11821324578;B
20241225;095933;926;1;11821324579;B
20241225;095933;926;2;11821324580;B
20241225;095933;926;4;11821324581;B
20241225;095933;926;2;11821324582;B
20241225;095933;926;3;11821324583;B
20241225;095933;926;5;11821324584;B
20241225;095933;926;4;11821324585;B
20241225;095933;926;47;11821324586;B
20241225;095933;926;30;11821324587;B
20241225;095933;926;100;11821324588;B
20241225;095933;926;40;11821324589;B
20241225;095933;926;200;11821324590;S
20241225;095933;926;83;11821324591;S
20241225;095933;926;20;11821324592;S
20241225;095933;926;2;11821324593;S
20241225;095933;926;1;11821324594;S
20241225;095933;926;2;11821324595;S
20241225;095933;926;1;11821324596;S
20241225;095933;926;2;11821324597;S
20241225;095933;926;5;11821324598;S
20241225;095933;926;16;11821324599;S
20241225;095933;926;2;11821324600;S
20241225;095933;926;1;11821324601;S
20241225;095933;926;10;11821324602;S
20241225;095933;926;3;11821324603;S
20241225;095933;926;3;11821324604;S
20241225;095933;926;1;11821324605;S
20241225;095933;926;8;11821324606;S
20241225;095933;926;13;11821324607;S
20241225;095933;926;1;11821324608;S
20241225;095933;926;1;11821324609;S
20241225;095933;926;10;11821324610;S
20241225;095933;926;1;11821324611;S
20241225;095933;926;1;11821324612;S
20241225;095933;926;2;11821324613;S
20241225;095933;926;25;11821324614;S
20241225;095933;926;5;11821324615;S
20241225;095933;926;50;11821324616;S
20241225;095933;926;1;11821324617;S
20241225;095933;926;10;11821324618;S
20241225;095933;926;490;11821324619;S
20241225;095933;926;10;11821324620;S
20241225;095933;926;1;11821324621;S
20241225;095933;926;5;11821324622;S
20241225;095933;926;1;11821324623;S
20241225;095933;926;8;11821324624;S
20241225;095933;926;200;11821324625;S
20241225;095933;926;84;11821324626;S
20241225;095933;926;100;11821324627;B
20241225;095933;926;1;11821324628;B
20241225;095933;926;1;11821324629;S
20241225;095933;926;1;11821324630;S
20241225;095933;926;1;11821324631;S
20241225;095933;926;2;11821324632;S
20241225;095933;926;1;11821324633;S
20241225;095933;926;6;11821324634;S
20241225;095933;926;1;11821324635;S
20241225;095933;926;1;11821324636;S
20241225;095933;926;5;11821324637;S
20241225;095933;926;1;11821324638;S
20241225;095933;926;386;11821324639;S
20241225;095933;926;200;11821324640;S
20241225;095933;926;1;11821324641;S
20241225;095933;926;10;11821324642;S
20241225;095933;926;1;11821324643;S
20241225;095933;926;1;11821324644;S
20241225;095933;926;50;11821324645;S
20241225;095933;926;20;11821324646;S
20241225;095933;926;5;11821324647;S
20241225;095933;926;31;11821324648;S
20241225;095933;926;10;11821324649;S
20241225;095933;926;19;11821324650;S
20241225;095933;926;10;11821324651;S
20241225;095933;926;2;11821324652;S
20241225;095933;926;1;11821324653;S
20241225;095933;926;10;11821324654;S
20241225;095933;926;43;11821324655;S
20241225;095933;926;17;11821324656;S
20241225;095933;926;1;11821324657;S
20241225;095933;926;1;11821324658;S
20241225;095933;926;11;11821324659;S
20241225;095933;926;7;11821324660;S
20241225;095933;926;10;11821324661;S
20241225;095933;926;240;11821324662;S
20241225;095933;926;10;11821324663;S
20241225;095933;926;20;11821324664;S
20241225;095933;926;1;11821324665;B
20241225;095933;926;22;11821324666;S
20241225;095933;926;107;11821324667;S
20241225;095933;926;5;11821324668;S
20241225;095933;926;50;11821324669;S
20241225;095933;926;10;11821324670;S
20241225;095933;926;5;11821324671;S
20241225;095933;926;1;11821324672;S
20241225;095933;926;10;11821324673;B
20241225;095933;926;1;11821324674;S
20241225;095933;926;361;11821324675;S
20241225;095933;926;250;11821324676;S
20241225;095933;926;10;11821324677;S
20241225;095933;926;89;11821324678;S
20241225;095933;926;100;11821324679;S
20241225;095933;926;1;11821324680;B
20241225;095933;926;10;11821324681;B
20241225;095933;926;500;11821324682;S
20241225;095933;926;129;11821324683;S
20241225;095933;926;88;11821324684;S
20241225;095933;926;12;11821324685;S
20241225;095933;926;38;11821324686;B
20241225;095933;926;100;11821324687;B
20241225;095933;926;12;11821324688;S
20241225;095933;926;10;11821324689;S
20241225;095933;926;228;11821324690;S
20241225;095933;926;20;11821324691;S
20241225;095933;926;2;11821324692;B
20241225;095933;926;250;11821324693;B
20241225;095933;926;45;11821324694;B
20241225;095933;926;500;11821324695;B
20241225;095933;926;200;11821324696;B
