<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241009;095942;133.34;500;11277255024;B
20241009;095942;133.34;110;11277255025;B
20241009;095942;133.34;10;11277255026;B
20241009;095942;133.34;200;11277255027;B
20241009;095942;133.34;200;11277255028;B
20241009;095942;133.34;100;11277255029;S
20241009;095942;133.34;10;11277255030;S
20241009;095942;133.34;10;11277255031;B
20241009;095942;133.34;10;11277255032;B
20241009;095942;133.34;90;11277255033;B
20241009;095942;133.34;10;11277255034;B
20241009;095942;133.34;80;11277255035;B
20241009;095942;133.34;10;11277255036;S
20241009;095942;133.34;100;11277255037;S
20241009;095942;133.34;10;11277255038;S
20241009;095942;133.34;30;11277255039;B
20241009;095942;133.34;20;11277255040;B
20241009;095942;133.34;300;11277255041;B
20241009;095942;133.34;50;11277255042;S
20241009;095942;133.34;150;11277255043;B
20241009;095942;133.34;10;11277255044;S
20241009;095942;133.34;10;11277255045;S
20241009;095942;133.34;830;11277255046;B
20241009;095942;133.34;10;11277255047;B
20241009;095942;133.34;20;11277255048;B
20241009;095942;133.34;100;11277255049;S
20241009;095942;133.34;50;11277255050;B
20241009;095942;133.34;30;11277255051;B
20241009;095942;133.34;30;11277255052;B
20241009;095942;133.34;40;11277255053;B
20241009;095942;133.34;10;11277255054;S
20241009;095942;133.34;30;11277255055;S
20241009;095942;133.34;20;11277255056;S
20241009;095942;133.34;20;11277255057;B
20241009;100000;133.34;60;11277257884;B
20241009;100000;133.34;30;11277257885;B
20241009;100000;133.36;10;11277257886;B
20241009;100000;133.16;70;11277257938;S
20241009;100000;133.16;330;11277257946;S
20241009;100000;133.16;90;11277257947;S
20241009;100000;133.14;10;11277257948;S
20241009;100000;133.14;230;11277257949;S
20241009;100000;133.34;710;11277257995;S
20241009;100001;133.3;10;11277258326;S
20241009;100001;133.34;10;11277258329;B
20241009;100002;133.34;10;11277258479;B
20241009;100002;133.34;10;11277258633;B
20241009;100002;133.34;10;11277258762;B
20241009;100004;133.12;10;11277260444;S
20241009;100005;133.12;10;11277261624;S
20241009;100005;133.14;40;11277262071;B
20241009;100005;133.14;40;11277262204;B
20241009;100012;133.16;250;11277264484;S
20241009;100014;133.16;100;11277265049;S
20241009;100018;133.16;10;11277265708;S
20241009;100018;133.16;750;11277265711;S
20241009;100018;133.14;250;11277265712;S
20241009;100020;133.14;180;11277266255;S
20241009;100020;133.14;20;11277266256;S
20241009;100023;133.3;50;11277267273;B
20241009;100029;133.3;480;11277268483;B
20241009;100029;133.32;220;11277268484;B
20241009;100030;133.34;470;11277268602;B
20241009;100030;133.34;1000;11277268603;B
20241009;100030;133.36;30;11277268604;B
20241009;100032;133.36;10;11277269016;B
20241009;100038;133.3;10;11277270216;S
20241009;100038;133.28;30;11277270217;S
20241009;100040;133.22;50;11277270524;S
20241009;100043;133.36;950;11277271219;B
20241009;100043;133.36;50;11277271220;B
20241009;100043;133.26;750;11277271422;S
20241009;100043;133.26;530;11277271423;S
20241009;100043;133.24;1720;11277271424;S
20241009;100055;133.2;60;11277273646;S
20241009;100059;133.22;100;11277274798;S
20241009;100101;133.24;80;11277276377;S
20241009;100101;133.24;390;11277276378;S
20241009;100101;133.26;10;11277276556;B
20241009;100108;133.2;120;11277278738;S
20241009;100110;133.26;90;11277279204;B
20241009;100110;133.28;50;11277279205;B
20241009;100116;133.22;10;11277280391;S
20241009;100116;133.22;10;11277280392;S
20241009;100116;133.22;750;11277280393;S
20241009;100118;133.18;50;11277280646;S
20241009;100118;133.18;50;11277280647;S
20241009;100118;133.18;50;11277280648;S
20241009;100118;133.18;50;11277280649;S
20241009;100118;133.18;200;11277280650;S
20241009;100118;133.16;2000;11277280651;S
20241009;100118;133.14;600;11277280652;S
20241009;100119;133.28;10;11277280851;B
20241009;100121;133.16;10;11277281389;S
20241009;100124;133.2;70;11277281914;S
20241009;100135;133.28;170;11277283952;B
20241009;100135;133.28;30;11277283953;S
20241009;100137;133.2;10;11277284279;S
20241009;100140;133.26;20;11277284915;B
20241009;100142;133.16;40;11277285299;S
20241009;100142;133.16;50;11277285300;S
20241009;100142;133.16;50;11277285301;S
20241009;100142;133.16;20;11277285302;S
20241009;100142;133.16;260;11277285303;S
20241009;100149;133.26;10;11277286811;B
20241009;100157;133.16;20;11277288742;S
20241009;100157;133.16;750;11277288743;S
20241009;100157;133.16;20;11277288744;S
20241009;100157;133.14;1210;11277288745;S
20241009;100215;133.18;90;11277292527;B
20241009;100216;133.14;190;11277292758;S
20241009;100216;133.14;50;11277292759;S
20241009;100216;133.14;10;11277292760;S
20241009;100218;133.14;100;11277293090;B
20241009;100218;133.12;70;11277293094;S
20241009;100218;133.12;30;11277293095;S
20241009;100218;133.12;10;11277293096;S
20241009;100218;133.1;20;11277293097;S
20241009;100218;133.1;50;11277293098;S
20241009;100218;133.08;20;11277293099;S
20241009;100218;133.08;30;11277293100;S
20241009;100219;133.1;10;11277293328;S
20241009;100219;133.06;20;11277293329;S
20241009;100219;133.06;40;11277293330;S
20241009;100219;133.04;20;11277293331;S
20241009;100219;133.04;50;11277293332;S
20241009;100219;133.04;10;11277293333;S
20241009;100222;133.1;10;11277293857;S
20241009;100222;133.08;750;11277293858;S
20241009;100222;133.08;90;11277293859;S
20241009;100222;133.06;1250;11277293860;S
20241009;100224;133.04;20;11277294353;S
20241009;100224;133.04;220;11277294354;S
20241009;100225;133.12;50;11277294408;B
20241009;100225;133.04;40;11277294591;S
20241009;100229;133.12;70;11277295320;B
20241009;100229;133.12;30;11277295321;S
20241009;100229;133.04;740;11277295426;S
20241009;100229;133.04;10;11277295427;S
20241009;100229;133.04;90;11277295428;S
20241009;100229;133.02;30;11277295429;S
20241009;100229;133.02;10;11277295430;S
20241009;100229;133.02;120;11277295431;S
20241009;100230;133.02;10;11277295560;S
20241009;100230;133.02;10;11277295561;S
20241009;100230;133;20;11277295562;S
20241009;100230;133;660;11277295563;S
20241009;100230;133;330;11277295621;S
20241009;100230;133;10;11277295622;S
20241009;100230;133;10;11277295623;S
20241009;100230;133;1000;11277295624;S
20241009;100230;133;10;11277295625;S
20241009;100230;133;10;11277295626;S
20241009;100230;133;30;11277295627;S
20241009;100230;133;10;11277295628;S
20241009;100230;133;20;11277295629;S
20241009;100230;133;370;11277295630;S
20241009;100230;133;10;11277295631;S
20241009;100230;133;10;11277295632;S
20241009;100230;133;1000;11277295633;S
20241009;100230;133;290;11277295634;S
20241009;100230;133;10;11277295635;S
20241009;100230;133;10;11277295636;S
20241009;100230;133;10;11277295637;S
20241009;100230;133;10;11277295638;S
20241009;100230;133;10;11277295678;B
20241009;100230;133;80;11277295683;B
20241009;100231;133;10;11277295735;B
20241009;100231;133;60;11277295796;B
20241009;100231;132.98;10;11277295822;B
20241009;100231;132.98;10;11277295900;B
20241009;100232;132.9;10;11277295922;S
20241009;100234;132.98;20;11277296391;B
20241009;100235;132.98;20;11277296579;B
20241009;100237;132.92;50;11277296843;S
20241009;100237;132.9;90;11277296844;S
20241009;100237;132.9;100;11277296845;S
20241009;100237;132.9;20;11277296846;S
20241009;100237;132.9;10;11277296847;S
20241009;100237;132.9;10;11277296848;S
20241009;100237;132.9;150;11277296849;S
20241009;100237;132.9;190;11277296850;S
20241009;100237;132.88;190;11277296851;S
20241009;100237;132.86;30;11277296852;S
20241009;100237;132.82;30;11277296853;S
20241009;100237;132.82;50;11277296854;S
20241009;100237;132.82;20;11277296855;S
20241009;100237;132.82;90;11277296856;S
20241009;100237;132.82;300;11277296857;S
20241009;100237;132.8;10;11277296858;S
20241009;100237;132.8;10;11277296859;S
20241009;100237;132.8;500;11277296860;S
20241009;100237;132.8;100;11277296861;S
20241009;100237;132.8;10;11277296862;S
20241009;100237;132.8;300;11277296863;S
20241009;100237;132.78;10;11277296864;S
20241009;100237;132.78;30;11277296865;S
20241009;100237;132.76;20;11277296866;S
20241009;100237;132.76;150;11277296867;S
20241009;100237;132.76;10;11277296868;S
20241009;100237;132.74;30;11277296869;S
20241009;100237;132.72;10;11277296870;S
20241009;100237;132.72;230;11277296871;S
20241009;100237;132.72;250;11277296872;S
20241009;100237;132.9;20;11277296873;S
20241009;100237;132.74;200;11277296891;S
20241009;100237;132.92;20;11277296895;B
20241009;100237;132.92;20;11277296897;B
20241009;100237;132.82;290;11277296905;S
20241009;100237;132.8;10;11277296906;S
20241009;100237;132.78;90;11277296907;S
20241009;100237;132.76;90;11277296908;S
20241009;100237;132.74;20;11277296909;S
20241009;100238;132.84;10;11277297015;S
20241009;100238;132.92;20;11277297131;B
20241009;100239;132.84;10;11277297282;S
20241009;100239;132.84;30;11277297283;S
20241009;100239;132.84;20;11277297287;S
20241009;100239;132.82;20;11277297288;S
