<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR
20231215;000000;14.6;14.9;12.33;12.505;235374000;2.57
20231218;000000;12.605;13.1;12.55;12.9;121683500;0.55
20231219;000000;12.925;13.06;12.55;12.61;40629200;0.51
20231220;000000;12.64;12.905;12.55;12.805;30454900;0.355
20231221;000000;12.805;13.29;12.71;13.16;52044200;0.58
20231222;000000;13.2;13.795;13.16;13.71;55177200;0.635
20231225;000000;13.76;14.335;13.31;13.5;53770800;1.025
20231226;000000;13.65;13.765;13.4;13.52;16022600;0.365
20231227;000000;13.615;13.7;13.505;13.655;15563600;0.195
20231228;000000;13.695;13.9;13.5;13.605;28845600;0.4
20231229;000000;13.665;13.785;13.6;13.7;9776300;0.185
20240103;000000;13.735;14.3;13.72;14.245;15680300;0.58
20240104;000000;14.425;14.425;14.045;14.155;9801600;0.38
20240105;000000;14.195;14.3;14.05;14.185;6193900;0.25
20240108;000000;14.18;14.46;14.135;14.315;13629200;0.325
20240109;000000;14.375;14.39;14.105;14.15;12576900;0.285
20240110;000000;14.16;14.4;14.135;14.2;20881200;0.265
20240111;000000;14.3;14.3;13.7;13.995;23975300;0.6
20240112;000000;14;14.08;13.705;13.81;22999100;0.375
20240115;000000;13.865;13.96;13.76;13.805;13070500;0.2
20240116;000000;13.805;13.86;13.56;13.755;20812600;0.3
20240117;000000;13.76;13.9;13.63;13.85;15140800;0.27
20240118;000000;13.9;13.9;13.7;13.7;9902300;0.2
20240119;000000;13.77;13.78;13.5;13.7;13577200;0.28
20240122;000000;13.71;14.045;13.635;13.9;24580800;0.41
20240123;000000;14.1;14.95;13.935;14.895;132303000;1.015
20240124;000000;14.97;15.59;14.66;14.78;163378200;0.93
20240125;000000;14.89;15.19;14.6;14.975;45589900;0.59
20240126;000000;15.13;15.34;14.83;14.965;41656600;0.51
20240129;000000;14.99;15.165;14.875;15.05;24885700;0.29
20240130;000000;15.12;15.6;15.05;15.28;68617500;0.55
20240131;000000;15.4;15.835;15.235;15.465;64307600;0.6
20240201;000000;15.505;15.67;15.315;15.34;27449800;0.355
20240202;000000;15.34;15.4;15.02;15.3;30391700;0.38
20240205;000000;15.365;15.475;15.22;15.405;27632200;0.255
20240206;000000;15.445;16.165;15.415;16.065;61238300;0.75
20240207;000000;16.075;18.25;16.065;17.69;347449300;2.185
