<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241114;095932;13.165;100;11420975237;B
20241114;095932;13.165;800;11420975238;B
20241114;095932;13.165;1400;11420975239;S
20241114;095932;13.165;100;11420975240;B
20241114;095932;13.165;900;11420975241;S
20241114;095932;13.165;3100;11420975242;S
20241114;095932;13.165;100;11420975243;B
20241114;100005;13.165;500;11420987996;S
20241114;100005;13.17;1000;11420988171;B
20241114;100005;13.17;1200;11420988172;B
20241114;100005;13.175;400;11420988702;S
20241114;100005;13.175;300;11420988720;S
20241114;100006;13.175;100;11420990320;S
20241114;100006;13.195;100;11420991266;B
20241114;100010;13.18;200;11420993536;B
20241114;100010;13.18;200;11420993537;B
20241114;100010;13.18;5000;11420993626;B
20241114;100010;13.175;100;11420993725;S
20241114;100010;13.175;100;11420993769;S
20241114;100013;13.175;14100;11420994548;B
20241114;100017;13.185;500;11420995324;B
20241114;100017;13.185;1500;11420995336;B
20241114;100017;13.185;5000;11420995337;B
20241114;100024;13.18;200;11420997151;S
20241114;100024;13.175;9800;11420997152;S
20241114;100025;13.19;5000;11420997251;B
20241114;100025;13.185;3000;11420997360;B
20241114;100025;13.185;2000;11420997361;B
20241114;100033;13.17;5000;11420999359;B
20241114;100033;13.17;5000;11420999408;B
20241114;100038;13.17;4000;11421000706;B
20241114;100038;13.175;1000;11421000707;B
20241114;100038;13.175;2000;11421000884;B
20241114;100038;13.18;3000;11421000885;B
20241114;100046;13.175;3000;11421003633;B
20241114;100046;13.18;2000;11421003634;B
20241114;100046;13.185;5000;11421003696;B
20241114;100046;13.195;100;11421003759;B
20241114;100050;13.175;3000;11421004868;B
20241114;100050;13.18;500;11421004869;B
20241114;100051;13.175;1200;11421005116;B
20241114;100052;13.175;1800;11421005463;B
20241114;100052;13.18;1500;11421005464;B
20241114;100052;13.18;3000;11421005465;B
20241114;100052;13.18;35900;11421005466;B
20241114;100052;13.18;100;11421005467;B
20241114;100052;13.18;5000;11421005468;B
20241114;100052;13.185;3000;11421005469;B
20241114;100052;13.185;4000;11421005470;B
20241114;100052;13.19;5900;11421005471;B
20241114;100052;13.19;3000;11421005472;B
20241114;100052;13.19;25000;11421005473;B
20241114;100052;13.19;11800;11421005474;B
20241114;100102;13.195;200;11421009103;S
20241114;100118;13.215;100;11421013268;B
20241114;100118;13.22;100;11421013269;B
20241114;100119;13.2;100;11421013428;S
20241114;100125;13.215;3000;11421014813;B
20241114;100125;13.22;43000;11421014814;B
20241114;100125;13.22;3000;11421014815;B
20241114;100125;13.225;1000;11421014816;B
20241114;100129;13.22;100;11421016013;S
20241114;100133;13.22;200;11421016908;S
20241114;100133;13.23;100;11421017017;B
20241114;100134;13.24;2900;11421017174;B
