<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<ATR>
20231204;000000;3297.5;3298;3227.5;3243.5;317882;70.5
20231205;000000;3255;3275;3170.5;3222.5;380480;104.5
20231206;000000;3230;3233.5;3055;3079;455612;178.5
20231207;000000;3078;3128.5;3070;3108.5;273488;58.5
20231208;000000;3110;3144;3083.5;3105.5;193204;60.5
20231211;000000;3106;3111.5;2912;2936;453382;199.5
20231212;000000;2932;3097.5;2900.5;3036;549151;197
20231213;000000;3010.5;3085.5;2981.5;3016.5;228516;104
20231214;000000;3036.5;3087;2974;2990;509475;113
20231215;000000;2990;3026;2930;2999;507964;96
20231218;000000;3008;3048.5;2977;3020;607667;71.5
20231219;000000;3020;3114.5;3009;3073.5;355027;105.5
20231220;000000;3073;3086;3033;3050;247616;53
20231221;000000;3047;3053.5;2987;3006;243793;66.5
20231222;000000;3007.5;3039;3007;3032;157532;32
20231225;000000;3032;3096;3032;3084.5;512573;64
20231226;000000;3098;3099.5;3062;3084.5;235618;37.5
20231227;000000;3087;3187.5;3085;3183;464351;102.5
20231228;000000;3191.5;3218;3115;3211.5;413259;103
20231229;000000;3203;3237;3185.5;3210.5;201434;51.5
20240103;000000;3227;3293.5;3210.5;3285;194518;83
20240104;000000;3286;3292;3251;3261;148762;41
20240105;000000;3263;3270;3206.5;3236;119694;63.5
20240108;000000;3242;3289;3237.5;3250;174773;51.5
20240109;000000;3260;3317;3221.5;3294.5;303025;95.5
20240110;000000;3303.5;3329.5;3290;3293.5;181604;39.5
20240111;000000;3299;3306.5;3221.5;3278;286811;85
20240112;000000;3277;3363;3254;3355.5;404807;109
20240115;000000;3372.5;3443.5;3340.5;3426;586782;103
20240116;000000;3440.5;3440.5;3219;3271;1230053;221.5
20240117;000000;3271.5;3273;3153.5;3184;867693;119.5
20240118;000000;3183.5;3218;3139;3148;485663;79
20240119;000000;3148.5;3157;3076;3108.5;544971;81
20240122;000000;3108.5;3133.5;3062.5;3133;381232;71
20240123;000000;3138;3142;3090;3107.5;364742;52
20240124;000000;3110;3119;3065;3077;271194;54
20240125;000000;3096.5;3099;3011;3069.5;574418;88
20240126;000000;3071;3104.5;3060;3093;452905;44.5
20240129;000000;3100;3164;3094.5;3162;485153;69.5
20240130;000000;3171;3225;3133;3219.5;607158;92
20240131;000000;3219.5;3248;3176;3183;437139;72
20240201;000000;3179;3209;3170;3185.5;239509;39
20240202;000000;3186.5;3192;3147.5;3157.5;159825;44.5
20240205;000000;3157.5;3186;3131;3175;234173;55
20240206;000000;3177;3207;3177;3195;181619;30
20240207;000000;3195.5;3279;3186;3277.5;444929;93
20240208;000000;3279.5;3298;3056;3145;1262334;242
20240209;000000;3145;3145.5;3060;3066;472372;85.5
20240212;000000;3070;3105;2980;3056;939579;125
20240213;000000;3063;3124;3021;3109.5;407015;103
20240214;000000;3110;3150;3075;3103;416703;75
20240215;000000;3102;3117.5;3011.5;3057;427828;106
20240318;000000;2997;3090;2872.5;3067;13201647;217.5
20240319;000000;3050;3286;3030;3252.5;10490644;256
20240320;000000;3250;3344.5;3035;3149.5;15387131;309.5
20240321;000000;3154;3183.5;3050;3067;4466699;133.5
20240322;000000;3076;3129;2978;3012;4019390;151
20240325;000000;3030.5;3115;3013;3096;2668001;102
20240326;000000;3102.5;3165;3102.5;3135.5;2660734;62.5
20240327;000000;3141;3174;3127.5;3155;2265146;46.5
