<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241028;095935;0.6277;5000;11344956344;B
20241028;095935;0.6277;20000;11344956345;B
20241028;095935;0.6277;1000;11344956346;B
20241028;095935;0.6277;10000;11344956347;B
20241028;095935;0.6277;163000;11344956348;B
20241028;095935;0.6277;22000;11344956349;B
20241028;095935;0.6277;2000;11344956350;B
20241028;095935;0.6277;2000;11344956351;B
20241028;095935;0.6277;1000;11344956352;B
20241028;095935;0.6277;1000;11344956353;B
20241028;095935;0.6277;2000;11344956354;B
20241028;095935;0.6277;1000;11344956355;B
20241028;095935;0.6277;2000;11344956356;B
20241028;095935;0.6277;1000;11344956357;B
20241028;095935;0.6277;100000;11344956358;B
20241028;095935;0.6277;1000;11344956359;B
20241028;095935;0.6277;10000;11344956360;S
20241028;095935;0.6277;2000;11344956361;S
20241028;095935;0.6277;23000;11344956362;B
20241028;095935;0.6277;1000;11344956363;B
20241028;095935;0.6277;250000;11344956364;S
20241028;095935;0.6277;1000;11344956365;S
20241028;095935;0.6277;1000;11344956366;S
20241028;095935;0.6277;4000;11344956367;S
20241028;095935;0.6277;1000;11344956368;S
20241028;095935;0.6277;1000;11344956369;S
20241028;095935;0.6277;22000;11344956370;S
20241028;095935;0.6277;2000;11344956371;B
20241028;095935;0.6277;99000;11344956372;B
20241028;095935;0.6277;11000;11344956373;B
20241028;095935;0.6277;150000;11344956374;S
20241028;095935;0.6277;1000;11344956375;S
20241028;095935;0.6277;4000;11344956376;S
20241028;095935;0.6277;102000;11344956377;B
20241028;095935;0.6277;30000;11344956378;B
20241028;095935;0.6277;1000;11344956379;S
20241028;095935;0.6277;3000;11344956380;S
20241028;095935;0.6277;1000;11344956381;S
20241028;095935;0.6277;2000;11344956382;S
20241028;095935;0.6277;76000;11344956383;S
20241028;095935;0.6277;1000;11344956384;S
20241028;095935;0.6277;1000;11344956385;B
20241028;095935;0.6277;1000;11344956386;B
20241028;095935;0.6277;1000;11344956387;B
20241028;095935;0.6277;100000;11344956388;B
20241028;095935;0.6277;2000;11344956389;B
20241028;095935;0.6277;1000;11344956390;B
20241028;095935;0.6277;6000;11344956391;S
20241028;095935;0.6277;1000;11344956392;S
20241028;095935;0.6277;3000;11344956393;S
20241028;095935;0.6277;10000;11344956394;B
20241028;095935;0.6277;1000;11344956395;B
20241028;095935;0.6277;15000;11344956396;B
20241028;095935;0.6277;3000;11344956397;B
20241028;095935;0.6277;6000;11344956398;B
20241028;095935;0.6277;1000;11344956399;B
20241028;095935;0.6277;5000;11344956400;B
20241028;095935;0.6277;3000;11344956401;B
20241028;095935;0.6277;2000;11344956402;B
20241028;095935;0.6277;1000;11344956403;B
20241028;095935;0.6277;2000;11344956404;B
20241028;095935;0.6277;2000;11344956405;B
20241028;095935;0.6277;11000;11344956406;B
20241028;095935;0.6277;1000;11344956407;B
20241028;095935;0.6277;12000;11344956408;B
20241028;095935;0.6277;1000;11344956409;B
20241028;095935;0.6277;5000;11344956410;B
20241028;095935;0.6277;1000;11344956411;B
20241028;095935;0.6277;3000;11344956412;B
20241028;095935;0.6277;1000;11344956413;B
20241028;095935;0.6277;1000;11344956414;B
20241028;095935;0.6277;15000;11344956415;S
20241028;095935;0.6277;1000;11344956416;B
20241028;095935;0.6277;3000;11344956417;S
20241028;095935;0.6277;5000;11344956418;B
20241028;095935;0.6277;50000;11344956419;B
20241028;095935;0.6277;1000;11344956420;S
20241028;095935;0.6277;50000;11344956421;S
20241028;095935;0.6277;50000;11344956422;S
20241028;095935;0.6277;1000;11344956423;B
