<DATE>,<TIME>,<LAST>,<VOL>,<ID>,<OPER>
20241009,095935,3982,1,11277254394,S
20241009,095935,3982,1,11277254395,S
20241009,095935,3982,1,11277254396,S
20241009,095935,3982,1,11277254397,B
20241009,095935,3982,1,11277254398,B
20241009,095935,3982,8,11277254399,B
20241009,095935,3982,5,11277254400,B
20241009,095935,3982,10,11277254401,B
20241009,095935,3982,2,11277254402,B
20241009,095935,3982,3,11277254403,B
20241009,095935,3982,10,11277254404,S
20241009,095935,3982,5,11277254405,B
20241009,095935,3982,10,11277254406,S
20241009,095935,3982,5,11277254407,B
20241009,095935,3982,7,11277254408,S
20241009,095935,3982,5,11277254409,B
20241009,095935,3982,1,11277254410,B
20241009,095935,3982,1,11277254411,B
20241009,095935,3982,1,11277254412,B
20241009,095935,3982,1,11277254413,B
20241009,095935,3982,1,11277254414,S
20241009,095935,3982,4,11277254415,S
20241009,095935,3982,1,11277254416,S
20241009,095935,3982,2,11277254417,S
20241009,095935,3982,2,11277254418,S
20241009,095935,3982,2,11277254419,S
20241009,095935,3982,3,11277254420,S
20241009,095935,3982,1,11277254421,S
20241009,095935,3982,1,11277254422,S
20241009,095935,3982,1,11277254423,S
20241009,095935,3982,5,11277254424,B
20241009,095935,3982,1,11277254425,B
20241009,095935,3982,1,11277254426,B
20241009,095935,3982,1,11277254427,B
20241009,095935,3982,1,11277254428,B
20241009,095935,3982,3,11277254429,B
20241009,095935,3982,6,11277254430,B
20241009,095935,3982,2,11277254431,B
20241009,095935,3982,2,11277254432,S
20241009,095935,3982,1,11277254433,S
20241009,095935,3982,5,11277254434,S
20241009,095935,3982,33,11277254435,S
20241009,100001,3982,50,11277258024,S
20241009,100001,3982.5,1,11277258038,B
20241009,100001,3982.5,5,11277258039,B
20241009,100001,3982.5,21,11277258040,B
20241009,100001,3982.5,91,11277258041,B
20241009,100001,3982,2,11277258066,S
20241009,100001,3982,20,11277258312,S
20241009,100001,3982,1,11277258330,S
20241009,100001,3982,1,11277258337,S
20241009,100001,3982,66,11277258340,S
20241009,100001,3982,1,11277258341,S
20241009,100002,3982,4,11277258494,S
20241009,100002,3982,4,11277258495,S
20241009,100002,3982,5,11277258615,S
20241009,100002,3982,5,11277258632,S
20241009,100003,3982,25,11277259420,S
20241009,100004,3982.5,15,11277259836,B
20241009,100004,3982.5,60,11277259837,B
20241009,100004,3982.5,45,11277259838,B
20241009,100004,3982.5,15,11277259944,B
20241009,100004,3982.5,5,11277259945,B
20241009,100004,3982.5,50,11277260198,B
20241009,100004,3982.5,5,11277260801,B
20241009,100004,3982.5,45,11277260802,B
20241009,100005,3982.5,15,11277261720,B
20241009,100005,3982.5,35,11277261721,B
20241009,100005,3982.5,25,11277262329,B
20241009,100005,3982.5,25,11277262330,B
20241009,100006,3982,11,11277262657,S
20241009,100006,3982,8,11277263016,S
20241009,100006,3982,1,11277263143,S
20241009,100006,3982.5,5,11277263164,B
20241009,100006,3982.5,21,11277263165,B
20241009,100006,3982.5,24,11277263166,B
20241009,100006,3982,1,11277263203,S
20241009,100007,3982.5,36,11277263398,B
