<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241106;095932;3723.5;1;11386004511;S
20241106;095932;3723.5;1;11386004512;S
20241106;095932;3723.5;3;11386004513;B
20241106;095932;3723.5;5;11386004514;B
20241106;095932;3723.5;1;11386004515;B
20241106;095932;3723.5;1;11386004516;B
20241106;095932;3723.5;10;11386004517;B
20241106;095932;3723.5;8;11386004518;B
20241106;095932;3723.5;11;11386004519;B
20241106;095932;3723.5;1;11386004520;B
20241106;095932;3723.5;1;11386004521;S
20241106;095932;3723.5;1;11386004522;S
20241106;095932;3723.5;10;11386004523;B
20241106;095932;3723.5;1;11386004524;B
20241106;095932;3723.5;3;11386004525;B
20241106;095932;3723.5;10;11386004526;B
20241106;095932;3723.5;1;11386004527;S
20241106;095932;3723.5;1;11386004528;B
20241106;095932;3723.5;80;11386004529;B
20241106;095932;3723.5;1;11386004530;S
20241106;095932;3723.5;10;11386004531;B
20241106;095932;3723.5;3;11386004532;B
20241106;095932;3723.5;20;11386004533;B
20241106;095932;3723.5;1;11386004534;S
20241106;095932;3723.5;2;11386004535;B
20241106;095932;3723.5;10;11386004536;B
20241106;095932;3723.5;50;11386004537;S
20241106;095932;3723.5;1;11386004538;B
20241106;095932;3723.5;1;11386004539;S
20241106;095932;3723.5;3;11386004540;B
20241106;095932;3723.5;1;11386004541;S
20241106;095932;3723.5;3;11386004542;B
20241106;095932;3723.5;1;11386004543;S
20241106;095932;3723.5;1;11386004544;S
20241106;095932;3723.5;6;11386004545;S
20241106;095932;3723.5;1;11386004546;S
20241106;095932;3723.5;32;11386004547;B
20241106;095932;3723.5;3;11386004548;B
20241106;095932;3723.5;1;11386004549;S
20241106;095932;3723.5;1;11386004550;S
20241106;095932;3723.5;3;11386004551;S
20241106;095932;3723.5;1;11386004552;S
20241106;095932;3723.5;1;11386004553;S
20241106;095932;3723.5;21;11386004554;S
20241106;095932;3723.5;5;11386004555;B
20241106;095932;3723.5;50;11386004556;S
20241106;095932;3723.5;8;11386004557;B
20241106;095932;3723.5;5;11386004558;B
20241106;095932;3723.5;1;11386004559;B
20241106;095932;3723.5;1;11386004560;B
20241106;095932;3723.5;10;11386004561;B
20241106;095932;3723.5;1;11386004562;S
20241106;095932;3723.5;5;11386004563;B
20241106;095932;3723.5;8;11386004564;B
20241106;095932;3723.5;1;11386004565;B
20241106;095932;3723.5;40;11386004566;B
20241106;095932;3723.5;1;11386004567;B
20241106;095932;3723.5;1;11386004568;B
20241106;095932;3723.5;1;11386004569;B
20241106;095932;3723.5;7;11386004570;S
20241106;095932;3723.5;1;11386004571;B
20241106;095932;3723.5;1;11386004572;S
20241106;095932;3723.5;5;11386004573;S
20241106;095932;3723.5;4;11386004574;S
20241106;095932;3723.5;10;11386004575;S
20241106;095932;3723.5;1;11386004576;S
20241106;095932;3723.5;3;11386004577;S
20241106;095932;3723.5;1;11386004578;S
20241106;095932;3723.5;1;11386004579;S
20241106;095932;3723.5;1;11386004580;S
20241106;095932;3723.5;5;11386004581;S
20241106;095932;3723.5;3;11386004582;S
20241106;095932;3723.5;1;11386004583;S
20241106;095932;3723.5;5;11386004584;S
20241106;095932;3723.5;38;11386004585;S
20241106;095932;3723.5;25;11386004586;S
20241106;095932;3723.5;9;11386004587;S
20241106;095932;3723.5;10;11386004588;S
20241106;095932;3723.5;25;11386004589;S
20241106;095932;3723.5;20;11386004590;S
20241106;095932;3723.5;146;11386004591;B
20241106;095932;3723.5;1;11386004592;B
20241106;095932;3723.5;5;11386004593;B
20241106;095932;3723.5;131;11386004594;B
20241106;095932;3723.5;19;11386004595;B
20241106;095932;3723.5;1;11386004596;B
20241106;095932;3723.5;1;11386004597;B
20241106;095932;3723.5;2;11386004598;B
20241106;095932;3723.5;1;11386004599;B
20241106;095932;3723.5;6;11386004600;B
20241106;095932;3723.5;22;11386004601;B
20241106;095932;3723.5;6;11386004602;B
20241106;095932;3723.5;50;11386004603;B
20241106;095932;3723.5;16;11386004604;B
20241106;095932;3723.5;4;11386004605;B
20241106;095932;3723.5;1;11386004606;B
20241106;095932;3723.5;1;11386004607;B
20241106;095932;3723.5;2;11386004608;S
20241106;095932;3723.5;1;11386004609;S
20241106;095932;3723.5;10;11386004610;S
20241106;095932;3723.5;1;11386004611;S
20241106;095932;3723.5;10;11386004612;S
20241106;095932;3723.5;20;11386004613;B
20241106;095932;3723.5;1;11386004614;S
20241106;095932;3723.5;1;11386004615;S
20241106;095932;3723.5;25;11386004616;S
20241106;095932;3723.5;1;11386004617;B
20241106;095932;3723.5;1;11386004618;S
20241106;095932;3723.5;31;11386004619;S
20241106;095932;3723.5;17;11386004620;S
20241106;095932;3723.5;4;11386004621;S
20241106;095932;3723.5;19;11386004622;S
20241106;095932;3723.5;37;11386004623;S
20241106;095932;3723.5;6;11386004624;B
20241106;095932;3723.5;1;11386004625;B
20241106;095932;3723.5;10;11386004626;B
20241106;095932;3723.5;5;11386004627;B
20241106;095932;3723.5;2;11386004628;B
20241106;095932;3723.5;1;11386004629;B
20241106;095932;3723.5;2;11386004630;B
20241106;095932;3723.5;50;11386004631;B
20241106;095932;3723.5;10;11386004632;B
20241106;095932;3723.5;1;11386004633;B
20241106;095932;3723.5;50;11386004634;B
20241106;095932;3723.5;1;11386004635;B
20241106;095932;3723.5;7;11386004636;B
20241106;095932;3723.5;100;11386004637;B
20241106;095932;3723.5;25;11386004638;B
20241106;095932;3723.5;1;11386004639;B
20241106;095932;3723.5;20;11386004640;B
20241106;095932;3723.5;50;11386004641;B
20241106;095932;3723.5;1;11386004642;B
20241106;095932;3723.5;1;11386004643;B
20241106;095932;3723.5;207;11386004644;B
20241106;095932;3723.5;1;11386004645;B
20241106;095932;3723.5;1;11386004646;B
20241106;095932;3723.5;70;11386004647;S
20241106;095932;3723.5;20;11386004648;B
20241106;095932;3723.5;3;11386004649;B
20241106;095932;3723.5;1;11386004650;B
20241106;095932;3723.5;20;11386004651;B
20241106;095932;3723.5;5;11386004652;B
20241106;095932;3723.5;100;11386004653;S
20241106;095932;3723.5;27;11386004654;B
20241106;095932;3723.5;45;11386004655;B
20241106;095932;3723.5;898;11386004656;B
20241106;095932;3723.5;1;11386004657;B
20241106;095932;3723.5;100;11386004658;B
20241106;095932;3723.5;50;11386004659;B
20241106;095932;3723.5;1;11386004660;B
20241106;095932;3723.5;1;11386004661;B
20241106;095932;3723.5;1;11386004662;B
20241106;095932;3723.5;1;11386004663;B
