<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR
20231120;000000;2573;2589.2;2557;2573.4;572912;0.000155461
20231121;000000;2570;2587.8;2563;2572.6;340917;0.001011673
20231122;000000;2578;2599;2568;2573.4;486196;-0.001784329
20231123;000000;2583;2598;2540;2559.2;583121;-0.009214092
20231124;000000;2569.6;2616.4;2560;2594.6;1005631;0.009729141
20231127;000000;2593.4;2659.4;2587;2593.2;1903884;-7.71188E-05
20231128;000000;2599.2;2628;2591;2602.6;808923;0.001308095
20231129;000000;2602.2;2628.8;2563.6;2574;902549;-0.010836984
20231130;000000;2576;2603.8;2501;2523.4;1097112;-0.020419255
20231201;000000;2526.4;2548;2410;2420.6;1683423;-0.041877771
20231204;000000;2420;2436.8;2365.6;2397.8;1239252;-0.009173554
20231205;000000;2419.6;2433;2385;2418.6;643260;-0.000413291
20231206;000000;2420.2;2428.8;2301;2320.6;1297177;-0.041153624
20231207;000000;2326.6;2367.6;2296.2;2349.8;1011069;0.009971632
20231208;000000;2365;2385;2335.2;2337.6;695479;-0.011585624
20231211;000000;2339;2343.8;2191.4;2207.6;2085576;-0.056177854
20231212;000000;2219.8;2284.4;2201;2257;1883367;0.016758267
20231213;000000;2243;2288;2230.2;2266.8;1087960;0.010610789
20231214;000000;2271;2275.6;2140;2157.6;1559511;-0.04993395
20231215;000000;2162;2244;2116.2;2224.4;2086655;0.028862165
20231218;000000;2228;2271;2217.4;2250.4;1389454;0.01005386
20231219;000000;2250.2;2274;2231.8;2242.2;898147;-0.00355524
20231220;000000;2245.6;2318.8;2242.6;2288.8;2252431;0.01923762
20231221;000000;2278.8;2286.8;2245.2;2267.2;942834;-0.005090398
20231222;000000;2267;2303.8;2266.2;2295.8;802124;0.012704014
20231225;000000;2300.6;2455.8;2297;2396.6;4164074;0.041728245
20231226;000000;2398.8;2439.8;2361;2427.6;1543722;0.012006003
20231227;000000;2428;2574.6;2428;2550;2789178;0.050247117
20231228;000000;2594;2610;2520;2531.2;2089692;-0.024209715
20231229;000000;2537.6;2566;2505.6;2540;859639;0.000945776
20240103;000000;2550;2593;2542;2581;425879;0.012156863
20240104;000000;2575;2580.4;2554.4;2568;393161;-0.002718447
20240105;000000;2568.4;2586.6;2566.2;2576.8;264257;0.003270519
20240108;000000;2580.2;2618.8;2579.2;2611;672087;0.011937059
20240109;000000;2621.2;2628.8;2584;2607;620500;-0.005417366
20240110;000000;2606.8;2615.2;2573.4;2586.4;526227;-0.007825687
20240111;000000;2586.8;2614.6;2583.6;2605;550695;0.00703572
20240112;000000;2610.8;2644;2606;2631;735355;0.007737092
20240115;000000;2645;2695;2642.2;2690.2;1002045;0.017088847
20240116;000000;2698.6;2698.8;2630.6;2647.2;950469;-0.019046913
20240117;000000;2643;2674.8;2635.2;2652.4;492065;0.003556565
20240118;000000;2654.4;2660;2590.8;2595.8;827733;-0.022076552
20240119;000000;2606;2606;2550;2569.8;805680;-0.013891021
20240122;000000;2572.8;2615.4;2551;2601;557079;0.010960821
20240123;000000;2661;2690;2612.2;2635.4;1605227;-0.009620443
20240124;000000;2636;2658.8;2615;2645.8;816125;0.003717754
20240125;000000;2651;2798;2633.6;2779;2793527;0.048283667
20240126;000000;2789.2;2895;2778.8;2873;4129990;0.030044457
20240129;000000;2900.2;2996.6;2896.4;2995;3210492;0.032687401
