<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<ATR>
20231204;000000;198.5;202.48;196;200.05;5430480;6.48
20231205;000000;201.01;203.4;198.5;202.88;4293910;4.9
20231206;000000;203.52;204.28;197.8;198.22;5748530;6.48
20231207;000000;198.23;200.7;194.29;197.13;7283750;6.41
20231208;000000;197.33;199.76;197.15;198.47;2468580;2.61
20231211;000000;198.47;199.8;188.51;189.79;8423360;11.29
20231212;000000;189.6;190.87;184.7;186.14;8636830;6.17
20231213;000000;186.5;188.68;184.28;187.76;3824080;4.4
20231214;000000;188;193.56;187.77;192.4;7419360;5.79
20231215;000000;193.3;196.53;190.9;194.6;7254450;5.63
20231218;000000;195.4;203;194.24;201.86;7292720;8.76
20231219;000000;201.87;206;197.87;200.4;9281410;8.13
20231220;000000;201.31;202.75;199.1;199.91;5148130;3.65
20231221;000000;199.83;199.97;192.85;192.9;9991640;7.12
20231222;000000;192.88;196.49;192.08;194;7295560;4.41
20231225;000000;194.38;195.85;191.03;192.61;5763240;4.82
20231226;000000;192.53;193.32;190.54;191.9;2863400;2.78
20231227;000000;192.3;192.89;189.49;190;3108940;3.4
20231228;000000;190.03;191;186.21;189.31;3487730;4.79
20231229;000000;189.51;190.77;188;189.57;2153770;2.77
20240103;000000;190.22;195.88;189.62;195.4;3701150;6.26
20240104;000000;195.99;196.32;193.2;193.84;2147310;3.12
20240105;000000;194;194.55;192.26;193.08;2006540;2.29
20240108;000000;193.08;194.29;192.74;193.69;1677060;1.55
20240109;000000;194;194.95;193.01;194.43;2496240;1.94
20240110;000000;194.39;195.67;193.05;193.18;3498690;2.62
20240111;000000;193.72;194.21;191.15;192.9;3212020;3.06
20240112;000000;193;193.78;192.25;192.8;2540260;1.53
20240115;000000;193.3;194.5;192.93;194.45;2304500;1.57
20240116;000000;194.65;195.09;191.05;192.05;3963970;4.04
20240117;000000;192.06;193.28;191.5;192.9;2389920;1.78
20240118;000000;193.28;195.45;192.38;193.73;5182010;3.07
20240119;000000;193.99;194.69;192;192.91;2249770;2.69
20240122;000000;192.92;199.83;192.5;199.21;10938170;7.33
20240123;000000;199.2;201.48;196.63;198.03;7413430;4.85
20240124;000000;198.09;199.35;196.35;198.83;3443980;3
20240125;000000;199.23;199.29;195.66;197.52;3776740;3.63
