<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20240522;095932;238.26;10;10427178551;S
20240522;095932;238.26;10;10427178552;S
20240522;095932;238.26;10;10427178553;S
20240522;095932;238.26;40;10427178554;S
20240522;095932;238.26;100;10427178555;B
20240522;095932;238.26;30;10427178556;S
20240522;095932;238.26;350;10427178557;S
20240522;095932;238.26;480;10427178558;S
20240522;095932;238.26;20;10427178559;S
20240522;095932;238.26;70;10427178560;S
20240522;095932;238.26;20;10427178561;S
20240522;095932;238.26;20;10427178562;S
20240522;095932;238.26;10;10427178563;B
20240522;095932;238.26;10;10427178564;B
20240522;095932;238.26;30;10427178565;B
20240522;095932;238.26;10;10427178566;B
20240522;095932;238.26;100;10427178567;B
20240522;095932;238.26;10;10427178568;B
20240522;095932;238.26;400;10427178569;B
20240522;095932;238.26;100;10427178570;B
20240522;095932;238.26;20;10427178571;B
20240522;095932;238.26;100;10427178572;B
20240522;095932;238.26;40;10427178573;S
20240522;095932;238.26;60;10427178574;S
20240522;095932;238.26;50;10427178575;B
20240522;095932;238.26;70;10427178576;B
20240522;095932;238.26;10;10427178577;S
20240522;095932;238.26;370;10427178578;B
20240522;095932;238.26;200;10427178579;B
20240522;095932;238.26;930;10427178580;B
20240522;095932;238.26;10;10427178581;S
20240522;095932;238.26;10;10427178582;S
20240522;095932;238.26;20;10427178583;B
20240522;095932;238.26;10;10427178584;B
20240522;095932;238.26;10;10427178585;B
20240522;095932;238.26;30;10427178586;B
20240522;095932;238.26;30;10427178587;B
20240522;095932;238.26;250;10427178588;B
20240522;095932;238.26;10;10427178589;B
20240522;095932;238.26;10;10427178590;B
20240522;095932;238.26;10;10427178591;B
20240522;095932;238.26;10;10427178592;B
20240522;095932;238.26;30;10427178593;B
20240522;095932;238.26;10;10427178594;B
20240522;095932;238.26;70;10427178595;B
20240522;095932;238.26;10;10427178596;S
20240522;095932;238.26;10;10427178597;B
20240522;095932;238.26;210;10427178598;S
20240522;095932;238.26;100;10427178599;B
20240522;095932;238.26;100;10427178600;S
20240522;095932;238.26;600;10427178601;S
20240522;100000;238.26;660;10427184315;S
20240522;100000;238.28;10;10427184379;B
20240522;100000;238.43;40;10427184476;B
20240522;100000;238.26;10;10427184594;S
20240522;100000;238.26;100;10427184646;S
20240522;100000;238.42;10;10427184747;B
20240522;100001;238.41;50;10427184997;B
20240522;100001;238.42;10;10427184998;B
20240522;100001;238.28;10;10427185008;S
20240522;100002;238.29;10;10427186046;S
20240522;100003;238.34;120;10427186489;B
20240522;100003;238.35;100;10427186490;B
20240522;100003;238.35;30;10427186491;B
20240522;100004;238.28;10;10427187187;S
20240522;100004;238.28;30;10427187380;S
20240522;100004;238.28;40;10427187381;S
20240522;100004;238.26;330;10427187382;S
20240522;100004;238.4;10;10427187912;B
20240522;100004;238.26;10;10427187913;S
20240522;100004;238.41;10;10427188035;B
20240522;100004;238.42;50;10427188036;B
20240522;100004;238.42;240;10427188037;B
20240522;100004;238.3;40;10427188217;S
20240522;100004;238.29;100;10427188218;S
20240522;100004;238.27;40;10427188219;S
20240522;100004;238.26;380;10427188220;S
20240522;100004;238.25;50;10427188221;S
20240522;100004;238.21;1020;10427188222;S
20240522;100004;238.2;380;10427188223;S
20240522;100005;238.34;70;10427188647;B
20240522;100005;238.34;70;10427188648;B
20240522;100005;238.35;100;10427188649;B
20240522;100005;238.36;40;10427188650;B
20240522;100005;238.42;510;10427188651;B
20240522;100005;238.43;210;10427188652;B
20240522;100005;238.21;40;10427189038;S
20240522;100005;238.21;10;10427189283;S
20240522;100005;238.21;20;10427189365;S
20240522;100005;238.21;40;10427189366;S
20240522;100006;238.28;30;10427189682;S
20240522;100006;238.41;10;10427190277;B
20240522;100006;238.3;200;10427190479;S
20240522;100006;238.3;10;10427190487;S
20240522;100006;238.41;10;10427190747;B
20240522;100006;238.43;30;10427190748;B
20240522;100006;238.42;10;10427190967;B
20240522;100006;238.42;10;10427190969;B
20240522;100006;238.42;10;10427190971;B
20240522;100006;238.42;10;10427190975;B
20240522;100007;238.42;10;10427191191;B
20240522;100007;238.37;100;10427191752;B
20240522;100007;238.41;40;10427191753;B
20240522;100007;238.42;10;10427191754;B
20240522;100007;238.42;290;10427191755;B
20240522;100008;238.41;10;10427192432;B
20240522;100008;238.41;30;10427192433;B
20240522;100008;238.42;10;10427192434;B
20240522;100008;238.42;50;10427192435;B
20240522;100008;238.42;150;10427192502;B
20240522;100008;238.43;250;10427192503;B
20240522;100009;238.3;400;10427192703;S
20240522;100010;238.43;10;10427192801;B
20240522;100010;238.43;20;10427192818;B
20240522;100010;238.43;10;10427192854;B
20240522;100010;238.43;20;10427192906;B
20240522;100010;238.43;250;10427192985;B
20240522;100011;238.43;20;10427192997;B
20240522;100013;238.41;80;10427193713;B
20240522;100013;238.43;290;10427193714;B
20240522;100013;238.44;90;10427193715;B
20240522;100013;238.46;40;10427193716;B
20240522;100013;238.49;40;10427193717;B
20240522;100013;238.49;190;10427193718;B
20240522;100013;238.5;30;10427193719;B
20240522;100013;238.5;500;10427193720;B
20240522;100013;238.5;200;10427193721;B
20240522;100013;238.5;10;10427193722;B
20240522;100013;238.5;10;10427193723;B
20240522;100013;238.51;500;10427193724;B
20240522;100013;238.51;50;10427193725;B
20240522;100013;238.58;10;10427193726;B
20240522;100013;238.65;10;10427193727;B
20240522;100013;238.66;60;10427193728;B
20240522;100013;238.67;190;10427193729;B
20240522;100013;238.49;10;10427193847;B
20240522;100014;238.64;10;10427193935;B
20240522;100014;238.66;10;10427194079;B
20240522;100014;238.51;30;10427194092;S
20240522;100014;238.5;20;10427194093;S
20240522;100014;238.5;20;10427194094;S
20240522;100015;238.66;50;10427194177;B
20240522;100015;238.66;20;10427194373;B
20240522;100016;238.5;70;10427194472;S
20240522;100016;238.5;20;10427194473;S
20240522;100016;238.5;60;10427194559;S
20240522;100016;238.49;20;10427194560;S
20240522;100017;238.66;840;10427194718;B
20240522;100018;238.67;110;10427194829;B
20240522;100018;238.69;60;10427194830;B
20240522;100018;238.69;60;10427194831;B
20240522;100018;238.7;300;10427194832;B
20240522;100018;238.7;30;10427194833;B
20240522;100018;238.85;100;10427194834;B
20240522;100018;238.86;120;10427194835;B
20240522;100018;238.87;1500;10427194836;B
20240522;100018;238.71;10;10427195088;S
20240522;100018;238.66;10;10427195089;S
20240522;100019;238.87;20;10427195323;B
20240522;100019;238.87;20;10427195324;B
20240522;100022;238.66;30;10427196240;S
20240522;100024;238.68;40;10427196608;S
20240522;100024;238.67;360;10427196609;S
20240522;100024;238.77;20;10427196694;B
20240522;100024;238.77;20;10427196716;B
20240522;100025;238.7;170;10427197051;S
20240522;100025;238.69;40;10427197052;S
20240522;100025;238.69;40;10427197053;S
20240522;100025;238.67;750;10427197054;S
20240522;100025;238.77;370;10427197075;B
20240522;100025;238.78;10;10427197076;B
20240522;100025;238.8;40;10427197077;B
20240522;100025;238.87;510;10427197078;B
20240522;100025;238.87;1110;10427197079;B
