<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR
20231120;000000;327.85;331.29;314.02;315.01;34828594;17.27
20231121;000000;315;329;305.6;327.38;52571571;23.4
20231122;000000;327.56;335.64;310.28;314.1;62665561;25.36
20231123;000000;313.6;319.8;307.6;313.6;37597785;12.2
20231124;000000;313.7;314.99;305.29;309.54;21486364;9.7
20231127;000000;309.22;309.94;291.55;291.6;36267095;18.39
20231128;000000;290.61;304.29;280;303.44;50411574;24.29
20231129;000000;304.8;305.1;286.43;286.43;32704107;18.67
20231130;000000;289.5;296;283.43;292.42;25406933;12.57
20231201;000000;293.83;295.14;285;287.7;15646086;10.14
20231204;000000;286.88;291.6;281.5;284.56;16723294;10.1
20231205;000000;284.65;288.46;275.95;279.46;20634529;12.51
20231206;000000;279.8;280.78;268.1;269.07;19219538;12.68
20231207;000000;269.07;279.6;261.93;275.88;32536456;17.67
20231208;000000;277.02;285.36;271.84;277.5;28535635;13.52
20231211;000000;277.81;282.31;272.3;278.38;18092676;10.01
20231212;000000;280.09;282;269;270.54;15059709;13
20231213;000000;270.53;273.9;266.27;271.48;10712880;7.63
20231214;000000;271.65;280.93;271.01;275.15;19665353;9.92
20231215;000000;275.22;290;275.15;290;19533592;14.85
20231218;000000;293;298.7;290.12;296.54;17954313;8.58
20231219;000000;296.61;296.78;287.28;291.69;14799350;9.5
20231220;000000;291.7;293.29;287.6;290.27;7418465;5.69
20231221;000000;290.6;303.75;285.69;301.74;20613094;18.06
20231222;000000;302.56;313;299.28;311.65;25363913;13.72
20231225;000000;313.65;317.83;307.9;311.37;15529689;9.93
20231226;000000;311.36;314.2;306.72;312.4;7990380;7.48
20231227;000000;312.5;313.74;309.1;309.11;5567380;4.64
20231228;000000;309;312.33;306.61;310.99;5422374;5.72
20231229;000000;312;313;308.88;311;4097962;4.12
20240103;000000;311.1;326.74;311.1;326.74;12415726;15.64
20240104;000000;327.6;329.39;323.1;326.9;10152010;6.29
20240105;000000;328;328.49;325;328.46;3659226;3.49
20240108;000000;328.98;334.28;323.57;326.37;12796083;10.71
20240109;000000;328;333.54;324.22;332.88;8016063;9.32
20240110;000000;333;333.71;324.33;325.4;8113019;9.38
20240111;000000;325.39;326.9;318.6;322.35;11000221;8.3
20240112;000000;322.5;323.75;315.6;318.2;8590477;8.15
20240115;000000;318.44;319.9;314.52;316;5970460;5.38
20240116;000000;315.9;323.59;313.6;322.36;8946779;9.99
20240117;000000;322.29;326.43;319.42;320.29;8645406;7.01
20240118;000000;320.98;322.3;317.11;318.19;5091923;5.19
20240119;000000;317.85;319;315.04;318.48;5416486;3.96
20240122;000000;318.8;319.68;310.57;310.87;8682377;9.11
20240123;000000;309.9;309.9;304.1;305.96;10799950;5.8
20240124;000000;305.68;309.74;295.66;297.81;18303076;14.08
20240125;000000;296.99;304.67;291.6;303.89;14279024;13.07
20240126;000000;304.9;306.78;300.8;301.78;7397510;5.98
20240129;000000;302.53;303.59;297.3;298.29;7092889;6.29
20240130;000000;297.89;314.85;295.66;314.48;18085258;19.19
20240131;000000;315.33;322.42;314.5;319.88;21186293;7.92
20240201;000000;320.09;322.35;315.7;317.61;9193470;6.65
20240202;000000;317.55;320.8;313.4;318.69;9277481;7.4
20240205;000000;319.5;329;319;328.77;15618486;10
20240206;000000;329.2;329.57;322.1;323.24;9427147;7.47
20240207;000000;323.01;325.99;319.2;321.4;7863196;6.79
20240208;000000;321.9;325.79;317.15;317.94;10543311;8.64
20240209;000000;316.8;318.24;312;315.1;9546118;6.24
20240212;000000;315.75;319.29;312.67;315.39;5410922;6.62
20240213;000000;315.88;319.9;314.6;319.17;5178461;5.3
20240214;000000;318.9;321.35;317.01;317.55;4501894;4.34
20240215;000000;317.44;317.44;313.17;314.89;5553065;4.27
20240216;000000;315.3;316.2;309.5;310.51;6601476;6.7
20240219;000000;311.32;315.38;308.76;313.09;5707391;6.62
20240220;000000;313.5;316.5;305.06;305.39;14070680;11.44
20240221;000000;305.35;307.94;276.33;281.76;33648427;31.61
20240222;000000;282.45;285.67;270.5;276.71;31690439;15.17
20240226;000000;266.6;280.47;262.4;279.91;20735616;18.07
20240227;000000;281.01;288.69;278.21;281.65;18945137;10.48
20240228;000000;281.52;282.98;277;278.58;9284222;5.98
20240229;000000;278.7;278.8;270.31;271.44;10226598;8.49
20240301;000000;271.98;279.74;271.16;278.95;9269046;8.58
20240304;000000;281.11;287.48;279.67;285.99;12654685;7.81
20240305;000000;287.3;288;283.21;284.27;5167801;4.79
20240306;000000;284.3;284.75;281.35;282.1;4602833;3.4
20240307;000000;281.86;283.88;280.12;281.4;4382078;3.76
20240311;000000;282.1;291.99;282.1;290.19;7359806;9.89
20240312;000000;290.29;303.49;288.05;300.39;22386845;15.44
20240313;000000;301;303.99;293.07;294.63;14805283;10.92
20240314;000000;294.65;297.28;289.21;295;13102987;8.07
20240315;000000;295.2;297.71;291.1;292.83;5722118;6.61
20240318;000000;293.8;294.77;288.2;290.87;5493083;6.57
20240319;000000;290.6;297.8;289.55;293.97;11646460;8.25
20240320;000000;294.7;296.31;285.12;287.01;9605414;11.19
20240321;000000;287;289.09;283.02;287.51;6964155;6.07
20240322;000000;287.76;288.9;276.24;279.62;7928499;12.66
20240325;000000;279.57;281.99;274.22;279.06;8807120;7.77
20240326;000000;279.9;282.43;277.1;278.54;4086858;5.33
20240327;000000;279.59;282.11;275.8;277.21;4402429;6.31
20240328;000000;277.6;278.03;273.6;276.48;5149911;4.43
20240329;000000;276.48;278.95;275.16;277.04;3540164;3.79
20240401;000000;278.37;288.9;278.05;288.9;8342739;10.85
20240402;000000;289.87;290.3;282.5;285.64;6439132;7.8
20240403;000000;285.7;289.84;282.13;286.25;5664157;7.71
20240404;000000;287.22;288.38;283.5;283.96;3340802;4.88
20240405;000000;283.43;287.87;279.27;283.67;5922419;8.6
20240408;000000;284.5;287.9;284.07;285.56;3443256;3.83
20240409;000000;286;286.47;280.73;282.06;4308947;5.74
20240410;000000;281;284.5;278.55;284.24;4718206;5.95
20240411;000000;284.07;284.07;279.35;280.32;4053739;4.72
20240412;000000;280.11;281.35;276.67;277.88;5485642;4.68
20240415;000000;277.87;279.4;274.5;278.46;4586997;4.9
20240416;000000;278.96;280.13;275.96;277.09;3096198;4.17
20240417;000000;276.96;277.99;272;274.09;4945282;5.99
20240418;000000;274.1;276.42;271.01;272.71;4136914;5.41
20240419;000000;272.23;276.8;271.23;274.2;3558525;5.57
20240422;000000;274.51;275.94;271.5;272.63;3752911;4.44
20240423;000000;272.26;273.9;269;270.1;4570325;4.9
20240424;000000;269.14;274.84;266.25;271.98;8830803;8.59
20240425;000000;273;274.29;267.5;268.33;4474997;6.79
20240426;000000;268;270.3;267;267.9;3738313;3.3
20240427;000000;267.9;268.49;262.11;264.44;7383018;6.38
20240429;000000;264.97;265.19;255.53;257.22;10460289;9.66
20240430;000000;257.22;257.49;251.05;252.57;6826764;6.44
20240502;000000;251.59;253.99;241.1;244;11412564;12.89
20240503;000000;243.48;247.66;242.41;244.24;8655189;5.25
20240506;000000;244.89;247.77;244;245.96;5054641;3.77
20240507;000000;245.88;247.34;242.64;245.99;4024580;4.7
20240508;000000;246.08;246.79;244.16;245.68;2658750;2.63
20240510;000000;245.59;256.96;245.34;256.25;11955791;11.62
20240513;000000;257.3;262.26;250.66;252.46;13784341;11.6
20240514;000000;252.47;253.42;247.4;249.32;5381148;6.02
20240515;000000;249.29;252.78;248.39;251.64;4327049;4.39
20240516;000000;252.17;252.69;247.77;249.95;3647849;4.92
20240517;000000;249.96;250.14;246.41;248.68;2953990;3.73
20240520;000000;248.36;248.54;241.45;241.84;5726874;7.09
20240521;000000;240.95;244.25;235.1;243.69;7425783;9.15
20240522;000000;243.9;245.99;238.1;238.11;6148424;7.89
20240523;000000;238.75;239.69;230.98;234.52;7445208;8.71
20240524;000000;234.74;235.5;225.86;227;7475531;9.64
20240527;000000;227.01;228.39;212.2;216.06;13909152;16.19
20240528;000000;215.99;225.35;214.02;220;12838414;11.33
20240529;000000;219.96;229.23;216.74;227.8;7748191;12.49
20240530;000000;227.79;233.33;220.1;223.3;8550858;13.23
20240531;000000;223.2;226.85;214.8;215.73;8024238;12.05
20240603;000000;216.4;219;206.27;217.44;13808230;12.73
20240604;000000;216.75;220.97;214.08;217.66;8831851;6.89
20240605;000000;218.66;229.99;217.67;227.99;31711464;12.32
20240606;000000;228.52;231.75;225;228.1;15060753;6.75
20240607;000000;227.82;231.49;226.61;229;8561135;4.88
20240610;000000;231.48;236.69;223.23;226.8;11534151;13.46
20240611;000000;226.33;226.78;217.45;221.9;13266135;9.33
20240613;000000;214.5;229;201.9;227.04;8799874;27.1
20240614;000000;227.1;230.46;223.05;228.73;4897141;7.41
20240617;000000;229.5;233.96;225.24;226.53;5797625;8.72
20240618;000000;225.96;227.41;219.46;223.48;7511755;7.95
20240619;000000;222.9;224.44;216.59;217.92;6811799;7.85
20240620;000000;218.06;226;217.33;225.78;6374820;8.67
20240621;000000;226.2;228.49;221.65;223.98;5570877;6.84
20240624;000000;223.09;224.77;220.78;221.6;2203500;3.99
20240625;000000;221.7;224.22;219.53;223.38;5413656;4.69
20240626;000000;223.39;225.64;219.88;224.29;4857334;5.76
20240627;000000;224.27;224.75;216.7;218.01;9489953;8.05
20240628;000000;217.54;220;216.02;218.2;5222123;3.98
20240701;000000;218.18;219.57;217.71;218.49;4589688;1.86
20240702;000000;219;219.24;216.76;217.45;3419290;2.48
20240703;000000;217.43;219.9;211.01;211.39;10923354;8.89
20240704;000000;210.86;210.86;204.25;207.69;10221699;6.61
20240705;000000;207.4;215.95;204.73;215.13;10725464;11.22
20240708;000000;214.8;216.48;208.84;209.62;7007441;7.64
