<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241107;120949;103;97;11393342291;B
20241107;120949;103;11;11393342292;B
20241107;120949;103;3;11393342293;B
20241107;120949;103;1;11393342294;B
20241107;120949;103;627;11393342295;B
20241107;120949;103;43;11393342296;B
20241107;120949;103;2500;11393342297;B
20241107;120949;103;94;11393342298;B
20241107;120949;103;4;11393342299;B
20241107;120949;103;325;11393342300;S
20241107;120949;103;100;11393342301;B
20241107;120949;103;2;11393342302;S
20241107;120949;103;1;11393342303;S
20241107;120949;103;1;11393342304;S
20241107;120949;103;2;11393342305;S
20241107;120949;103;1;11393342306;S
20241107;120949;103;3;11393342307;S
20241107;120949;103;1;11393342308;S
20241107;120949;103;245;11393342309;S
20241107;120949;103;1;11393342310;S
20241107;120949;103;1;11393342311;S
20241107;120949;103;1;11393342312;S
20241107;120949;103;1;11393342313;S
20241107;120949;103;2;11393342314;S
20241107;120949;103;1;11393342315;S
20241107;120949;103;1;11393342316;S
20241107;120949;103;5;11393342317;S
20241107;120949;103;1;11393342318;S
20241107;120949;103;1;11393342319;S
20241107;120949;103;1;11393342320;S
20241107;120949;103;1;11393342321;S
20241107;120949;103;1;11393342322;S
20241107;120949;103;2;11393342323;S
20241107;120949;103;1;11393342324;S
20241107;120949;103;2;11393342325;S
20241107;120949;103;50;11393342326;S
20241107;120949;103;9;11393342327;S
20241107;120949;103;1;11393342328;S
20241107;120949;103;22;11393342329;S
20241107;120949;103;10;11393342330;S
20241107;120949;103;1;11393342331;S
20241107;120949;103;4;11393342332;S
20241107;120949;103;12;11393342333;S
20241107;120949;103;1;11393342334;S
20241107;120949;103;1;11393342335;S
20241107;120949;103;1;11393342336;S
20241107;120949;103;1;11393342337;S
20241107;120949;103;10;11393342338;S
20241107;120949;103;10;11393342339;S
20241107;120949;103;2;11393342340;S
20241107;120949;103;2;11393342341;S
20241107;120949;103;1;11393342342;S
20241107;120949;103;1;11393342343;S
20241107;120949;103;500;11393342344;S
20241107;120949;103;2;11393342345;S
20241107;120949;103;3;11393342346;S
20241107;120949;103;5;11393342347;S
20241107;120949;103;10;11393342348;S
20241107;120949;103;1;11393342349;S
20241107;120949;103;5;11393342350;S
20241107;120949;103;10;11393342351;S
20241107;120949;103;180;11393342352;S
20241107;120949;103;17;11393342353;S
20241107;120949;103;1;11393342354;S
20241107;120949;103;1138;11393342355;S
20241107;120949;103;11;11393342356;S
20241107;120949;103;35;11393342357;S
20241107;120949;103;383;11393342358;S
20241107;120949;103;100;11393342359;S
20241107;120949;103;1;11393342360;S
20241107;120949;103;2;11393342361;S
20241107;120949;103;3;11393342362;S
20241107;120949;103;9;11393342363;S
20241107;120949;103;1;11393342364;S
20241107;120949;103;1;11393342365;S
20241107;120949;103;2;11393342366;S
20241107;120949;103;1;11393342367;S
20241107;120949;103;17;11393342368;S
20241107;120949;103;96;11393342369;S
20241107;120949;103;4;11393342370;S
20241107;120949;103;36;11393342371;S
20241107;120949;103;10;11393342372;B
20241107;120949;103;2;11393342373;S
20241107;120949;103;100;11393342374;S
20241107;120949;103;48;11393342375;S
20241107;120949;103;452;11393342376;S
20241107;120949;103;548;11393342377;B
20241107;120949;103;15;11393342378;B
20241107;120949;103;6;11393342379;B
20241107;120949;103;431;11393342380;S
20241107;120949;103;69;11393342381;S
20241107;120949;103;31;11393342382;S
20241107;120949;103;8;11393342383;S
20241107;120949;103;1;11393342384;S
20241107;120949;103;6;11393342385;S
20241107;120949;103;1;11393342386;S
20241107;120949;103;3;11393342387;S
20241107;120949;103;1;11393342388;S
20241107;120949;103;1;11393342389;S
20241107;120949;103;100;11393342390;S
20241107;120949;103;37;11393342391;S
20241107;120949;103;1;11393342392;S
20241107;120949;103;100;11393342393;S
20241107;120949;103;30;11393342394;S
20241107;120949;103;300;11393342395;B
20241107;120949;103;380;11393342396;B
20241107;120949;103;1075;11393342397;S
20241107;120949;103;18;11393342398;S
20241107;120949;103;2207;11393342399;S
20241107;120949;103;350;11393342400;S
20241107;120949;103;60;11393342401;B
20241107;120949;103;235;11393342402;S
20241107;120949;103;14;11393342403;S
20241107;120949;103;2133;11393342404;B
20241107;120949;103;1491;11393342405;B
20241107;120949;103;1;11393342406;B
20241107;120949;103;22;11393342407;B
20241107;120949;103;1;11393342408;B
20241107;121001;102.97;40;11393346852;S
20241107;121002;102.97;259;11393347327;B
20241107;121002;102.98;41;11393347328;B
20241107;121002;102.98;1;11393347370;B
20241107;121002;102.95;1;11393347466;S
20241107;121002;102.86;149;11393347467;S
20241107;121002;102.97;32;11393347677;S
20241107;121002;102.9;5;11393347847;S
20241107;121002;102.84;1;11393347848;S
20241107;121002;102.84;1;11393347849;S
20241107;121002;102.84;218;11393347850;S
20241107;121002;102.84;175;11393347851;S
20241107;121002;102.84;361;11393347999;S
20241107;121002;102.84;1;11393348035;S
20241107;121003;102.84;1401;11393348349;S
20241107;121003;102.83;1016;11393348350;S
20241107;121003;102.81;500;11393348351;S
20241107;121003;102.81;314;11393348352;S
20241107;121003;102.8;4;11393348353;S
20241107;121003;102.8;108;11393348354;S
20241107;121003;102.8;50;11393348355;S
20241107;121003;102.8;1614;11393348356;S
20241107;121003;102.8;280;11393348897;S
20241107;121003;102.8;25;11393348921;S
20241107;121003;102.8;25;11393348929;S
20241107;121003;102.8;500;11393349091;S
20241107;121003;102.8;25;11393349398;S
20241107;121003;102.8;25;11393349407;S
20241107;121004;102.8;506;11393349680;S
20241107;121004;102.8;8;11393349681;S
20241107;121004;102.8;8;11393349682;S
20241107;121004;102.79;1;11393349683;S
20241107;121004;102.78;1458;11393349684;S
20241107;121004;102.75;249;11393349685;S
20241107;121004;102.74;1;11393349686;S
20241107;121004;102.73;10;11393349687;S
20241107;121004;102.73;272;11393349688;S
20241107;121004;102.72;42;11393349689;S
20241107;121004;102.71;215;11393349690;S
20241107;121004;102.89;50;11393349882;B
20241107;121004;102.9;1000;11393350277;B
20241107;121005;102.8;3;11393350619;S
20241107;121005;102.8;100;11393350620;S
20241107;121005;102.8;11;11393350621;S
20241107;121005;102.8;1;11393350622;S
20241107;121005;102.74;231;11393350623;S
20241107;121005;102.74;1459;11393350624;S
20241107;121005;102.72;231;11393350625;S
20241107;121005;102.71;799;11393350626;S
20241107;121005;102.71;1;11393350627;S
20241107;121005;102.7;1;11393350628;S
20241107;121005;102.7;10;11393350629;S
20241107;121005;102.7;2;11393350630;S
20241107;121005;102.7;2;11393350631;S
20241107;121005;102.68;1357;11393350632;S
20241107;121005;102.67;2292;11393350633;S
20241107;121005;102.67;17;11393350655;S
20241107;121005;102.67;1;11393350678;S
20241107;121005;102.82;1;11393351438;B
20241107;121005;102.87;1;11393351635;B
20241107;121005;102.89;5;11393352272;B
20241107;121006;102.8;1;11393352431;S
20241107;121006;102.8;999;11393352432;S
20241107;121006;102.8;1;11393352715;S
20241107;121006;102.8;18;11393352716;S
20241107;121006;102.7;81;11393352717;S
20241107;121006;102.7;300;11393352791;S
20241107;121006;102.79;500;11393353014;S
20241107;121006;102.89;10;11393353201;B
20241107;121006;102.79;500;11393353365;S
20241107;121006;102.78;100;11393353366;S
20241107;121007;102.89;826;11393353887;B
20241107;121007;102.89;10;11393353901;B
20241107;121007;102.89;8;11393353907;B
20241107;121007;102.89;2;11393353910;B
20241107;121007;102.82;2;11393353915;S
20241107;121007;102.82;2;11393353925;S
20241107;121007;102.82;1;11393353927;S
20241107;121007;102.82;100;11393353992;S
20241107;121007;102.89;1;11393354146;B
20241107;121007;102.89;8;11393354147;B
20241107;121007;102.89;2;11393354148;B
20241107;121007;102.89;2;11393354149;B
20241107;121007;102.89;2;11393354152;B
20241107;121007;102.89;1;11393354153;B
20241107;121007;102.82;51;11393354220;S
20241107;121007;102.82;44;11393355318;S
20241107;121007;102.78;256;11393355319;S
20241107;121008;102.87;1;11393355615;B
20241107;121008;102.79;8;11393355907;S
20241107;121008;102.79;7;11393355920;S
20241107;121008;102.79;10;11393356018;S
20241107;121008;102.87;1457;11393356020;B
20241107;121008;102.88;500;11393356021;B
20241107;121008;102.91;150;11393356022;B
20241107;121008;102.94;188;11393356023;B
20241107;121008;102.79;5;11393356026;S
20241107;121008;102.93;2;11393356033;B
20241107;121008;102.79;1;11393356037;S
20241107;121009;102.88;5;11393356274;B
20241107;121009;102.8;1;11393356469;S
20241107;121009;102.79;39;11393356470;S
20241107;121009;102.8;2;11393356553;S
20241107;121009;102.79;8;11393356554;S
20241107;121009;102.88;1;11393356558;B
20241107;121009;102.88;48;11393356562;B
20241107;121009;102.88;10;11393356571;B
20241107;121009;102.79;159;11393356575;S
20241107;121009;102.79;3;11393356607;S
20241107;121009;102.79;1;11393356613;S
20241107;121009;102.88;11;11393356615;B
20241107;121009;102.88;1;11393356622;B
20241107;121009;102.88;10;11393356732;B
20241107;121009;102.88;10;11393356749;B
20241107;121009;102.79;1;11393357059;S
20241107;121009;102.79;1;11393357073;S
20241107;121009;102.88;10;11393357076;B
20241107;121010;102.79;14;11393357177;S
20241107;121010;102.88;1;11393357178;B
20241107;121010;102.79;1;11393357179;S
20241107;121010;102.79;100;11393357180;S
20241107;121010;102.79;806;11393357280;S
20241107;121010;102.79;188;11393357281;S
20241107;121010;102.78;6;11393357282;S
20241107;121010;102.88;1;11393357328;B
20241107;121010;102.88;1;11393357329;B
20241107;121010;102.88;10;11393357330;B
20241107;121010;102.78;55;11393357331;S
20241107;121010;102.88;10;11393357332;B
20241107;121010;102.78;1;11393357334;S
20241107;121010;102.88;10;11393357335;B
20241107;121010;102.78;1;11393357337;S
20241107;121010;102.88;1;11393357348;B
20241107;121010;102.88;1;11393357431;B
20241107;121010;102.88;16;11393357434;B
20241107;121010;102.78;1;11393357435;S
20241107;121010;102.78;221;11393357473;S
20241107;121010;102.78;1;11393357507;S
20241107;121010;102.78;358;11393357712;S
20241107;121010;102.78;892;11393357713;S
20241107;121011;102.77;1000;11393357780;S
20241107;121011;102.76;250;11393357781;S
20241107;121011;102.86;1;11393358022;B
20241107;121011;102.75;1;11393358154;S
20241107;121011;102.75;23;11393358156;S
20241107;121011;102.75;6;11393358158;S
20241107;121011;102.75;1;11393358160;S
20241107;121011;102.86;1;11393358169;B
20241107;121011;102.86;1;11393358173;B
20241107;121011;102.86;10;11393358179;B
20241107;121011;102.86;9;11393358296;B
20241107;121011;102.86;11;11393358302;B
20241107;121011;102.86;10;11393358315;B
20241107;121011;102.75;1;11393358320;S
20241107;121011;102.75;10;11393358323;S
20241107;121011;102.86;1;11393358432;B
20241107;121011;102.75;2;11393358440;S
20241107;121011;102.86;2;11393358443;B
20241107;121011;102.86;4;11393358446;B
20241107;121012;102.86;1;11393358734;B
20241107;121012;102.86;1;11393358737;B
20241107;121012;102.86;1;11393358743;B
20241107;121012;102.86;1;11393358760;B
20241107;121012;102.79;1;11393358761;S
20241107;121012;102.79;1;11393358767;S
20241107;121012;102.86;10;11393358787;B
20241107;121012;102.86;1;11393358791;B
20241107;121012;102.86;10;11393358792;B
20241107;121012;102.86;11;11393358812;B
20241107;121012;102.75;10;11393358816;S
20241107;121012;102.86;2;11393358820;B
20241107;121012;102.86;10;11393358825;B
20241107;121012;102.75;5;11393358991;S
20241107;121013;102.75;941;11393359372;S
20241107;121013;102.74;309;11393359373;S
20241107;121013;102.86;1;11393359469;B
20241107;121013;102.86;1;11393359549;B
20241107;121013;102.74;2;11393359599;S
20241107;121013;102.86;1;11393359622;B
20241107;121013;102.89;10;11393360065;B
20241107;121013;102.89;1;11393360067;B
20241107;121013;102.89;1;11393360068;B
20241107;121013;102.89;1;11393360070;B
20241107;121013;102.89;15;11393360072;B
20241107;121014;102.89;10;11393360247;B
20241107;121014;102.89;10;11393360393;B
20241107;121014;102.76;1;11393360397;S
20241107;121014;102.89;1;11393360503;B
20241107;121014;102.76;2;11393360508;S
20241107;121014;102.76;1;11393360513;S
20241107;121014;102.76;1;11393360588;S
20241107;121014;102.89;10;11393360649;B
20241107;121014;102.76;4;11393360693;S
20241107;121014;102.72;1;11393360694;S
20241107;121014;102.72;5;11393360695;S
20241107;121017;102.83;1;11393361723;B
20241107;121017;102.84;1999;11393361724;B
20241107;121017;102.73;222;11393361741;S
20241107;121019;102.73;2;11393362135;S
20241107;121020;102.84;1;11393362667;B
20241107;121021;102.74;50;11393363008;S
20241107;121021;102.73;1775;11393363009;S
20241107;121021;102.73;2675;11393363010;S
20241107;121027;102.77;10;11393366057;B
20241107;121027;102.77;136;11393366058;B
20241107;121027;102.78;10;11393366059;B
20241107;121027;102.79;3;11393366060;B
20241107;121027;102.8;10;11393366061;B
20241107;121027;102.81;1459;11393366062;B
20241107;121027;102.84;49;11393366063;B
20241107;121027;102.84;100;11393366064;B
20241107;121027;102.85;1500;11393366065;B
20241107;121027;102.88;43;11393366066;B
20241107;121027;102.89;2714;11393366067;B
20241107;121027;102.89;1000;11393366068;B
20241107;121027;102.9;8;11393366069;B
20241107;121027;102.92;314;11393366070;B
20241107;121027;102.93;10;11393366071;B
20241107;121027;102.93;5;11393366072;B
20241107;121027;102.93;10;11393366073;B
20241107;121027;102.93;2714;11393366074;B
20241107;121027;102.93;938;11393366075;B
20241107;121027;102.94;6400;11393366076;B
20241107;121027;102.95;500;11393366077;B
20241107;121027;102.96;15;11393366078;B
20241107;121027;102.96;2052;11393366079;B
20241107;121027;102.85;136;11393366096;S
20241107;121027;102.82;864;11393366097;S
20241107;121027;102.98;50;11393366108;B
20241107;121027;102.83;136;11393366176;S
20241107;121027;102.83;64;11393366177;S
20241107;121028;102.79;136;11393366240;S
20241107;121028;102.79;1236;11393366241;S
20241107;121031;102.88;1;11393367653;B
20241107;121032;102.8;136;11393368302;S
20241107;121032;102.8;2664;11393368303;S
20241107;121034;102.81;50;11393369139;S
20241107;121034;102.81;250;11393369140;S
20241107;121036;102.84;1;11393369785;S
20241107;121036;102.81;244;11393369786;S
20241107;121040;102.81;1;11393371128;S
20241107;121040;102.79;1;11393371180;S
20241107;121041;102.8;33;11393371454;S
20241107;121043;102.81;999;11393372306;B
20241107;121043;102.83;136;11393372307;B
20241107;121043;102.86;1459;11393372308;B
20241107;121043;102.87;10;11393372309;B
