<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<ATR>
20231204;000000;170.96;174.4;169.52;171.82;8703670;4.88
20231205;000000;172.14;173.5;170.62;172.4;4556920;2.88
20231206;000000;172.82;173.6;167.72;168.78;8077720;5.88
20231207;000000;168.8;169.66;165.24;166.9;7127270;4.42
20231208;000000;167;168.82;166.22;166.78;3713720;2.6
20231211;000000;166.9;169.78;165.8;166.6;6806500;3.98
20231212;000000;166.7;167.94;162.72;162.94;7745160;5.22
20231213;000000;162.12;167.14;160.32;167;6860630;6.82
20231214;000000;167.5;168.46;162.2;162.5;6689470;6.26
20231215;000000;162.2;168.1;162.1;166.58;5013920;6
20231218;000000;167.7;170.6;167;168.54;7942720;3.6
20231219;000000;168.68;175.28;168.3;174.96;13716010;6.98
20231220;000000;175.3;177.8;174.32;176;13920580;3.48
20231221;000000;175.44;177.28;173.2;175.72;7658630;4.08
20231222;000000;176.24;179.4;175.28;178;7206160;4.12
20231225;000000;178.22;179;176.12;177.2;4597890;2.88
20231226;000000;177.44;180;177.18;179.74;8520670;2.82
20231227;000000;180.24;181.5;179.2;179.2;5400350;2.3
20231228;000000;179.12;180.36;178.4;179.4;2910650;1.96
20231229;000000;179.42;180.86;176.62;178.5;3245150;4.24
20240103;000000;178.36;181.28;177.9;180.94;1675290;3.38
20240104;000000;181.3;184.42;181;183.04;3307230;3.42
20240105;000000;183.2;184.26;181.72;182.62;1579610;2.54
20240108;000000;183.02;185.42;182.2;185.4;3022490;3.22
20240109;000000;185.42;185.7;182.66;183.12;3945280;3.04
20240110;000000;183.14;186.52;182.82;185;4453760;3.7
20240111;000000;185.12;197.94;183.64;196.1;34131140;14.3
20240112;000000;196.42;199.9;194.18;198.26;14884000;5.72
20240115;000000;199;201.56;196.6;198.02;10804370;4.96
20240116;000000;197.72;198.44;195.3;197.84;5692240;3.14
20240117;000000;197.88;199.74;197.2;198.54;4304780;2.54
20240118;000000;198.92;200.94;194.5;194.68;10735310;6.44
20240119;000000;194.6;196.84;192;196.44;9454160;4.84
20240122;000000;196.92;199.7;196.14;198.38;6068210;3.56
20240123;000000;198.5;198.98;196.04;198.22;3752340;2.94
20240124;000000;198.8;199.5;196.6;197.6;4660460;2.9
20240125;000000;197.58;197.92;194.5;195;3890240;3.42
20240126;000000;195.1;195.78;193.8;193.98;3742740;1.98
20240129;000000;194.1;197.72;194.04;197.06;4798980;3.68
20240130;000000;197.3;201.24;195.02;201.08;10164250;6.22
20240131;000000;201.52;203;198.64;200.14;11919230;4.36
