<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241225;095956;133.08;50;11821329311;S
20241225;095956;133.08;20;11821329312;S
20241225;095956;133.08;1970;11821329313;B
20241225;095956;133.08;40;11821329314;B
20241225;095956;133.08;10;11821329315;B
20241225;095956;133.08;230;11821329316;B
20241225;095956;133.08;30;11821329317;B
20241225;095956;133.08;30;11821329318;S
20241225;095956;133.08;160;11821329319;S
20241225;095956;133.08;50;11821329320;S
20241225;095956;133.08;90;11821329321;S
20241225;095956;133.08;10;11821329322;S
20241225;095956;133.08;10;11821329323;S
20241225;095956;133.08;50;11821329324;S
20241225;095956;133.08;10;11821329325;S
20241225;095956;133.08;20;11821329326;S
20241225;095956;133.08;120;11821329327;S
20241225;095956;133.08;300;11821329328;S
20241225;095956;133.08;40;11821329329;S
20241225;095956;133.08;10;11821329330;S
20241225;095956;133.08;70;11821329331;S
20241225;095956;133.08;30;11821329332;S
20241225;095956;133.08;20;11821329333;S
20241225;095956;133.08;20;11821329334;S
20241225;095956;133.08;20;11821329335;S
20241225;095956;133.08;80;11821329336;S
20241225;095956;133.08;10;11821329337;B
20241225;095956;133.08;10;11821329338;S
20241225;095956;133.08;10;11821329339;S
20241225;095956;133.08;10;11821329340;S
20241225;095956;133.08;3550;11821329341;S
20241225;095956;133.08;20;11821329342;S
20241225;095956;133.08;10;11821329343;S
20241225;095956;133.08;20;11821329344;S
20241225;095956;133.08;10;11821329345;S
20241225;095956;133.08;100;11821329346;S
20241225;095956;133.08;10;11821329347;S
20241225;095956;133.08;10;11821329348;S
20241225;095956;133.08;520;11821329349;S
20241225;095956;133.08;180;11821329350;S
20241225;100001;133.1;90;11821331005;B
20241225;100001;133.1;290;11821331030;B
20241225;100001;133.1;20;11821331110;B
20241225;100001;133.1;260;11821331259;B
20241225;100001;133.1;20;11821331480;B
20241225;100001;133.1;40;11821331625;B
20241225;100001;133.1;280;11821331665;B
20241225;100001;133.1;170;11821331666;B
20241225;100001;133.18;930;11821331667;B
20241225;100001;133.36;2960;11821331697;S
20241225;100001;133.36;660;11821331698;S
20241225;100001;133.1;150;11821331759;S
20241225;100001;133.08;250;11821331760;S
20241225;100002;133.18;50;11821332297;B
20241225;100002;133.3;50;11821332351;B
20241225;100002;133.08;170;11821332352;S
20241225;100002;133.08;300;11821332353;S
20241225;100002;133.02;600;11821332354;S
20241225;100002;133.02;1500;11821332355;S
20241225;100002;133.02;20;11821332356;S
20241225;100002;133;10;11821332357;S
20241225;100002;133;150;11821332358;S
20241225;100002;133;100;11821332359;S
20241225;100002;133;10;11821332360;S
20241225;100002;133;10;11821332361;S
20241225;100002;133;10;11821332362;S
20241225;100002;133;110;11821332363;S
20241225;100002;133;1000;11821332364;S
20241225;100002;133;10;11821332365;S
20241225;100002;133;200;11821332366;S
20241225;100002;133;50;11821332367;S
20241225;100002;133;750;11821332373;B
20241225;100003;133.04;300;11821333589;S
20241225;100003;133;10;11821333590;S
20241225;100003;133;10;11821333591;S
20241225;100003;132.98;10;11821333592;S
20241225;100003;132.98;20;11821333593;S
20241225;100003;132.98;10;11821333594;S
20241225;100003;132.98;300;11821333595;S
20241225;100003;132.98;100;11821333596;S
20241225;100003;132.94;10;11821333597;S
20241225;100003;132.94;100;11821333598;S
20241225;100003;132.92;20;11821333599;S
20241225;100003;132.9;110;11821333600;S
20241225;100003;133.02;10;11821333719;S
20241225;100003;132.9;100;11821333720;S
20241225;100003;132.9;110;11821333721;S
20241225;100003;132.84;10;11821333722;S
20241225;100003;132.84;400;11821333723;S
20241225;100003;132.82;100;11821333724;S
20241225;100003;132.8;80;11821333725;S
20241225;100003;132.78;200;11821333726;S
20241225;100003;132.78;30;11821333727;S
20241225;100003;132.78;930;11821333728;S
20241225;100003;132.68;30;11821333729;S
20241225;100003;132.7;930;11821333917;S
20241225;100003;132.68;70;11821333918;S
20241225;100003;132.62;10;11821333919;S
20241225;100003;132.6;10;11821333920;S
20241225;100003;132.6;180;11821333921;S
20241225;100003;132.62;300;11821334036;S
20241225;100003;132.9;10;11821334062;S
20241225;100003;133;100;11821334064;B
20241225;100003;132.9;490;11821334077;S
20241225;100003;132.58;1500;11821334327;S
20241225;100003;132.56;940;11821334328;S
20241225;100003;132.54;100;11821334329;S
20241225;100003;132.52;40;11821334330;S
20241225;100003;132.5;10;11821334331;S
20241225;100003;132.5;30;11821334332;S
20241225;100003;132.5;20;11821334333;S
20241225;100003;132.5;100;11821334334;S
20241225;100003;132.48;1000;11821334335;S
20241225;100003;132.46;10;11821334336;S
20241225;100003;132.46;500;11821334337;S
20241225;100003;132.44;10;11821334338;S
20241225;100003;132.44;50;11821334339;S
20241225;100003;132.42;100;11821334340;S
20241225;100003;132.42;3000;11821334341;S
20241225;100003;132.4;200;11821334342;S
20241225;100003;132.4;390;11821334343;S
20241225;100004;132.74;100;11821334384;B
20241225;100004;132.72;100;11821334405;B
20241225;100004;132.42;60;11821334439;S
20241225;100004;132.42;230;11821334446;S
20241225;100004;132.7;20;11821334494;B
20241225;100004;132.42;750;11821334546;S
20241225;100004;132.7;180;11821334557;B
20241225;100004;132.7;1000;11821335008;B
20241225;100004;132.7;250;11821335035;B
20241225;100005;132.62;300;11821335355;S
20241225;100006;132.76;10;11821336130;B
20241225;100006;132.62;640;11821336288;S
20241225;100006;132.6;10;11821336289;S
20241225;100006;132.6;1000;11821336290;S
20241225;100006;132.5;20;11821336291;S
20241225;100006;132.48;600;11821336292;S
20241225;100006;132.42;1050;11821336293;S
20241225;100006;132.42;680;11821336294;S
20241225;100006;132.74;10;11821336580;B
20241225;100006;132.74;20;11821337182;B
20241225;100006;132.48;80;11821337189;S
20241225;100006;132.48;30;11821337190;S
20241225;100006;132.48;80;11821337233;S
20241225;100007;132.72;40;11821337770;B
20241225;100007;132.72;60;11821337800;B
20241225;100007;132.74;1370;11821337803;B
20241225;100007;132.7;520;11821337816;S
20241225;100007;132.72;20;11821338391;B
20241225;100007;133.12;10;11821338567;B
20241225;100007;132.7;10;11821339020;S
20241225;100008;132.96;20;11821339589;B
20241225;100008;132.96;10;11821339713;B
20241225;100008;132.7;10;11821339714;S
20241225;100008;132.7;400;11821340623;S
20241225;100008;132.68;10;11821340624;S
20241225;100008;132.5;150;11821340625;S
20241225;100009;132.96;370;11821341410;B
20241225;100010;132.96;490;11821341834;B
20241225;100010;132.98;100;11821341872;B
20241225;100010;133.04;200;11821341995;B
20241225;100010;133.06;110;11821341996;B
20241225;100010;133.06;70;11821342201;B
20241225;100010;133.08;200;11821342246;B
20241225;100010;133.16;30;11821342247;B
20241225;100010;133.16;80;11821342248;B
20241225;100010;132.6;940;11821342386;S
20241225;100010;132.58;1500;11821342387;S
20241225;100010;132.5;800;11821342388;S
20241225;100010;132.48;1500;11821342389;S
20241225;100010;132.46;260;11821342390;S
20241225;100010;132.46;250;11821342391;S
20241225;100010;132.46;190;11821342393;S
20241225;100010;132.42;810;11821342394;S
20241225;100010;132.48;10;11821342563;S
