<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<ATR>
20231204;000000;1497;1518;1490;1505.4;500966;28
20231205;000000;1508.4;1549;1508.4;1542.4;990303;40.6
20231206;000000;1546;1549.8;1495;1505.8;963429;54.8
20231207;000000;1508;1527.6;1505.8;1515.2;593981;21.8
20231208;000000;1515.2;1542;1515.2;1531.4;379770;26.8
20231211;000000;1536;1542;1475.2;1491;726126;66.8
20231212;000000;1490.6;1516;1470;1496.4;572239;46
20231213;000000;1492.4;1510.6;1484.2;1507.6;335119;26.4
20231214;000000;1510;1514.4;1455;1460.2;590423;59.4
20231215;000000;1460;1498.2;1456;1494.6;749930;42.2
20231218;000000;1498.6;1509.2;1494;1501;806964;15.2
20231219;000000;1501.2;1539;1498.2;1531.4;991920;40.8
20231220;000000;1535.8;1544.8;1515.6;1531.2;777632;29.2
20231221;000000;1531;1532.8;1452.4;1478.2;3142997;80.4
20231222;000000;1482.6;1508;1471.2;1489.6;1198445;36.8
20231225;000000;1469.8;1489.8;1455.2;1478;859709;34.6
20231226;000000;1480.2;1496;1475;1476.2;693207;21
20231227;000000;1477;1480;1450;1450.6;1010261;30
20231228;000000;1450.2;1464;1440.4;1448;893982;23.6
20231229;000000;1446;1475;1445.4;1463.2;531352;29.6
20240103;000000;1465.4;1485.2;1465;1484.8;167331;20.2
20240104;000000;1487;1497.2;1474;1479.6;262565;23.2
20240105;000000;1481.8;1489.2;1476.8;1480.4;222436;12.4
20240108;000000;1480.6;1493.6;1480.4;1487.2;447891;13.2
20240109;000000;1490;1498;1474.2;1489;797113;23.8
20240110;000000;1489.2;1522.6;1489.2;1513;1348002;33.4
20240111;000000;1515.2;1520;1493.6;1505.4;1148284;26.4
20240112;000000;1508;1509.2;1497.6;1500.2;455277;11.6
20240115;000000;1502.2;1515;1482.8;1492.2;827193;32.2
20240116;000000;1497;1497;1467;1474.8;905742;30
20240117;000000;1474.8;1484.8;1460;1475.2;895457;24.8
20240118;000000;1476.2;1485;1461.2;1466;922842;23.8
20240119;000000;1465;1468;1451;1457;692976;17
20240122;000000;1429;1456;1421;1444.6;2296477;35
20240123;000000;1444.4;1448.6;1430;1431;763544;18.6
20240124;000000;1434;1450;1433.4;1447.6;1241656;16.6
20240125;000000;1449.8;1459.8;1431;1435.8;793748;28.8
20240126;000000;1443.2;1443.8;1420.6;1423.6;894124;23.2
20240129;000000;1424;1436.8;1418;1435.8;765012;18.8
20240130;000000;1437.4;1443.2;1425.2;1434.2;933940;18
20240131;000000;1435;1449;1430.6;1439;687086;18.4
20240201;000000;1443.2;1460;1439;1445.6;997591;21
20240202;000000;1450;1456.6;1442;1443.4;580439;14.6
20240205;000000;1446.6;1498;1443.6;1494;2689898;54.4
20240206;000000;1496.6;1499.8;1471.2;1477.4;2129372;28.6
20240207;000000;1483;1484.2;1462;1469.8;1089487;22.2
20240208;000000;1463;1467.6;1435;1438.4;1132574;32.6
20240209;000000;1441.4;1466.4;1420.2;1425;2146018;46.2
20240212;000000;1426.2;1431;1400;1408.8;1691993;31
20240213;000000;1411.6;1424;1405.4;1422;1115986;18.6
20240214;000000;1424;1431.8;1409.6;1411.8;788579;22.2
20240215;000000;1414.6;1415.8;1388;1409;1406273;27.8
20240216;000000;1409;1420;1403;1409.6;855797;17
