<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241224;095953;941.8;1;11802912247;B
20241224;095953;941.8;19;11802912248;S
20241224;095953;941.8;20;11802912249;S
20241224;095953;941.8;6;11802912250;S
20241224;095953;941.8;10;11802912251;S
20241224;095953;941.8;30;11802912252;B
20241224;095953;941.8;15;11802912253;S
20241224;095953;941.8;6;11802912254;B
20241224;095953;941.8;25;11802912255;S
20241224;095953;941.8;3;11802912256;B
20241224;095953;941.8;31;11802912257;S
20241224;095953;941.8;5;11802912258;S
20241224;095953;941.8;5;11802912259;S
20241224;095953;941.8;5;11802912260;S
20241224;095953;941.8;2;11802912261;S
20241224;095953;941.8;7;11802912262;S
20241224;095953;941.8;1;11802912263;S
20241224;095953;941.8;1;11802912264;S
20241224;095953;941.8;2;11802912265;S
20241224;095953;941.8;26;11802912266;S
20241224;095953;941.8;3;11802912267;S
20241224;095953;941.8;50;11802912268;S
20241224;095953;941.8;112;11802912269;S
20241224;095953;941.8;42;11802912270;B
20241224;095953;941.8;171;11802912271;S
20241224;095953;941.8;5;11802912272;B
20241224;095953;941.8;1;11802912273;S
20241224;095953;941.8;2;11802912274;B
20241224;095953;941.8;1;11802912275;S
20241224;095953;941.8;22;11802912276;S
20241224;095953;941.8;10;11802912277;S
20241224;095953;941.8;105;11802912278;S
20241224;095953;941.8;1;11802912279;S
20241224;095953;941.8;1;11802912280;S
20241224;095953;941.8;1;11802912281;S
20241224;095953;941.8;1;11802912282;S
20241224;095953;941.8;3;11802912283;S
20241224;095953;941.8;1;11802912284;S
20241224;095953;941.8;3;11802912285;S
20241224;095953;941.8;13;11802912286;S
20241224;095953;941.8;34;11802912287;S
20241224;095953;941.8;5;11802912288;B
20241224;095953;941.8;1;11802912289;B
20241224;095953;941.8;10;11802912290;B
20241224;095953;941.8;1;11802912291;B
20241224;095953;941.8;5;11802912292;B
20241224;095953;941.8;5;11802912293;B
20241224;095953;941.8;5;11802912294;B
20241224;095953;941.8;5;11802912295;B
20241224;095953;941.8;5;11802912296;B
20241224;095953;941.8;5;11802912297;B
20241224;095953;941.8;5;11802912298;B
20241224;095953;941.8;1;11802912299;S
20241224;095953;941.8;5;11802912300;B
20241224;095953;941.8;4;11802912301;S
20241224;095953;941.8;10;11802912302;B
20241224;095953;941.8;2;11802912303;B
20241224;095953;941.8;36;11802912304;B
20241224;095953;941.8;15;11802912305;B
20241224;095953;941.8;17;11802912306;B
20241224;095953;941.8;539;11802912307;S
20241224;095953;941.8;1000;11802912308;S
20241224;095953;941.8;15;11802912309;S
20241224;100001;942;1;11802914166;B
20241224;100001;942;1;11802914167;B
20241224;100001;942;20;11802914168;B
20241224;100001;942.2;69;11802914169;B
20241224;100001;942.2;19;11802914208;B
20241224;100001;942.4;110;11802914460;S
20241224;100001;942.2;17;11802914461;S
20241224;100001;941.8;200;11802914462;S
20241224;100001;941.8;5;11802914463;S
20241224;100001;941.8;1;11802914464;S
20241224;100001;941.6;164;11802914465;S
20241224;100001;941.4;1;11802914466;S
20241224;100001;941.4;5;11802914467;S
20241224;100001;941.4;5;11802914468;S
20241224;100001;941.4;1;11802914469;S
20241224;100001;941.4;106;11802914470;S
20241224;100001;941.2;50;11802914471;S
20241224;100001;941.2;2;11802914472;S
20241224;100001;941.2;5;11802914473;S
20241224;100001;941;105;11802914474;S
20241224;100001;941;25;11802914475;S
20241224;100001;941;9;11802914476;S
20241224;100001;940.6;11;11802914477;S
20241224;100001;940.4;50;11802914478;S
20241224;100001;940.2;57;11802914479;S
20241224;100001;940;2;11802914480;S
20241224;100001;940;1;11802914481;S
20241224;100001;940;30;11802914482;S
20241224;100001;939.4;318;11802914483;S
20241224;100001;939.2;1;11802914484;S
20241224;100001;939.2;100;11802914485;S
20241224;100001;939;1;11802914486;S
20241224;100001;939;50;11802914487;S
20241224;100001;939;400;11802914488;S
20241224;100001;938.4;1;11802914489;S
20241224;100001;938;8;11802914490;S
20241224;100001;937.8;318;11802914491;S
20241224;100001;937.8;234;11802914492;S
20241224;100001;937.8;272;11802914493;S
20241224;100001;941;50;11802914604;B
20241224;100002;939.6;40;11802914628;S
20241224;100002;939.6;50;11802914699;S
20241224;100002;939.4;106;11802914755;S
20241224;100002;939.2;3;11802914756;S
20241224;100002;940.6;50;11802914809;B
20241224;100002;939.2;1;11802914873;S
20241224;100002;940.8;5;11802914942;B
20241224;100002;939.2;100;11802914955;S
20241224;100002;940;1;11802915014;B
20241224;100002;940;1;11802915015;S
20241224;100002;939.2;106;11802915016;S
20241224;100002;938.4;33;11802915017;S
20241224;100002;938.6;10;11802915021;S
20241224;100002;940.6;10;11802915044;B
20241224;100003;940.6;1;11802915604;B
20241224;100003;939.8;1;11802915652;S
20241224;100003;939.8;3;11802915653;S
20241224;100003;940.6;1;11802915654;B
20241224;100004;940.2;3;11802916062;S
20241224;100004;940.2;10;11802916063;S
20241224;100004;940.2;1;11802916064;S
20241224;100004;940.8;1;11802916470;B
20241224;100004;940.2;17;11802916471;S
20241224;100004;940.2;1;11802916472;S
20241224;100004;940.2;1;11802916473;S
20241224;100004;940.8;100;11802916565;B
20241224;100004;940.8;5;11802916566;B
20241224;100004;940.8;95;11802916567;S
20241224;100004;940.2;13;11802916568;S
20241224;100004;940.2;50;11802916569;S
20241224;100004;939.8;1;11802916589;S
20241224;100005;940.8;100;11802916713;B
20241224;100005;940.8;6;11802916714;B
20241224;100005;940.8;94;11802916715;B
20241224;100005;939.8;3;11802916777;S
20241224;100005;939.8;4;11802916778;S
20241224;100005;939.8;4;11802916779;B
20241224;100005;939.6;1;11802916914;S
20241224;100005;939.6;1;11802916915;S
20241224;100005;940.4;11;11802917202;B
20241224;100006;939.6;1;11802918184;S
20241224;100006;939.6;1;11802918353;S
20241224;100006;939.6;1;11802918355;S
20241224;100006;940.6;1;11802918427;B
20241224;100006;940.6;2;11802918431;B
20241224;100006;939.6;10;11802918750;S
20241224;100006;939.6;1;11802918959;S
20241224;100006;939.6;1;11802918961;S
20241224;100006;940.6;1;11802918962;B
20241224;100006;939.6;301;11802919021;S
20241224;100006;939.6;95;11802919022;S
20241224;100006;939.4;300;11802919023;S
20241224;100006;939.2;106;11802919024;S
20241224;100006;938.8;106;11802919025;S
20241224;100006;938.6;106;11802919026;S
20241224;100006;938.4;106;11802919027;S
20241224;100006;938.2;362;11802919028;S
20241224;100006;938;446;11802919029;S
20241224;100006;937.4;400;11802919030;S
20241224;100006;937.2;1;11802919031;S
20241224;100006;937.2;234;11802919032;S
20241224;100006;937.2;318;11802919033;S
20241224;100006;937;50;11802919034;S
20241224;100006;937;1;11802919035;S
20241224;100006;937;1;11802919036;S
20241224;100006;937;1;11802919037;S
20241224;100006;937;66;11802919038;S
20241224;100006;939.6;318;11802919039;S
20241224;100006;937.8;25;11802919144;S
20241224;100006;938.6;100;11802919391;B
20241224;100007;937.4;1;11802919419;S
20241224;100007;938.6;1;11802919420;B
20241224;100007;937.6;1;11802919911;S
20241224;100007;937.6;2;11802919912;S
20241224;100007;937.6;1;11802919913;S
20241224;100007;937.6;1;11802919914;S
20241224;100008;937.6;1;11802920289;S
20241224;100008;939;2;11802920302;B
20241224;100008;939;2;11802920429;B
20241224;100008;939;1;11802920431;B
20241224;100008;938.4;1;11802920770;B
20241224;100009;937.2;1;11802921422;S
20241224;100009;938.2;1;11802921423;B
20241224;100009;938.2;1;11802921424;B
20241224;100009;938.2;2;11802921425;B
20241224;100009;937.2;96;11802921567;S
20241224;100010;937.6;7;11802921581;B
20241224;100010;937.2;9;11802921643;S
20241224;100010;937.2;150;11802921644;S
20241224;100010;937.6;71;11802921711;B
20241224;100010;937.6;1;11802921737;B
20241224;100010;937.6;5;11802921788;B
20241224;100010;937.6;8;11802921854;B
20241224;100010;937.6;15;11802921855;B
20241224;100010;938;19;11802921856;B
20241224;100010;938;18;11802921933;B
20241224;100010;938;1;11802921938;B
20241224;100010;938;12;11802921966;B
20241224;100010;937;8;11802921983;S
20241224;100010;937.8;2;11802921993;B
20241224;100010;937.8;6;11802921994;B
20241224;100010;937.4;2;11802922005;B
20241224;100010;937.4;39;11802922006;B
20241224;100010;938;44;11802922067;B
20241224;100010;937;40;11802922111;S
20241224;100010;937;11;11802922116;S
20241224;100010;938;3;11802922129;B
20241224;100010;938;13;11802922147;B
20241224;100011;938;1;11802922177;B
20241224;100011;938;18;11802922203;B
20241224;100011;938;27;11802922276;B
20241224;100011;938;18;11802922277;B
20241224;100011;937;200;11802922318;S
20241224;100012;936.8;5;11802922439;S
20241224;100013;937.4;1;11802922670;B
20241224;100014;937.4;2;11802922929;B
20241224;100014;937.4;3;11802922930;B
20241224;100014;937.4;5;11802922931;B
20241224;100014;937.6;106;11802922932;B
20241224;100014;937.6;74;11802922933;B
20241224;100016;937;49;11802923737;B
20241224;100016;937.4;6;11802923738;B
20241224;100018;937;25;11802924224;B
20241224;100018;937.4;43;11802924532;B
20241224;100018;937.4;1;11802924536;B
20241224;100022;939;5;11802925958;B
20241224;100023;939;31;11802925997;B
20241224;100023;939.2;55;11802926004;S
20241224;100023;939;106;11802926005;S
20241224;100023;938.2;118;11802926006;S
20241224;100023;937.8;28;11802926007;S
20241224;100023;937.8;318;11802926008;S
20241224;100023;937.8;106;11802926009;S
20241224;100023;937.6;2269;11802926010;S
20241224;100024;938.2;40;11802926654;S
20241224;100026;939;20;11802927084;B
20241224;100029;938.6;10;11802927826;S
20241224;100030;939.4;10;11802928165;B
20241224;100031;939.4;8;11802928377;B
20241224;100031;939.4;6;11802928493;B
20241224;100031;938.8;300;11802928524;S
20241224;100031;938.6;4;11802928550;S
20241224;100033;939;100;11802928916;S
20241224;100033;939;18;11802928917;S
20241224;100033;939;82;11802928921;B
20241224;100033;939;100;11802928922;B
20241224;100035;939;30;11802929527;S
20241224;100035;939.6;3;11802929608;B
20241224;100036;939.6;4;11802929803;S
20241224;100037;939.4;50;11802930062;B
20241224;100037;938.8;2;11802930170;S
20241224;100038;940;1;11802930260;B
20241224;100038;939;1;11802930467;S
20241224;100039;939.2;30;11802930522;B
20241224;100039;939;100;11802930532;B
20241224;100039;939.2;76;11802930533;B
20241224;100039;939.2;118;11802930534;B
20241224;100039;939.6;352;11802930535;B
20241224;100039;939.8;106;11802930536;B
20241224;100039;940;352;11802930537;B
20241224;100039;940;106;11802930538;B
20241224;100039;940.2;290;11802930539;B
20241224;100039;939.2;3;11802930574;S
20241224;100039;939.2;3;11802930601;S
20241224;100039;939.6;2;11802930613;B
20241224;100039;939;118;11802930709;S
20241224;100039;939;42;11802930710;S
20241224;100039;939;1;11802930776;B
20241224;100039;939.2;4;11802930777;B
20241224;100040;939.4;106;11802930802;B
20241224;100040;939.6;54;11802930803;B
20241224;100040;939.6;106;11802931009;B
20241224;100040;939.8;118;11802931010;B
20241224;100040;940.2;40;11802931011;B
20241224;100040;939.4;3;11802931042;S
20241224;100040;939.6;118;11802931073;S
20241224;100040;939.2;282;11802931074;S
20241224;100041;939.8;30;11802931105;B
20241224;100042;940;3;11802931811;B
20241224;100042;939.4;14;11802931872;S
20241224;100045;939.4;100;11802932489;S
20241224;100046;940.2;2;11802932602;B
20241224;100046;939.6;2;11802932898;S
20241224;100046;939.6;2;11802932899;S
20241224;100047;939.6;1;11802932928;S
20241224;100047;939.2;9;11802932929;S
20241224;100048;939.8;2;11802933296;B
20241224;100049;939.2;1;11802933459;S
20241224;100049;939.2;9;11802933460;S
20241224;100050;939.8;20;11802933738;B
20241224;100051;939.2;4;11802934100;S
20241224;100052;939;5;11802934417;S
20241224;100052;939;1;11802934695;S
20241224;100053;939;6;11802934768;S
20241224;100053;939.4;1;11802934854;B
20241224;100058;939.2;2;11802936088;B
20241224;100101;939;64;11802936813;B
20241224;100101;938.8;5;11802936942;S
20241224;100101;938.8;158;11802936943;S
20241224;100101;938.8;300;11802936944;S
20241224;100101;938.8;118;11802936945;S
20241224;100101;938.6;32;11802936946;S
20241224;100101;938.6;87;11802936947;S
20241224;100102;939;120;11802937302;S
20241224;100102;939;30;11802937320;B
20241224;100102;939.2;10;11802937321;B
20241224;100102;939.2;260;11802937322;B
20241224;100102;939;1;11802937351;B
20241224;100103;939;8;11802937356;S
20241224;100103;939.2;164;11802937443;B
20241224;100103;939.2;236;11802937444;B
20241224;100103;939.2;206;11802937469;B
20241224;100103;939.2;315;11802937471;B
20241224;100103;939.2;19;11802937472;B
20241224;100103;939.2;1;11802937473;B
20241224;100103;939.4;25;11802937474;B
20241224;100104;939.4;2;11802937561;B
20241224;100104;939.4;355;11802937604;B
20241224;100104;939.4;117;11802937605;B
20241224;100104;939.6;88;11802937606;B
20241224;100104;939.6;1;11802937684;S
20241224;100104;939.6;1;11802937760;S
20241224;100104;939.6;26;11802937853;S
20241224;100105;939.6;1;11802938027;S
20241224;100106;939.6;57;11802938206;S
20241224;100106;939.6;5;11802938221;S
20241224;100106;939.4;65;11802938285;S
20241224;100106;939.4;10;11802938310;S
20241224;100107;939.8;2;11802938503;B
20241224;100107;939.4;100;11802938512;S
20241224;100107;939.4;50;11802938617;S
20241224;100108;939.4;1;11802938730;S
20241224;100110;939.2;5;11802939106;S
20241224;100110;939.2;5;11802939107;S
20241224;100111;939.2;258;11802939617;S
20241224;100111;939.2;60;11802939618;S
20241224;100111;939;358;11802939624;S
20241224;100111;939;1;11802939625;S
20241224;100111;939;5;11802939626;S
20241224;100111;939;2;11802939685;B
20241224;100111;938.6;2;11802939799;S
20241224;100112;938.8;5;11802940002;B
20241224;100113;938.8;2;11802940383;B
20241224;100113;938.8;1;11802940384;B
20241224;100113;938.6;1;11802940434;S
20241224;100113;938.6;40;11802940564;S
20241224;100113;938.8;1;11802940666;B
20241224;100113;938.6;1;11802940798;S
20241224;100114;938.8;4;11802940993;B
20241224;100114;938.8;6;11802940994;B
20241224;100114;938.8;17;11802940995;B
20241224;100115;939.2;106;11802941409;B
20241224;100115;939.2;14;11802941410;B
20241224;100116;938.8;1;11802942013;S
20241224;100116;939.2;2;11802942050;B
20241224;100117;938.8;2;11802942581;S
20241224;100120;939;20;11802944051;S
20241224;100121;938.8;1;11802944476;S
20241224;100122;938.8;2;11802944775;S
20241224;100123;939.2;2;11802945182;B
20241224;100123;939.2;2;11802945322;B
20241224;100123;938.8;1;11802945378;S
20241224;100125;939;50;11802946236;S
20241224;100126;939.2;2;11802946482;B
20241224;100126;938.8;1;11802946603;S
20241224;100126;938.8;1;11802946682;S
20241224;100127;938.8;47;11802946993;S
20241224;100128;938.8;1;11802947337;S
20241224;100128;938.8;1;11802947575;S
20241224;100130;938.8;2;11802948194;S
20241224;100132;938.8;1;11802948959;S
20241224;100133;938.8;11;11802949189;S
20241224;100137;938.6;5;11802950606;S
20241224;100137;938.6;42;11802950607;S
20241224;100137;938.4;100;11802950641;S
20241224;100137;938.8;3;11802950682;B
20241224;100137;938.6;12;11802950867;S
20241224;100137;938.4;5;11802950872;S
20241224;100137;938.4;7;11802950873;S
20241224;100137;938.4;190;11802950876;S
20241224;100137;938.4;194;11802950877;S
20241224;100137;938.4;9;11802950878;S
20241224;100137;938.4;183;11802950879;S
20241224;100137;938.4;7;11802950883;S
20241224;100137;938.4;210;11802950884;S
20241224;100137;938.4;171;11802950885;S
20241224;100137;938.4;6;11802950886;S
20241224;100138;938.8;318;11802950921;B
20241224;100138;938.8;106;11802950922;B
20241224;100138;939;76;11802950923;B
20241224;100139;938.8;1;11802951196;B
20241224;100141;938.6;2;11802952014;B
20241224;100142;938.6;10;11802952468;B
20241224;100142;938.4;1;11802952598;S
20241224;100144;938.6;1;11802953336;S
20241224;100144;938.8;10;11802953478;B
20241224;100144;938.6;18;11802953537;S
20241224;100145;938.8;7;11802953905;B
20241224;100146;938.2;3;11802954211;S
20241224;100147;938.4;9;11802954574;B
20241224;100147;938.6;17;11802954575;B
20241224;100147;938.6;2;11802954604;B
20241224;100148;938.6;2;11802954943;B
20241224;100148;938.4;1;11802954976;S
20241224;100149;938.4;117;11802955374;S
20241224;100149;938.2;2;11802955375;S
20241224;100149;938.2;99;11802955376;S
20241224;100150;938.2;1;11802955753;S
20241224;100150;938.6;2;11802955880;B
20241224;100151;938.6;1;11802955921;B
20241224;100151;938.2;5;11802956031;S
20241224;100151;938.4;2;11802956415;B
20241224;100152;938.6;3;11802956550;B
20241224;100152;938.2;4;11802956566;S
20241224;100152;938.6;4;11802956623;B
20241224;100153;938.6;17;11802956773;B
20241224;100153;938.6;2;11802956955;B
20241224;100154;938.2;1;11802957347;S
20241224;100154;938.2;53;11802957401;S
20241224;100154;938.4;23;11802957495;B
20241224;100155;938.2;187;11802957688;S
20241224;100155;938.2;5;11802957689;S
20241224;100155;938.2;5;11802957690;S
20241224;100155;938.2;193;11802957691;S
20241224;100155;938.4;81;11802957951;S
20241224;100156;938.4;5;11802958027;B
20241224;100157;938.4;10;11802958569;B
20241224;100158;938.2;1;11802959087;S
20241224;100200;938.4;4;11802959736;B
20241224;100200;938.2;53;11802959957;S
20241224;100201;938.4;6;11802960243;B
20241224;100201;938.4;11;11802960244;B
20241224;100201;938.6;14;11802960274;B
20241224;100201;938.6;3;11802960364;B
20241224;100201;938.6;18;11802960365;B
20241224;100202;938.4;111;11802960646;S
20241224;100202;938.4;118;11802960647;S
20241224;100202;938.6;2;11802960654;B
20241224;100202;938.6;53;11802960655;B
20241224;100203;938.4;117;11802960794;S
20241224;100203;938.4;224;11802960975;S
20241224;100203;938.2;1;11802961075;S
20241224;100204;938.4;17;11802961404;B
20241224;100204;938.2;107;11802961405;S
20241224;100204;938.2;45;11802961406;S
20241224;100204;938;234;11802961409;S
20241224;100204;938;315;11802961410;S
20241224;100204;938;9;11802961411;S
20241224;100205;938.4;15;11802961716;S
20241224;100205;938.2;10;11802961717;S
20241224;100205;938.2;246;11802961718;S
20241224;100206;938.2;10;11802961934;S
20241224;100206;938.2;6;11802961935;S
20241224;100206;938.2;41;11802961936;S
20241224;100207;938.4;1;11802962115;B
20241224;100207;938.4;14;11802962333;B
20241224;100208;938.2;20;11802962658;S
20241224;100208;938;280;11802962659;S
20241224;100210;938.2;60;11802963636;B
20241224;100210;938;210;11802963757;S
20241224;100211;938;514;11802963878;S
20241224;100211;938;160;11802963879;S
20241224;100211;938;542;11802963880;S
20241224;100211;938;708;11802963881;S
20241224;100211;938;45;11802963882;S
20241224;100211;938;39;11802963883;S
20241224;100211;938.2;258;11802964147;B
20241224;100211;938.2;2;11802964148;B
20241224;100211;938;380;11802964170;S
20241224;100212;938;64;11802964290;S
20241224;100212;938;10;11802964291;S
20241224;100212;938;4;11802964292;S
20241224;100212;937.8;280;11802964293;S
20241224;100213;937.8;2;11802964764;B
20241224;100215;937.8;2;11802965145;B
20241224;100217;937.6;1;11802966003;S
20241224;100217;937.6;1;11802966161;S
20241224;100218;937.6;5;11802966267;S
20241224;100218;937.6;200;11802966285;S
20241224;100218;937.8;1;11802966328;B
20241224;100219;937.8;1;11802966531;B
20241224;100219;937.6;32;11802966540;S
20241224;100219;937.8;23;11802966677;B
20241224;100219;937.8;16;11802966753;B
20241224;100221;937.8;2;11802967150;B
20241224;100223;937.6;1;11802967639;S
20241224;100223;937.8;6;11802967808;B
20241224;100223;937.8;6;11802967821;B
20241224;100223;937.8;6;11802967841;B
20241224;100223;937.8;6;11802967856;B
20241224;100225;937.8;13;11802968250;B
20241224;100225;937.8;36;11802968413;B
20241224;100225;938;4;11802968452;B
20241224;100225;938;10;11802968453;B
20241224;100225;938;22;11802968454;B
20241224;100225;937.8;1;11802968475;S
20241224;100226;937.8;1;11802968727;S
20241224;100226;937.8;5;11802968945;S
20241224;100227;937.8;60;11802969224;S
20241224;100227;937.6;36;11802969225;S
20241224;100227;937.6;1;11802969428;S
20241224;100229;937.6;2;11802970546;S
20241224;100229;937.8;2;11802970733;B
20241224;100230;937.8;316;11802971174;B
20241224;100230;937.8;118;11802971175;B
20241224;100230;937.8;318;11802971176;B
20241224;100230;938;448;11802971177;B
20241224;100234;938;1;11802973041;B
20241224;100235;937.8;10;11802973393;S
20241224;100235;937.8;89;11802973394;S
20241224;100237;938;1;11802974050;B
20241224;100237;937.8;25;11802974145;S
20241224;100239;938;2;11802974821;B
20241224;100240;937.8;5;11802974999;B
20241224;100241;937.6;63;11802975062;S
20241224;100241;937.8;50;11802975233;B
20241224;100242;937.6;1;11802975411;S
20241224;100242;937.6;200;11802975461;S
20241224;100242;937.8;10;11802975464;B
20241224;100242;937.6;500;11802975480;S
20241224;100243;937.6;17;11802975663;S
20241224;100243;937.8;9;11802975708;B
20241224;100244;937.6;880;11802975916;S
20241224;100246;937.8;426;11802976344;B
20241224;100246;937.8;106;11802976345;B
20241224;100246;937.8;400;11802976346;B
20241224;100246;937.8;50;11802976347;B
20241224;100246;937.8;118;11802976348;B
20241224;100246;937.8;400;11802976349;B
20241224;100250;937.6;100;11802977301;S
20241224;100250;937.6;20;11802977335;S
20241224;100251;937.6;100;11802977432;S
20241224;100254;937.6;236;11802978848;S
20241224;100254;937.6;236;11802978853;S
20241224;100254;937.6;99;11802978863;S
20241224;100254;937.6;5;11802978864;S
20241224;100254;937.6;132;11802978865;S
20241224;100254;937.6;236;11802978876;S
20241224;100254;937.6;1;11802978925;S
20241224;100254;937.6;131;11802978927;S
20241224;100254;937.6;5;11802978928;S
20241224;100255;937.4;1;11802978974;S
20241224;100255;937.4;99;11802978975;S
20241224;100255;937.6;53;11802979176;B
20241224;100255;937.6;53;11802979274;B
20241224;100255;937.4;6;11802979327;S
20241224;100255;937.2;5;11802979328;S
20241224;100256;937.2;100;11802979716;S
20241224;100257;937.2;75;11802980007;S
20241224;100257;937.2;20;11802980008;S
20241224;100257;937.2;13;11802980140;B
20241224;100258;937;20;11802980350;S
20241224;100258;937;5;11802980351;S
20241224;100258;937;50;11802980352;S
20241224;100258;937;30;11802980353;S
20241224;100258;937;30;11802980354;S
20241224;100258;936.8;5;11802980355;S
20241224;100258;936.6;7;11802980356;S
20241224;100258;936.6;1;11802980357;S
20241224;100258;936.6;2;11802980358;S
20241224;100259;936.6;1;11802980546;S
20241224;100259;936.6;2;11802980584;S
20241224;100259;936.6;2;11802980585;S
20241224;100259;936.4;2;11802980586;S
20241224;100259;936.2;8;11802980587;S
20241224;100259;936.2;1;11802980588;S
20241224;100259;936.2;10;11802980589;S
20241224;100259;936.2;207;11802980605;S
20241224;100259;936;143;11802980606;S
20241224;100259;936;130;11802980607;S
20241224;100300;936;40;11802980757;S
20241224;100300;936;64;11802980791;S
20241224;100300;936.4;1;11802980821;B
20241224;100300;936;23;11802980862;S
20241224;100300;936;77;11802980863;S
20241224;100301;936.6;118;11802981113;B
20241224;100301;936.6;51;11802981114;B
20241224;100302;936;23;11802981509;S
20241224;100302;936;31;11802981510;S
20241224;100303;936.4;9;11802981600;B
20241224;100303;936;22;11802981613;S
20241224;100303;936;58;11802981614;S
20241224;100305;936.4;2;11802982133;B
20241224;100306;936;92;11802982390;S
20241224;100306;936;5;11802982391;S
20241224;100306;936;25;11802982392;S
20241224;100306;936;100;11802982393;S
20241224;100306;935.8;1;11802982394;S
20241224;100306;935.8;1;11802982395;S
20241224;100306;935.8;1;11802982396;S
20241224;100306;935.8;7;11802982397;S
20241224;100306;935.8;100;11802982398;S
20241224;100306;935.8;288;11802982399;S
20241224;100306;935.8;86;11802982400;S
20241224;100306;935.6;118;11802982401;S
20241224;100306;935.4;25;11802982402;S
20241224;100306;935.4;1;11802982403;S
20241224;100306;935.4;1;11802982404;S
20241224;100306;935.4;2;11802982405;S
20241224;100306;935.4;50;11802982406;S
20241224;100306;935.4;106;11802982407;S
20241224;100306;935.4;318;11802982408;S
20241224;100306;935.2;500;11802982409;S
20241224;100306;935.2;50;11802982410;S
20241224;100306;935;335;11802982411;S
20241224;100306;935;1;11802982412;S
20241224;100306;935;6;11802982413;S
20241224;100306;935;26;11802982414;S
20241224;100306;935;20;11802982415;S
20241224;100306;935;1300;11802982416;S
20241224;100306;935;270;11802982417;S
20241224;100306;935;1;11802982418;S
20241224;100306;935;10;11802982419;S
20241224;100306;935;102;11802982420;S
