<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241225;095940;439;7;11821326457;B
20241225;095940;439;18;11821326458;B
20241225;095940;439;1;11821326459;B
20241225;095940;439;11;11821326460;B
20241225;095940;439;1;11821326461;S
20241225;095940;439;77;11821326462;B
20241225;095940;439;1;11821326463;S
20241225;095940;439;22;11821326464;S
20241225;095940;439;2;11821326465;S
20241225;095940;439;1;11821326466;S
20241225;095940;439;2;11821326467;S
20241225;095940;439;2;11821326468;B
20241225;095940;439;1;11821326469;B
20241225;095940;439;2;11821326470;B
20241225;095940;439;1;11821326471;B
20241225;095940;439;1;11821326472;B
20241225;095940;439;1;11821326473;S
20241225;095940;439;10;11821326474;S
20241225;095940;439;2;11821326475;S
20241225;095940;439;1;11821326476;S
20241225;095940;439;2;11821326477;S
20241225;095940;439;198;11821326478;S
20241225;095940;439;1;11821326479;S
20241225;095940;439;100;11821326480;B
20241225;095940;439;5;11821326481;B
20241225;095940;439;19;11821326482;B
20241225;095940;439;5;11821326483;B
20241225;095940;439;12;11821326484;S
20241225;095940;439;44;11821326485;S
20241225;095940;439;3;11821326486;S
20241225;095940;439;30;11821326487;B
20241225;095940;439;23;11821326488;B
20241225;095940;439;7;11821326489;S
20241225;095940;439;1;11821326490;S
20241225;095940;439;30;11821326491;S
20241225;095940;439;100;11821326492;S
20241225;095940;439;12;11821326493;B
20241225;095940;439;18;11821326494;B
20241225;095940;439;1;11821326495;S
20241225;095940;439;30;11821326496;B
20241225;095940;439;60;11821326497;B
20241225;095940;439;6;11821326498;B
20241225;095940;439;619;11821326499;S
20241225;095940;439;30;11821326500;B
20241225;095940;439;44;11821326501;B
20241225;095940;439;30;11821326502;B
20241225;095940;439;30;11821326503;B
20241225;095940;439;132;11821326504;B
20241225;095940;439;2;11821326505;S
20241225;095940;439;66;11821326506;S
20241225;095940;439;6;11821326507;S
20241225;095940;439;500;11821326508;S
20241225;095940;439;2;11821326509;S
20241225;095940;439;2;11821326510;S
20241225;095940;439;1;11821326511;S
20241225;095940;439;7;11821326512;S
20241225;095940;439;3;11821326513;S
20241225;095940;439;8;11821326514;S
20241225;095940;439;1;11821326515;S
20241225;095940;439;1;11821326516;S
20241225;095940;439;100;11821326517;S
20241225;095940;439;5;11821326518;S
20241225;095940;439;3;11821326519;S
20241225;095940;439;10;11821326520;S
20241225;095940;439;3;11821326521;S
20241225;095940;439;2;11821326522;S
20241225;095940;439;2;11821326523;S
20241225;095940;439;1;11821326524;S
20241225;095940;439;15;11821326525;S
20241225;095940;439;50;11821326526;S
20241225;095940;439;25;11821326527;S
20241225;095940;439;1;11821326528;S
20241225;095940;439;250;11821326529;S
20241225;095940;439;1;11821326530;S
20241225;095940;439;6;11821326531;S
20241225;095940;439;227;11821326532;S
20241225;095940;439;3;11821326533;S
20241225;095940;439;100;11821326534;S
20241225;095940;439;99;11821326535;S
20241225;095940;439;65;11821326536;S
20241225;095940;439;227;11821326537;S
20241225;095940;439;109;11821326538;B
20241225;095940;439;1;11821326539;S
20241225;095940;439;590;11821326540;B
20241225;095940;439;410;11821326541;S
20241225;095940;439;36;11821326542;S
20241225;095940;439;140;11821326543;S
20241225;095940;439;7;11821326544;S
20241225;095940;439;1;11821326545;S
20241225;095940;439;1;11821326546;S
20241225;095940;439;1;11821326547;S
20241225;095940;439;1;11821326548;S
20241225;095940;439;553;11821326549;S
20241225;095940;439;247;11821326550;S
20241225;095940;439;1;11821326551;S
20241225;095940;439;1;11821326552;S
20241225;095940;439;50;11821326553;S
20241225;095940;439;1;11821326554;S
20241225;095940;439;50;11821326555;S
20241225;095940;439;10;11821326556;S
20241225;095940;439;440;11821326557;B
20241225;095940;439;10;11821326558;B
20241225;100000;439;20;11821330158;B
20241225;100000;438.8;150;11821330224;S
20241225;100000;438.7;455;11821330238;S
20241225;100000;439;5;11821330289;B
20241225;100000;439;8;11821330298;B
20241225;100000;439;2;11821330299;B
20241225;100000;438.7;5;11821330395;S
20241225;100000;439;5;11821330398;B
20241225;100000;438.7;540;11821330414;S
20241225;100000;438.6;1;11821330415;S
20241225;100000;438.6;150;11821330416;S
20241225;100000;438.6;100;11821330417;S
