<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<ATR>
20231204;000000;573.8;574.9;562.15;565;3366080;12.75
20231205;000000;567.2;576.75;563;574.35;2235741;13.75
20231206;000000;574.8;575.8;563;565.55;2260242;12.8
20231207;000000;565;570.65;558.5;560.6;4006958;12.15
20231208;000000;562.95;567.15;560;564.7;1598457;7.15
20231211;000000;564.7;568;553.55;555;2436930;14.45
20231212;000000;554.8;557.4;545.05;549.55;2531287;12.35
20231213;000000;546.3;556.55;544.3;555.85;1735472;12.25
20231214;000000;556.85;558.6;535.65;535.7;3416548;22.95
20231215;000000;535.6;563;535.6;561.5;3936790;27.4
20231218;000000;567;569.5;563.1;566.65;3577369;6.4
20231219;000000;566.7;574.8;564.25;574;3112781;10.55
20231220;000000;574.6;584.9;573.2;578.6;3380683;11.7
20231221;000000;580.4;580.4;569.5;577.1;2974266;10.9
20231222;000000;579.95;585.45;578.15;583.75;2574808;7.3
20231225;000000;585;588.45;580;584.45;1689609;8.45
20231226;000000;585;592;583;589.3;2228358;9
20231227;000000;590;596.65;589.5;594.55;2901799;7.15
20231228;000000;596.05;596.7;589.1;591.9;1817659;7.6
20231229;000000;591.75;595.25;586.35;593.2;1874246;8.9
20240103;000000;595.55;604;594.75;604;1939948;9.25
20240104;000000;605.25;605.6;600.5;601.15;1182510;5.1
20240105;000000;602.1;605.55;599;604.05;1962271;6.55
20240108;000000;605;606.95;600.5;602.3;1795560;6.45
20240109;000000;603;603.75;597.85;600.55;3240395;5.9
20240110;000000;598.2;601.95;598.15;601;5053247;3.8
20240111;000000;574.05;582.15;571;579.6;9552539;11.15
20240112;000000;583.5;589.9;580.85;584.2;5373731;9.05
20240115;000000;585.05;587.9;579.6;581.4;2554880;8.3
20240116;000000;582.6;582.6;577.15;578.4;1578182;5.45
20240117;000000;578.35;580.75;569.8;574.75;3907099;10.95
20240118;000000;575.75;578.15;571.85;573.95;2074597;6.3
20240119;000000;574;577.6;570.6;574.95;2642477;7
20240122;000000;575.4;579.7;575.4;577.95;1860332;4.3
20240123;000000;578.95;580.5;576.5;579.9;1419520;4
20240124;000000;580.35;582.15;572.1;575.75;1843317;10.05
20240125;000000;574;576;572.6;574.65;1866939;3.4
20240126;000000;576.8;577.65;572.35;573.9;1545741;5.3
20240129;000000;574.6;580.45;573;575.75;3546786;7.45
20240130;000000;576.35;578.45;572.6;573.95;2240386;5.85
20240131;000000;574.35;576.5;572;575;3279832;4.5
20240201;000000;575.55;582;574;576.5;4623656;8
20240202;000000;577.05;584.95;574.5;583.95;5211158;10.45
20240205;000000;584.1;592.95;584.1;592;5219238;8.85
20240206;000000;592.95;593.75;590.5;593.55;2073014;3.25
20240207;000000;593.7;595.7;588.8;589.7;4028398;6.9
20240208;000000;587;591.4;580;587.75;3278186;11.4
20240209;000000;587.8;592.9;586.6;589.75;2550838;6.3
20240212;000000;590.15;592.35;585;588.95;2661391;7.35
20240213;000000;589.95;593.45;589.55;592.75;2387698;3.9
20240214;000000;593.75;594.65;589.65;590.05;1932668;5
20240215;000000;590;591.6;587.55;589.15;2637893;4.05
20240216;000000;590.15;591;582.4;585.5;4190539;8.6
20240219;000000;585.6;589.5;581.55;586.25;2549955;7.95
20240220;000000;586;586.05;570.2;572.1;5158911;15.85
20240221;000000;572.1;576.75;560.25;562.35;6692066;16.5
20240222;000000;564.4;565.75;558.5;562.35;2740789;7.25
20240226;000000;566.65;577.3;566.65;575.55;3622806;10.65
20240227;000000;575.4;575.55;566.05;568.2;3484260;9.5
20240228;000000;567.8;570.35;565.25;568.5;2558148;5.1
20240229;000000;568.4;580.5;567;578;3607482;13.5
20240301;000000;578.1;581.6;573.25;577.45;2354297;8.35
20240304;000000;578.85;583.6;578.55;582.5;2062070;5.05
20240305;000000;582.7;588.8;579.5;585.55;2702344;9.3
20240306;000000;585.75;589.95;584.5;585.15;1874631;5.45
20240307;000000;584.8;589.8;583.1;589.45;1429218;6.7
20240311;000000;589.7;592.5;587.05;588.35;1917858;5.45
20240312;000000;588.6;589;585.05;588.25;1809433;3.95
20240313;000000;586.55;588.35;580.7;581.45;2710923;7.65
20240314;000000;581;586;577.8;584;2570897;8.2
20240315;000000;583;587.15;579.6;584.2;1767586;7.55
20240318;000000;584;586.45;581.55;583.1;1283694;4.9
20240319;000000;582.7;583.7;556.3;565.35;15170278;27.4
20240320;000000;565.35;566.55;551.2;560.3;15820536;15.35
20240321;000000;561.3;575;557.25;562.8;13578282;17.75
20240322;000000;562.85;563.95;551;554.2;10044373;12.95
20240325;000000;556.75;559.85;548.5;558.05;8576498;11.35
20240326;000000;559;559;554.15;556.1;4715880;4.85
20240327;000000;556.1;557.5;551.25;555.4;3620770;6.25
20240328;000000;557;565.8;555.75;565.75;8138568;10.05
20240329;000000;567.65;569.4;563.5;565.75;5551116;5.9
20240401;000000;567.95;573.55;566.8;568.85;8188468;6.75
20240402;000000;570.05;574.5;567.5;572.9;4815709;7
20240403;000000;573.1;579;572;576.9;4824268;7
20240404;000000;577.7;580;575.65;578.05;3919154;4.35
20240405;000000;578.85;579.65;574;576.1;3294264;5.65
20240408;000000;576.45;579.75;571.55;574.5;3292069;8.2
20240409;000000;574.55;576.2;565.75;568.4;4658816;10.45
20240410;000000;568.55;574.5;565.6;573.2;2485455;8.9
20240411;000000;573.25;579;573.25;575.25;3768160;5.75
20240412;000000;576;579.5;575.9;576.15;3148796;3.6
20240415;000000;578.9;589.85;578.1;589.75;7072607;11.75
20240416;000000;589.95;592.5;585.7;589.1;5285389;6.8
20240417;000000;589.2;590.75;581.3;584.35;3811778;9.45
20240418;000000;583.8;585.85;576.55;579.15;3806177;9.3
20240419;000000;581.8;588.4;578.05;585.35;3500056;10.35
20240422;000000;586.7;589.4;581;583.15;3186413;8.4
20240423;000000;583.85;589;580.25;580.85;3693006;8.75
20240424;000000;582.05;583.4;572;576.3;2959530;11.4
20240425;000000;576.8;581.25;573;579.8;2268877;8.25
20240426;000000;580;584.9;578.6;581.3;2192772;6.3
20240427;000000;581.25;584.5;581;581.2;1380323;3.5
20240429;000000;581.95;583.95;581.35;583.15;878623;2.6
20240430;000000;583.15;583.65;581.3;582;628538;2.35
20240502;000000;581.45;587;578;582.3;2160628;9
20240503;000000;582.7;586.4;582;582.3;2297569;4.4
20240506;000000;582;586.15;578.65;579.05;2439897;7.5
20240507;000000;579.2;584.35;579.2;579.95;1685437;5.15
20240508;000000;580.3;582;578.2;578.5;1289287;3.8
20240510;000000;579;582.5;578.55;579.4;1156830;3.95
20240513;000000;580.25;590;579;589.45;4756569;11
20240514;000000;590.05;594;588.3;589.8;4210915;5.7
20240515;000000;590.7;599.3;589.3;599.2;7141811;10
20240516;000000;599.55;600;590.05;592.6;4607899;9.95
20240517;000000;592.9;596.7;590.5;591.95;3458052;6.2
20240520;000000;594.2;596.35;580.1;591.9;4643539;16.25
20240521;000000;592.05;597.5;586.6;594.6;4303129;10.9
20240522;000000;593.9;597.25;591.75;596.85;3747392;5.5
20240523;000000;595.7;596.65;590;593.15;3535380;6.65
20240524;000000;593.55;594.45;582.3;585.1;3988670;12.15
20240527;000000;585.05;588;568.4;578.25;7402672;19.6
20240528;000000;578.8;585;567;573;4386551;18
20240529;000000;574;580;571;575.65;2618915;9
20240530;000000;577.65;581.15;553.95;566.4;5590285;27.2
20240531;000000;570;572;555;556.65;6151250;17
20240603;000000;557.2;564.7;542.5;562.95;7571470;22.2
20240604;000000;563.1;571;555.55;568.95;5280771;15.45
20240605;000000;570.1;575;559.65;562.2;5052582;15.35
20240606;000000;563.4;569.8;561.25;566.3;2238353;8.55
20240607;000000;567.35;575.95;565.3;571.65;3334620;10.65
20240610;000000;574;575.7;560;563.25;2696841;15.7
20240611;000000;562.9;563.5;556.5;562.85;1886130;7
20240613;000000;535.4;560;525;555.5;4305948;35
20240614;000000;556.2;569.9;552.1;565.1;3294636;17.8
20240617;000000;569.05;573.4;563.1;566.7;2828278;10.3
20240618;000000;566.7;567.65;553.4;554.45;2779584;14.25
20240619;000000;554.45;558.7;532.5;536;4679930;26.2
20240620;000000;537;559;524;555;7997822;35
20240621;000000;556.15;562.85;545.45;550.05;2973988;17.4
20240624;000000;551.25;555.95;544;547.45;2057542;11.95
20240625;000000;547.45;559;543.1;558.5;2785740;15.9
20240626;000000;559.25;562.45;557;561.2;1994325;5.45
20240627;000000;562.05;565;556.2;559.8;1701288;8.8
20240628;000000;560.5;565.65;559.65;565.25;1454091;6
20240701;000000;566.4;578.5;562;576.9;3037018;16.5
20240702;000000;577.05;579.6;571.7;573;2992211;7.9
20240703;000000;574;577.5;570.75;573.9;2447565;6.75
20240704;000000;574.3;575.45;558.7;561.35;3118363;16.75
20240705;000000;561.15;564.3;554.45;555.85;3339952;9.85
20240708;000000;555.85;566.05;555.6;560.1;5277256;10.45
20240709;000000;536.1;540.25;524.6;524.6;10409977;15.65
20240710;000000;524.5;526.45;500.05;502.5;8065148;26.4
20240711;000000;503;526.9;503;526.7;4751906;23.9
20240712;000000;528;531;520.1;527.4;2744036;10.9
20240715;000000;528.8;529.85;501.05;508;6117250;28.8
20240716;000000;506;519.1;503.7;516.9;5441330;15.4
20240717;000000;517.1;518.75;507.25;510.45;4005050;11.5
20240718;000000;511.35;518.2;508.05;517.25;3073501;10.15
20240719;000000;517.4;527.8;515.75;524.15;2592662;12.05
20240722;000000;527.5;535;526.05;531.85;3722608;8.95
20240723;000000;533.05;534.8;526.1;530.55;1338754;8.7
20240724;000000;531.95;537.65;529.1;532.25;2223380;8.55
20240725;000000;532.3;535.5;530.05;532.45;1534158;5.45
20240726;000000;533.25;538.7;518.75;521.4;4860823;19.95
20240729;000000;519.95;519.95;500;503.2;3891666;19.95
20240730;000000;501.85;514;496.2;513.95;4472407;17.8
20240731;000000;517;518.2;510.2;515.95;2097253;8
20240801;000000;516.05;518;505;506.4;2733808;13
20240802;000000;507.3;510.45;503;504.8;2290807;7.45
20240805;000000;497.95;502.75;490.1;493.9;5316783;12.65
20240806;000000;496.85;502;491.75;496.15;2463795;10.25
20240807;000000;496.2;512.45;491.3;508.45;4168629;21.15
20240808;000000;509.1;514.2;501.7;503.2;2488852;12.5
20240809;000000;503.2;509.5;501.55;505.7;1524864;7.95
20240812;000000;505.7;505.7;494.5;501.7;6384512;11.2
20240813;000000;500.9;506.5;499.7;502.5;3058616;6.8
20240814;000000;503;506.3;494.95;495.8;3472166;11.35
20240815;000000;496.3;498.45;493.15;493.75;1740896;5.3
20240816;000000;494.2;496.55;488.25;489.7;2084786;8.3
20240819;000000;490.35;493.5;481.6;483.7;3360350;11.9
20240820;000000;483.7;488.95;479.5;481.5;3377477;9.45
20240821;000000;482.5;485.35;478.5;480.95;3803852;6.85
20240822;000000;481.15;482.5;474.1;475.8;3384534;8.4
20240823;000000;475.8;479.25;470.6;478.75;3770923;8.65
20240826;000000;486.45;490.15;481.1;489.55;3702348;9.05
20240827;000000;489.85;491.45;475.75;477.5;2755929;15.7
20240828;000000;477.5;479.15;458.5;479.05;4855931;20.65
20240829;000000;479.5;484;473.9;482.95;3810202;10.1
