<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20240521;095932;592;84;10408837321;S
20240521;095932;592;10;10408837322;S
20240521;095932;592;2;10408837323;B
20240521;095932;592;104;10408837324;B
20240521;095932;592;24;10408837325;B
20240521;095932;592;18;10408837326;B
20240521;095932;592;1;10408837327;B
20240521;095932;592;2;10408837328;B
20240521;095932;592;8;10408837329;B
20240521;095932;592;900;10408837330;S
20240521;095932;592;119;10408837331;S
20240521;095932;592;1;10408837332;S
20240521;095932;592;2;10408837333;B
20240521;095932;592;1;10408837334;S
20240521;095932;592;6;10408837335;B
20240521;095932;592;9;10408837336;B
20240521;095932;592;6;10408837337;B
20240521;095932;592;2;10408837338;B
20240521;095932;592;1;10408837339;B
20240521;095932;592;236;10408837340;B
20240521;095932;592;2;10408837341;B
20240521;095932;592;6;10408837342;B
20240521;095932;592;2;10408837343;B
20240521;095932;592;170;10408837344;B
20240521;095932;592;2;10408837345;S
20240521;095932;592;50;10408837346;B
20240521;095932;592;100;10408837347;B
20240521;095932;592;1;10408837348;B
20240521;095932;592;1;10408837349;B
20240521;095932;592;2;10408837350;B
20240521;095932;592;2;10408837351;B
20240521;095932;592;2;10408837352;B
20240521;095932;592;1;10408837353;B
20240521;095932;592;2;10408837354;B
20240521;095932;592;3;10408837355;B
20240521;095932;592;1;10408837356;B
20240521;095932;592;1;10408837357;B
20240521;095932;592;2;10408837358;B
20240521;095932;592;2;10408837359;B
20240521;095932;592;1;10408837360;B
20240521;095932;592;2;10408837361;B
20240521;095932;592;1;10408837362;B
20240521;095932;592;1;10408837363;B
20240521;095932;592;1;10408837364;B
20240521;095932;592;6;10408837365;B
20240521;095932;592;2;10408837366;B
20240521;095932;592;4;10408837367;B
20240521;095932;592;56;10408837368;B
20240521;095932;592;50;10408837369;B
20240521;095932;592;1792;10408837370;B
20240521;095932;592;2;10408837371;B
20240521;095932;592;65;10408837372;B
20240521;095932;592;4;10408837373;B
20240521;095932;592;10;10408837374;S
20240521;095932;592;1;10408837375;S
20240521;095932;592;69;10408837376;S
20240521;095932;592;4;10408837377;S
20240521;095932;592;1;10408837378;S
20240521;095932;592;1;10408837379;S
20240521;095932;592;20;10408837380;B
20240521;095932;592;5;10408837381;B
20240521;095932;592;400;10408837382;S
20240521;095932;592;335;10408837383;B
20240521;095932;592;2;10408837384;S
20240521;095932;592;26;10408837385;B
20240521;095932;592;60;10408837386;B
20240521;095932;592;20;10408837387;B
20240521;095932;592;3183;10408837388;B
20240521;095932;592;3;10408837389;B
20240521;095932;592;5;10408837390;B
20240521;095932;592;30;10408837391;B
20240521;095932;592;8;10408837392;B
