<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20240516;095955;44.6;50;10379475443;S
20240516;095955;44.6;1690;10379475444;B
20240516;095955;44.6;130;10379475445;B
20240516;095955;44.6;30;10379475446;B
20240516;095955;44.6;10;10379475447;B
20240516;095955;44.6;60;10379475448;B
20240516;095955;44.6;30;10379475449;B
20240516;095955;44.6;160;10379475450;B
20240516;095955;44.6;10;10379475451;B
20240516;095955;44.6;180;10379475452;B
20240516;095955;44.6;700;10379475453;S
20240516;095955;44.6;120;10379475454;S
20240516;095955;44.6;50;10379475455;S
20240516;095955;44.6;10;10379475456;B
20240516;095955;44.6;11860;10379475457;B
20240516;095955;44.6;10;10379475458;B
20240516;095955;44.6;10;10379475459;B
20240516;095955;44.6;520;10379475460;B
20240516;095955;44.6;1440;10379475461;B
20240516;095955;44.6;10;10379475462;S
20240516;095955;44.6;340;10379475463;B
20240516;095955;44.6;80;10379475464;B
20240516;095955;44.6;8190;10379475465;B
20240516;095955;44.6;20;10379475466;B
20240516;095955;44.6;20;10379475467;B
20240516;095955;44.6;60;10379475468;B
20240516;095955;44.6;1000;10379475469;B
20240516;095955;44.6;10;10379475470;B
20240516;095955;44.6;10;10379475471;S
20240516;095955;44.6;2220;10379475472;B
20240516;095955;44.6;1000;10379475473;B
20240516;095955;44.6;200;10379475474;B
20240516;095955;44.6;1000;10379475475;B
20240516;095955;44.6;10;10379475476;B
20240516;095955;44.6;86260;10379475477;B
20240516;095955;44.6;10;10379475478;S
20240516;095955;44.6;10;10379475479;S
20240516;095955;44.6;10;10379475480;B
20240516;095955;44.6;10;10379475481;B
20240516;095955;44.6;340;10379475482;B
20240516;095955;44.6;1500;10379475483;B
20240516;095955;44.6;10;10379475484;B
20240516;095955;44.6;60;10379475485;S
20240516;095955;44.6;1600;10379475486;S
20240516;095955;44.6;1500;10379475487;B
20240516;095955;44.6;30;10379475488;S
20240516;095955;44.6;650;10379475489;B
20240516;095955;44.6;1800;10379475490;S
20240516;095955;44.6;500;10379475491;S
20240516;095955;44.6;20;10379475492;B
20240516;095955;44.6;100;10379475493;B
20240516;095955;44.6;10;10379475494;B
20240516;095955;44.6;30;10379475495;B
20240516;095955;44.6;50;10379475496;B
20240516;095955;44.6;50;10379475497;B
20240516;095955;44.6;110;10379475498;B
20240516;095955;44.6;10;10379475499;B
20240516;095955;44.6;30;10379475500;B
20240516;095955;44.6;450;10379475501;B
20240516;095955;44.6;120;10379475502;S
20240516;095955;44.6;70;10379475503;S
20240516;095955;44.6;1000;10379475504;S
20240516;095955;44.6;100;10379475505;S
20240516;095955;44.6;100;10379475506;S
20240516;095955;44.6;50;10379475507;S
20240516;095955;44.6;1190;10379475508;S
20240516;095955;44.6;900;10379475509;S
20240516;095955;44.6;10;10379475510;S
20240516;095955;44.6;60;10379475511;B
20240516;095955;44.6;200;10379475512;B
20240516;095955;44.6;200;10379475513;S
20240516;095955;44.6;620;10379475514;S
20240516;095955;44.6;5000;10379475515;B
20240516;095955;44.6;500;10379475516;S
20240516;095955;44.6;10;10379475517;S
20240516;095955;44.6;840;10379475518;B
20240516;095955;44.6;1000;10379475519;S
20240516;095955;44.6;90;10379475520;S
20240516;095955;44.6;10000;10379475521;S
20240516;095955;44.6;130;10379475522;S
20240516;095955;44.6;10;10379475523;S
20240516;095955;44.6;200;10379475524;B
20240516;095955;44.6;120;10379475525;B
20240516;095955;44.6;200;10379475526;B
20240516;095955;44.6;22530;10379475527;B
20240516;095955;44.6;1000;10379475528;B
20240516;095955;44.6;500;10379475529;B
20240516;095955;44.6;100;10379475530;B
20240516;095955;44.6;20;10379475531;B
20240516;095955;44.6;10;10379475532;B
20240516;095955;44.6;4000;10379475533;B
20240516;095955;44.6;590;10379475534;B
20240516;095955;44.6;10;10379475535;B
20240516;100000;44.585;320;10379476603;B
20240516;100000;44.58;2500;10379476631;S
20240516;100000;44.565;10;10379477003;B
20240516;100001;44.565;490;10379477650;B
20240516;100001;44.57;120;10379477651;B
20240516;100001;44.595;390;10379477652;B
20240516;100001;44.56;30;10379478070;S
20240516;100001;44.565;50;10379478207;S
20240516;100002;44.58;80;10379479524;B
20240516;100002;44.58;10;10379479647;B
20240516;100002;44.575;50;10379479791;S
20240516;100003;44.58;230;10379480470;B
20240516;100004;44.58;500;10379481848;B
20240516;100004;44.585;50;10379481849;B
20240516;100004;44.585;120;10379481850;B
20240516;100004;44.585;330;10379481851;B
20240516;100005;44.575;120;10379482935;S
20240516;100005;44.58;10;10379482943;B
20240516;100005;44.575;10;10379482944;S
20240516;100005;44.58;10;10379483417;B
20240516;100005;44.58;30;10379483419;B
20240516;100005;44.575;10;10379483560;S
20240516;100005;44.575;160;10379483565;S
20240516;100005;44.575;670;10379483566;S
