<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<ATR>
20201130;000000;249.72;270.84;245.98;270;494122530;24.86
20201207;000000;269.2;284.6;268.1;283.73;398690620;16.5
20201214;000000;285.02;287.74;268.52;270.16;420285500;19.22
20201221;000000;266.4;272.82;257.05;270.64;347980710;15.77
20201228;000000;270.89;276.43;269.73;271.65;109332920;6.7
20210104;000000;274.67;283.99;270.28;283.64;223931840;13.71
20210111;000000;282.75;296.07;276;276.9;406894300;20.07
20210118;000000;275.73;282.8;266.78;268.25;347882970;16.02
20210125;000000;270.54;273.8;257.36;258.11;490322970;16.44
20210201;000000;260;272.57;258.73;271.7;370567540;13.84
20210208;000000;273.01;276.29;258.55;266;326729660;17.74
20210215;000000;268.49;275.07;264.19;270.51;325464250;10.88
20210222;000000;270.37;276.48;266.43;270.17;266211070;10.05
20210301;000000;273;283.83;271.13;277.5;346478800;12.7
20210308;000000;278.71;288;277.56;284.93;226225690;10.44
20210315;000000;286.07;293.88;278.03;285.47;390169520;15.85
20210322;000000;285;292.75;282.11;291.22;270758330;10.64
20210329;000000;289.72;295.72;288.43;291.7;200035600;7.29
20210405;000000;290.8;291.48;278.54;281.07;278063410;12.94
20210412;000000;278.21;291.58;278;288.5;334776820;13.58
20210419;000000;287.9;294.67;286.04;293.19;280136040;8.63
20210426;000000;294.3;301.84;293.1;297.73;241481910;8.74
20210503;000000;298.7;319.16;298.2;317.94;220820280;20.96
20210510;000000;318.27;320.19;299.33;304.1;278710420;20.86
20210517;000000;303.5;306.62;293;301.23;245262630;13.62
20210524;000000;302.05;314;299.59;309.56;209687420;14.41
20210531;000000;309.3;315.71;307.6;310.94;159680640;8.11
20210607;000000;310.03;316.58;308.57;313;151278680;8.01
20210614;000000;313.48;315.6;308.13;309.3;199916280;7.47
20210621;000000;308.45;312.5;306.56;311.81;126705370;5.94
20210628;000000;311.76;312.06;303.34;307.39;133623080;8.72
20210705;000000;307.81;308.11;300.62;303.56;122982520;7.49
20210712;000000;303.56;307.22;298.57;298.85;126049280;8.65
20210719;000000;298;298.69;290.03;296.38;129615000;8.66
20210726;000000;293.99;306.67;291.98;305.59;176815760;14.69
20210802;000000;306.31;320;306.06;319.15;187348650;13.94
20210809;000000;318.56;331.29;317.62;328.68;187627330;13.67
20210816;000000;327.56;338.99;325.17;325.67;184939740;13.82
20210823;000000;327.85;331.22;320.58;327.41;139517360;10.64
20210830;000000;328.42;334.91;326.51;329.71;144627370;8.4
20210906;000000;330;332.74;322.84;326.25;137004210;9.9
20210913;000000;327.02;334.6;324.01;329.56;207251970;10.59
20210920;000000;327.01;329.48;322.39;325.44;169047400;7.09
20210927;000000;326.32;342.2;326.09;338.48;235624300;16.11
20211004;000000;337.81;375.48;336.22;373.01;322862860;39.26
20211011;000000;375.05;388.11;370.43;371.82;246156880;17.68
20211018;000000;369.35;373.4;361.5;364.37;156419620;11.9
20211025;000000;366.19;374.92;352.68;356.14;220938430;22.24
20211101;000000;356.14;374;356.14;360.21;162664360;17.86
20211108;000000;362.59;364.58;339.68;347.59;271398510;24.9
20211115;000000;348.67;352.8;325.7;327.56;285287860;27.1
20211122;000000;326.03;329.97;300.1;304.42;501448570;29.87
20211129;000000;311.14;329.44;309.42;320.66;354525710;20.02
20211206;000000;322;324.16;291.57;297.44;710824880;32.59
20211213;000000;298.28;300.99;261.5;294.9;654837120;39.49
20211220;000000;293.11;298.1;285.63;293.89;301598330;12.47
20211227;000000;294.79;297.55;291.33;293.49;153817000;6.22
20220103;000000;295.9;310.1;281;293.92;252769830;29.1
20220110;000000;295.53;298.88;249.2;261;825884270;49.68
20220117;000000;262.2;264.01;221.03;246.9;1718220370;42.98
20220124;000000;246.51;262;226;257.82;1288261310;36
20220131;000000;258.88;273.1;250.06;256.53;774762360;23.04
20220207;000000;257;282.3;253.52;260.83;834182020;28.78
20220214;000000;256.69;281;245;250.28;1357155350;36
20220221;000000;249.12;258.32;89.59;131.12;3254897340;168.73
20220321;000000;131;156.2;128.2;131.5;211012780;28
20220328;000000;130.6;155.4;122;154.5;377253220;33.4
20220404;000000;158.76;169.9;140.65;143.72;460702890;29.25
20220411;000000;144.12;146.98;125.12;130.88;252671630;21.86
20220418;000000;131.45;132.68;115.36;116.97;302638580;17.32
20220425;000000;115.95;134.5;111.5;128.8;455235960;23
20220502;000000;129.1;131.5;121.52;123.1;140039690;9.98
20220509;000000;123.01;126.05;118.05;120.2;86357220;8
20220516;000000;120.7;131.3;119.5;122.2;205522610;11.8
20220523;000000;121.51;125.99;117.1;121.22;220690250;8.89
20220530;000000;121.6;123;117;119.21;175554990;6
20220606;000000;119.36;122.19;117.32;118.07;140605870;4.87
20220613;000000;118.04;125.18;115.8;123.88;174119540;9.38
20220620;000000;124.05;138.4;123.6;137.76;361688080;14.8
20220627;000000;137.7;142.35;122.5;129.91;331596280;19.85
20220704;000000;129.1;137.1;127.16;133.3;216950910;9.94
20220711;000000;132.75;133.9;124.2;128.9;243254330;9.7
20220718;000000;130;130.64;122.24;128.82;202328840;8.4
20220725;000000;128.93;134.79;127.24;131.9;216398410;7.55
20220801;000000;131.77;131.77;122.24;122.4;199624990;9.53
20220808;000000;126.14;127.38;122.3;124.88;180218710;5.08
20220815;000000;124.6;127.44;123.28;125.2;129321490;4.16
20220822;000000;125.08;131.64;124.7;130.4;204230820;6.94
20220829;000000;130.12;144.9;129.52;143.8;389647020;15.38
20220905;000000;143.48;145.1;134;138.15;341148280;11.1
20220912;000000;137.12;141.39;135.2;137.73;287706050;6.19
20220919;000000;137.45;139.08;109.27;119.39;579583130;29.81
20220926;000000;114.99;117.99;103.4;110.21;517463250;14.59
20221003;000000;110.67;115.5;101.3;101.5;390199250;14.2
20221010;000000;96.55;109.19;96.5;107.78;356446640;12.69
20221017;000000;107.99;119.94;107.65;119.45;473531690;12.29
20221024;000000;120.15;127.5;117.65;126.97;458123960;9.85
20221031;000000;127.2;128.6;123.75;125.75;185061610;4.85
20221107;000000;127.02;138.42;126.42;136.98;471870640;12
20221114;000000;137.41;141;130.86;136.89;397568290;10.14
20221121;000000;136.01;138.41;132.51;136.53;252996680;5.9
20221128;000000;135.01;137.95;134.1;136.66;155420900;3.85
20221205;000000;136.66;143.6;136.25;140.03;318383860;7.35
20221212;000000;140.19;140.87;134.13;135.45;206968520;6.74
20221219;000000;135.13;139.12;132.86;137.94;202438640;6.26
20221226;000000;138.34;142;138;141.15;178870780;4
20230102;000000;141.6;143.25;140.54;141.4;66005070;2.71
20230109;000000;141.84;153.28;141.31;151.69;313070920;11.97
20230116;000000;152.85;154.31;148.56;151.38;313925430;5.75
20230123;000000;151.9;155.58;151.01;153.2;256524390;4.57
20230130;000000;153.5;162.32;152.21;161.26;292501570;10.11
20230206;000000;161.71;168.7;161.01;165.52;387785410;7.69
20230213;000000;165.21;166.88;153.83;159.73;328576150;13.05
20230220;000000;159.42;165.65;156.73;164.3;272531010;8.92
20230227;000000;163.64;171.92;162.96;171.16;369640700;8.96
20230306;000000;172.13;174.89;170.58;172.53;248995540;4.31
20230313;000000;172.53;193.66;169.26;193.59;678599630;24.4
20230320;000000;196.03;208;195;203.57;386342600;13
20230327;000000;204.02;219.53;204.01;216.6;400328550;15.52
20230403;000000;218.45;219.44;211.4;216.27;214814670;8.04
20230410;000000;217.1;223.33;216.61;221.87;303770690;6.72
20230417;000000;222.97;238.85;222.91;235.17;492169810;15.94
20230424;000000;235.09;241.58;234.1;240.38;204540210;7.48
20230501;000000;242.2;245;234;237.7;274309360;11
20230508;000000;238.65;239.86;215.7;229.29;468680170;24.16
20230515;000000;230.54;234.49;228.52;231.27;204387470;5.97
20230522;000000;232.2;249.64;230;248.1;314895150;19.64
20230529;000000;249.77;252.59;240.27;243.95;321622170;12.32
20230605;000000;243.51;244.39;232.54;240.4;299380610;11.85
20230612;000000;241.51;247.68;240.63;243.87;155615510;7.05
20230619;000000;244.46;244.69;234.34;235.67;177756120;10.35
20230626;000000;239.6;242.34;233.4;239.61;212659810;8.94
20230703;000000;240;244.56;239.15;243.67;161913140;5.41
20230710;000000;244.22;250.2;244.2;246.45;208238040;6
20230717;000000;244.76;248.1;241.7;244.13;171118690;6.4
20230724;000000;243.99;249.45;243.52;249.25;160895480;5.93
20230731;000000;251.35;273.35;251.35;264.12;585305650;22
20230807;000000;266.5;268.09;258.8;266.23;222986790;9.29
20230814;000000;267.37;268.77;254.33;261.14;283944140;14.44
20230821;000000;262.33;263.06;256;260.5;169936640;7.06
20230828;000000;261.25;267.83;260.81;265;173526230;7.02
20230904;000000;266.5;269.11;253.1;255.68;232884630;16.01
20230911;000000;257;262.77;255.02;260.83;199631910;7.75
20230918;000000;262.06;263;248.62;251.99;284243800;14.38
20230925;000000;252.11;262.59;249.83;260.72;197346120;12.76
20231002;000000;261.38;263.4;257.03;262.93;133008180;6.37
20231009;000000;263.02;265.97;257;263.51;154147080;8.97
20231016;000000;263.99;271.97;263.51;269.8;211353730;8.46
20231023;000000;270.47;276;266.8;269.7;241242440;9.2
20231030;000000;269.9;271.55;266.87;268.54;126436030;4.68
20231106;000000;269;281.3;268.62;280.19;192274030;12.68
20231113;000000;280.4;284.8;278.51;281.6;183852360;6.29
20231120;000000;281.8;287.77;281.61;286.85;145227460;6.16
20231127;000000;287.41;289;272.75;273.97;241720010;16.25
20231204;000000;273.59;280.79;263.06;265.16;282938130;17.73
20231211;000000;265.17;268.91;254.81;268.21;296279690;14.1
20231218;000000;268.9;271.9;263.5;271.3;212575740;8.4
20231225;000000;271.75;273.85;268.52;270.82;127803910;5.33
20240101;000000;271.75;275.48;271;273.62;41710490;4.48
20240108;000000;273.59;278;273.53;275.84;99438340;4.47
20240115;000000;276.3;279.17;273.55;274.86;117215240;5.62
20240122;000000;274.89;277.26;271.55;272.65;90780250;5.71
20240129;000000;273.05;277.75;272.7;276.74;85423800;5.05
20240205;000000;276.94;286.24;276.9;283.5;145651550;9.34
20240212;000000;283.67;292.3;283.5;288.33;182263870;8.8
20240219;000000;288.59;289.98;280.2;284.77;143123870;9.78
20240226;000000;288.52;295.88;287;295.38;173679250;8.88
20240304;000000;295.8;300.58;295.8;300.4;121826880;4.78
20240311;000000;300.99;302.95;295.14;298.3;162272920;7.81
20240318;000000;299.41;299.98;291.05;292.99;230055210;8.93
20240325;000000;294;299.5;292.13;298.72;107511680;7.37
20240401;000000;299.99;307.77;298.95;306.1;154850550;8.82
20240408;000000;306.5;309.35;304.62;307.1;113908490;4.73
20240415;000000;307.4;309.74;305.05;307.38;100672390;4.69
20240422;000000;307.99;315.79;306.26;308.98;238190960;9.53
20240429;000000;309.13;309.6;304.34;307.53;62661430;5.26
20240506;000000;308.08;313.5;305.55;313.49;86257980;7.95
20240513;000000;314.1;323.5;313.58;323.16;136992870;9.92
20240520;000000;324;324.85;318;321;133571060;6.85
20240527;000000;321.08;321.95;309.8;313.11;174855770;12.15
20240603;000000;313.5;320.64;305;319.9;195290020;15.64
20240610;000000;320.79;321.98;304.14;319.35;108384760;17.84
20240617;000000;320;320.45;306.02;314.14;181429580;14.43
20240624;000000;314.57;329.3;314.14;327.15;185068950;15.16
20240701;000000;327.68;330.45;321.01;325;166060740;9.44
20240708;000000;325.76;327.44;285.22;292.21;383819990;42.22
20240715;000000;292.93;293.86;276.7;289.9;249316410;17.16
20240722;000000;291;300;291;293.3;187678830;9
20240729;000000;292.94;292.94;284.32;286.04;169374030;8.62
20240805;000000;282.79;285.42;275.17;281.44;238008600;10.25
20240812;000000;280.17;284.7;274.32;274.6;128144160;10.38
20240819;000000;275.08;275.56;255.56;259.5;284350390;20
20240826;000000;263.55;266.95;254;254.45;210767020;12.95
20240902;000000;254.03;258.17;240.01;254.77;393415600;18.16
20240909;000000;256;264.61;248.75;258.25;319250710;15.86
20240916;000000;259.65;269.21;257.8;269.08;227561070;11.41
20240923;000000;269.32;273.94;265.41;268.07;180699470;8.53
20240930;000000;269.25;272.33;257.2;264.09;223282210;15.13
