<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20240530;095952;320.91;110;10536317443;S
20240530;095952;320.91;10;10536317444;S
20240530;095952;320.91;60;10536317445;S
20240530;095952;320.91;30;10536317446;S
20240530;095952;320.91;40;10536317447;S
20240530;095952;320.91;20;10536317448;S
20240530;095952;320.91;20;10536317449;S
20240530;095952;320.91;360;10536317450;S
20240530;095952;320.91;140;10536317451;S
20240530;095952;320.91;190;10536317452;S
20240530;095952;320.91;10;10536317453;S
20240530;095952;320.91;1300;10536317454;S
20240530;095952;320.91;10;10536317455;S
20240530;095952;320.91;690;10536317456;S
20240530;095952;320.91;50;10536317457;S
20240530;095952;320.91;10;10536317458;S
20240530;095952;320.91;40;10536317459;S
20240530;095952;320.91;20;10536317460;S
20240530;095952;320.91;100;10536317461;S
20240530;095952;320.91;370;10536317462;B
20240530;095952;320.91;90;10536317463;S
20240530;095952;320.91;60;10536317464;B
20240530;095952;320.91;10;10536317465;B
20240530;095952;320.91;100;10536317466;S
20240530;095952;320.91;10;10536317467;S
20240530;095952;320.91;500;10536317468;S
20240530;095952;320.91;80;10536317469;B
20240530;095952;320.91;30;10536317470;B
20240530;095952;320.91;10;10536317471;B
20240530;095952;320.91;10;10536317472;B
20240530;095952;320.91;30;10536317473;S
20240530;095952;320.91;30;10536317474;S
20240530;095952;320.91;40;10536317475;S
20240530;095952;320.91;120;10536317476;S
20240530;095952;320.91;10;10536317477;S
20240530;095952;320.91;10;10536317478;S
20240530;095952;320.91;20;10536317479;S
20240530;095952;320.91;300;10536317480;S
20240530;095952;320.91;250;10536317481;S
20240530;095952;320.91;280;10536317482;B
20240530;095952;320.91;60;10536317483;S
20240530;095952;320.91;10;10536317484;S
20240530;095952;320.91;10;10536317485;S
20240530;095952;320.91;350;10536317486;S
20240530;095952;320.91;70;10536317487;B
20240530;095952;320.91;70;10536317488;B
20240530;095952;320.91;310;10536317489;B
20240530;095952;320.91;10;10536317490;B
20240530;095952;320.91;10;10536317491;B
20240530;095952;320.91;30;10536317492;B
20240530;095952;320.91;60;10536317493;B
20240530;095952;320.91;2560;10536317494;B
20240530;095952;320.91;10;10536317495;B
20240530;095952;320.91;130;10536317496;B
20240530;095952;320.91;20;10536317497;S
20240530;095952;320.91;100;10536317498;S
20240530;095952;320.91;10;10536317499;S
20240530;095952;320.91;10;10536317500;S
20240530;095952;320.91;2000;10536317501;S
20240530;095952;320.91;10;10536317502;S
20240530;095952;320.91;10;10536317503;S
20240530;095952;320.91;10;10536317504;S
20240530;095952;320.91;10;10536317505;S
20240530;095952;320.91;20;10536317506;S
20240530;095952;320.91;290;10536317507;S
20240530;095952;320.91;10;10536317508;S
20240530;095952;320.91;5000;10536317509;S
20240530;095952;320.91;370;10536317510;B
20240530;095952;320.91;33000;10536317511;B
20240530;095952;320.91;20;10536317512;B
20240530;095952;320.91;10;10536317513;B
20240530;095952;320.91;10;10536317514;B
20240530;095952;320.91;2190;10536317515;B
20240530;095952;320.91;20;10536317516;B
20240530;095952;320.91;700;10536317517;S
20240530;095952;320.91;100;10536317518;S
20240530;095952;320.91;20;10536317519;S
20240530;095952;320.91;970;10536317520;S
20240530;095952;320.91;160;10536317521;S
20240530;095952;320.91;20;10536317522;S
20240530;095952;320.91;1000;10536317523;B
20240530;095952;320.91;3200;10536317524;S
20240530;095952;320.91;100;10536317525;B
20240530;095952;320.91;10;10536317526;B
20240530;095952;320.91;190;10536317527;B
20240530;095952;320.91;20;10536317528;B
20240530;095952;320.91;270;10536317529;B
20240530;095952;320.91;20;10536317530;B
20240530;095952;320.91;50;10536317531;B
20240530;095952;320.91;350;10536317532;B
20240530;095952;320.91;250;10536317533;B
20240530;095952;320.91;10;10536317534;B
20240530;095952;320.91;30;10536317535;S
20240530;095952;320.91;1000;10536317536;B
20240530;095952;320.91;200;10536317537;S
20240530;095952;320.91;500;10536317538;S
20240530;095952;320.91;650;10536317539;S
20240530;095952;320.91;10;10536317540;S
20240530;095952;320.91;20;10536317541;S
20240530;095952;320.91;20;10536317542;S
20240530;095952;320.91;20;10536317543;S
20240530;095952;320.91;70;10536317544;S
20240530;095952;320.91;10;10536317545;B
20240530;095952;320.91;40;10536317546;B
20240530;095952;320.91;1000;10536317547;B
20240530;095952;320.91;20;10536317548;B
20240530;095952;320.91;20;10536317549;S
20240530;095952;320.91;20;10536317550;S
20240530;095952;320.91;80;10536317551;B
20240530;095952;320.91;10;10536317552;S
20240530;095952;320.91;150;10536317553;B
20240530;095952;320.91;1000;10536317554;B
20240530;095952;320.91;10;10536317555;B
20240530;095952;320.91;20;10536317556;S
20240530;095952;320.91;20;10536317557;S
20240530;095952;320.91;10;10536317558;S
20240530;095952;320.91;300;10536317559;B
20240530;095952;320.91;10;10536317560;S
20240530;095952;320.91;10;10536317561;S
20240530;095952;320.91;50;10536317562;B
20240530;095952;320.91;1000;10536317563;S
20240530;095952;320.91;1000;10536317564;B
20240530;095952;320.91;20;10536317565;S
20240530;095952;320.91;20;10536317566;S
20240530;095952;320.91;10;10536317567;S
20240530;095952;320.91;130;10536317568;B
20240530;095952;320.91;10;10536317569;B
20240530;095952;320.91;110;10536317570;B
20240530;095952;320.91;10;10536317571;B
20240530;095952;320.91;100;10536317572;B
20240530;095952;320.91;50;10536317573;B
20240530;095952;320.91;20;10536317574;B
20240530;095952;320.91;10;10536317575;B
20240530;095952;320.91;10;10536317576;B
20240530;095952;320.91;220;10536317577;B
20240530;095952;320.91;30;10536317578;B
20240530;095952;320.91;100;10536317579;B
20240530;095952;320.91;70;10536317580;B
20240530;095952;320.91;10;10536317581;B
20240530;095952;320.91;50;10536317582;B
20240530;095952;320.91;70;10536317583;B
20240530;095952;320.91;30;10536317584;B
20240530;095952;320.91;70;10536317585;B
20240530;095952;320.91;30;10536317586;B
20240530;095952;320.91;10;10536317587;B
20240530;095952;320.91;40;10536317588;B
20240530;095952;320.91;20;10536317589;B
20240530;095952;320.91;20;10536317590;B
20240530;095952;320.91;30;10536317591;B
20240530;095952;320.91;310;10536317592;B
20240530;095952;320.91;500;10536317593;B
20240530;095952;320.91;10;10536317594;B
20240530;095952;320.91;210;10536317595;B
20240530;095952;320.91;30;10536317596;B
20240530;095952;320.91;1390;10536317597;B
20240530;095952;320.91;10;10536317598;B
20240530;095952;320.91;20;10536317599;B
20240530;095952;320.91;920;10536317600;B
20240530;095952;320.91;200;10536317601;B
20240530;095952;320.91;270;10536317602;B
20240530;095952;320.91;30;10536317603;B
20240530;095952;320.91;60;10536317604;S
20240530;095952;320.91;250;10536317605;S
20240530;095952;320.91;30;10536317606;S
20240530;095952;320.91;40;10536317607;S
20240530;095952;320.91;820;10536317608;S
20240530;095952;320.91;440;10536317609;B
20240530;100000;320.91;560;10536319089;B
20240530;100000;320.91;700;10536319090;B
20240530;100000;320.91;40;10536319091;B
20240530;100000;320.91;60;10536319092;B
20240530;100000;320.92;10;10536319299;S
20240530;100000;320.92;20;10536319326;S
20240530;100000;320.92;100;10536319362;S
20240530;100000;320.92;10;10536319363;S
20240530;100000;320.93;210;10536319369;B
20240530;100000;320.93;10;10536319383;B
20240530;100000;320.93;280;10536319384;B
20240530;100000;320.93;320;10536319385;B
20240530;100000;320.93;140;10536319386;B
20240530;100000;320.95;50;10536319389;B
20240530;100000;320.95;20;10536319451;B
20240530;100000;320.95;20;10536319452;B
20240530;100000;320.95;20;10536319453;B
20240530;100000;320.96;20;10536319454;B
20240530;100000;320.96;20;10536319455;B
20240530;100000;320.96;10;10536319456;B
20240530;100000;320.96;1250;10536319457;B
20240530;100000;320.96;1140;10536319458;B
20240530;100000;320.94;50;10536319464;S
20240530;100000;320.94;10;10536319470;S
20240530;100000;320.94;10;10536319471;S
20240530;100000;320.94;10;10536319473;S
20240530;100000;320.94;10;10536319474;S
20240530;100000;320.94;10;10536319475;S
20240530;100000;320.95;10;10536319479;S
20240530;100000;320.95;10;10536319481;S
20240530;100000;320.97;10;10536319498;B
20240530;100000;320.97;190;10536319499;B
20240530;100000;320.95;10;10536319500;S
20240530;100000;320.97;310;10536319504;B
20240530;100000;320.97;20;10536319505;B
20240530;100000;320.97;20;10536319506;B
20240530;100000;320.97;10;10536319507;B
20240530;100000;320.97;1250;10536319508;B
20240530;100000;320.98;200;10536319509;B
20240530;100000;320.98;200;10536319510;B
20240530;100000;320.98;20;10536319511;B
20240530;100000;320.98;10;10536319512;B
20240530;100000;320.98;20;10536319513;B
20240530;100000;320.98;280;10536319514;B
20240530;100000;320.98;50;10536319515;B
20240530;100000;320.98;110;10536319516;B
20240530;100000;320.98;10;10536319522;B
20240530;100000;320.98;1130;10536319537;B
20240530;100000;320.98;870;10536319538;B
20240530;100000;320.98;380;10536319540;B
20240530;100000;320.98;1250;10536319541;B
20240530;100000;320.98;870;10536319542;B
20240530;100000;320.98;380;10536319548;B
20240530;100000;320.98;220;10536319549;B
20240530;100000;320.98;10;10536319584;B
20240530;100000;320.98;100;10536319585;B
20240530;100000;320.98;100;10536319588;B
20240530;100000;320.98;10;10536319623;B
20240530;100000;320.98;810;10536319647;B
20240530;100000;320.98;190;10536319648;B
20240530;100000;320.98;500;10536319649;B
20240530;100000;320.97;10;10536319657;S
20240530;100000;320.99;10;10536319737;B
20240530;100000;320.99;10;10536319751;B
20240530;100000;320.99;20;10536319752;B
20240530;100000;320.99;80;10536319753;B
20240530;100000;320.99;200;10536319758;B
20240530;100000;320.99;50;10536319835;B
20240530;100000;320.98;10;10536319863;S
20240530;100000;320.99;30;10536319875;B
20240530;100001;320.99;2490;10536319888;B
20240530;100001;320.98;50;10536319900;S
20240530;100001;320.99;190;10536319903;B
20240530;100001;320.99;190;10536319931;B
20240530;100001;320.99;100;10536319967;B
20240530;100001;320.99;10;10536319979;B
20240530;100001;320.99;1000;10536319984;B
20240530;100001;320.99;1020;10536320027;B
20240530;100001;320.99;4460;10536320028;B
20240530;100001;320.99;1020;10536320037;B
20240530;100001;320.99;2160;10536320062;B
20240530;100001;320.99;890;10536320063;B
20240530;100001;320.99;20;10536320064;B
20240530;100001;320.99;20;10536320065;B
20240530;100001;320.99;20;10536320066;B
20240530;100001;320.99;10;10536320067;B
20240530;100001;320.99;20;10536320068;B
20240530;100001;320.99;10;10536320069;B
20240530;100001;320.99;1250;10536320070;B
20240530;100001;321;10;10536320115;B
20240530;100001;321;140;10536320141;B
20240530;100001;321;50;10536320156;B
20240530;100001;321;10;10536320157;B
20240530;100001;321;10;10536320158;B
20240530;100001;321;70;10536320159;B
20240530;100001;321;790;10536320219;B
20240530;100001;321;430;10536320220;B
20240530;100001;321;1070;10536320235;B
20240530;100001;321;10;10536320236;B
20240530;100001;321;10;10536320237;B
20240530;100001;321;30;10536320238;B
20240530;100001;321;10;10536320239;B
20240530;100001;321;10;10536320240;B
20240530;100001;321;10;10536320241;B
20240530;100001;321;10;10536320242;B
20240530;100001;321;10;10536320243;B
20240530;100001;321;10;10536320244;B
20240530;100001;321;10;10536320245;B
20240530;100001;321;30;10536320246;B
20240530;100001;321;100;10536320284;B
20240530;100001;320.99;40;10536320326;S
20240530;100001;321;370;10536320350;B
20240530;100001;321;10;10536320351;B
20240530;100001;321;20;10536320352;B
20240530;100001;321;10;10536320353;B
20240530;100001;321;10;10536320354;B
20240530;100001;321;820;10536320355;B
20240530;100001;321;30;10536320356;B
20240530;100001;321;10;10536320357;B
20240530;100001;321;1910;10536320358;B
20240530;100001;321;20;10536320359;B
20240530;100001;321;20;10536320360;B
20240530;100001;321;30;10536320361;B
20240530;100001;321;100;10536320362;B
20240530;100001;321;20;10536320363;B
20240530;100001;321;200;10536320364;B
20240530;100001;321;1000;10536320365;B
20240530;100001;321;11030;10536320366;B
20240530;100001;321;30;10536320367;B
20240530;100001;321;10;10536320368;B
20240530;100001;321;50;10536320369;B
20240530;100001;321;20;10536320370;B
20240530;100001;321;200;10536320371;B
20240530;100001;321;50;10536320372;B
20240530;100001;321;1000;10536320373;B
20240530;100001;321;50;10536320374;B
20240530;100001;321;20;10536320375;B
20240530;100001;321;240;10536320376;B
20240530;100001;321;240;10536320377;B
20240530;100001;321.01;5000;10536320378;B
20240530;100001;321.01;1000;10536320379;B
20240530;100001;321.01;100;10536320380;B
20240530;100001;321.05;20;10536320381;B
20240530;100001;321.05;20;10536320382;B
20240530;100001;321.05;20;10536320383;B
20240530;100001;321.08;10;10536320384;B
20240530;100001;321.08;500;10536320385;B
20240530;100001;321.1;100;10536320386;B
20240530;100001;321.1;10;10536320387;B
20240530;100001;321.1;230;10536320388;B
20240530;100001;321.11;700;10536320392;B
20240530;100001;321.11;10;10536320400;B
20240530;100001;321.11;290;10536320408;B
20240530;100001;321.12;50;10536320433;B
20240530;100001;321.13;20;10536320434;B
20240530;100001;321.14;30;10536320445;S
20240530;100001;321.15;20;10536320452;B
20240530;100001;321.15;20;10536320453;B
20240530;100001;321.16;50;10536320454;B
20240530;100001;321.17;10;10536320455;B
20240530;100001;321.18;10;10536320456;B
20240530;100001;321.19;90;10536320457;B
20240530;100001;321.15;30;10536320474;S
20240530;100001;321.15;10;10536320479;S
20240530;100001;321.18;10;10536320507;S
20240530;100001;321.19;50;10536320557;B
20240530;100001;321.19;60;10536320570;B
20240530;100001;321.19;380;10536320585;B
20240530;100001;321.19;1250;10536320586;B
20240530;100001;321.2;10;10536320587;B
20240530;100001;321.2;900;10536320588;B
20240530;100001;321.2;50;10536320589;B
20240530;100001;321.2;1040;10536320590;B
20240530;100001;321.2;4240;10536320593;B
20240530;100001;321.2;490;10536320597;B
20240530;100001;321.19;100;10536320620;S
20240530;100001;321.2;2590;10536320623;B
20240530;100001;321.2;80;10536320624;B
20240530;100001;321.21;30;10536320625;B
20240530;100001;321.21;300;10536320626;B
20240530;100001;321.21;300;10536320638;B
20240530;100001;321.21;400;10536320643;B
20240530;100001;321.21;30;10536320644;B
20240530;100001;321.21;180;10536320673;S
20240530;100001;321.21;50;10536320706;S
20240530;100001;321.21;40;10536320709;S
20240530;100001;321.21;710;10536320710;S
20240530;100001;321.21;470;10536320711;S
20240530;100001;321.21;500;10536320712;S
20240530;100001;321.21;70;10536320713;S
20240530;100001;321.22;50;10536320763;B
20240530;100001;321.23;60;10536320764;B
20240530;100001;321.25;20;10536320765;B
20240530;100001;321.25;20;10536320766;B
20240530;100001;321.26;20;10536320767;B
20240530;100001;321.26;10;10536320768;B
20240530;100001;321.27;50;10536320769;B
20240530;100001;321.27;70;10536320770;B
20240530;100001;321.29;10;10536320771;B
20240530;100001;321.29;50;10536320772;B
20240530;100001;321.29;490;10536320773;B
20240530;100001;321.3;200;10536320790;B
20240530;100001;321.22;100;10536320799;S
20240530;100001;321.23;50;10536320807;S
20240530;100001;321.29;100;10536320816;S
20240530;100001;321.3;10;10536320818;B
20240530;100001;321.3;30;10536320823;B
20240530;100001;321.29;20;10536320830;S
20240530;100001;321.3;100;10536320832;B
20240530;100001;321.29;10;10536320833;S
20240530;100001;321.29;50;10536320839;S
20240530;100001;321.29;50;10536320848;S
20240530;100001;321.29;230;10536320862;S
20240530;100001;321.3;160;10536320886;B
20240530;100001;321.3;10;10536320887;B
20240530;100001;321.3;500;10536320888;B
20240530;100001;321.31;1000;10536320889;B
20240530;100001;321.32;500;10536320890;B
20240530;100001;321.32;470;10536320891;B
20240530;100001;321.33;10;10536320892;B
20240530;100001;321.33;470;10536320893;B
20240530;100001;321.34;280;10536320894;B
20240530;100001;321.34;190;10536320896;B
