<DATE>,<TIME>,<LAST>,<VOL>,<ID>,<OPER>
20241218,095941,226.72,10,11725103665,S
20241218,095941,226.72,10,11725103666,S
20241218,095941,226.72,10,11725103667,S
20241218,095941,226.72,10,11725103668,S
20241218,095941,226.72,10,11725103669,S
20241218,095941,226.72,110,11725103670,S
20241218,095941,226.72,10,11725103671,S
20241218,095941,226.72,10,11725103672,B
20241218,095941,226.72,10,11725103673,B
20241218,095941,226.72,40,11725103674,B
20241218,095941,226.72,10,11725103675,B
20241218,095941,226.72,100,11725103676,B
20241218,095941,226.72,320,11725103677,S
20241218,095941,226.72,180,11725103678,S
20241218,095941,226.72,500,11725103679,S
20241218,095941,226.72,10,11725103680,S
20241218,095941,226.72,10,11725103681,S
20241218,095941,226.72,1000,11725103682,B
20241218,095941,226.72,10,11725103683,S
20241218,095941,226.72,50,11725103684,S
20241218,095941,226.72,10,11725103685,B
20241218,095941,226.72,20,11725103686,S
20241218,095941,226.72,10,11725103687,B
20241218,095941,226.72,10,11725103688,S
20241218,095941,226.72,90,11725103689,S
20241218,095941,226.72,3100,11725103690,S
20241218,095941,226.72,10,11725103691,S
20241218,095941,226.72,5000,11725103692,S
20241218,095941,226.72,10,11725103693,S
20241218,095941,226.72,480,11725103694,S
20241218,095941,226.72,220,11725103695,S
20241218,095941,226.72,300,11725103696,B
20241218,095941,226.72,110,11725103697,B
20241218,095941,226.72,20,11725103698,B
20241218,095941,226.72,310,11725103699,B
20241218,095941,226.72,310,11725103700,B
20241218,095941,226.72,100,11725103701,B
20241218,095941,226.72,590,11725103702,S
20241218,095941,226.72,10,11725103703,S
20241218,095941,226.72,20,11725103704,S
20241218,095941,226.72,400,11725103705,S
20241218,095941,226.72,300,11725103706,S
20241218,095941,226.72,500,11725103707,S
20241218,095941,226.72,10,11725103708,S
20241218,095941,226.72,100,11725103709,S
20241218,095941,226.72,10,11725103710,S
20241218,095941,226.72,100,11725103711,S
20241218,095941,226.72,60,11725103712,S
20241218,095941,226.72,10,11725103713,S
20241218,095941,226.72,340,11725103714,S
20241218,095941,226.72,200,11725103715,B
20241218,095941,226.72,10,11725103716,B
20241218,095941,226.72,10,11725103717,B
20241218,095941,226.72,10,11725103718,B
20241218,095941,226.72,40,11725103719,S
20241218,095941,226.72,270,11725103720,S
20241218,095941,226.72,10,11725103721,S
20241218,095941,226.72,130,11725103722,S
20241218,095941,226.72,10,11725103723,S
20241218,095941,226.72,10,11725103724,S
20241218,095941,226.72,100,11725103725,S
20241218,095941,226.72,440,11725103726,S
20241218,095941,226.72,10,11725103727,S
20241218,095941,226.72,250,11725103728,S
20241218,095941,226.72,50,11725103729,S
20241218,095941,226.72,10,11725103730,S
20241218,095941,226.72,10,11725103731,S
20241218,095941,226.72,390,11725103732,S
20241218,095941,226.72,100,11725103733,S
20241218,095941,226.72,30,11725103734,S
20241218,095941,226.72,500,11725103735,S
20241218,095941,226.72,20,11725103736,S
20241218,095941,226.72,50,11725103737,S
20241218,095941,226.72,460,11725103738,S
20241218,095941,226.72,80,11725103739,S
20241218,095941,226.72,60,11725103740,S
20241218,095941,226.72,10,11725103741,S
