<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;ATR
20231120;000000;543;545.8;540;542.2;26695;5.8
20231121;000000;550;554;544;552.8;60500;10
20231122;000000;553.8;567;553.2;558;91722;13.8
20231123;000000;563;566.2;560;564.6;64067;6.2
20231124;000000;566;569.8;551;563.4;72388;18.8
20231127;000000;563.4;572;557.2;571;92922;14.8
20231128;000000;571;576.8;555;571.4;137433;21.8
20231129;000000;573.4;584.8;566.2;576.8;242587;18.6
20231130;000000;577.2;580;566.8;566.8;56208;13.2
20231201;000000;567.8;577.8;567.4;569;80627;10.4
20231204;000000;569.2;572;520;562;107329;52
20231205;000000;561;561;531.2;550;78135;29.8
20231206;000000;554.8;565;537.6;555;162278;27.4
20231207;000000;555;569.8;551;568.6;125440;18.8
20231208;000000;568;575.2;561;568;97856;14.2
20231211;000000;572.4;572.4;556.4;561;104285;16
20231212;000000;564.8;570;559.2;564.8;112164;10.8
20231213;000000;564.4;570;559;569;209138;11
20231214;000000;520;549.6;490;518.6;355213;59.6
20231215;000000;518;522.4;502;521;90125;20.4
20231218;000000;521;538.6;520.6;538.6;82401;18
20231219;000000;538.6;539;526.4;537.4;58520;12.6
20231220;000000;536;538;530.2;536.6;36916;7.8
20231221;000000;532.6;536.8;528.2;536.8;44719;8.6
20231222;000000;534;535.8;529;529.2;51536;6.8
20231225;000000;534.8;543.8;529.2;543.8;61511;14.6
20231226;000000;535.8;541.8;535.2;535.2;27238;6.6
20231227;000000;537.8;542;535.2;535.8;22211;6.8
20231228;000000;535.8;536.8;525;533.6;37307;11.8
20231229;000000;530;540.4;526;536.2;53379;14.4
20240103;000000;534.6;550.6;532.2;541.8;32295;18.4
20240104;000000;541.8;570;538.2;569.6;110189;31.8
20240105;000000;563.4;568.2;556.6;563.6;36698;11.6
20240108;000000;563.6;585.2;558.6;573.6;96309;26.6
20240109;000000;578.4;595;573.8;586;124894;21.2
20240110;000000;594;595;578;587.6;67054;17
20240111;000000;587.8;680;587.4;650;592882;92.6
20240112;000000;657;875;652.2;764;3735234;222.8
20240115;000000;768.8;814.4;740;741.4;1091269;74.4
20240116;000000;745;803.2;723.6;772.8;1116236;79.6
20240117;000000;792.8;875;790;873;1508610;85
20240118;000000;880.4;998;850;986;3611168;148
20240119;000000;989.4;1002.8;895.2;901.8;1613929;107.6
20240122;000000;901.8;931;872.2;883.4;553745;58.8
20240123;000000;885;947.6;850;888.2;919377;97.6
20240124;000000;899.4;925;891;902.8;396889;34
20240125;000000;904.2;918.8;894;895.6;151246;24.8
20240126;000000;892.8;915.2;880.2;887.8;161058;35
20240129;000000;890;900;866.6;877.6;107188;33.4
20240130;000000;887.6;887.6;846.6;849.2;171053;41
20240131;000000;850;868.8;848.6;857.2;95530;20.2
20240201;000000;860;895;858.6;862;209790;36.4
20240202;000000;864.8;869.8;857.2;866;52658;12.6
20240205;000000;864.6;865;848;849.4;100271;17
20240206;000000;849.4;878.8;849.4;874.4;71892;29.4
20240207;000000;876;912.8;868.4;892;275908;44.4
20240208;000000;893;909.8;869.8;884;97578;40
20240209;000000;878;880;860.8;861;44362;19.2
20240212;000000;863.6;883.2;861;877.4;42461;22.2
20240213;000000;877.2;893.8;875;888.8;57579;18.8
20240214;000000;889.4;1048;886.4;992;1809794;161.6
20240215;000000;1001;1126.6;999;1068.8;2496779;127.6
20240216;000000;1074;1106;1016.2;1029;541532;89.8
20240219;000000;1042.2;1042.2;997.2;1005;189692;45
20240220;000000;1004.8;1128.4;1000.4;1122;1637935;128
20240221;000000;1080;1108.8;1012;1050;880633;96.8
20240222;000000;1053;1299;1053;1127.4;2917109;246
20240226;000000;1260.8;1430;1200;1368;3469516;230
20240227;000000;1399.6;1800;1383.2;1720;7668978;416.8
20240228;000000;1739;1760;1455;1476;2645536;305
20240229;000000;1472;1618.4;1450.4;1544.4;2261429;168
20240301;000000;1554;1598.8;1491;1550;804899;107.8
20240304;000000;1556.2;1654.6;1522.8;1632;1163719;131.8
20240305;000000;1640;1739.8;1595.2;1659.8;2408321;144.6
20240306;000000;1664.6;1712;1615;1653;792794;97
20240307;000000;1655.4;1667.2;1600.4;1647.8;399033;66.8
20240311;000000;1671;1672;1630;1638.4;209447;42
20240312;000000;1638.6;1659;1590;1629;376299;69
