<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241113;095956;1485.2;3;11415566179;S
20241113;095956;1485.2;1;11415566180;S
20241113;095956;1485.2;2;11415566181;S
20241113;095956;1485.2;2;11415566182;S
20241113;095956;1485.2;1;11415566183;S
20241113;095956;1485.2;4;11415566184;S
20241113;095956;1485.2;1;11415566185;S
20241113;095956;1485.2;1;11415566186;S
20241113;095956;1485.2;1;11415566187;S
20241113;095956;1485.2;1;11415566188;S
20241113;095956;1485.2;1;11415566189;S
20241113;095956;1485.2;1;11415566190;S
20241113;095956;1485.2;1;11415566191;S
20241113;095956;1485.2;1;11415566192;S
20241113;095956;1485.2;1;11415566193;B
20241113;095956;1485.2;1;11415566194;B
20241113;095956;1485.2;2;11415566195;S
20241113;095956;1485.2;1;11415566196;S
20241113;095956;1485.2;1;11415566197;B
20241113;095956;1485.2;3;11415566198;B
20241113;095956;1485.2;1;11415566199;B
20241113;095956;1485.2;5;11415566200;B
20241113;095956;1485.2;6;11415566201;B
20241113;095956;1485.2;12;11415566202;B
20241113;095956;1485.2;5;11415566203;B
20241113;100000;1487.4;5;11415567542;B
20241113;100004;1485.4;1;11415570115;S
20241113;100004;1488.4;1;11415570239;B
20241113;100004;1490.6;1;11415570263;B
20241113;100005;1485.8;18;11415572289;S
20241113;100005;1485.8;51;11415572290;S
20241113;100005;1485.6;24;11415572291;S
20241113;100005;1485.2;35;11415572292;S
20241113;100005;1485;1;11415572293;S
20241113;100005;1485;10;11415572294;S
20241113;100005;1485;1;11415572295;S
20241113;100005;1485;20;11415572296;S
20241113;100005;1485;31;11415572297;S
20241113;100005;1485;1;11415572298;S
20241113;100005;1485;5;11415572299;S
20241113;100005;1484.8;100;11415572300;S
20241113;100005;1484.8;1;11415572301;S
20241113;100005;1484.8;3;11415572302;S
20241113;100005;1484;1;11415572303;S
20241113;100005;1483;20;11415572304;S
20241113;100005;1483;45;11415572305;S
20241113;100005;1482.4;1;11415572306;S
20241113;100005;1482.2;1;11415572307;S
20241113;100005;1482.2;5;11415572308;S
20241113;100005;1482.2;1;11415572309;S
20241113;100005;1482;1;11415572310;S
20241113;100005;1482;1;11415572311;S
20241113;100005;1482;1;11415572312;S
20241113;100005;1481.2;68;11415572313;S
20241113;100005;1481;1;11415572314;S
20241113;100005;1481;100;11415572315;S
20241113;100005;1480.6;1;11415572316;S
20241113;100005;1480.6;1;11415572317;S
20241113;100005;1480.2;100;11415572318;S
20241113;100005;1480.2;26;11415572319;S
20241113;100005;1480.2;1;11415572320;S
20241113;100005;1480.2;75;11415572321;S
20241113;100005;1491.8;10;11415572374;B
20241113;100005;1480.2;10;11415572384;S
20241113;100005;1480.4;3;11415572899;S
20241113;100005;1485.6;1;11415573051;B
20241113;100005;1485.4;19;11415573094;B
20241113;100005;1485.4;3;11415573148;B
20241113;100005;1485.4;1;11415573210;B
20241113;100005;1481.4;1;11415573276;S
20241113;100005;1480.4;1;11415573277;S
20241113;100005;1480.4;22;11415573278;S
20241113;100006;1485.4;1;11415573553;B
20241113;100006;1482;5;11415573656;S
20241113;100006;1482;5;11415573657;S
20241113;100006;1480.4;8;11415573658;S
20241113;100006;1480.4;1;11415573659;S
20241113;100006;1480.2;2;11415573660;S
20241113;100006;1485;1;11415573667;B
20241113;100006;1485.2;2;11415573704;B
20241113;100006;1485;1;11415574018;B
20241113;100006;1485;10;11415574019;B
20241113;100007;1484;1;11415575521;B
20241113;100008;1482.2;10;11415576525;S
20241113;100008;1485.2;1;11415576861;B
20241113;100008;1482.6;10;11415576941;S
20241113;100012;1484.6;1;11415578233;B
20241113;100012;1484.8;14;11415578234;B
20241113;100012;1484.4;1;11415578467;B
20241113;100016;1484.4;5;11415579361;B
20241113;100016;1484.2;42;11415579598;B
20241113;100018;1484.2;1;11415580214;B
20241113;100018;1484.2;2;11415580215;B
20241113;100019;1482.6;1;11415580337;S
20241113;100021;1482.8;30;11415581026;S
20241113;100021;1482.6;7;11415581027;S
20241113;100021;1482;1;11415581028;S
20241113;100021;1482;25;11415581029;S
20241113;100032;1484.2;1;11415583929;B
20241113;100036;1483.6;2;11415584933;B
20241113;100042;1483.4;6;11415586080;S
20241113;100042;1482;10;11415586081;S
20241113;100042;1482;1;11415586082;S
20241113;100042;1482;8;11415586083;S
20241113;100042;1482;10;11415586084;B
20241113;100044;1482;1;11415586467;B
20241113;100047;1481;2;11415587688;S
20241113;100047;1481;1;11415587689;S
20241113;100047;1480.8;4;11415587690;S
20241113;100047;1480.8;5;11415587691;S
20241113;100047;1480.6;30;11415587692;S
20241113;100047;1480.4;30;11415587693;S
20241113;100047;1480.2;13;11415587694;S
20241113;100047;1480.2;17;11415587695;S
20241113;100047;1480.2;30;11415587696;S
20241113;100047;1480;1;11415587697;S
20241113;100047;1480;3;11415587698;S
20241113;100047;1480;1;11415587699;S
20241113;100047;1480;1;11415587700;S
20241113;100047;1480;1;11415587701;S
20241113;100047;1480;7;11415587702;S
20241113;100048;1480.2;3;11415587749;S
20241113;100048;1480.2;27;11415587960;S
20241113;100048;1480;2;11415587961;S
20241113;100048;1480;1;11415587962;S
20241113;100048;1480;2;11415587963;S
20241113;100048;1480;1;11415587964;S
20241113;100048;1480;1;11415587965;S
20241113;100048;1480;10;11415587966;S
20241113;100048;1480;10;11415587967;S
20241113;100048;1480.2;6;11415588034;S
20241113;100048;1480.2;20;11415588039;S
20241113;100057;1481.6;1;11415590082;B
20241113;100058;1481.8;1;11415590200;B
20241113;100059;1481.8;8;11415590350;B
20241113;100059;1481.8;4;11415590351;B
20241113;100059;1482;8;11415590352;B
20241113;100116;1481.8;2;11415594670;B
20241113;100117;1481.8;8;11415594889;S
20241113;100117;1481.6;1;11415594890;S
20241113;100117;1481.6;18;11415594891;S
20241113;100117;1481.2;30;11415594892;S
20241113;100117;1481.2;30;11415594893;B
20241113;100117;1481.2;13;11415594894;B
20241113;100117;1482;10;11415594904;B
20241113;100124;1482;14;11415596396;B
20241113;100124;1484.2;51;11415596397;B
20241113;100124;1484.4;30;11415596398;B
20241113;100124;1484.6;5;11415596399;B
20241113;100132;1483;18;11415597833;S
20241113;100137;1484.6;6;11415598761;B
20241113;100140;1484.6;1;11415599330;B
20241113;100154;1484.8;1;11415602466;B
20241113;100159;1484.8;1;11415603758;B
20241113;100200;1484.8;1;11415603819;B
20241113;100200;1484.6;1;11415603847;S
20241113;100200;1484.6;4;11415603848;S
20241113;100200;1483.4;1;11415603849;S
20241113;100200;1483.2;1;11415603850;S
20241113;100200;1483.2;15;11415603851;S
20241113;100210;1483;42;11415606095;S
20241113;100210;1483;8;11415606096;S
20241113;100211;1483.8;1;11415606478;B
20241113;100211;1483.8;15;11415606479;B
20241113;100212;1484;1;11415606554;B
20241113;100218;1483.2;1;11415608279;B
20241113;100222;1483.2;2;11415609257;B
20241113;100223;1483.2;1;11415609880;B
20241113;100224;1483.2;15;11415610084;B
20241113;100224;1483.8;1;11415610284;B
20241113;100241;1484.2;2;11415613888;B
20241113;100243;1483.2;50;11415614197;S
20241113;100248;1484.4;1;11415615077;B
20241113;100253;1484;15;11415616113;B
20241113;100254;1484;2;11415616323;B
20241113;100305;1484;3;11415619335;B
20241113;100308;1483.8;8;11415620188;B
20241113;100311;1483.8;1;11415620961;B
20241113;100313;1483.2;24;11415621410;S
20241113;100314;1483;30;11415621746;S
20241113;100314;1483;2;11415621747;S
20241113;100314;1483;5;11415621748;S
20241113;100316;1483;1;11415622190;B
20241113;100326;1484;2;11415624866;B
20241113;100327;1483;1;11415625360;S
20241113;100327;1483;47;11415625361;S
20241113;100327;1482.6;1;11415625362;S
20241113;100327;1482.2;1;11415625363;S
20241113;100327;1482.2;12;11415625364;S
20241113;100327;1482;2;11415625365;S
20241113;100327;1482;5;11415625366;S
20241113;100327;1482;4;11415625367;S
20241113;100327;1482;2;11415625368;S
20241113;100327;1482;36;11415625369;S
20241113;100334;1483;1;11415627070;S
20241113;100334;1482.2;3;11415627071;S
20241113;100341;1483.2;1;11415628754;B
20241113;100344;1483.2;1;11415629529;B
20241113;100348;1483.2;1;11415630241;B
20241113;100351;1483;1;11415630868;S
20241113;100351;1483;1;11415630869;S
20241113;100351;1482.2;17;11415630870;S
20241113;100351;1482;1;11415630871;S
20241113;100351;1482;3;11415630872;S
20241113;100351;1481.8;25;11415630873;S
20241113;100351;1481.6;1;11415630874;S
