<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20240514;095942;70.77;700;10355696371;S
20240514;095942;70.77;400;10355696372;S
20240514;095942;70.77;100;10355696373;S
20240514;095942;70.77;7900;10355696374;S
20240514;095942;70.77;100;10355696375;S
20240514;095942;70.77;500;10355696376;S
20240514;095942;70.77;800;10355696377;S
20240514;095942;70.77;2000;10355696378;S
20240514;095942;70.77;600;10355696379;S
20240514;095942;70.77;200;10355696380;S
20240514;095942;70.77;500;10355696381;S
20240514;095942;70.77;3000;10355696382;S
20240514;095942;70.77;30000;10355696383;S
20240514;095942;70.77;500;10355696384;S
20240514;095942;70.77;400;10355696385;S
20240514;095942;70.77;100;10355696386;S
20240514;095942;70.77;3500;10355696387;B
20240514;095942;70.77;900;10355696388;S
20240514;095942;70.77;2000;10355696389;S
20240514;095942;70.77;2000;10355696390;S
20240514;095942;70.77;1400;10355696391;S
20240514;095942;70.77;100;10355696392;S
20240514;095942;70.77;6000;10355696393;S
20240514;095942;70.77;20000;10355696394;S
20240514;095942;70.77;100;10355696395;B
20240514;095942;70.77;500;10355696396;B
20240514;095942;70.77;30000;10355696397;S
20240514;095942;70.77;2500;10355696398;S
20240514;095942;70.77;100;10355696399;B
20240514;095942;70.77;400;10355696400;S
20240514;095942;70.77;1000;10355696401;S
20240514;095942;70.77;100;10355696402;S
20240514;095942;70.77;5000;10355696403;S
20240514;095942;70.77;5000;10355696404;S
20240514;095942;70.77;5000;10355696405;S
20240514;095942;70.77;1000;10355696406;S
20240514;095942;70.77;100;10355696407;S
20240514;095942;70.77;8300;10355696408;S
20240514;095942;70.77;19500;10355696409;S
20240514;095942;70.77;1000;10355696410;S
20240514;095942;70.77;200;10355696411;B
20240514;095942;70.77;200;10355696412;S
20240514;095942;70.77;100;10355696413;S
20240514;095942;70.77;500;10355696414;B
20240514;095942;70.77;100;10355696415;B
20240514;095942;70.77;100;10355696416;S
20240514;095942;70.77;500;10355696417;S
20240514;095942;70.77;100;10355696418;S
20240514;095942;70.77;800;10355696419;S
20240514;095942;70.77;10000;10355696420;S
20240514;095942;70.77;15000;10355696421;S
20240514;095942;70.77;10000;10355696422;S
20240514;095942;70.77;15000;10355696423;S
20240514;095942;70.77;15000;10355696424;S
20240514;095942;70.77;1500;10355696425;S
20240514;095942;70.77;800;10355696426;S
20240514;095942;70.77;2000;10355696427;S
20240514;095942;70.77;1400;10355696428;B
20240514;095942;70.77;10000;10355696429;S
20240514;095942;70.77;15000;10355696430;S
20240514;095942;70.77;100;10355696431;S
20240514;095942;70.77;100;10355696432;B
20240514;095942;70.77;400;10355696433;B
20240514;095942;70.77;15000;10355696434;S
20240514;095942;70.77;22800;10355696435;S
20240514;095942;70.77;2000;10355696436;S
20240514;095942;70.77;900;10355696437;S
20240514;095942;70.77;3000;10355696438;S
20240514;095942;70.77;200;10355696439;S
20240514;095942;70.77;200;10355696440;S
20240514;095942;70.77;900;10355696441;S
20240514;095942;70.77;4100;10355696442;S
20240514;095942;70.77;2900;10355696443;S
20240514;095942;70.77;100;10355696444;S
20240514;095942;70.77;400;10355696445;S
20240514;095942;70.77;1500;10355696446;S
20240514;095942;70.77;1500;10355696447;S
20240514;095942;70.77;1000;10355696448;S
20240514;095942;70.77;2000;10355696449;S
20240514;095942;70.77;1000;10355696450;S
20240514;095942;70.77;500;10355696451;S
20240514;095942;70.77;100;10355696452;S
20240514;095942;70.77;400;10355696453;S
20240514;095942;70.77;100;10355696454;S
