<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241029;100127;693.3;2;2038472580549050840;B
20241029;100139;693.9;1;2038472580549050841;B
20241029;100139;694;3;2038472580549050842;B
20241029;100158;694;2;2038472580549050843;B
20241029;100219;694;13;2038472580549050844;B
20241029;100233;692.3;12;2038472580549050845;S
20241029;100233;692.3;2;2038472580549050846;S
20241029;100344;694;1;2038472580549050847;B
20241029;100514;694;3;2038472580549050848;B
20241029;100616;694;5;2038472580549050849;B
20241029;100745;694;10;2038472580549050850;B
20241029;100903;694;2;2038472580549050851;B
20241029;100907;694;2;2038472580549050852;B
20241029;100907;694;2;2038472580549050853;B
20241029;100907;694;4;2038472580549050854;B
20241029;100907;694;1;2038472580549050855;B
20241029;100907;694;7;2038472580549050856;B
20241029;100931;694.4;1;2038472580549050857;B
20241029;100941;694.5;1;2038472580549050858;B
20241029;100945;694.1;3;2038472580549050859;S
20241029;100945;694.1;1;2038472580549050860;S
20241029;100945;694;4;2038472580549050861;S
20241029;101037;694;4;2038472580549050862;S
20241029;101551;694.5;1;2038472580549050863;B
20241029;101640;694.5;2;2038472580549050864;B
20241029;101640;694.5;8;2038472580549050865;B
20241029;101641;694.5;26;2038472580549050866;B
20241029;101705;694.9;1;2038472580549050867;B
20241029;101749;694.9;3;2038472580549050868;B
20241029;101749;695;4;2038472580549050869;B
20241029;101749;695;3;2038472580549050870;B
20241029;101749;695;3;2038472580549050871;B
20241029;101749;695;6;2038472580549050872;B
20241029;101749;695;1;2038472580549050873;B
20241029;101750;695;1;2038472580549050874;B
20241029;101839;695;1;2038472580549050875;B
20241029;101839;695.2;19;2038472580549050876;B
20241029;101855;695.1;9;2038472580549050877;B
20241029;101855;695.5;1;2038472580549050878;B
20241029;101855;695.6;2;2038472580549050879;B
20241029;101855;695.6;5;2038472580549050880;B
20241029;101856;695.6;22;2038472580549050881;B
20241029;101856;696;3;2038472580549050882;B
20241029;101856;696;4;2038472580549050883;B
20241029;101856;696;1;2038472580549050884;B
20241029;101903;696;5;2038472580549050885;B
20241029;101914;696;1;2038472580549050886;B
20241029;101937;696;10;2038472580549050887;B
20241029;102009;695.6;8;2038472580549050888;S
20241029;102009;695.4;1;2038472580549050889;S
20241029;102009;694.8;1;2038472580549050890;S
20241029;102009;694;20;2038472580549050891;S
20241029;102040;695.1;10;2038472580549050892;B
20241029;102050;695;2;2038472580549050893;B
20241029;102050;695.1;2;2038472580549050894;B
20241029;102052;695.9;1;2038472580549050895;B
20241029;102052;695.9;1;2038472580549050896;B
20241029;102052;696;3;2038472580549050897;B
20241029;102116;695.2;1;2038472580549050898;S
20241029;102136;695.9;1;2038472580549050899;B
20241029;102136;696;9;2038472580549050900;B
20241029;102312;696;1;2038472580549050901;B
20241029;102312;696.3;8;2038472580549050902;B
20241029;102332;696.2;2;2038472580549050903;B
20241029;102332;696.3;8;2038472580549050904;B
20241029;102347;696.3;25;2038472580549050905;B
20241029;102400;696.8;2;2038472580549050906;B
20241029;102400;696.9;23;2038472580549050907;B
20241029;102400;696.9;1;2038472580549050908;B
20241029;102433;696;1;2038472580549050909;S
20241029;102434;697;2;2038472580549050910;B
20241029;102434;697;4;2038472580549050911;B
20241029;102434;697.4;19;2038472580549050912;B
20241029;102435;697;1;2038472580549050913;B
20241029;102513;697.4;5;2038472580549050914;S
20241029;102513;697.3;5;2038472580549050915;S
20241029;102520;697.3;15;2038472580549050916;B
20241029;102537;697.3;15;2038472580549050917;B
20241029;102756;697.8;1;2038472580549050918;B
20241029;102757;697.6;1;2038472580549050919;B
20241029;102809;697.7;5;2038472580549050920;S
20241029;102809;697.6;4;2038472580549050921;S
20241029;102839;697.4;6;2038472580549050922;B
20241029;103051;697.3;1;2038472580549050923;B
20241029;103143;697.3;1;2038472580549050924;B
20241029;103146;697.3;2;2038472580549050925;B
20241029;103146;697.4;1;2038472580549050926;B
20241029;103202;697.3;1;2038472580549050927;S
20241029;103202;697.1;4;2038472580549050928;S
20241029;103215;697.1;1;2038472580549050929;B
20241029;103239;697;5;2038472580549050930;S
20241029;103340;696.1;1;2038472580549050932;S
20241029;103340;696;1;2038472580549050937;S
20241029;103426;696.8;1;2038472580549050941;B
20241029;103426;696.8;1;2038472580549050942;B
20241029;103426;696.9;4;2038472580549050943;B
20241029;103426;697;1;2038472580549050944;B
20241029;103426;697;1;2038472580549050945;B
20241029;103426;697;4;2038472580549050946;B
20241029;103441;696.9;4;2038472580549050947;B
20241029;103441;697;6;2038472580549050948;B
20241029;103524;697;1;2038472580549050949;B
20241029;103529;697;1;2038472580549050950;B
20241029;103532;697;1;2038472580549050951;B
20241029;103536;697;1;2038472580549050952;B
20241029;103647;696;1;2038472580549050953;S
20241029;103647;696;1;2038472580549050954;S
20241029;103647;695.9;8;2038472580549050955;S
20241029;103708;695.2;1;2038472580549050956;S
20241029;103708;695.2;1;2038472580549050957;S
20241029;103711;695.2;2;2038472580549050958;B
20241029;103725;695.2;9;2038472580549050959;B
20241029;103834;695;5;2038472580549050960;S
20241029;103834;695;5;2038472580549050961;S
20241029;103834;694.3;6;2038472580549050962;S
20241029;103834;694.1;4;2038472580549050963;S
20241029;103834;694;10;2038472580549050964;S
20241029;103834;694;6;2038472580549050965;S
20241029;103834;694;1;2038472580549050966;S
20241029;103847;693.1;5;2038472580549050967;S
20241029;103847;693;8;2038472580549050968;S
20241029;103946;693.1;4;2038472580549050969;S
20241029;104000;693.8;1;2038472580549050970;B
20241029;104031;694;5;2038472580549050971;B
20241029;104127;696.4;6;2038472580549050972;B
20241029;104127;696.4;1;2038472580549050973;B
20241029;104127;696.4;3;2038472580549050974;B
20241029;104211;697;2;2038472580549050975;B
20241029;104311;695.1;1;2038472580549050976;S
20241029;104329;695.5;1;2038472580549050977;S
20241029;104410;695.3;2;2038472580549050978;S
20241029;104410;695.2;1;2038472580549050979;S
20241029;104410;695.1;3;2038472580549050980;S
20241029;104712;695.8;2;2038472580549050984;B
20241029;104712;695.8;1;2038472580549050985;B
20241029;104756;696.7;1;2038472580549050986;B
20241029;104756;696.7;1;2038472580549050987;B
20241029;104834;696;1;2038472580549050990;S
20241029;104834;695.9;1;2038472580549050995;S
20241029;105214;696.5;1;2038472580549050999;B
20241029;105214;696.5;1;2038472580549051000;B
20241029;105214;696.7;3;2038472580549051001;B
20241029;105221;696.6;1;2038472580549051002;B
20241029;105254;696.1;1;2038472580549051003;S
20241029;105623;696.1;1;2038472580549051004;B
20241029;105702;696.1;5;2038472580549051005;B
20241029;105747;696;1;2038472580549051006;S
20241029;105845;696;1;2038472580549051007;S
20241029;110022;696;6;2038472580549051009;B
20241029;110042;696;3;2038472580549051010;B
20241029;110226;696.1;2;2038472580549051011;S
20241029;110412;696;3;2038472580549051012;S
20241029;110516;696;5;2038472580549051013;S
20241029;110516;696;1;2038472580549051014;S
20241029;110516;695.8;1;2038472580549051015;S
20241029;110516;695.1;1;2038472580549051016;S
20241029;110516;695.1;2;2038472580549051017;S
20241029;110558;694.5;1;2038472580549051018;B
20241029;110835;694;1;2038472580549051019;S
20241029;110838;694;2;2038472580549051020;S
20241029;110842;694;3;2038472580549051021;S
20241029;110917;693.8;5;2038472580549051022;S
20241029;110917;693.5;1;2038472580549051023;S
20241029;110917;693;4;2038472580549051024;S
20241029;110919;693;2;2038472580549051025;S
20241029;110919;693;1;2038472580549051026;S
20241029;110919;692.5;2;2038472580549051027;S
20241029;110919;692.5;1;2038472580549051028;S
20241029;110919;692.4;4;2038472580549051029;S
20241029;110919;692.3;1;2038472580549051030;S
20241029;110948;692.3;7;2038472580549051031;S
20241029;110948;692.3;2;2038472580549051032;S
20241029;110958;692.3;1;2038472580549051033;S
20241029;110958;692;9;2038472580549051034;S
20241029;110959;692;3;2038472580549051035;S
20241029;110959;692;5;2038472580549051036;S
