<DATE>;<TIME>;<LAST>;<VOL>;<ID>;<OPER>
20241011;095946;13714;1;1896046190793852919;S
20241011;100002;13714;2;1896046190793852920;S
20241011;100002;13714;2;1896046190793852921;S
20241011;100003;13714;5;1896046190793852922;S
20241011;100003;13715;1;1896046190793852923;B
20241011;100003;13715;7;1896046190793852924;B
20241011;100003;13715;3;1896046190793852925;B
20241011;100003;13715;2;1896046190793852926;B
20241011;100003;13716;1;1896046190793852927;B
20241011;100003;13721;2;1896046190793852928;B
20241011;100003;13722;2;1896046190793852929;B
20241011;100003;13722;1;1896046190793852930;B
20241011;100003;13722;1;1896046190793852931;B
20241011;100003;13722;1;1896046190793852932;B
20241011;100003;13722;2;1896046190793852933;B
20241011;100003;13723;5;1896046190793852934;B
20241011;100003;13723;3;1896046190793852935;B
20241011;100003;13723;5;1896046190793852936;B
20241011;100003;13722;1;1896046190793852937;B
20241011;100003;13722;4;1896046190793852938;B
20241011;100003;13722;6;1896046190793852939;B
20241011;100003;13722;2;1896046190793852940;B
20241011;100003;13722;3;1896046190793852941;B
20241011;100003;13722;5;1896046190793852942;B
20241011;100003;13722;1;1896046190793852943;B
20241011;100003;13723;2;1896046190793852944;B
20241011;100003;13723;25;1896046190793852945;B
20241011;100003;13722;3;1896046190793852946;S
20241011;100003;13722;4;1896046190793852947;S
20241011;100003;13735;2;1896046190793852948;B
20241011;100003;13736;1;1896046190793852949;B
20241011;100003;13732;1;1896046190793852950;S
20241011;100004;13738;2;1896046190793852951;S
20241011;100004;13740;3;1896046190793852952;S
20241011;100005;13739;1;1896046190793852953;S
20241011;100005;13739;1;1896046190793852954;S
20241011;100005;13739;1;1896046190793852955;S
20241011;100006;13736;3;1896046190793852956;S
20241011;100006;13733;1;1896046190793852957;S
20241011;100006;13733;3;1896046190793852958;S
20241011;100006;13733;2;1896046190793852959;S
20241011;100006;13733;2;1896046190793852960;S
20241011;100006;13733;3;1896046190793852961;S
20241011;100006;13732;10;1896046190793852962;S
20241011;100006;13736;2;1896046190793852963;S
20241011;100006;13736;1;1896046190793852964;S
20241011;100006;13729;1;1896046190793852965;S
20241011;100006;13730;2;1896046190793852966;S
20241011;100007;13729;1;1896046190793852967;S
20241011;100007;13728;1;1896046190793852968;S
20241011;100007;13728;2;1896046190793852969;S
20241011;100007;13728;2;1896046190793852970;S
20241011;100007;13728;2;1896046190793852971;S
20241011;100007;13728;2;1896046190793852972;S
20241011;100007;13729;2;1896046190793852973;S
20241011;100007;13728;2;1896046190793852974;S
20241011;100008;13730;2;1896046190793852975;B
20241011;100008;13730;1;1896046190793852976;B
20241011;100008;13730;1;1896046190793852977;B
20241011;100008;13730;2;1896046190793852978;B
20241011;100008;13730;2;1896046190793852979;B
20241011;100008;13731;1;1896046190793852980;B
20241011;100008;13731;2;1896046190793852981;B
20241011;100008;13730;1;1896046190793852982;B
20241011;100009;13728;3;1896046190793852983;B
20241011;100009;13729;4;1896046190793852984;B
20241011;100009;13729;1;1896046190793852985;B
20241011;100009;13729;2;1896046190793852986;B
20241011;100009;13731;4;1896046190793852987;B
20241011;100009;13731;7;1896046190793852988;B
20241011;100009;13731;1;1896046190793852989;B
20241011;100009;13732;1;1896046190793852990;B
20241011;100010;13729;1;1896046190793852991;B
20241011;100010;13729;2;1896046190793852992;B
20241011;100010;13729;1;1896046190793852993;B
20241011;100010;13730;1;1896046190793852994;B
20241011;100010;13731;2;1896046190793852995;B
20241011;100010;13734;1;1896046190793852996;B
20241011;100010;13736;2;1896046190793852997;B
